Berichtsmonat;Anzahl Kurzarbeitende
Dezember 2022;396879
November 2022;155570
Oktober 2022;133955
September 2022;108064
August 2022;87447
Juli 2022;114690
Juni 2022;240905
Mai 2022;318308
April 2022;452933
März 2022;888103
Februar 2022;1086576
Januar 2022;1123426
Dezember 2021;956796
November 2021;767160
Oktober 2021;780353
September 2021;858680
August 2021;857486
Juli 2021;1087877
Juni 2021;1568065
Mai 2021;2341950
April 2021;2583330
März 2021;3015863
Februar 2021;3766158
Januar 2021;3637911
Dezember 2020;2856187
November 2020;2405048
Oktober 2020;2037069
September 2020;2244063
August 2020;2550769
Juli 2020;3318830
Juni 2020;4464298
Mai 2020;5726322
April 2020;6006764
März 2020;2834309
Februar 2020;439353
Januar 2020;382423
