date,sunrise,sunset,daylight,federalState
2020-01-05,09:16:24,17:03:48,7.79,Baden-Württemberg
2020-01-05,09:16:24,17:03:48,7.79,Bayern
2020-01-05,09:16:24,17:03:48,7.79,Berlin
2020-01-05,09:16:24,17:03:48,7.79,Brandenburg
2020-01-05,09:16:24,17:03:48,7.79,Bremen
2020-01-05,09:16:24,17:03:48,7.79,Hamburg
2020-01-05,09:16:24,17:03:48,7.79,Hessen
2020-01-05,09:16:24,17:03:48,7.79,Mecklenburg-Vorpommern
2020-01-05,09:16:24,17:03:48,7.79,Niedersachsen
2020-01-05,09:16:24,17:03:48,7.79,Nordrhein-Westfalen
2020-01-05,09:16:24,17:03:48,7.79,Rheinland-Pfalz
2020-01-05,09:16:24,17:03:48,7.79,Saarland
2020-01-05,09:16:24,17:03:48,7.79,Sachsen
2020-01-05,09:16:24,17:03:48,7.79,Sachsen-Anhalt
2020-01-05,09:16:24,17:03:48,7.79,Schleswig-Holstein
2020-01-05,09:16:24,17:03:48,7.79,Thüringen
2020-01-12,09:14:00,17:11:26,7.957142857142857,Baden-Württemberg
2020-01-12,09:14:00,17:11:26,7.957142857142857,Bayern
2020-01-12,09:14:00,17:11:26,7.957142857142857,Berlin
2020-01-12,09:14:00,17:11:26,7.957142857142857,Brandenburg
2020-01-12,09:14:00,17:11:26,7.957142857142857,Bremen
2020-01-12,09:14:00,17:11:26,7.957142857142857,Hamburg
2020-01-12,09:14:00,17:11:26,7.957142857142857,Hessen
2020-01-12,09:14:00,17:11:26,7.957142857142857,Mecklenburg-Vorpommern
2020-01-12,09:14:00,17:11:26,7.957142857142857,Niedersachsen
2020-01-12,09:14:00,17:11:26,7.957142857142857,Nordrhein-Westfalen
2020-01-12,09:14:00,17:11:26,7.957142857142857,Rheinland-Pfalz
2020-01-12,09:14:00,17:11:26,7.957142857142857,Saarland
2020-01-12,09:14:00,17:11:26,7.957142857142857,Sachsen
2020-01-12,09:14:00,17:11:26,7.957142857142857,Sachsen-Anhalt
2020-01-12,09:14:00,17:11:26,7.957142857142857,Schleswig-Holstein
2020-01-12,09:14:00,17:11:26,7.957142857142857,Thüringen
2020-01-19,09:08:51,17:21:51,8.216666666666667,Baden-Württemberg
2020-01-19,09:08:51,17:21:51,8.216666666666667,Bayern
2020-01-19,09:08:51,17:21:51,8.216666666666667,Berlin
2020-01-19,09:08:51,17:21:51,8.216666666666667,Brandenburg
2020-01-19,09:08:51,17:21:51,8.216666666666667,Bremen
2020-01-19,09:08:51,17:21:51,8.216666666666667,Hamburg
