Bundesland;Neujahr;Drei Könige;Internat. Frauentag;Karfreitag;Ostersonntag;Ostermontag;Tag d. Arbeit;Tag d. Befreiung;Christi Himmelfahrt;Pfingstsonntag;Pfingstmontag;Fronleichnam;Mariä Himmelfahrt;Weltkindertag;Tag d. Deutschen Einheit;Reformationstag;Allerheiligen;Buß- und Bettag;Weihnachten
Baden-Württemberg;01.01;06.01;;10.04;;13.04;01.05;;21.05;;01.06;11.06;;;03.10;;01.11;;25.12 - 26.12
Bayern;01.01;06.01;;10.04;;13.04;01.05;;21.05;;01.06;11.06;15.08;;03.10;;01.11;;25.12 - 26.12
Berlin;01.01;;08.03;10.04;;13.04;01.05;08.05;21.05;;01.06;;;;03.10;;;;25.12 - 26.12
Brandenburg;01.01;;;10.04;12.04;13.04;01.05;;21.05;31.05;01.06;;;;03.10;31.10;;;25.12 - 26.12
Bremen;01.01;;;10.04;;13.04;01.05;;21.05;;01.06;;;;03.10;31.10;;;25.12 - 26.12
Hamburg;01.01;;;10.04;;13.04;01.05;;21.05;;01.06;;;;03.10;31.10;;;25.12 - 26.12
Hessen;01.01;;;10.04;;13.04;01.05;;21.05;;01.06;11.06;;;03.10;;;;25.12 - 26.12
Mecklenburg-Vorpommern;01.01;;;10.04;;13.04;01.05;;21.05;;01.06;;;;03.10;31.10;;;25.12 - 26.12
Niedersachsen;01.01;;;10.04;;13.04;01.05;;21.05;;01.06;;;;03.10;31.10;;;25.12 - 26.12
Nordrhein-Westfalen;01.01;;;10.04;;13.04;01.05;;21.05;;01.06;11.06;;;03.10;;01.11;;25.12 - 26.12
Rheinland-Pfalz;01.01;;;10.04;;13.04;01.05;;21.05;;01.06;11.06;;;03.10;;01.11;;25.12 - 26.12
Saarland;01.01;;;10.04;;13.04;01.05;;21.05;;01.06;11.06;15.08;;03.10;;01.11;;25.12 - 26.12
Sachsen;01.01;;;10.04;;13.04;01.05;;21.05;;01.06;;;;03.10;;;18.11;25.12 - 26.12
Sachsen-Anhalt;01.01;06.01;;10.04;;13.04;01.05;;21.05;;01.06;;;;03.10;31.10;;;25.12 - 26.12
Schleswig-Holstein;01.01;;;10.04;;13.04;01.05;;21.05;;01.06;;;;03.10;31.10;;;25.12 - 26.12
Thüringen;01.01;;;10.04;;13.04;01.05;;21.05;;01.06;;;20.9;03.10;31.10;;;25.12 - 26.12
