Datum	-	-	Kurzarbeitende	-	-	Beschäftigungsäquivalent	Kurzarbeiterquote
Januar 2023	8,906	3,553	144,546	112,029	32,517	41,398	0.4 
Dezember 2022	8,538	3,553	145,794	112,937	32,857	39,695	0.4 
November 2022	9,154	3,537	146,637	114,636	32,001	40,896	0.4 
Oktober 2022	7,681	2,974	124,208	97,581	26,627	32,927	0.4 
September 2022	6,200	2,335	97,396	76,636	20,760	25,103	0.3 
August 2022	5,781	1,976	75,606	57,347	18,259	21,582	0.2 
Juli 2022	6,239	2,093	101,904	80,246	21,658	26,678	0.3 
Juni 2022	35,645	6,263	227,720	153,722	73,998	73,398	0.7 
Mai 2022	44,194	7,197	304,540	203,509	101,031	99,309	0.9 
April 2022	59,010	8,045	438,515	290,745	147,770	145,248	1.3 
März 2022	98,605	10,348	727,328	434,649	292,679	296,040	2.1 
Februar 2022	118,915	10,778	803,136	430,178	372,958	336,738	2.3 
Januar 2022	120,272	10,799	846,877	467,401	379,476	358,635	2.5 
Dezember 2021	118,167	12,287	772,383	450,001	322,382	297,939	2.3 
November 2021	100,807	12,972	750,167	483,122	267,045	261,810	2.2 
Oktober 2021	97,759	13,595	762,378	497,404	264,974	281,565	2.2 
September 2021	112,982	14,674	839,492	539,628	299,864	311,565	2.4 
August 2021	128,564	15,050	838,090	504,075	334,015	311,838	2.5 
Juli 2021	156,332	17,889	1,068,043	631,710	436,333	415,735	3.2 
Juni 2021	229,468	22,710	1,547,552	845,250	702,302	626,011	4.6 
Mai 2021	324,117	26,656	2,320,489	1,150,823	1,169,666	1,092,700	6.9 
April 2021	346,519	29,404	2,560,303	1,285,432	1,274,871	1,291,165	7.6 
März 2021	364,419	33,032	2,818,317	1,448,132	1,370,185	1,432,363	8.4 
Februar 2021	431,241	36,366	3,358,070	1,687,173	1,670,897	1,897,920	10.0 
Januar 2021	420,914	35,406	3,293,888	1,672,996	1,620,892	1,790,789	9.8 
Dezember 2020	363,544	33,216	2,675,968	1,391,391	1,284,577	1,229,831	7.9 
November 2020	312,009	35,294	2,386,194	1,375,646	1,010,548	1,114,622	7.0 
Oktober 2020	236,642	35,137	2,020,651	1,264,524	756,127	752,339	6.0 
September 2020	250,115	37,279	2,229,430	1,395,249	834,181	803,719	6.6 
August 2020	279,306	39,047	2,537,053	1,565,230	971,823	912,938	7.6 
Juli 2020	327,509	44,584	3,305,887	2,035,360	1,270,527	1,239,707	9.9 
Juni 2020	412,537	50,752	4,452,284	2,699,440	1,752,844	1,680,619	13.4 
Mai 2020	536,284	56,040	5,714,841	3,349,246	2,365,595	2,433,427	17.1 
April 2020	609,681	53,504	5,995,428	3,376,975	2,618,453	3,049,142	17.9 
März 2020	342,426	21,855	2,579,665	1,389,348	1,190,317	867,967	7.7 
Februar 2020	4,694	3,215	133,924	108,367	25,557	34,296	0.4 
Januar 2020	4,343	3,049	133,198	107,962	25,236	31,942	0.4 
