date,outOfHomeDuration
2020-03-22,5.91
2020-03-29,5.27
2020-04-05,5.58
2020-04-12,5.64
2020-04-19,5.49
2020-04-26,6.06
2020-05-03,5.95
2020-05-10,6.49
2020-05-17,6.47
2020-05-24,6.44
2020-05-31,6.95
2020-06-07,6.65
2020-06-14,6.95
2020-06-21,7.28
2020-06-28,7.50
2020-07-05,7.37
2020-07-12,7.32
2020-07-19,7.43
2020-07-26,7.40
2020-08-02,7.43
2020-08-09,7.49
2020-08-16,7.41
2020-08-23,7.46
2020-08-30,7.53
2020-09-06,7.58
2020-09-13,7.76
2020-09-20,7.83
2020-09-27,7.58
2020-10-04,7.50
2020-10-11,7.61
2020-10-18,7.24
2020-10-25,7.20
2020-11-01,7.02
2020-11-08,6.75
2020-11-15,6.85
2020-11-22,6.66
2020-11-29,6.70
2020-12-06,6.90
2020-12-13,6.75
