date,outOfHomeDuration
2022-03-27,7.18
2022-04-03,7.33
2022-04-10,7.47
2022-04-17,7.04
2022-04-24,7.08
2022-05-01,7.71
2022-05-08,7.73
2022-05-15,8.03
2022-05-22,7.95
2022-05-29,7.54
2022-06-05,8.05
2022-06-12,7.67
2022-06-19,7.83
2022-06-26,8.10
2022-07-03,8.03
2022-07-10,7.96
2022-07-17,7.94
2022-07-24,7.89
2022-07-31,7.79
2022-08-07,7.87
2022-08-14,7.93
2022-08-21,7.65
2022-08-28,8.04
2022-09-04,8.21
2022-09-11,7.93
2022-09-18,8.04
2022-09-25,8.06
2022-10-02,8.17
2022-10-09,7.90
2022-10-16,7.84
2022-10-23,7.61
2022-10-30,7.76
2022-11-06,7.41
2022-11-13,7.54
2022-11-20,7.63
2022-11-27,7.53
2022-12-04,7.48
2022-12-11,7.45
2022-12-18,7.38
