date;BundeslandID;outOfHomeDuration;percentageChangeComparedToBeforeCorona
20200306;Baden-Württemberg;7.99;0
20200306;Hessen;8.07;0
20200306;Berlin;7.8;0
20200306;Brandenburg;7.41;0
20200306;Sachsen;7.640000000000001;0
20200306;Bayern;8.02;0
20200306;Nordrhein-Westfalen;7.5600000000000005;0
20200306;Hamburg;7.53;0
20200306;Mecklenburg-Vorpommern;7.88;0
20200306;Niedersachsen;7.930000000000001;0
20200306;Deutschland;7.84;0
20200306;Bremen;8.040000000000001;0
20200306;Thüringen;7.890000000000001;0
20200306;Saarland;7.71;0
20200306;Sachsen-Anhalt;7.75;0
20200306;Rheinland-Pfalz;8.3;0
20200306;Schleswig-Holstein;7.59;0
20200313;Baden-Württemberg;7.9;-1
20200313;Hessen;7.94;-2
20200313;Berlin;7.5;-4
20200313;Brandenburg;7.29;-2
20200313;Sachsen;7.5;-2
20200313;Bayern;7.9;-1
20200313;Nordrhein-Westfalen;7.41;-2
20200313;Hamburg;7.2700000000000005;-3
20200313;Mecklenburg-Vorpommern;7.890000000000001;0
20200313;Niedersachsen;7.83;-1
20200313;Deutschland;7.71;-2
20200313;Bremen;7.87;-2
20200313;Thüringen;7.75;-2
20200313;Saarland;7.51;-3
20200313;Sachsen-Anhalt;7.640000000000001;-2
20200313;Rheinland-Pfalz;8.17;-1
20200313;Schleswig-Holstein;7.51;-1
20200320;Baden-Württemberg;6.76;-15
20200320;Hessen;6.8;-16
20200320;Berlin;5.74;-26
20200320;Brandenburg;6.46;-13
20200320;Sachsen;6.55;-14
20200320;Bayern;6.67;-17
20200320;Nordrhein-Westfalen;6.33;-16
20200320;Hamburg;5.64;-25
20200320;Mecklenburg-Vorpommern;7.0;-11
20200320;Niedersachsen;6.63;-16
20200320;Deutschland;6.57;-16
20200320;Bremen;6.41;-20
20200320;Thüringen;7.05;-11
20200320;Saarland;6.7;-13
20200320;Sachsen-Anhalt;6.86;-12
20200320;Rheinland-Pfalz;7.15;-14
20200320;Schleswig-Holstein;6.26;-18
20200327;Baden-Württemberg;5.86;-27
20200327;Hessen;5.98;-26
20200327;Berlin;4.76;-39
20200327;Brandenburg;5.78;-22
20200327;Sachsen;5.68;-26
20200327;Bayern;5.73;-29
20200327;Nordrhein-Westfalen;5.6000000000000005;-26
20200327;Hamburg;4.87;-35
20200327;Mecklenburg-Vorpommern;6.49;-18
20200327;Niedersachsen;5.9;-26
20200327;Deutschland;5.7700000000000005;-26
20200327;Bremen;5.58;-31
20200327;Thüringen;6.29;-20
20200327;Saarland;5.8;-25
20200327;Sachsen-Anhalt;6.23;-20
20200327;Rheinland-Pfalz;6.36;-23
20200327;Schleswig-Holstein;5.68;-25
20200403;Baden-Württemberg;6.15;-23
20200403;Hessen;6.2;-23
20200403;Berlin;4.91;-37
20200403;Brandenburg;5.95;-20
20200403;Sachsen;5.78;-24
20200403;Bayern;5.98;-25
20200403;Nordrhein-Westfalen;5.73;-24
20200403;Hamburg;5.09;-32
20200403;Mecklenburg-Vorpommern;6.62;-16
20200403;Niedersachsen;6.05;-24
20200403;Deutschland;5.96;-24
20200403;Bremen;5.62;-30
20200403;Thüringen;6.53;-17
20200403;Saarland;5.98;-22
20200403;Sachsen-Anhalt;6.4;-17
20200403;Rheinland-Pfalz;6.61;-20
20200403;Schleswig-Holstein;5.88;-23
20200410;Baden-Württemberg;6.49;0
20200410;Hessen;6.47;0
20200410;Berlin;5.32;0
20200410;Brandenburg;6.16;0
20200410;Sachsen;6.21;0
20200410;Bayern;6.36;0
20200410;Nordrhein-Westfalen;6.03;0
20200410;Hamburg;5.44;0
20200410;Mecklenburg-Vorpommern;6.91;0
20200410;Niedersachsen;6.36;0
20200410;Deutschland;5.94;-24
20200410;Bremen;6.13;0
20200410;Thüringen;6.78;0
20200410;Saarland;6.15;0
20200410;Sachsen-Anhalt;6.66;0
20200410;Rheinland-Pfalz;6.87;0
20200410;Schleswig-Holstein;6.2;0
20200417;Baden-Württemberg;6.33;-21
20200417;Hessen;6.3;-22
20200417;Berlin;5.29;-32
20200417;Brandenburg;6.09;-18
20200417;Sachsen;6.11;-20
20200417;Bayern;6.15;-23
20200417;Nordrhein-Westfalen;5.79;-23
20200417;Hamburg;5.38;-29
20200417;Mecklenburg-Vorpommern;6.86;-13
20200417;Niedersachsen;6.33;-20
20200417;Deutschland;5.75;-27
20200417;Bremen;6.01;-25
20200417;Thüringen;6.73;-15
20200417;Saarland;6.03;-22
20200417;Sachsen-Anhalt;6.69;-14
20200417;Rheinland-Pfalz;6.76;-19
20200417;Schleswig-Holstein;6.04;-20
20200424;Baden-Württemberg;6.63;-17
20200424;Hessen;6.62;-18
20200424;Berlin;5.67;-27
20200424;Brandenburg;6.51;-12
20200424;Sachsen;6.59;-14
20200424;Bayern;6.48;-19
20200424;Nordrhein-Westfalen;6.15;-19
20200424;Hamburg;5.67;-25
20200424;Mecklenburg-Vorpommern;7.21;-9
20200424;Niedersachsen;6.6000000000000005;-17
20200424;Deutschland;6.48;-17
20200424;Bremen;6.29;-22
20200424;Thüringen;7.1000000000000005;-10
20200424;Saarland;6.37;-17
20200424;Sachsen-Anhalt;7.0;-10
20200424;Rheinland-Pfalz;7.1000000000000005;-14
20200424;Schleswig-Holstein;6.390000000000001;-16
20200501;Baden-Württemberg;6.79;5
20200501;Hessen;6.75;4
20200501;Berlin;5.78;9
20200501;Brandenburg;6.62;8
20200501;Sachsen;6.65;7
20200501;Bayern;6.62;4
20200501;Nordrhein-Westfalen;6.3;4
20200501;Hamburg;5.7;5
20200501;Mecklenburg-Vorpommern;7.22;5
20200501;Niedersachsen;6.67;5
20200501;Deutschland;6.2700000000000005;-20
