date,Baden-Württemberg,Bavaria,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Lower Saxony,Mecklenburg-Vorpommern,North Rhine-Westphalia,Rhineland-Palatinate,Saarland,Saxony,Saxony-Anhalt,Schleswig-Holstein,Thuringia
2020-02-15,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-2.0,-1.0,-1.0,-1.0,-2.0,-1.0,0.0,-2.0
2020-02-16,-2.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
2020-02-17,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-1.0,2.0,3.0,3.0,0.0,0.0,1.0
2020-02-18,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0
2020-02-19,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0
2020-02-20,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0
2020-02-21,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,1.0
2020-02-22,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,0.0
2020-02-23,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
2020-02-24,4.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,8.0,7.0,10.0,1.0,1.0,1.0,2.0
2020-02-25,5.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,6.0,7.0,1.0,1.0,1.0,2.0
2020-02-26,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0
2020-02-27,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0
2020-02-28,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0
2020-02-29,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0
2020-03-02,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
2020-03-03,1.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
2020-03-04,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0
2020-03-05,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0
2020-03-06,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
2020-03-07,1.0,1.0,2.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
