date,BundeslandID,outOfHomeDuration
20200302,Deutschland,7.88
20200303,Deutschland,7.92
20200304,Deutschland,7.76
20200305,Deutschland,7.81
20200306,Deutschland,7.82
20200307,Deutschland,6.41
20200308,Deutschland,5.4
20200309,Deutschland,7.66
20200310,Deutschland,7.69
20200311,Deutschland,7.82
20200312,Deutschland,7.73
20200313,Deutschland,7.640000000000001
20200314,Deutschland,5.99
20200315,Deutschland,5.05
20200316,Deutschland,7.11
20200317,Deutschland,6.74
20200318,Deutschland,6.54
20200319,Deutschland,6.36
20200320,Deutschland,6.12
20200321,Deutschland,4.5600000000000005
20200322,Deutschland,3.96
20200323,Deutschland,5.8100000000000005
20200324,Deutschland,5.75
20200325,Deutschland,5.74
20200326,Deutschland,5.76
20200327,Deutschland,5.79
20200328,Deutschland,4.32
20200329,Deutschland,3.75
20200330,Deutschland,5.93
20200331,Deutschland,6.0200000000000005
20200401,Deutschland,6.05
20200402,Deutschland,5.98
20200403,Deutschland,5.84
20200404,Deutschland,4.87
20200405,Deutschland,4.3500000000000005
20200406,Deutschland,6.140000000000001
20200407,Deutschland,6.28
20200408,Deutschland,6.43
20200409,Deutschland,6.4
20200410,Deutschland,4.48
20200411,Deutschland,5.13
20200412,Deutschland,4.62
20200413,Deutschland,4.18
20200414,Deutschland,6
20200415,Deutschland,6.08
20200416,Deutschland,6.23
20200417,Deutschland,6.23
20200418,Deutschland,5.19
20200419,Deutschland,4.48
20200420,Deutschland,6.37
20200421,Deutschland,6.390000000000001
20200422,Deutschland,6.51
20200423,Deutschland,6.59
20200424,Deutschland,6.53
20200425,Deutschland,5.3500000000000005
20200426,Deutschland,4.66
20200427,Deutschland,6.58
20200428,Deutschland,6.59
20200429,Deutschland,6.59
20200430,Deutschland,6.8100000000000005
20200501,Deutschland,4.78
20200502,Deutschland,5.5
20200503,Deutschland,4.79
20200504,Deutschland,6.87
20200505,Deutschland,6.94
20200506,Deutschland,6.87
20200507,Deutschland,6.93
20200508,Deutschland,6.91
20200509,Deutschland,5.87
20200510,Deutschland,5.05
20200511,Deutschland,6.63
20200512,Deutschland,6.83
20200513,Deutschland,6.82
20200514,Deutschland,6.93
20200515,Deutschland,7.01
20200516,Deutschland,5.91
20200517,Deutschland,5.14
20200518,Deutschland,7.08
20200519,Deutschland,7.140000000000001
20200520,Deutschland,7.42
20200521,Deutschland,5.84
20200522,Deutschland,6.62
20200523,Deutschland,5.7700000000000005
20200524,Deutschland,5.19
20200525,Deutschland,7.05
20200526,Deutschland,7.25
20200527,Deutschland,7.31
20200528,Deutschland,7.35
20200529,Deutschland,7.53
20200530,Deutschland,6.5
20200531,Deutschland,5.67
20200601,Deutschland,5.91
20200602,Deutschland,7.46
20200603,Deutschland,7.37
20200604,Deutschland,7.21
20200605,Deutschland,7.29
20200606,Deutschland,6.15
20200607,Deutschland,5.14
20200608,Deutschland,7.31
20200609,Deutschland,7.41
20200610,Deutschland,7.66
20200611,Deutschland,6.4
20200612,Deutschland,7.67
20200613,Deutschland,6.69
20200614,Deutschland,5.49
20200615,Deutschland,7.32
20200616,Deutschland,7.53
20200617,Deutschland,7.78
20200618,Deutschland,7.81
20200619,Deutschland,7.84
20200620,Deutschland,6.72
20200621,Deutschland,5.98
20200622,Deutschland,7.74
20200623,Deutschland,7.9
20200624,Deutschland,7.92
20200625,Deutschland,8.17
20200626,Deutschland,8.2
20200627,Deutschland,6.83
20200628,Deutschland,5.75
20200629,Deutschland,7.62
20200630,Deutschland,7.76
20200701,Deutschland,7.75
20200702,Deutschland,7.79
20200703,Deutschland,7.98
20200704,Deutschland,6.8500000000000005
20200705,Deutschland,5.83
20200706,Deutschland,7.61
20200707,Deutschland,7.68
20200708,Deutschland,7.57
20200709,Deutschland,7.67
20200710,Deutschland,7.8
20200711,Deutschland,6.86
20200712,Deutschland,6.07
20200713,Deutschland,7.77
20200714,Deutschland,7.76
20200715,Deutschland,7.66
20200716,Deutschland,7.66
20200717,Deutschland,7.92
20200718,Deutschland,7.07
20200719,Deutschland,6.2
20200720,Deutschland,7.66
20200721,Deutschland,7.73
20200722,Deutschland,7.77
20200723,Deutschland,7.86
20200724,Deutschland,7.9
20200725,Deutschland,6.99
20200726,Deutschland,5.86
20200727,Deutschland,7.640000000000001
20200728,Deutschland,7.65
20200729,Deutschland,7.77
20200730,Deutschland,7.85
20200731,Deutschland,8.03
20200801,Deutschland,7.1000000000000005
20200802,Deutschland,5.98
20200803,Deutschland,7.62
20200804,Deutschland,7.99
20200805,Deutschland,7.83
20200806,Deutschland,7.86
20200807,Deutschland,7.94
20200808,Deutschland,7.07
20200809,Deutschland,6.13
20200810,Deutschland,7.66
20200811,Deutschland,7.66
20200812,Deutschland,7.76
20200813,Deutschland,7.82
20200814,Deutschland,7.930000000000001
20200815,Deutschland,6.86
20200816,Deutschland,6.16
20200817,Deutschland,7.71
20200818,Deutschland,7.82
20200819,Deutschland,7.930000000000001
20200820,Deutschland,7.930000000000001
20200821,Deutschland,8.03
20200822,Deutschland,6.8100000000000005
20200823,Deutschland,5.95
20200824,Deutschland,7.73
20200825,Deutschland,8.03
20200826,Deutschland,7.97
20200827,Deutschland,8.19
20200828,Deutschland,8.09
20200829,Deutschland,6.92
20200830,Deutschland,5.7700000000000005
20200831,Deutschland,7.85
20200901,Deutschland,7.95
20200902,Deutschland,8.01
20200903,Deutschland,8.11
20200904,Deutschland,8.24
20200905,Deutschland,6.93
20200906,Deutschland,5.98
20200907,Deutschland,7.98
20200908,Deutschland,8.09
20200909,Deutschland,8.16
20200910,Deutschland,8.31
20200911,Deutschland,8.4
20200912,Deutschland,7.13
20200913,Deutschland,6.26
20200914,Deutschland,8.19
20200915,Deutschland,8.26
20200916,Deutschland,8.24
20200917,Deutschland,8.34
20200918,Deutschland,8.47
20200919,Deutschland,7.1000000000000005
20200920,Deutschland,6.2
20200921,Deutschland,8.14
20200922,Deutschland,8.14
20200923,Deutschland,8.11
20200924,Deutschland,8.24
20200925,Deutschland,8.21
20200926,Deutschland,6.55
20200927,Deutschland,5.64
20200928,Deutschland,7.97
20200929,Deutschland,7.92
20200930,Deutschland,8.120000000000001
20201001,Deutschland,8.24
20201002,Deutschland,8.43
20201003,Deutschland,6.01
20201004,Deutschland,5.79
20201005,Deutschland,7.92
20201006,Deutschland,7.94
20201007,Deutschland,8.2
20201008,Deutschland,8.17
20201009,Deutschland,8.28
20201010,Deutschland,6.78
20201011,Deutschland,5.95
20201012,Deutschland,7.74
20201013,Deutschland,7.78
20201014,Deutschland,7.68
20201015,Deutschland,7.7
20201016,Deutschland,7.79
20201017,Deutschland,6.54
20201018,Deutschland,5.47
20201019,Deutschland,7.62
20201020,Deutschland,7.68
20201021,Deutschland,7.71
20201022,Deutschland,7.82
20201023,Deutschland,7.74
20201024,Deutschland,6.48
20201025,Deutschland,5.34
20201026,Deutschland,7.45
20201027,Deutschland,7.53
20201028,Deutschland,7.55
20201029,Deutschland,7.61
20201030,Deutschland,7.72
20201031,Deutschland,6.19
20201101,Deutschland,5.09
20201102,Deutschland,7.28
20201103,Deutschland,7.27
20201104,Deutschland,7.26
20201105,Deutschland,7.44
20201106,Deutschland,7.390000000000001
20201107,Deutschland,5.87
20201108,Deutschland,4.76
20201109,Deutschland,7.47
20201110,Deutschland,7.49
20201111,Deutschland,7.42
20201112,Deutschland,7.43
20201113,Deutschland,7.49
20201114,Deutschland,5.89
20201115,Deutschland,4.73
20201116,Deutschland,7.22
20201117,Deutschland,7.18
20201118,Deutschland,7.08
20201119,Deutschland,7.34
20201120,Deutschland,7.41
20201121,Deutschland,5.78
20201122,Deutschland,4.58
20201123,Deutschland,7.11
20201124,Deutschland,7.25
20201125,Deutschland,7.27
20201126,Deutschland,7.36
20201127,Deutschland,7.45
20201128,Deutschland,5.8500000000000005
20201129,Deutschland,4.61
20201130,Deutschland,7.42
20201201,Deutschland,7.390000000000001
20201202,Deutschland,7.42
20201203,Deutschland,7.61
20201204,Deutschland,7.7
20201205,Deutschland,6.04
20201206,Deutschland,4.71
20201207,Deutschland,7.5
20201208,Deutschland,7.47
20201209,Deutschland,7.22
20201210,Deutschland,7.2
20201211,Deutschland,7.43
20201212,Deutschland,5.88
20201213,Deutschland,4.55
20201214,Deutschland,7.31
20201215,Deutschland,7.11
20201216,Deutschland,6.45
20201217,Deutschland,6.46
20201218,Deutschland,6.46
20201219,Deutschland,5.2
20201220,Deutschland,4.22
20201221,Deutschland,6.12
20201222,Deutschland,6.03
20201223,Deutschland,5.84
20201224,Deutschland,5.24
20201225,Deutschland,4.76
20201226,Deutschland,4.69
20201227,Deutschland,4.24
20201228,Deutschland,5.36
20201229,Deutschland,5.4
20201230,Deutschland,5.53
20201231,Deutschland,5.2
20210101,Deutschland,4.28
20210102,Deutschland,4.74
20210103,Deutschland,4.18
20210104,Deutschland,5.8500000000000005
20210105,Deutschland,5.92
20210106,Deutschland,5.46
20210107,Deutschland,6.0200000000000005
20210108,Deutschland,6.05
20210109,Deutschland,4.96
20210110,Deutschland,4.34
20210111,Deutschland,6.3
20210112,Deutschland,6.18
20210113,Deutschland,6.25
20210114,Deutschland,6.34
20210115,Deutschland,6.36
20210116,Deutschland,4.95
20210117,Deutschland,4.15
20210118,Deutschland,6.34
20210119,Deutschland,6.29
20210120,Deutschland,6.4
20210121,Deutschland,6.44
20210122,Deutschland,6.44
20210123,Deutschland,5.01
20210124,Deutschland,4.2
20210125,Deutschland,6.32
20210126,Deutschland,6.390000000000001
20210127,Deutschland,6.33
20210128,Deutschland,6.37
20210129,Deutschland,6.45
20210130,Deutschland,5.08
20210131,Deutschland,4.43
20210201,Deutschland,6.36
20210202,Deutschland,6.38
20210203,Deutschland,6.3
20210204,Deutschland,6.57
20210205,Deutschland,6.5200000000000005
20210206,Deutschland,5.0600000000000005
20210207,Deutschland,3.98
20210208,Deutschland,5.92
20210209,Deutschland,6.11
20210210,Deutschland,6.19
20210211,Deutschland,6.4
20210212,Deutschland,6.44
20210213,Deutschland,5.25
20210214,Deutschland,4.55
20210215,Deutschland,6.25
20210216,Deutschland,6.390000000000001
20210217,Deutschland,6.48
20210218,Deutschland,6.63
20210219,Deutschland,6.68
20210220,Deutschland,5.55
20210221,Deutschland,4.96
20210222,Deutschland,6.69
20210223,Deutschland,6.79
20210224,Deutschland,6.84
20210225,Deutschland,6.95
20210226,Deutschland,6.91
20210227,Deutschland,5.49
20210228,Deutschland,4.78
20210301,Deutschland,6.8500000000000005
20210302,Deutschland,6.91
20210303,Deutschland,6.93
20210304,Deutschland,6.84
20210305,Deutschland,6.92
20210306,Deutschland,5.59
20210307,Deutschland,4.71
20210308,Deutschland,6.79
20210309,Deutschland,6.88
20210310,Deutschland,6.890000000000001
20210311,Deutschland,6.84
20210312,Deutschland,7
20210313,Deutschland,5.45
20210314,Deutschland,4.45
20210315,Deutschland,6.890000000000001
