date,country,EinwohnerInnen,Share,AreaInKm2,EwinohnerInnenJeKm2
2020-01-05,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-01-05,Bayern,13076721,15.8,70542,185
2020-01-05,Baden-Württemberg,11069533,13.3,35748,310
2020-01-05,Niedersachsen,7982448,9.6,47710,167
2020-01-05,Hessen,6265809,7.5,21116,297
2020-01-05,Rheinland-Pfalz,4084844,4.9,19858,206
2020-01-05,Sachsen,4077937,4.9,18450,221
2020-01-05,Berlin,3644826,4.4,891,4090
2020-01-05,Schleswig-Holstein,2896712,3.5,15804,183
2020-01-05,Brandenburg,2511917,3,29654,85
2020-01-05,Sachsen-Anhalt,2208321,2.7,20454,109
2020-01-05,Thüringen,2143145,2.6,16202,132
2020-01-05,Hamburg,1841179,2.2,755,2438
2020-01-05,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-01-05,Saarland,990509,1.2,2571,385
2020-01-05,Bremen,682986,0.8,419,1629
2020-01-05,Deutschland,83019213,100,357582,232
2020-01-12,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-01-12,Bayern,13076721,15.8,70542,185
2020-01-12,Baden-Württemberg,11069533,13.3,35748,310
2020-01-12,Niedersachsen,7982448,9.6,47710,167
2020-01-12,Hessen,6265809,7.5,21116,297
2020-01-12,Rheinland-Pfalz,4084844,4.9,19858,206
2020-01-12,Sachsen,4077937,4.9,18450,221
2020-01-12,Berlin,3644826,4.4,891,4090
2020-01-12,Schleswig-Holstein,2896712,3.5,15804,183
2020-01-12,Brandenburg,2511917,3,29654,85
2020-01-12,Sachsen-Anhalt,2208321,2.7,20454,109
2020-01-12,Thüringen,2143145,2.6,16202,132
2020-01-12,Hamburg,1841179,2.2,755,2438
2020-01-12,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-01-12,Saarland,990509,1.2,2571,385
2020-01-12,Bremen,682986,0.8,419,1629
2020-01-12,Deutschland,83019213,100,357582,232
2020-01-19,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-01-19,Bayern,13076721,15.8,70542,185
2020-01-19,Baden-Württemberg,11069533,13.3,35748,310
2020-01-19,Niedersachsen,7982448,9.6,47710,167
2020-01-19,Hessen,6265809,7.5,21116,297
2020-01-19,Rheinland-Pfalz,4084844,4.9,19858,206
2020-01-19,Sachsen,4077937,4.9,18450,221
2020-01-19,Berlin,3644826,4.4,891,4090
2020-01-19,Schleswig-Holstein,2896712,3.5,15804,183
2020-01-19,Brandenburg,2511917,3,29654,85
2020-01-19,Sachsen-Anhalt,2208321,2.7,20454,109
2020-01-19,Thüringen,2143145,2.6,16202,132
2020-01-19,Hamburg,1841179,2.2,755,2438
2020-01-19,Mecklenburg-Vorpommern,1609675,1.9,23295,69
2020-01-19,Saarland,990509,1.2,2571,385
2020-01-19,Bremen,682986,0.8,419,1629
2020-01-19,Deutschland,83019213,100,357582,232
2020-01-26,Nordrhein-Westfalen,17932651,21.60,34112,526
2020-01-26,Bayern,13076721,15.8,70542,185
2020-01-26,Baden-Württemberg,11069533,13.3,35748,310
2020-01-26,Niedersachsen,7982448,9.6,47710,167
2020-01-26,Hessen,6265809,7.5,21116,297
2020-01-26,Rheinland-Pfalz,4084844,4.9,19858,206
2020-01-26,Sachsen,4077937,4.9,18450,221
2020-01-26,Berlin,3644826,4.4,891,4090
