date;Bundesland;PubHoliday
2020-01-01;Baden-Württemberg;1
2020-01-01;Bayern;1
2020-01-01;Berlin;1
2020-01-01;Brandenburg;1
2020-01-01;Bremen;1
2020-01-01;Hamburg;1
2020-01-01;Hessen;1
2020-01-01;Mecklenburg-Vorpommern;1
2020-01-01;Niedersachsen;1
2020-01-01;Nordrhein-Westfalen;1
2020-01-01;Rheinland-Pfalz;1
2020-01-01;Saarland;1
2020-01-01;Sachsen;1
2020-01-01;Sachsen-Anhalt;1
2020-01-01;Schleswig-Holstein;1
2020-01-01;Thüringen;1
2020-01-02;Baden-Württemberg;0
2020-01-02;Bayern;0
2020-01-02;Berlin;0
2020-01-02;Brandenburg;0
2020-01-02;Bremen;0
2020-01-02;Hamburg;0
2020-01-02;Hessen;0
2020-01-02;Mecklenburg-Vorpommern;0
2020-01-02;Niedersachsen;0
2020-01-02;Nordrhein-Westfalen;0
2020-01-02;Rheinland-Pfalz;0
2020-01-02;Saarland;0
2020-01-02;Sachsen;0
2020-01-02;Sachsen-Anhalt;0
2020-01-02;Schleswig-Holstein;0
2020-01-02;Thüringen;0
2020-01-03;Baden-Württemberg;0
2020-01-03;Bayern;0
2020-01-03;Berlin;0
2020-01-03;Brandenburg;0
2020-01-03;Bremen;0
2020-01-03;Hamburg;0
2020-01-03;Hessen;0
2020-01-03;Mecklenburg-Vorpommern;0
2020-01-03;Niedersachsen;0
2020-01-03;Nordrhein-Westfalen;0
2020-01-03;Rheinland-Pfalz;0
2020-01-03;Saarland;0
2020-01-03;Sachsen;0
2020-01-03;Sachsen-Anhalt;0
2020-01-03;Schleswig-Holstein;0
2020-01-03;Thüringen;0
2020-01-04;Baden-Württemberg;0
2020-01-04;Bayern;0
2020-01-04;Berlin;0
2020-01-04;Brandenburg;0
2020-01-04;Bremen;0
2020-01-04;Hamburg;0
2020-01-04;Hessen;0
2020-01-04;Mecklenburg-Vorpommern;0
2020-01-04;Niedersachsen;0
2020-01-04;Nordrhein-Westfalen;0
2020-01-04;Rheinland-Pfalz;0
2020-01-04;Saarland;0
2020-01-04;Sachsen;0
2020-01-04;Sachsen-Anhalt;0
2020-01-04;Schleswig-Holstein;0
2020-01-04;Thüringen;0
2020-01-05;Baden-Württemberg;0
2020-01-05;Bayern;0
2020-01-05;Berlin;0
2020-01-05;Brandenburg;0
2020-01-05;Bremen;0
2020-01-05;Hamburg;0
2020-01-05;Hessen;0
2020-01-05;Mecklenburg-Vorpommern;0
2020-01-05;Niedersachsen;0
2020-01-05;Nordrhein-Westfalen;0
2020-01-05;Rheinland-Pfalz;0
2020-01-05;Saarland;0
2020-01-05;Sachsen;0
2020-01-05;Sachsen-Anhalt;0
2020-01-05;Schleswig-Holstein;0
2020-01-05;Thüringen;0
2020-01-06;Baden-Württemberg;1
2020-01-06;Bayern;1
2020-01-06;Berlin;0
2020-01-06;Brandenburg;0
2020-01-06;Bremen;0
2020-01-06;Hamburg;0
2020-01-06;Hessen;0
2020-01-06;Mecklenburg-Vorpommern;0
2020-01-06;Niedersachsen;0
2020-01-06;Nordrhein-Westfalen;0
2020-01-06;Rheinland-Pfalz;0
2020-01-06;Saarland;0
2020-01-06;Sachsen;0
2020-01-06;Sachsen-Anhalt;1
2020-01-06;Schleswig-Holstein;0
2020-01-06;Thüringen;0
2020-01-07;Baden-Württemberg;0
2020-01-07;Bayern;0
2020-01-07;Berlin;0
2020-01-07;Brandenburg;0
2020-01-07;Bremen;0
2020-01-07;Hamburg;0
2020-01-07;Hessen;0
2020-01-07;Mecklenburg-Vorpommern;0
2020-01-07;Niedersachsen;0
2020-01-07;Nordrhein-Westfalen;0
2020-01-07;Rheinland-Pfalz;0
2020-01-07;Saarland;0
2020-01-07;Sachsen;0
2020-01-07;Sachsen-Anhalt;0
2020-01-07;Schleswig-Holstein;0
2020-01-07;Thüringen;0
2020-01-08;Baden-Württemberg;0
2020-01-08;Bayern;0
2020-01-08;Berlin;0
2020-01-08;Brandenburg;0
2020-01-08;Bremen;0
2020-01-08;Hamburg;0
2020-01-08;Hessen;0
2020-01-08;Mecklenburg-Vorpommern;0
