LK_Name,Wetter_ID, Neighbor1, Neighbor2, Neighbor3, Neighbor4, Neighbor5, Neighbor6, Neighbor7, Neighbor8
Flensburg,10033
Kiel,10046
Lübeck,10156
Neumünster,10143
Dithmarschen,10130
Herzogtum Lauenburg,10249
Nordfriesland,D7298
Ostholstein,10063
Pinneberg,10146
Plön,10150
Rendsburg-Eckernförde,10038
Schleswig-Flensburg,10035
Segeberg,D5280
Steinburg,10142
Stormarn,NA,Segeberg,Lübeck,Herzogtum Lauenburg,Ostholstein,Hamburg
Hamburg,10147
Braunschweig,10348
Salzgitter,10348
Wolfsburg,D5676
Gifhorn,D5676
Goslar,D2039
Helmstedt,D3777
Eisenach, 10540
Northeim,NA, Holzminden,Hildesheim,Goslar,Göttingen
Peine,NA, Hannover,Gifhorn,Braunschweig,Salzgitter,Hildesheim
Wolfenbüttel,NA, Helmstedt,Harz,Goslar,Salzgitter,Braunschweig
Göttingen,10444
Hannover,10338
Diepholz,10321
Hameln-Pyrmont,D3675
Hildesheim,10442
Holzminden,D2323
Nienburg/Weser,D3612
Schaumburg,10335
Celle,10343
Cuxhaven,10131
Harburg,D1981
Lüchow-Dannenberg,10253
Lüneburg,D6093
Osterholz,EDXU0
Rotenburg (Wümme),EDXQ0
Heidekreis,10235
Stade,D4857
Uelzen,D5146
Verden,NA,Osterholz, Rotenburg (Wümme), Heidekreise, Nienburg/Weser, Diepholz, Bremen
Delmenhorst,10224
Emden,10203
Oldenburg,10215
Osnabrück,10317
Wilhelmshaven,10125
Ammerland,NA,Friesland,Oldenburg,Landkreis Oldenburg,Cloppenburg,Leer
Aurich,10126
Cloppenburg,10218
Emsland,10306
Friesland,10122
Grafschaft Bentheim,NA,Emsland,Steinfurt,Borken
Leer,EDWR0
Landkreis Oldenburg,10215
Landkreis Osnabrück,10317
Vechta,NA, Landkreis Oldenburg, Diepholz, Osnabrück, Cloppenburg
Wesermarsch,NA,Bremerhaven,Cuxhaven,Osterholz,Bremen,Delmenhorst,Oldenburg,Landkreis Oldenburg,Friesland
Wittmund,10126
Bremen,10224
Bremerhaven,10129
Düsseldorf,10400
Duisburg,D3670	
Essen,10410
Krefeld,D5064
Mönchengladbach,10403
Mülheim an der Ruhr,10410
Oberhausen,NA,Essen,Mülheim an der Ruhr,Duisburg
Remscheid,D5717
Solingen,NA,Wuppertal,Remscheid,Mettmann,
Wuppertal,D5717
Kleve,D2629
Mettmann,D5717
Rhein-Neuss,10400
Viersen,D5064
Wesel,NA,Borken,Recklinghausen,Duisburg,Krefeld,Viersen,Kleve
Bonn,10517
Köln,D2968
Leverkusen,D2968
Städteregion Aachen,10501
Düren,D3591
Rhein-Erft-Kreis,NA,Rhein-Neuss, Köln, Rhein-Sieg-Kreis, Euskirchen, Düren
Euskirchen,D1327
Heinsberg,D2110
Oberbergischer Kreis,D4127
Rheinisch-Bergischer Kreis,NA,Köln,Leverkusen,Remscheid,Oberbergischer Kreis, Rhein-Sieg-Kreis
Rhein-Sieg-Kreis,D3540
Bottrop,NA,Recklinghausen,Essen
Gelsenkirchen,NA,Essen,Recklinghausen
Münster,10315
Borken,D0617
Coesfeld,D6337
Recklinghausen,D3696
Steinfurt,10306
Warendorf,D1246
Bielefeld,D7106
Gütersloh,10320
Herford,10325
Höxter,10432
Lippe,10325
Mindchen-Lübbecke,D3081
Paderborn,10430
Bochum,NA,Recklinghausen,Dortmund,Ennepe-Ruhr-Kreis,Essen
Dortmund,10416
Hagen,7R4VU
Hamm,NA,Unna,Soest,Warendorf,Coesfeld
Herne,NA,Recklinghausen
Ennepe-Ruhr-Kreis,7R4VU
Hochsauerlandkreis,D7330
Märkischer Kreis,10418
Olpe,D2947
Siegen-Wittgenstein,10521
Soest,D3031
Unna,10416
Darmstadt,D0917
Frankfurt am Main,D1424
Offenbach am Main,10641
Wiesbaden,10633
Bergstraße,NA,Groß-Gerau,Darmstadt-Dieburg,Odenwaldkreis,Rhein-Neckar-Kreis,Mannheim
Darmstadt-Dieburg,D0917
Groß-Gerau,D4090
Hochtaunuskreis,NA,Limburg-Weilburg,Lahn-Dill-Kreis,Frankfurt am Main,Rheingau-Taunus-Kreis
Main-Kinzig-Kreis,D1863
Main-Taunus-Kreis, NA, Frankfurt am Main, Groß-Gerau,Wiesbaden,Rheingau-Taunus-Kreis
Schwalm-Eder-Kreis, 10439
Odenwaldkreis,D3284
Offenbach,10641
Rheingau-Taunus-Kreis,D5300
Wetteraukreis,NA,Gießen,Vogelsbergkreis,Main-Kinzig-Kreis,Frankfurt am Main,Lahn-Dill-Kreis
Gießen,10532
Lahn-Dill-Kreis,D0979
Limburg-Weilburg,D6344
Marburg-Biedenkopf,D3164
Vogelsbergkreis,D0091
Kassel,10438
Fulda,D1526
Hersfeld-Rotenburg,10542
Landkreis Kassel,10438
Schwam-Eder-Kreis,10439
Waldeck-Frankenberg,D5133
Werra-Meißner-Kreis,D1297
Koblenz,10516
Ahrweiler,D3490
Altenkirchen,D2211
Bad Kreuznach,10627
Birkenfeld,D3925
Cochem-Zell,10613
Mayen-Koblenz,10516
Neuwied,D0161
Rhein-Hunsrück-Kreis,D4709
Rhein-Lahn-Kreis,NA, Westerwaldkreis, Limburg-Weilburg, Rheingau-Taunus-Kreis, Mainz-Bingen, Rhein-Hunsrück-Kreis, Mayen-Koblenz, Koblenz
Westerwaldkreis,D3340
Trier,10609
Bernkastel-Wittlich,D3155
Eifelkreis Bitburg-Prüm, D1964
Vulkaneifel,NA,Euskirchen,Ahrweiler,Mayen-Koblenz,Cochem-Zell,Bernkastel-Wittlich,Eifelkreis Bitburg-Prüm
Trier-Saarburg,10609
Frankenthal (Pfalz),EDFV0
Kaiserslautern,ETED0
Landau in der Pfalz,D0377
Ludwigshafen am Rhein,NA,Bad Dürkheim, Rhein-Neckar-Kreis
Mainz,D3137
Neustadt an der Weinstraße,10724
Pirmasens,EDIV0
Speyer,D5275
Worms,EDFV0
Ortenaukreis,10805
Zweibrücken,10714
Alzey-Worms,EDFV0
Bad Dürkheim,EDRF0
Donnersbergkreis,D4323
Germersheim,NA,Landkreis Karlsruhe,Karlsruhe,Speyer,Landau in der Pfalz, Südliche Weinstraße
Landkreis Kaiserslautern,ETED0
Kusel,NA,Birkenfeld,Bad Kreuznach, Donnersbergkreis,Kaiserslautern,Neunkirchen
Südliche Weinstraße,D0377
