,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.88,0.73,2.43,5.27,0.03,0.02,580.68,364.03,1.0
delta_h,2.81,0.61,1.67,3.86,0.02,0.02,723.07,597.29,1.0
z_C,0.32,0.03,0.28,0.38,0.0,0.0,609.4,517.22,1.0
mu_C,1.69,0.49,0.9,2.69,0.02,0.01,750.81,583.8,1.0
sigma_C,1.25,0.55,0.37,2.25,0.02,0.01,700.3,470.82,1.0
z_S,0.15,0.04,0.07,0.23,0.0,0.0,813.23,394.18,1.0
f0,0.0,0.01,0.0,0.01,0.0,0.0,412.16,365.6,1.0
r,0.01,0.0,0.0,0.01,0.0,0.0,1007.61,754.91,1.0
sigma_model,0.31,0.05,0.22,0.4,0.0,0.0,715.25,633.12,1.0
o_*[0],6.57,0.12,6.34,6.81,0.0,0.0,625.79,491.27,1.0
o_*[1],6.14,0.12,5.91,6.38,0.0,0.0,625.79,491.27,1.0
o_*[2],6.18,0.12,5.95,6.42,0.0,0.0,625.79,491.27,1.0
o_*[3],6.81,0.12,6.58,7.05,0.0,0.0,625.79,491.27,1.0
o_*[4],6.9,0.12,6.69,7.14,0.0,0.0,606.87,474.06,1.0
o_*[5],7.2,0.12,6.99,7.44,0.0,0.0,606.87,474.06,1.0
o_*[6],7.12,0.12,6.91,7.36,0.0,0.0,606.87,474.06,1.0
o_*[7],6.71,0.12,6.5,6.95,0.0,0.0,606.87,474.06,1.0
o_*[8],7.22,0.12,7.01,7.46,0.0,0.0,606.87,474.06,1.0
o_*[9],7.17,0.09,6.99,7.35,0.0,0.0,580.26,406.54,1.0
o_*[10],7.33,0.09,7.15,7.51,0.0,0.0,580.26,406.54,1.0
o_*[11],7.6,0.09,7.42,7.78,0.0,0.0,580.26,406.54,1.0
o_*[12],7.53,0.09,7.35,7.71,0.0,0.0,580.26,406.54,1.0
o_*[13],7.72,0.08,7.55,7.87,0.0,0.0,564.25,410.14,1.0
o_*[14],7.7,0.08,7.53,7.85,0.0,0.0,564.25,410.14,1.0
