,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.87,0.76,2.58,5.39,0.07,0.05,132.63,119.24,1.18
delta_h,3.9,0.95,2.3,5.53,0.19,0.14,26.99,179.65,1.11
z_R,0.4,0.06,0.31,0.51,0.02,0.01,22.15,85.77,1.15
mu_R,1.96,0.48,0.92,2.76,0.03,0.02,200.09,245.42,1.28
sigma_R,1.26,0.47,0.49,2.15,0.03,0.02,269.18,431.01,1.25
z_S,0.21,0.06,0.1,0.31,0.0,0.0,217.14,130.89,1.25
f0,0.04,0.04,0.0,0.12,0.01,0.01,10.3,556.08,1.34
r,0.01,0.0,0.0,0.01,0.0,0.0,206.52,305.99,1.04
sigma_model,0.4,0.06,0.32,0.5,0.01,0.01,27.12,319.46,1.1
o_*[0],6.47,0.14,6.19,6.74,0.01,0.01,181.7,98.02,1.03
o_*[1],6.04,0.14,5.76,6.31,0.01,0.01,181.7,98.02,1.03
o_*[2],6.08,0.14,5.8,6.35,0.01,0.01,181.7,98.02,1.03
o_*[3],6.71,0.14,6.43,6.98,0.01,0.01,181.7,98.02,1.03
o_*[4],6.82,0.13,6.54,7.05,0.01,0.01,191.45,90.59,1.05
o_*[5],7.12,0.13,6.84,7.35,0.01,0.01,191.45,90.59,1.05
o_*[6],7.04,0.13,6.76,7.27,0.01,0.01,191.45,90.59,1.05
o_*[7],6.63,0.13,6.35,6.86,0.01,0.01,191.45,90.59,1.05
o_*[8],7.14,0.13,6.86,7.37,0.01,0.01,191.45,90.59,1.05
o_*[9],7.17,0.1,6.97,7.33,0.01,0.01,136.51,119.24,1.18
o_*[10],7.33,0.1,7.13,7.49,0.01,0.01,136.51,119.24,1.18
o_*[11],7.6,0.1,7.4,7.76,0.01,0.01,136.51,119.24,1.18
o_*[12],7.53,0.1,7.33,7.69,0.01,0.01,136.51,119.24,1.18
o_*[13],7.77,0.09,7.62,7.93,0.02,0.01,42.67,246.58,1.08
o_*[14],7.75,0.09,7.6,7.91,0.02,0.01,42.67,246.58,1.08
o_*[15],7.7,0.09,7.55,7.86,0.02,0.01,42.67,246.58,1.08
o_*[16],7.6,0.09,7.45,7.76,0.02,0.01,42.67,246.58,1.08
o_*[17],7.64,0.06,7.53,7.74,0.01,0.01,76.36,217.32,1.09
o_*[18],7.7,0.06,7.59,7.8,0.01,0.01,76.36,217.32,1.09
o_*[19],7.42,0.06,7.31,7.52,0.01,0.01,76.36,217.32,1.09
o_*[20],7.81,0.06,7.7,7.91,0.01,0.01,76.36,217.32,1.09
o_*[21],7.98,0.06,7.87,8.08,0.01,0.01,76.36,217.32,1.09
o_*[22],7.91,0.08,7.79,8.06,0.02,0.01,30.55,101.76,1.1
o_*[23],8.02,0.08,7.9,8.17,0.02,0.01,30.55,101.76,1.1
o_*[24],8.04,0.08,7.92,8.19,0.02,0.01,30.55,101.76,1.1
o_*[25],8.15,0.08,8.03,8.3,0.02,0.01,30.55,101.76,1.1
o_*[26],7.95,0.08,7.82,8.11,0.02,0.01,27.87,86.34,1.11
o_*[27],7.89,0.08,7.76,8.05,0.02,0.01,27.87,86.34,1.11
o_*[28],7.66,0.08,7.53,7.82,0.02,0.01,27.87,86.34,1.11
o_*[29],7.81,0.08,7.68,7.97,0.02,0.01,27.87,86.34,1.11
o_*[30],7.27,0.06,7.17,7.38,0.01,0.01,44.34,249.83,1.07
o_*[31],7.4,0.06,7.3,7.51,0.01,0.01,44.34,249.83,1.07
o_*[32],7.49,0.06,7.39,7.6,0.01,0.01,44.34,249.83,1.07
o_*[33],7.39,0.06,7.29,7.5,0.01,0.01,44.34,249.83,1.07
o_*[34],7.34,0.06,7.24,7.45,0.01,0.01,44.34,249.83,1.07
o_*[35],7.2,0.06,7.09,7.3,0.01,0.0,93.15,196.17,1.12
o_*[36],7.13,0.06,7.02,7.23,0.01,0.0,93.15,196.17,1.12
risk_R[0],0.61,0.07,0.48,0.76,0.0,0.0,278.64,542.64,1.25
risk_R[1],0.47,0.05,0.38,0.56,0.0,0.0,282.15,591.44,1.11
risk_R[2],0.39,0.03,0.34,0.45,0.0,0.0,252.32,413.18,1.07
risk_R[3],0.35,0.02,0.31,0.39,0.0,0.0,239.58,426.54,1.05
risk_R[4],0.33,0.02,0.3,0.36,0.0,0.0,247.1,458.9,1.16
risk_R[5],0.32,0.01,0.31,0.34,0.0,0.0,269.04,432.11,1.24
risk_R[6],0.33,0.01,0.31,0.35,0.0,0.0,240.08,416.71,1.16
risk_R[7],0.34,0.01,0.33,0.36,0.0,0.0,218.28,394.75,1.15
risk_R[8],0.34,0.0,0.34,0.35,0.0,0.0,284.85,482.2,1.22
risk_R[9],0.35,0.0,0.34,0.35,0.0,0.0,209.65,365.5,1.25
risk_R[10],0.36,0.01,0.35,0.37,0.0,0.0,273.76,538.55,1.24
risk_R[11],0.41,0.02,0.37,0.44,0.0,0.0,287.09,502.24,1.15
risk_R[12],0.49,0.03,0.43,0.56,0.0,0.0,282.0,485.98,1.11
risk_R[13],0.45,0.04,0.4,0.53,0.0,0.0,220.16,257.41,1.23
risk_R[14],0.4,0.02,0.36,0.44,0.0,0.0,263.09,576.81,1.24
risk_R[15],0.4,0.01,0.38,0.42,0.0,0.0,197.03,275.07,1.13
risk_R[16],0.46,0.02,0.42,0.5,0.0,0.0,283.34,502.24,1.23
risk_R[17],0.5,0.01,0.47,0.53,0.0,0.0,285.22,591.93,1.08
risk_R[18],0.5,0.01,0.48,0.52,0.0,0.0,224.87,416.96,1.15
risk_R[19],0.51,0.01,0.49,0.51,0.0,0.0,211.14,411.23,1.03
risk_R[20],0.51,0.0,0.5,0.52,0.0,0.0,213.16,397.88,1.05
risk_R[21],0.48,0.02,0.46,0.51,0.0,0.0,279.56,436.38,1.23
risk_R[22],0.44,0.01,0.41,0.46,0.0,0.0,292.3,606.32,1.12
risk_R[23],0.44,0.01,0.42,0.45,0.0,0.0,241.79,476.12,1.13
risk_R[24],0.46,0.01,0.44,0.48,0.0,0.0,258.58,489.7,1.23
risk_R[25],0.47,0.01,0.46,0.48,0.0,0.0,270.25,576.86,1.06
risk_R[26],0.47,0.0,0.47,0.48,0.0,0.0,290.41,480.74,1.16
risk_R[27],0.51,0.01,0.48,0.53,0.0,0.0,295.01,471.19,1.14
risk_R[28],0.57,0.02,0.53,0.61,0.0,0.0,293.1,563.13,1.1
risk_R[29],0.61,0.02,0.58,0.65,0.0,0.0,262.53,501.51,1.05
risk_R[30],0.64,0.01,0.61,0.65,0.0,0.0,253.29,412.06,1.09
risk_R[31],0.59,0.02,0.55,0.64,0.0,0.0,254.01,310.39,1.23
risk_R[32],0.51,0.03,0.46,0.56,0.0,0.0,277.62,583.74,1.25
risk_R[33],0.46,0.02,0.43,0.49,0.0,0.0,278.83,591.88,1.06
risk_R[34],0.44,0.01,0.42,0.46,0.0,0.0,251.36,415.69,1.11
risk_R[35],0.42,0.01,0.41,0.44,0.0,0.0,213.01,451.91,1.03
risk_R[36],0.45,0.01,0.42,0.47,0.0,0.0,234.73,395.5,1.24
d_R[0],0.78,0.03,0.73,0.84,0.01,0.0,25.89,82.69,1.11
d_R[1],0.83,0.03,0.78,0.87,0.01,0.0,39.53,164.86,1.08
