,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,4.22,0.74,2.77,5.51,0.04,0.03,290.9,369.77,1.01
delta_h,3.36,0.72,2.07,4.71,0.03,0.02,443.4,519.94,1.0
z_C,0.34,0.04,0.28,0.42,0.01,0.0,65.94,22.38,1.04
mu_C,0.94,0.46,0.23,1.8,0.02,0.01,649.1,468.95,1.01
sigma_C,1.06,0.39,0.43,1.85,0.03,0.03,215.96,100.47,1.01
z_S,0.19,0.05,0.1,0.3,0.0,0.0,331.43,294.29,1.01
f0,0.01,0.01,0.0,0.04,0.0,0.0,65.87,18.44,1.04
r,0.01,0.0,0.0,0.01,0.0,0.0,428.38,513.72,1.01
sigma_model,0.37,0.06,0.28,0.51,0.01,0.0,131.22,29.52,1.03
o_*[0],6.46,0.13,6.21,6.71,0.01,0.01,265.28,138.48,1.01
o_*[1],6.03,0.13,5.78,6.28,0.01,0.01,265.28,138.48,1.01
o_*[2],6.07,0.13,5.82,6.32,0.01,0.01,265.28,138.48,1.01
o_*[3],6.7,0.13,6.45,6.95,0.01,0.01,265.28,138.48,1.01
o_*[4],6.8,0.13,6.57,7.04,0.01,0.01,245.02,139.28,1.01
o_*[5],7.1,0.13,6.87,7.34,0.01,0.01,245.02,139.28,1.01
o_*[6],7.02,0.13,6.79,7.26,0.01,0.01,245.02,139.28,1.01
o_*[7],6.61,0.13,6.38,6.85,0.01,0.01,245.02,139.28,1.01
o_*[8],7.12,0.13,6.89,7.36,0.01,0.01,245.02,139.28,1.01
o_*[9],7.12,0.09,6.96,7.31,0.01,0.0,293.36,369.77,1.01
o_*[10],7.28,0.09,7.12,7.47,0.01,0.0,293.36,369.77,1.01
o_*[11],7.55,0.09,7.39,7.74,0.01,0.0,293.36,369.77,1.01
o_*[12],7.48,0.09,7.32,7.67,0.01,0.0,293.36,369.77,1.01
o_*[13],7.71,0.08,7.56,7.86,0.0,0.0,345.9,487.31,1.0
o_*[14],7.69,0.08,7.54,7.84,0.0,0.0,345.9,487.31,1.0
o_*[15],7.64,0.08,7.49,7.79,0.0,0.0,345.9,487.31,1.0
o_*[16],7.54,0.08,7.39,7.69,0.0,0.0,345.9,487.31,1.0
o_*[17],7.61,0.06,7.5,7.71,0.0,0.0,308.99,408.23,1.01
o_*[18],7.67,0.06,7.56,7.77,0.0,0.0,308.99,408.23,1.01
o_*[19],7.39,0.06,7.28,7.49,0.0,0.0,308.99,408.23,1.01
o_*[20],7.78,0.06,7.67,7.88,0.0,0.0,308.99,408.23,1.01
o_*[21],7.95,0.06,7.84,8.05,0.0,0.0,308.99,408.23,1.01
o_*[22],7.85,0.06,7.74,7.98,0.0,0.0,398.91,458.22,1.0
o_*[23],7.96,0.06,7.85,8.09,0.0,0.0,398.91,458.22,1.0
o_*[24],7.98,0.06,7.87,8.11,0.0,0.0,398.91,458.22,1.0
o_*[25],8.09,0.06,7.98,8.22,0.0,0.0,398.91,458.22,1.0
o_*[26],7.89,0.07,7.76,8.01,0.0,0.0,421.1,410.6,1.0
o_*[27],7.83,0.07,7.7,7.95,0.0,0.0,421.1,410.6,1.0
o_*[28],7.6,0.07,7.47,7.72,0.0,0.0,421.1,410.6,1.0
o_*[29],7.75,0.07,7.62,7.87,0.0,0.0,421.1,410.6,1.0
o_*[30],7.23,0.06,7.13,7.34,0.0,0.0,343.78,493.06,1.0
o_*[31],7.36,0.06,7.26,7.47,0.0,0.0,343.78,493.06,1.0
o_*[32],7.45,0.06,7.35,7.56,0.0,0.0,343.78,493.06,1.0
o_*[33],7.35,0.06,7.25,7.46,0.0,0.0,343.78,493.06,1.0
o_*[34],7.3,0.06,7.2,7.41,0.0,0.0,343.78,493.06,1.0
o_*[35],7.17,0.06,7.07,7.28,0.0,0.0,300.13,419.49,1.01
o_*[36],7.1,0.06,7.0,7.21,0.0,0.0,300.13,419.49,1.01
risk_C[0],0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,
risk_C[1],0.51,0.0,0.51,0.51,0.0,0.0,378.46,475.91,1.0
risk_C[2],0.52,0.0,0.52,0.52,0.0,0.0,612.06,670.38,1.01
risk_C[3],0.48,0.01,0.47,0.49,0.0,0.0,502.5,641.79,1.01
risk_C[4],0.44,0.01,0.42,0.45,0.0,0.0,404.08,634.88,1.0
risk_C[5],0.41,0.01,0.39,0.42,0.0,0.0,340.98,615.91,1.01
risk_C[6],0.38,0.01,0.37,0.4,0.0,0.0,332.14,614.59,1.01
risk_C[7],0.37,0.01,0.36,0.38,0.0,0.0,336.95,602.98,1.01
risk_C[8],0.36,0.01,0.35,0.37,0.0,0.0,333.38,326.44,1.01
risk_C[9],0.35,0.01,0.34,0.36,0.0,0.0,327.1,324.65,1.01
risk_C[10],0.35,0.0,0.34,0.36,0.0,0.0,330.91,324.65,1.01
risk_C[11],0.34,0.0,0.34,0.35,0.0,0.0,326.25,324.65,1.01
risk_C[12],0.34,0.0,0.34,0.35,0.0,0.0,370.08,317.28,1.01
risk_C[13],0.34,0.0,0.34,0.35,0.0,0.0,298.69,320.15,1.01
risk_C[14],0.34,0.0,0.34,0.35,0.0,0.0,305.8,320.15,1.01
risk_C[15],0.34,0.0,0.34,0.34,0.0,0.0,304.25,320.15,1.01
risk_C[16],0.34,0.0,0.34,0.34,0.0,0.0,322.5,320.15,1.01
risk_C[17],0.34,0.0,0.34,0.34,0.0,0.0,311.0,328.27,1.01
risk_C[18],0.34,0.0,0.34,0.35,0.0,0.0,607.74,563.52,1.0
risk_C[19],0.35,0.0,0.35,0.35,0.0,0.0,400.79,502.94,1.0
risk_C[20],0.35,0.0,0.35,0.36,0.0,0.0,280.17,147.46,1.01
risk_C[21],0.36,0.0,0.36,0.37,0.0,0.0,305.28,291.58,1.01
risk_C[22],0.37,0.0,0.36,0.37,0.0,0.0,324.56,303.71,1.01
risk_C[23],0.37,0.0,0.37,0.37,0.0,0.0,360.59,324.65,1.01
risk_C[24],0.37,0.0,0.37,0.37,0.0,0.0,411.29,324.65,1.01
risk_C[25],0.38,0.0,0.37,0.38,0.0,0.0,306.85,324.65,1.01
risk_C[26],0.38,0.0,0.38,0.39,0.0,0.0,315.51,324.81,1.01
risk_C[27],0.39,0.0,0.39,0.4,0.0,0.0,321.5,333.94,1.01
risk_C[28],0.41,0.01,0.4,0.42,0.0,0.0,322.47,324.85,1.01
risk_C[29],0.45,0.01,0.43,0.47,0.0,0.0,338.5,616.03,1.01
risk_C[30],0.53,0.02,0.49,0.57,0.0,0.0,333.9,640.3,1.01
risk_C[31],0.66,0.04,0.58,0.72,0.0,0.0,333.26,640.71,1.01
risk_C[32],0.78,0.05,0.68,0.85,0.0,0.0,323.75,324.4,1.01
risk_C[33],0.84,0.04,0.76,0.89,0.0,0.0,329.33,333.94,1.01
risk_C[34],0.87,0.03,0.8,0.9,0.0,0.0,334.3,324.65,1.01
risk_C[35],0.88,0.02,0.83,0.9,0.0,0.0,357.62,324.32,1.01
risk_C[36],0.88,0.02,0.84,0.9,0.0,0.0,401.22,320.15,1.01
d_C[0],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
d_C[1],0.84,0.02,0.8,0.87,0.0,0.0,65.94,22.38,1.04
d_C[2],0.84,0.02,0.8,0.87,0.0,0.0,65.98,22.38,1.04
d_C[3],0.85,0.02,0.81,0.88,0.0,0.0,66.61,22.42,1.04
d_C[4],0.86,0.01,0.83,0.89,0.0,0.0,68.56,25.27,1.04
