,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,4.84,2.17,2.78,8.47,1.03,0.8,7.21,21.91,1.57
delta_h,5.04,3.71,2.12,11.39,1.8,1.38,7.41,16.56,1.54
z_C,0.57,0.39,0.3,1.24,0.19,0.15,6.98,11.38,1.61
mu_C,2.07,2.01,0.17,5.36,0.94,0.74,7.58,33.03,1.54
sigma_C,1.0,0.47,0.44,1.77,0.16,0.12,7.32,12.01,1.56
z_S,0.27,0.21,0.1,0.63,0.1,0.08,7.31,38.83,1.55
f0,0.05,0.08,0.0,0.18,0.04,0.03,7.3,19.13,1.59
r,0.6,1.04,0.0,2.4,0.51,0.39,7.12,11.63,1.59
sigma_model,0.36,0.11,0.24,0.53,0.05,0.04,7.38,35.46,1.54
o_*[0],6.21,0.69,5.03,6.76,0.33,0.25,7.47,34.9,1.54
o_*[1],5.78,0.69,4.6,6.33,0.33,0.25,7.47,34.9,1.54
o_*[2],5.82,0.69,4.64,6.37,0.33,0.25,7.47,34.9,1.54
o_*[3],6.45,0.69,5.27,7.0,0.33,0.25,7.47,34.9,1.54
o_*[4],6.58,0.61,5.54,7.08,0.3,0.23,7.41,36.23,1.55
o_*[5],6.88,0.61,5.84,7.38,0.3,0.23,7.41,36.23,1.55
o_*[6],6.8,0.61,5.76,7.3,0.3,0.23,7.41,36.23,1.55
o_*[7],6.39,0.61,5.35,6.89,0.3,0.23,7.41,36.23,1.55
o_*[8],6.9,0.61,5.86,7.4,0.3,0.23,7.41,36.23,1.55
o_*[9],7.04,0.29,6.56,7.31,0.14,0.1,7.21,19.97,1.57
o_*[10],7.2,0.29,6.72,7.47,0.14,0.1,7.21,19.97,1.57
o_*[11],7.47,0.29,6.99,7.74,0.14,0.1,7.21,19.97,1.57
o_*[12],7.4,0.29,6.92,7.67,0.14,0.1,7.21,19.97,1.57
o_*[13],7.73,0.07,7.62,7.86,0.02,0.01,20.62,416.16,1.14
o_*[14],7.71,0.07,7.6,7.84,0.02,0.01,20.62,416.16,1.14
o_*[15],7.66,0.07,7.55,7.79,0.02,0.01,20.62,416.16,1.14
o_*[16],7.56,0.07,7.45,7.69,0.02,0.01,20.62,416.16,1.14
o_*[17],7.59,0.11,7.41,7.71,0.05,0.04,7.24,37.53,1.56
o_*[18],7.65,0.11,7.47,7.77,0.05,0.04,7.24,37.53,1.56
o_*[19],7.37,0.11,7.19,7.49,0.05,0.04,7.24,37.53,1.56
o_*[20],7.76,0.11,7.58,7.88,0.05,0.04,7.24,37.53,1.56
o_*[21],7.93,0.11,7.75,8.05,0.05,0.04,7.24,37.53,1.56
