,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_K,4.76,0.82,3.2,6.27,0.03,0.02,711.51,435.29,1.0
z_H,0.26,0.03,0.2,0.31,0.0,0.0,759.09,663.07,1.01
mu_H,1.01,0.15,0.75,1.28,0.01,0.0,664.37,499.98,1.0
sigma_H,1.1,0.41,0.5,1.87,0.02,0.02,634.49,411.37,1.01
z_S,0.2,0.04,0.14,0.26,0.0,0.0,511.38,632.07,1.0
f0,0.0,0.01,0.0,0.02,0.0,0.0,312.44,265.88,1.0
r,0.01,0.0,0.0,0.01,0.0,0.0,835.17,624.99,1.01
sigma_model,0.4,0.06,0.29,0.51,0.0,0.0,542.46,481.0,1.0
o_*[0],6.68,0.14,6.43,6.94,0.01,0.0,711.51,435.29,1.0
o_*[1],6.25,0.14,6.0,6.51,0.01,0.0,711.51,435.29,1.0
o_*[2],6.29,0.14,6.04,6.55,0.01,0.0,711.51,435.29,1.0
o_*[3],6.92,0.14,6.67,7.18,0.01,0.0,711.51,435.29,1.0
o_*[4],6.96,0.13,6.71,7.21,0.0,0.0,711.51,435.29,1.0
o_*[5],7.26,0.13,7.01,7.51,0.0,0.0,711.51,435.29,1.0
o_*[6],7.18,0.13,6.93,7.43,0.0,0.0,711.51,435.29,1.0
o_*[7],6.77,0.13,6.52,7.02,0.0,0.0,711.51,435.29,1.0
o_*[8],7.28,0.13,7.03,7.53,0.0,0.0,711.51,435.29,1.0
o_*[9],7.07,0.1,6.87,7.26,0.0,0.0,711.51,435.29,1.0
o_*[10],7.23,0.1,7.03,7.42,0.0,0.0,711.51,435.29,1.0
o_*[11],7.5,0.1,7.3,7.69,0.0,0.0,711.51,435.29,1.0
o_*[12],7.43,0.1,7.23,7.62,0.0,0.0,711.51,435.29,1.0
o_*[13],7.5,0.08,7.36,7.65,0.0,0.0,711.51,435.29,1.0
o_*[14],7.48,0.08,7.34,7.63,0.0,0.0,711.51,435.29,1.0
o_*[15],7.43,0.08,7.29,7.58,0.0,0.0,711.51,435.29,1.0
o_*[16],7.33,0.08,7.19,7.48,0.0,0.0,711.51,435.29,1.0
o_*[17],7.52,0.06,7.41,7.63,0.0,0.0,711.51,435.29,1.0
o_*[18],7.58,0.06,7.47,7.69,0.0,0.0,711.51,435.29,1.0
o_*[19],7.3,0.06,7.19,7.41,0.0,0.0,711.51,435.29,1.0
o_*[20],7.69,0.06,7.58,7.8,0.0,0.0,711.51,435.29,1.0
o_*[21],7.86,0.06,7.75,7.97,0.0,0.0,711.51,435.29,1.0
o_*[22],7.63,0.05,7.54,7.73,0.0,0.0,711.51,435.29,1.0
o_*[23],7.74,0.05,7.65,7.84,0.0,0.0,711.51,435.29,1.0
o_*[24],7.76,0.05,7.67,7.86,0.0,0.0,711.51,435.29,1.0
o_*[25],7.87,0.05,7.78,7.97,0.0,0.0,711.51,435.29,1.0
o_*[26],7.63,0.05,7.55,7.72,0.0,0.0,711.51,435.29,1.0
o_*[27],7.57,0.05,7.49,7.66,0.0,0.0,711.51,435.29,1.0
o_*[28],7.34,0.05,7.26,7.43,0.0,0.0,711.51,435.29,1.0
o_*[29],7.49,0.05,7.41,7.58,0.0,0.0,711.51,435.29,1.0
o_*[30],7.1,0.05,7.0,7.2,0.0,0.0,711.51,435.29,1.0
o_*[31],7.23,0.05,7.13,7.33,0.0,0.0,711.51,435.29,1.0
o_*[32],7.32,0.05,7.22,7.42,0.0,0.0,711.51,435.29,1.0
o_*[33],7.22,0.05,7.12,7.32,0.0,0.0,711.51,435.29,1.0
o_*[34],7.17,0.05,7.07,7.27,0.0,0.0,711.51,435.29,1.0
o_*[35],7.09,0.06,6.98,7.21,0.0,0.0,711.51,435.29,1.0
o_*[36],7.02,0.06,6.91,7.14,0.0,0.0,711.51,435.29,1.0
d_H[0],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
d_H[1],0.82,0.02,0.78,0.85,0.0,0.0,759.09,663.07,1.01
d_H[2],0.83,0.02,0.79,0.86,0.0,0.0,757.43,662.27,1.01
d_H[3],0.84,0.02,0.81,0.88,0.0,0.0,746.7,693.14,1.01
d_H[4],0.86,0.02,0.83,0.89,0.0,0.0,721.2,671.53,1.01
d_H[5],0.88,0.01,0.85,0.91,0.0,0.0,681.37,694.09,1.01
d_H[6],0.89,0.01,0.87,0.92,0.0,0.0,660.71,671.15,1.01
d_H[7],0.9,0.01,0.88,0.92,0.0,0.0,649.62,671.15,1.01
d_H[8],0.91,0.01,0.89,0.93,0.0,0.0,651.24,666.06,1.01
d_H[9],0.91,0.01,0.89,0.93,0.0,0.0,659.57,638.33,1.01
d_H[10],0.92,0.01,0.9,0.93,0.0,0.0,673.77,638.33,1.01
d_H[11],0.92,0.01,0.9,0.94,0.0,0.0,692.97,665.84,1.01
d_H[12],0.92,0.01,0.9,0.94,0.0,0.0,716.18,692.26,1.01
d_H[13],0.92,0.01,0.9,0.94,0.0,0.0,730.24,662.27,1.01
d_H[14],0.92,0.01,0.9,0.94,0.0,0.0,734.73,662.27,1.01
d_H[15],0.92,0.01,0.9,0.94,0.0,0.0,739.94,662.27,1.01
d_H[16],0.92,0.01,0.9,0.94,0.0,0.0,743.93,662.27,1.01
d_H[17],0.92,0.01,0.9,0.93,0.0,0.0,751.01,662.27,1.01
d_H[18],0.92,0.01,0.9,0.93,0.0,0.0,754.54,693.38,1.01
d_H[19],0.92,0.01,0.9,0.94,0.0,0.0,758.57,663.74,1.01
d_H[20],0.92,0.01,0.9,0.94,0.0,0.0,761.0,663.74,1.01
d_H[21],0.92,0.01,0.9,0.94,0.0,0.0,761.2,663.74,1.01
d_H[22],0.92,0.01,0.9,0.94,0.0,0.0,758.34,663.07,1.01
d_H[23],0.92,0.01,0.9,0.94,0.0,0.0,755.96,663.07,1.01
d_H[24],0.92,0.01,0.9,0.94,0.0,0.0,757.68,663.07,1.01
d_H[25],0.92,0.01,0.9,0.94,0.0,0.0,765.09,663.74,1.01
d_H[26],0.91,0.01,0.9,0.93,0.0,0.0,772.4,663.74,1.01
d_H[27],0.91,0.01,0.9,0.93,0.0,0.0,778.09,663.74,1.01
d_H[28],0.91,0.01,0.89,0.93,0.0,0.0,794.21,663.74,1.01
d_H[29],0.9,0.01,0.88,0.92,0.0,0.0,813.1,636.06,1.01
d_H[30],0.88,0.01,0.85,0.9,0.0,0.0,830.99,659.07,1.01
d_H[31],0.85,0.02,0.82,0.88,0.0,0.0,830.07,628.89,1.01
d_H[32],0.83,0.02,0.79,0.86,0.0,0.0,821.81,653.39,1.01
d_H[33],0.82,0.02,0.79,0.86,0.0,0.0,811.88,659.07,1.01
d_H[34],0.81,0.02,0.78,0.85,0.0,0.0,802.54,659.07,1.01
d_H[35],0.8,0.02,0.77,0.85,0.0,0.0,800.77,694.75,1.01
d_H[36],0.8,0.02,0.77,0.84,0.0,0.0,793.57,615.06,1.01
s[0],0.88,0.02,0.84,0.91,0.0,0.0,511.38,632.07,1.0
s[1],0.88,0.02,0.84,0.91,0.0,0.0,511.38,632.07,1.0
s[2],0.88,0.02,0.84,0.91,0.0,0.0,511.38,632.07,1.0
s[3],0.88,0.02,0.84,0.91,0.0,0.0,511.38,632.07,1.0
s[4],0.88,0.02,0.84,0.91,0.0,0.0,511.38,632.07,1.0
s[5],0.96,0.01,0.95,0.97,0.0,0.0,511.38,632.07,1.0
s[6],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[7],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[8],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[9],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[10],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[11],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[12],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[13],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[14],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[15],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[16],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[17],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[18],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[19],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[20],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[21],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[22],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[23],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[24],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[25],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[26],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[27],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[28],0.96,0.01,0.95,0.97,0.0,0.0,511.38,632.07,1.0
s[29],0.94,0.01,0.92,0.96,0.0,0.0,511.38,632.07,1.0
s[30],0.94,0.01,0.92,0.96,0.0,0.0,511.38,632.07,1.0
s[31],0.94,0.01,0.92,0.96,0.0,0.0,511.38,632.07,1.0
