,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_K,4.4,0.81,2.85,5.87,0.03,0.02,666.77,414.9,1.01
z_ICU,0.25,0.03,0.2,0.31,0.0,0.0,681.75,538.74,1.0
mu_ICU,1.01,0.16,0.73,1.29,0.01,0.0,729.87,642.2,1.0
sigma_ICU,1.12,0.38,0.5,1.83,0.01,0.01,739.19,631.59,1.0
z_S,0.22,0.04,0.15,0.29,0.0,0.0,615.2,443.38,1.01
f0,0.0,0.01,0.0,0.02,0.0,0.0,484.4,441.62,1.01
r,0.01,0.0,0.0,0.01,0.0,0.0,813.57,471.53,1.01
sigma_model,0.44,0.06,0.34,0.58,0.0,0.0,647.17,631.7,1.0
o_*[0],6.74,0.13,6.5,7.0,0.01,0.0,666.77,414.9,1.01
o_*[1],6.31,0.13,6.07,6.57,0.01,0.0,666.77,414.9,1.01
o_*[2],6.35,0.13,6.11,6.61,0.01,0.0,666.77,414.9,1.01
o_*[3],6.98,0.13,6.74,7.24,0.01,0.0,666.77,414.9,1.01
o_*[4],7.02,0.13,6.78,7.27,0.01,0.0,666.77,414.9,1.01
o_*[5],7.32,0.13,7.08,7.57,0.01,0.0,666.77,414.9,1.01
o_*[6],7.24,0.13,7.0,7.49,0.01,0.0,666.77,414.9,1.01
o_*[7],6.83,0.13,6.59,7.08,0.01,0.0,666.77,414.9,1.01
o_*[8],7.34,0.13,7.1,7.59,0.01,0.0,666.77,414.9,1.01
o_*[9],7.11,0.1,6.92,7.31,0.0,0.0,666.77,414.9,1.01
o_*[10],7.27,0.1,7.08,7.47,0.0,0.0,666.77,414.9,1.01
o_*[11],7.54,0.1,7.35,7.74,0.0,0.0,666.77,414.9,1.01
o_*[12],7.47,0.1,7.28,7.67,0.0,0.0,666.77,414.9,1.01
o_*[13],7.54,0.08,7.4,7.69,0.0,0.0,666.77,414.9,1.01
o_*[14],7.52,0.08,7.38,7.67,0.0,0.0,666.77,414.9,1.01
o_*[15],7.47,0.08,7.33,7.62,0.0,0.0,666.77,414.9,1.01
o_*[16],7.37,0.08,7.23,7.52,0.0,0.0,666.77,414.9,1.01
o_*[17],7.54,0.06,7.44,7.66,0.0,0.0,666.77,414.9,1.01
o_*[18],7.6,0.06,7.5,7.72,0.0,0.0,666.77,414.9,1.01
o_*[19],7.32,0.06,7.22,7.44,0.0,0.0,666.77,414.9,1.01
o_*[20],7.71,0.06,7.61,7.83,0.0,0.0,666.77,414.9,1.01
o_*[21],7.88,0.06,7.78,8.0,0.0,0.0,666.77,414.9,1.01
o_*[22],7.65,0.05,7.56,7.75,0.0,0.0,666.77,414.9,1.01
o_*[23],7.76,0.05,7.67,7.86,0.0,0.0,666.77,414.9,1.01
o_*[24],7.78,0.05,7.69,7.88,0.0,0.0,666.77,414.9,1.01
o_*[25],7.89,0.05,7.8,7.99,0.0,0.0,666.77,414.9,1.01
o_*[26],7.65,0.05,7.57,7.74,0.0,0.0,666.77,414.9,1.01
o_*[27],7.59,0.05,7.51,7.68,0.0,0.0,666.77,414.9,1.01
o_*[28],7.36,0.05,7.28,7.45,0.0,0.0,666.77,414.9,1.01
o_*[29],7.51,0.05,7.43,7.6,0.0,0.0,666.77,414.9,1.01
o_*[30],7.12,0.05,7.02,7.22,0.0,0.0,666.77,414.9,1.01
o_*[31],7.25,0.05,7.15,7.35,0.0,0.0,666.77,414.9,1.01
o_*[32],7.34,0.05,7.24,7.44,0.0,0.0,666.77,414.9,1.01
o_*[33],7.24,0.05,7.14,7.34,0.0,0.0,666.77,414.9,1.01
o_*[34],7.19,0.05,7.09,7.29,0.0,0.0,666.77,414.9,1.01
o_*[35],7.12,0.06,7.01,7.24,0.0,0.0,666.77,414.9,1.01
o_*[36],7.05,0.06,6.94,7.17,0.0,0.0,666.77,414.9,1.01
d_ICU[0],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
d_ICU[1],0.85,0.02,0.82,0.88,0.0,0.0,681.75,538.74,1.0
d_ICU[2],0.83,0.02,0.8,0.87,0.0,0.0,680.7,519.2,1.0
d_ICU[3],0.83,0.02,0.79,0.86,0.0,0.0,681.86,518.69,1.0
d_ICU[4],0.83,0.02,0.79,0.86,0.0,0.0,681.59,519.5,1.0
d_ICU[5],0.84,0.02,0.8,0.87,0.0,0.0,679.49,559.78,1.0
d_ICU[6],0.85,0.02,0.82,0.88,0.0,0.0,685.47,557.86,1.0
d_ICU[7],0.87,0.02,0.84,0.9,0.0,0.0,682.15,633.18,1.01
d_ICU[8],0.88,0.01,0.86,0.91,0.0,0.0,674.66,634.39,1.01
d_ICU[9],0.9,0.01,0.87,0.92,0.0,0.0,669.74,587.58,1.01
d_ICU[10],0.9,0.01,0.88,0.93,0.0,0.0,666.45,611.57,1.01
d_ICU[11],0.91,0.01,0.89,0.93,0.0,0.0,662.21,596.23,1.0
d_ICU[12],0.92,0.01,0.9,0.94,0.0,0.0,660.02,584.78,1.0
d_ICU[13],0.92,0.01,0.9,0.94,0.0,0.0,661.27,538.65,1.0
d_ICU[14],0.92,0.01,0.9,0.94,0.0,0.0,665.72,538.98,1.0
d_ICU[15],0.92,0.01,0.91,0.94,0.0,0.0,671.66,559.01,1.0
d_ICU[16],0.92,0.01,0.91,0.94,0.0,0.0,673.28,559.01,1.0
d_ICU[17],0.92,0.01,0.91,0.94,0.0,0.0,671.28,559.01,1.0
d_ICU[18],0.92,0.01,0.91,0.94,0.0,0.0,672.64,559.01,1.0
d_ICU[19],0.93,0.01,0.91,0.94,0.0,0.0,673.09,559.01,1.0
d_ICU[20],0.93,0.01,0.91,0.94,0.0,0.0,675.26,559.01,1.0
d_ICU[21],0.93,0.01,0.91,0.94,0.0,0.0,677.21,559.01,1.0
d_ICU[22],0.93,0.01,0.91,0.94,0.0,0.0,677.84,559.01,1.0
d_ICU[23],0.93,0.01,0.91,0.94,0.0,0.0,677.98,559.01,1.0
d_ICU[24],0.93,0.01,0.91,0.94,0.0,0.0,679.33,559.01,1.0
d_ICU[25],0.93,0.01,0.91,0.94,0.0,0.0,679.48,519.5,1.0
d_ICU[26],0.92,0.01,0.91,0.94,0.0,0.0,679.02,519.5,1.0
d_ICU[27],0.92,0.01,0.91,0.94,0.0,0.0,681.87,519.2,1.0
d_ICU[28],0.92,0.01,0.9,0.94,0.0,0.0,685.22,518.69,1.0
d_ICU[29],0.91,0.01,0.89,0.93,0.0,0.0,690.34,441.61,1.0
d_ICU[30],0.9,0.01,0.88,0.92,0.0,0.0,700.04,518.92,1.0
d_ICU[31],0.88,0.01,0.85,0.91,0.0,0.0,707.33,450.28,1.0
d_ICU[32],0.85,0.02,0.81,0.88,0.0,0.0,713.26,459.61,1.0
d_ICU[33],0.83,0.02,0.79,0.87,0.0,0.0,710.92,437.34,1.0
d_ICU[34],0.81,0.02,0.77,0.85,0.0,0.0,710.4,464.76,1.0
d_ICU[35],0.81,0.02,0.77,0.85,0.0,0.0,705.65,519.53,1.0
d_ICU[36],0.8,0.02,0.76,0.84,0.0,0.0,700.38,470.18,1.0
s[0],0.86,0.02,0.82,0.91,0.0,0.0,615.2,443.38,1.01
s[1],0.86,0.02,0.82,0.91,0.0,0.0,615.2,443.38,1.01
s[2],0.86,0.02,0.82,0.91,0.0,0.0,615.2,443.38,1.01
s[3],0.86,0.02,0.82,0.91,0.0,0.0,615.2,443.38,1.01
s[4],0.86,0.02,0.82,0.91,0.0,0.0,615.2,443.38,1.01
s[5],0.96,0.01,0.95,0.97,0.0,0.0,615.2,443.38,1.01
s[6],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[7],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[8],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[9],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[10],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[11],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[12],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[13],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[14],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[15],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[16],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[17],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[18],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[19],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[20],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[21],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[22],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[23],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[24],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[25],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[26],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[27],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
s[28],0.96,0.01,0.95,0.97,0.0,0.0,615.2,443.38,1.01
s[29],0.93,0.01,0.91,0.95,0.0,0.0,615.2,443.38,1.01
s[30],0.93,0.01,0.91,0.95,0.0,0.0,615.2,443.38,1.01
s[31],0.93,0.01,0.91,0.95,0.0,0.0,615.2,443.38,1.01
s[32],0.93,0.01,0.91,0.95,0.0,0.0,615.2,443.38,1.01
s[33],0.93,0.01,0.91,0.95,0.0,0.0,615.2,443.38,1.01
s[34],0.93,0.01,0.91,0.95,0.0,0.0,615.2,443.38,1.01
s[35],0.93,0.01,0.91,0.95,0.0,0.0,615.2,443.38,1.01
s[36],0.93,0.01,0.91,0.95,0.0,0.0,615.2,443.38,1.01
f[0],1.0,0.01,1.0,1.02,0.0,0.0,484.4,441.62,1.01
f[1],1.01,0.01,1.0,1.02,0.0,0.0,468.83,441.62,1.01
f[2],1.02,0.01,1.01,1.03,0.0,0.0,465.55,453.14,1.01
f[3],1.02,0.01,1.01,1.03,0.0,0.0,472.29,453.14,1.01
f[4],1.03,0.01,1.02,1.04,0.0,0.0,502.78,504.78,1.01
f[5],1.03,0.01,1.02,1.04,0.0,0.0,533.05,503.53,1.01
f[6],1.04,0.01,1.03,1.05,0.0,0.0,559.96,503.53,1.01
f[7],1.04,0.01,1.03,1.06,0.0,0.0,554.17,504.2,1.01
f[8],1.05,0.01,1.04,1.06,0.0,0.0,555.11,487.22,1.01
f[9],1.05,0.01,1.04,1.07,0.0,0.0,556.38,487.22,1.01
f[10],1.06,0.01,1.05,1.07,0.0,0.0,554.18,472.74,1.01
f[11],1.06,0.01,1.05,1.08,0.0,0.0,557.54,472.74,1.01
f[12],1.07,0.01,1.06,1.08,0.0,0.0,558.73,472.74,1.01
f[13],1.08,0.01,1.06,1.09,0.0,0.0,558.81,486.94,1.01
f[14],1.08,0.01,1.07,1.09,0.0,0.0,560.76,486.56,1.01
f[15],1.09,0.01,1.07,1.1,0.0,0.0,564.29,486.56,1.01
f[16],1.09,0.01,1.08,1.11,0.0,0.0,565.65,432.81,1.01
f[17],1.1,0.01,1.08,1.11,0.0,0.0,566.7,432.81,1.01
f[18],1.1,0.01,1.09,1.12,0.0,0.0,569.39,443.87,1.01
f[19],1.11,0.01,1.09,1.12,0.0,0.0,570.45,431.67,1.01
f[20],1.11,0.01,1.1,1.13,0.0,0.0,574.34,432.54,1.01
f[21],1.12,0.01,1.1,1.14,0.0,0.0,577.66,432.54,1.01
f[22],1.12,0.01,1.11,1.14,0.0,0.0,579.59,432.54,1.01
f[23],1.13,0.01,1.11,1.15,0.0,0.0,580.72,433.51,1.01
f[24],1.14,0.01,1.12,1.15,0.0,0.0,582.94,410.55,1.01
f[25],1.14,0.01,1.12,1.16,0.0,0.0,585.19,410.02,1.01
f[26],1.15,0.01,1.13,1.16,0.0,0.0,588.46,414.2,1.01
f[27],1.15,0.01,1.13,1.17,0.0,0.0,592.85,405.94,1.01
f[28],1.16,0.01,1.14,1.18,0.0,0.0,595.46,405.94,1.01
f[29],1.16,0.01,1.14,1.18,0.0,0.0,598.16,409.45,1.01
f[30],1.17,0.01,1.15,1.19,0.0,0.0,601.7,409.45,1.01
f[31],1.17,0.01,1.15,1.19,0.0,0.0,602.9,409.45,1.01
f[32],1.18,0.01,1.16,1.2,0.0,0.0,605.14,398.63,1.01
f[33],1.18,0.01,1.16,1.2,0.0,0.0,605.43,398.63,1.01
f[34],1.19,0.01,1.17,1.21,0.0,0.0,607.45,409.45,1.01
f[35],1.2,0.01,1.17,1.22,0.0,0.0,612.58,419.27,1.01
f[36],1.2,0.01,1.18,1.22,0.0,0.0,614.43,418.69,1.01
m[0],5.86,0.19,5.5,6.22,0.01,0.01,650.8,573.66,1.01
m[1],4.69,0.13,4.45,4.92,0.01,0.0,672.99,610.19,1.0
m[2],4.65,0.13,4.4,4.88,0.01,0.0,673.76,607.59,1.0
m[3],5.1,0.14,4.84,5.36,0.01,0.0,670.41,612.94,1.0
m[4],5.15,0.14,4.88,5.4,0.01,0.0,661.87,612.94,1.0
m[5],6.06,0.11,5.86,6.26,0.0,0.0,843.61,645.8,1.0
m[6],6.39,0.11,6.19,6.61,0.0,0.0,922.73,560.72,1.0
m[7],6.18,0.1,5.97,6.37,0.0,0.0,907.52,570.26,1.0
m[8],6.79,0.11,6.6,7.0,0.0,0.0,905.65,570.44,1.01
m[9],6.71,0.09,6.55,6.88,0.0,0.0,929.62,590.57,1.0
m[10],6.96,0.09,6.81,7.12,0.0,0.0,938.17,668.35,1.0
m[11],7.31,0.09,7.16,7.47,0.0,0.0,939.25,666.04,1.0
m[12],7.32,0.08,7.17,7.48,0.0,0.0,937.03,662.98,1.0
