,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_K,5.87,0.68,4.53,7.03,0.05,0.03,202.95,222.47,1.02
z_R,0.24,0.02,0.2,0.29,0.0,0.0,250.81,284.39,1.02
mu_R,6.27,2.13,2.37,10.94,0.38,0.27,48.58,26.15,1.07
sigma_R,1.63,0.43,0.96,2.47,0.03,0.02,273.59,381.6,1.01
z_S,0.19,0.03,0.13,0.25,0.0,0.0,108.92,93.19,1.04
f0,0.01,0.01,0.0,0.04,0.0,0.0,180.61,130.04,1.03
r,0.01,0.0,0.0,0.01,0.0,0.0,859.83,686.81,1.0
sigma_model,0.24,0.04,0.17,0.32,0.01,0.0,115.89,120.32,1.04
o_*[0],6.49,0.11,6.3,6.72,0.01,0.01,202.95,222.47,1.02
o_*[1],6.06,0.11,5.87,6.29,0.01,0.01,202.95,222.47,1.02
o_*[2],6.1,0.11,5.91,6.33,0.01,0.01,202.95,222.47,1.02
o_*[3],6.73,0.11,6.54,6.96,0.01,0.01,202.95,222.47,1.02
o_*[4],6.78,0.11,6.59,7.0,0.01,0.01,202.95,222.47,1.02
o_*[5],7.08,0.11,6.89,7.3,0.01,0.01,202.95,222.47,1.02
o_*[6],7.0,0.11,6.81,7.22,0.01,0.01,202.95,222.47,1.02
o_*[7],6.59,0.11,6.4,6.81,0.01,0.01,202.95,222.47,1.02
o_*[8],7.1,0.11,6.91,7.32,0.01,0.01,202.95,222.47,1.02
o_*[9],6.92,0.09,6.78,7.09,0.01,0.0,202.95,222.47,1.02
o_*[10],7.08,0.09,6.94,7.25,0.01,0.0,202.95,222.47,1.02
o_*[11],7.35,0.09,7.21,7.52,0.01,0.0,202.95,222.47,1.02
o_*[12],7.28,0.09,7.14,7.45,0.01,0.0,202.95,222.47,1.02
o_*[13],7.4,0.07,7.29,7.53,0.0,0.0,202.95,222.47,1.02
o_*[14],7.38,0.07,7.27,7.51,0.0,0.0,202.95,222.47,1.02
o_*[15],7.33,0.07,7.22,7.46,0.0,0.0,202.95,222.47,1.02
o_*[16],7.23,0.07,7.12,7.36,0.0,0.0,202.95,222.47,1.02
o_*[17],7.44,0.05,7.35,7.53,0.0,0.0,202.95,222.47,1.02
o_*[18],7.5,0.05,7.41,7.59,0.0,0.0,202.95,222.47,1.02
o_*[19],7.22,0.05,7.13,7.31,0.0,0.0,202.95,222.47,1.02
o_*[20],7.61,0.05,7.52,7.7,0.0,0.0,202.95,222.47,1.02
o_*[21],7.78,0.05,7.69,7.87,0.0,0.0,202.95,222.47,1.02
o_*[22],7.56,0.04,7.49,7.64,0.0,0.0,202.95,222.47,1.02
o_*[23],7.67,0.04,7.6,7.75,0.0,0.0,202.95,222.47,1.02
o_*[24],7.69,0.04,7.62,7.77,0.0,0.0,202.95,222.47,1.02
o_*[25],7.8,0.04,7.73,7.88,0.0,0.0,202.95,222.47,1.02
o_*[26],7.57,0.04,7.51,7.65,0.0,0.0,202.95,222.47,1.02
o_*[27],7.51,0.04,7.45,7.59,0.0,0.0,202.95,222.47,1.02
o_*[28],7.28,0.04,7.22,7.36,0.0,0.0,202.95,222.47,1.02
o_*[29],7.43,0.04,7.37,7.51,0.0,0.0,202.95,222.47,1.02
o_*[30],7.02,0.04,6.95,7.11,0.0,0.0,202.95,222.47,1.02
o_*[31],7.15,0.04,7.08,7.24,0.0,0.0,202.95,222.47,1.02
o_*[32],7.24,0.04,7.17,7.33,0.0,0.0,202.95,222.47,1.02
o_*[33],7.14,0.04,7.07,7.23,0.0,0.0,202.95,222.47,1.02
o_*[34],7.09,0.04,7.02,7.18,0.0,0.0,202.95,222.47,1.02
o_*[35],7.01,0.05,6.92,7.11,0.0,0.0,202.95,222.47,1.02
o_*[36],6.94,0.05,6.85,7.04,0.0,0.0,202.95,222.47,1.02
d_R[0],1.0,0.0,1.0,1.0,0.0,0.0,800.0,800.0,
d_R[1],0.93,0.01,0.91,0.94,0.0,0.0,250.81,284.39,1.02
d_R[2],0.93,0.01,0.91,0.94,0.0,0.0,47.17,44.69,1.07
d_R[3],0.93,0.01,0.91,0.95,0.0,0.0,51.35,39.95,1.07
d_R[4],0.93,0.01,0.91,0.95,0.0,0.0,62.67,81.2,1.06
d_R[5],0.94,0.01,0.92,0.96,0.0,0.0,78.35,190.44,1.05
d_R[6],0.94,0.01,0.92,0.96,0.0,0.0,266.9,177.05,1.02
