,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_K,6.42,1.45,3.67,8.91,0.09,0.06,244.14,426.74,1.01
z_R,0.2,0.04,0.12,0.28,0.0,0.0,143.58,202.0,1.02
mu_R,1.0,0.15,0.74,1.29,0.01,0.0,879.2,531.13,1.0
sigma_R,1.37,0.42,0.67,2.12,0.02,0.01,692.81,585.39,1.0
z_C,0.21,0.04,0.13,0.28,0.0,0.0,302.15,222.54,1.01
mu_C,1.0,0.17,0.67,1.31,0.01,0.0,637.35,414.34,1.01
sigma_C,1.27,0.43,0.52,2.02,0.02,0.01,668.7,557.68,1.0
z_S,0.21,0.04,0.14,0.27,0.0,0.0,359.93,420.21,1.01
f0,0.11,0.06,0.0,0.2,0.01,0.0,116.37,142.83,1.03
r,0.01,0.0,0.01,0.01,0.0,0.0,890.42,676.62,1.0
sigma_model,0.36,0.08,0.22,0.5,0.01,0.0,209.03,187.02,1.01
o_*[0],6.4,0.24,5.99,6.86,0.02,0.01,244.14,426.74,1.01
o_*[1],5.97,0.24,5.56,6.43,0.02,0.01,244.14,426.74,1.01
o_*[2],6.01,0.24,5.6,6.47,0.02,0.01,244.14,426.74,1.01
o_*[3],6.64,0.24,6.23,7.1,0.02,0.01,244.14,426.74,1.01
o_*[4],6.69,0.23,6.29,7.13,0.01,0.01,244.14,426.74,1.01
o_*[5],6.99,0.23,6.59,7.43,0.01,0.01,244.14,426.74,1.01
o_*[6],6.91,0.23,6.51,7.35,0.01,0.01,244.14,426.74,1.01
o_*[7],6.5,0.23,6.1,6.94,0.01,0.01,244.14,426.74,1.01
o_*[8],7.01,0.23,6.61,7.45,0.01,0.01,244.14,426.74,1.01
o_*[9],6.85,0.18,6.54,7.2,0.01,0.01,244.14,426.74,1.01
o_*[10],7.01,0.18,6.7,7.36,0.01,0.01,244.14,426.74,1.01
o_*[11],7.28,0.18,6.97,7.63,0.01,0.01,244.14,426.74,1.01
o_*[12],7.21,0.18,6.9,7.56,0.01,0.01,244.14,426.74,1.01
o_*[13],7.34,0.14,7.1,7.61,0.01,0.01,244.14,426.74,1.01
o_*[14],7.32,0.14,7.08,7.59,0.01,0.01,244.14,426.74,1.01
o_*[15],7.27,0.14,7.03,7.54,0.01,0.01,244.14,426.74,1.01
o_*[16],7.17,0.14,6.93,7.44,0.01,0.01,244.14,426.74,1.01
o_*[17],7.39,0.11,7.21,7.6,0.01,0.0,244.14,426.74,1.01
