,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_K,6.26,1.41,3.5,8.83,0.09,0.06,260.71,261.73,1.01
z_R,0.24,0.05,0.14,0.32,0.0,0.0,200.65,178.77,1.01
mu_R,1.02,0.18,0.73,1.36,0.01,0.01,302.66,110.95,1.02
sigma_R,1.36,0.41,0.64,2.08,0.02,0.01,570.3,503.6,1.01
z_H,0.21,0.04,0.13,0.29,0.0,0.0,254.43,272.2,1.03
mu_H,1.02,0.17,0.71,1.36,0.01,0.01,461.37,266.48,1.01
sigma_H,1.27,0.47,0.58,2.23,0.03,0.02,336.25,154.92,1.0
z_S,0.22,0.05,0.13,0.3,0.0,0.0,182.22,35.74,1.05
f0,0.13,0.06,0.02,0.24,0.0,0.0,155.58,189.84,1.03
r,0.01,0.0,0.01,0.01,0.0,0.0,682.58,698.37,1.0
sigma_model,0.42,0.09,0.26,0.57,0.01,0.0,208.45,270.31,1.03
o_*[0],6.43,0.23,6.0,6.89,0.01,0.01,260.71,261.73,1.01
o_*[1],6.0,0.23,5.57,6.46,0.01,0.01,260.71,261.73,1.01
o_*[2],6.04,0.23,5.61,6.5,0.01,0.01,260.71,261.73,1.01
o_*[3],6.67,0.23,6.24,7.13,0.01,0.01,260.71,261.73,1.01
o_*[4],6.72,0.23,6.3,7.16,0.01,0.01,260.71,261.73,1.01
o_*[5],7.02,0.23,6.6,7.46,0.01,0.01,260.71,261.73,1.01
o_*[6],6.94,0.23,6.52,7.38,0.01,0.01,260.71,261.73,1.01
o_*[7],6.53,0.23,6.11,6.97,0.01,0.01,260.71,261.73,1.01
o_*[8],7.04,0.23,6.62,7.48,0.01,0.01,260.71,261.73,1.01
o_*[9],6.87,0.18,6.55,7.23,0.01,0.01,260.71,261.73,1.01
o_*[10],7.03,0.18,6.71,7.39,0.01,0.01,260.71,261.73,1.01
o_*[11],7.3,0.18,6.98,7.66,0.01,0.01,260.71,261.73,1.01
o_*[12],7.23,0.18,6.91,7.59,0.01,0.01,260.71,261.73,1.01
o_*[13],7.36,0.14,7.11,7.62,0.01,0.01,260.71,261.73,1.01
o_*[14],7.34,0.14,7.09,7.6,0.01,0.01,260.71,261.73,1.01
o_*[15],7.29,0.14,7.04,7.55,0.01,0.01,260.71,261.73,1.01
o_*[16],7.19,0.14,6.94,7.45,0.01,0.01,260.71,261.73,1.01
o_*[17],7.41,0.1,7.22,7.61,0.01,0.0,260.71,261.73,1.01
o_*[18],7.47,0.1,7.28,7.67,0.01,0.0,260.71,261.73,1.01
o_*[19],7.19,0.1,7.0,7.39,0.01,0.0,260.71,261.73,1.01
o_*[20],7.58,0.1,7.39,7.78,0.01,0.0,260.71,261.73,1.01
o_*[21],7.75,0.1,7.56,7.95,0.01,0.0,260.71,261.73,1.01
o_*[22],7.54,0.09,7.37,7.71,0.01,0.0,260.71,261.73,1.01
o_*[23],7.65,0.09,7.48,7.82,0.01,0.0,260.71,261.73,1.01
o_*[24],7.67,0.09,7.5,7.84,0.01,0.0,260.71,261.73,1.01
o_*[25],7.78,0.09,7.61,7.95,0.01,0.0,260.71,261.73,1.01
o_*[26],7.55,0.08,7.41,7.7,0.0,0.0,260.71,261.73,1.01
