,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.7,0.68,2.46,5.01,0.02,0.01,2016.04,2421.43,1.0
delta_h,2.83,0.62,1.74,4.01,0.01,0.01,2738.66,2413.79,1.0
z_C,0.34,0.03,0.28,0.39,0.0,0.0,859.69,401.46,1.0
mu_C,1.79,0.56,0.87,2.84,0.01,0.01,2596.46,1786.58,1.0
sigma_C,1.96,0.79,0.69,3.35,0.02,0.01,2144.23,1970.93,1.0
z_S,0.15,0.04,0.07,0.23,0.0,0.0,1570.36,826.9,1.0
f0,0.01,0.01,0.0,0.02,0.0,0.0,950.05,407.63,1.0
r,0.01,0.0,0.0,0.01,0.0,0.0,2585.19,1573.07,1.0
sigma_model,0.3,0.05,0.22,0.39,0.0,0.0,2373.21,2298.0,1.0
k[0],0.61,0.11,0.41,0.83,0.0,0.0,2016.04,2421.43,1.0
k[1],0.61,0.11,0.41,0.83,0.0,0.0,2016.04,2421.43,1.0
k[2],0.61,0.11,0.41,0.83,0.0,0.0,2016.04,2421.43,1.0
k[3],0.61,0.11,0.41,0.83,0.0,0.0,2016.04,2421.43,1.0
k[4],0.6,0.11,0.4,0.81,0.0,0.0,2016.04,2421.43,1.0
k[5],0.6,0.11,0.4,0.81,0.0,0.0,2016.04,2421.43,1.0
k[6],0.6,0.11,0.4,0.81,0.0,0.0,2016.04,2421.43,1.0
k[7],0.6,0.11,0.4,0.81,0.0,0.0,2016.04,2421.43,1.0
k[8],0.6,0.11,0.4,0.81,0.0,0.0,2016.04,2421.43,1.0
k[9],0.47,0.09,0.31,0.64,0.0,0.0,2016.04,2421.43,1.0
k[10],0.47,0.09,0.31,0.64,0.0,0.0,2016.04,2421.43,1.0
k[11],0.47,0.09,0.31,0.64,0.0,0.0,2016.04,2421.43,1.0
k[12],0.47,0.09,0.31,0.64,0.0,0.0,2016.04,2421.43,1.0
k[13],0.36,0.07,0.24,0.48,0.0,0.0,2016.04,2421.43,1.0
k[14],0.36,0.07,0.24,0.48,0.0,0.0,2016.04,2421.43,1.0
k[15],0.36,0.07,0.24,0.48,0.0,0.0,2016.04,2421.43,1.0
k[16],0.36,0.07,0.24,0.48,0.0,0.0,2016.04,2421.43,1.0
k[17],0.27,0.05,0.18,0.37,0.0,0.0,2016.04,2421.43,1.0
k[18],0.27,0.05,0.18,0.37,0.0,0.0,2016.04,2421.43,1.0
k[19],0.27,0.05,0.18,0.37,0.0,0.0,2016.04,2421.43,1.0
k[20],0.27,0.05,0.18,0.37,0.0,0.0,2016.04,2421.43,1.0
k[21],0.27,0.05,0.18,0.37,0.0,0.0,2016.04,2421.43,1.0
k[22],0.23,0.04,0.16,0.32,0.0,0.0,2016.04,2421.43,1.0
k[23],0.23,0.04,0.16,0.32,0.0,0.0,2016.04,2421.43,1.0
k[24],0.23,0.04,0.16,0.32,0.0,0.0,2016.04,2421.43,1.0
k[25],0.23,0.04,0.16,0.32,0.0,0.0,2016.04,2421.43,1.0
k[26],0.21,0.04,0.14,0.28,0.0,0.0,2016.04,2421.43,1.0
k[27],0.21,0.04,0.14,0.28,0.0,0.0,2016.04,2421.43,1.0
k[28],0.21,0.04,0.14,0.28,0.0,0.0,2016.04,2421.43,1.0
k[29],0.21,0.04,0.14,0.28,0.0,0.0,2016.04,2421.43,1.0
k[30],0.24,0.04,0.16,0.33,0.0,0.0,2016.04,2421.43,1.0
k[31],0.24,0.04,0.16,0.33,0.0,0.0,2016.04,2421.43,1.0
k[32],0.24,0.04,0.16,0.33,0.0,0.0,2016.04,2421.43,1.0
k[33],0.24,0.04,0.16,0.33,0.0,0.0,2016.04,2421.43,1.0
k[34],0.24,0.04,0.16,0.33,0.0,0.0,2016.04,2421.43,1.0
k[35],0.28,0.05,0.18,0.38,0.0,0.0,2016.04,2421.43,1.0
k[36],0.28,0.05,0.18,0.38,0.0,0.0,2016.04,2421.43,1.0
h[0],0.26,0.06,0.16,0.36,0.0,0.0,2738.66,2413.79,1.0
