,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.69,0.71,2.39,5.0,0.01,0.01,3252.74,2733.14,1.0
delta_h,2.85,0.66,1.7,4.07,0.01,0.01,4048.31,2943.28,1.0
z_C,0.14,0.03,0.08,0.2,0.0,0.0,3565.69,2397.12,1.0
mu_C,1.89,0.61,0.88,3.0,0.01,0.01,4424.04,2832.32,1.0
sigma_C,1.63,0.65,0.62,2.8,0.01,0.01,4530.87,2747.62,1.0
z_H,0.11,0.03,0.06,0.16,0.0,0.0,3894.36,2667.27,1.0
mu_H,1.98,0.69,0.83,3.2,0.01,0.01,4954.0,2922.04,1.0
sigma_H,1.66,0.66,0.64,2.84,0.01,0.01,4094.06,2596.17,1.0
z_ICU,0.09,0.02,0.05,0.13,0.0,0.0,3045.59,1357.47,1.0
mu_ICU,2.17,0.85,0.82,3.7,0.01,0.01,5207.67,2287.61,1.0
sigma_ICU,1.69,0.7,0.65,2.99,0.01,0.01,4686.04,2988.9,1.0
z_S,0.16,0.05,0.08,0.26,0.0,0.0,4035.86,2692.01,1.0
f0,0.0,0.01,0.0,0.02,0.0,0.0,1689.0,968.22,1.0
r,0.01,0.0,0.0,0.01,0.0,0.0,4592.31,3218.56,1.0
sigma_model,0.37,0.06,0.26,0.49,0.0,0.0,3025.9,2245.31,1.0
k[0],0.61,0.12,0.4,0.83,0.0,0.0,3252.74,2733.14,1.0
k[1],0.61,0.12,0.4,0.83,0.0,0.0,3252.74,2733.14,1.0
k[2],0.61,0.12,0.4,0.83,0.0,0.0,3252.74,2733.14,1.0
k[3],0.61,0.12,0.4,0.83,0.0,0.0,3252.74,2733.14,1.0
k[4],0.6,0.12,0.39,0.81,0.0,0.0,3252.74,2733.14,1.0
k[5],0.6,0.12,0.39,0.81,0.0,0.0,3252.74,2733.14,1.0
k[6],0.6,0.12,0.39,0.81,0.0,0.0,3252.74,2733.14,1.0
k[7],0.6,0.12,0.39,0.81,0.0,0.0,3252.74,2733.14,1.0
k[8],0.6,0.12,0.39,0.81,0.0,0.0,3252.74,2733.14,1.0
k[9],0.47,0.09,0.3,0.64,0.0,0.0,3252.74,2733.14,1.0
k[10],0.47,0.09,0.3,0.64,0.0,0.0,3252.74,2733.14,1.0
k[11],0.47,0.09,0.3,0.64,0.0,0.0,3252.74,2733.14,1.0
k[12],0.47,0.09,0.3,0.64,0.0,0.0,3252.74,2733.14,1.0
k[13],0.35,0.07,0.23,0.48,0.0,0.0,3252.74,2733.14,1.0
k[14],0.35,0.07,0.23,0.48,0.0,0.0,3252.74,2733.14,1.0
k[15],0.35,0.07,0.23,0.48,0.0,0.0,3252.74,2733.14,1.0
k[16],0.35,0.07,0.23,0.48,0.0,0.0,3252.74,2733.14,1.0
k[17],0.27,0.05,0.18,0.37,0.0,0.0,3252.74,2733.14,1.0
k[18],0.27,0.05,0.18,0.37,0.0,0.0,3252.74,2733.14,1.0
k[19],0.27,0.05,0.18,0.37,0.0,0.0,3252.74,2733.14,1.0
k[20],0.27,0.05,0.18,0.37,0.0,0.0,3252.74,2733.14,1.0
k[21],0.27,0.05,0.18,0.37,0.0,0.0,3252.74,2733.14,1.0
k[22],0.23,0.04,0.15,0.32,0.0,0.0,3252.74,2733.14,1.0
k[23],0.23,0.04,0.15,0.32,0.0,0.0,3252.74,2733.14,1.0
k[24],0.23,0.04,0.15,0.32,0.0,0.0,3252.74,2733.14,1.0
k[25],0.23,0.04,0.15,0.32,0.0,0.0,3252.74,2733.14,1.0
k[26],0.21,0.04,0.13,0.28,0.0,0.0,3252.74,2733.14,1.0
k[27],0.21,0.04,0.13,0.28,0.0,0.0,3252.74,2733.14,1.0
