,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.49,0.68,2.23,4.73,0.01,0.01,3195.06,2980.34,1.0
delta_h,2.88,0.68,1.72,4.18,0.01,0.01,3420.78,2556.0,1.0
z_C,0.22,0.03,0.15,0.28,0.0,0.0,2353.61,2305.64,1.0
mu_C,1.79,0.57,0.85,2.83,0.01,0.01,4403.8,3088.84,1.0
sigma_C,1.65,0.69,0.58,2.87,0.01,0.01,3880.62,2447.97,1.0
z_ICU,0.13,0.03,0.08,0.19,0.0,0.0,2556.37,2694.63,1.0
mu_ICU,2.17,0.86,0.83,3.69,0.02,0.01,3603.62,2356.03,1.0
sigma_ICU,1.74,0.74,0.58,3.01,0.01,0.01,4350.22,2658.17,1.0
z_S,0.16,0.05,0.08,0.26,0.0,0.0,3434.74,2421.18,1.0
f0,0.01,0.01,0.0,0.02,0.0,0.0,2079.23,1869.33,1.0
r,0.01,0.0,0.0,0.01,0.0,0.0,3519.79,2660.41,1.0
sigma_model,0.36,0.06,0.25,0.47,0.0,0.0,2271.68,2012.48,1.0
k[0],0.58,0.11,0.37,0.79,0.0,0.0,3195.06,2980.34,1.0
k[1],0.58,0.11,0.37,0.79,0.0,0.0,3195.06,2980.34,1.0
k[2],0.58,0.11,0.37,0.79,0.0,0.0,3195.06,2980.34,1.0
k[3],0.58,0.11,0.37,0.79,0.0,0.0,3195.06,2980.34,1.0
k[4],0.57,0.11,0.36,0.77,0.0,0.0,3195.06,2980.34,1.0
k[5],0.57,0.11,0.36,0.77,0.0,0.0,3195.06,2980.34,1.0
k[6],0.57,0.11,0.36,0.77,0.0,0.0,3195.06,2980.34,1.0
k[7],0.57,0.11,0.36,0.77,0.0,0.0,3195.06,2980.34,1.0
k[8],0.57,0.11,0.36,0.77,0.0,0.0,3195.06,2980.34,1.0
k[9],0.44,0.09,0.28,0.6,0.0,0.0,3195.06,2980.34,1.0
k[10],0.44,0.09,0.28,0.6,0.0,0.0,3195.06,2980.34,1.0
k[11],0.44,0.09,0.28,0.6,0.0,0.0,3195.06,2980.34,1.0
k[12],0.44,0.09,0.28,0.6,0.0,0.0,3195.06,2980.34,1.0
k[13],0.34,0.07,0.21,0.45,0.0,0.0,3195.06,2980.34,1.0
k[14],0.34,0.07,0.21,0.45,0.0,0.0,3195.06,2980.34,1.0
k[15],0.34,0.07,0.21,0.45,0.0,0.0,3195.06,2980.34,1.0
k[16],0.34,0.07,0.21,0.45,0.0,0.0,3195.06,2980.34,1.0
k[17],0.26,0.05,0.17,0.35,0.0,0.0,3195.06,2980.34,1.0
k[18],0.26,0.05,0.17,0.35,0.0,0.0,3195.06,2980.34,1.0
k[19],0.26,0.05,0.17,0.35,0.0,0.0,3195.06,2980.34,1.0
k[20],0.26,0.05,0.17,0.35,0.0,0.0,3195.06,2980.34,1.0
k[21],0.26,0.05,0.17,0.35,0.0,0.0,3195.06,2980.34,1.0
k[22],0.22,0.04,0.14,0.3,0.0,0.0,3195.06,2980.34,1.0
k[23],0.22,0.04,0.14,0.3,0.0,0.0,3195.06,2980.34,1.0
k[24],0.22,0.04,0.14,0.3,0.0,0.0,3195.06,2980.34,1.0
k[25],0.22,0.04,0.14,0.3,0.0,0.0,3195.06,2980.34,1.0
k[26],0.2,0.04,0.13,0.27,0.0,0.0,3195.06,2980.34,1.0
k[27],0.2,0.04,0.13,0.27,0.0,0.0,3195.06,2980.34,1.0
k[28],0.2,0.04,0.13,0.27,0.0,0.0,3195.06,2980.34,1.0
k[29],0.2,0.04,0.13,0.27,0.0,0.0,3195.06,2980.34,1.0
k[30],0.23,0.04,0.15,0.31,0.0,0.0,3195.06,2980.34,1.0
k[31],0.23,0.04,0.15,0.31,0.0,0.0,3195.06,2980.34,1.0
k[32],0.23,0.04,0.15,0.31,0.0,0.0,3195.06,2980.34,1.0
k[33],0.23,0.04,0.15,0.31,0.0,0.0,3195.06,2980.34,1.0
k[34],0.23,0.04,0.15,0.31,0.0,0.0,3195.06,2980.34,1.0
k[35],0.26,0.05,0.17,0.36,0.0,0.0,3195.06,2980.34,1.0
k[36],0.26,0.05,0.17,0.36,0.0,0.0,3195.06,2980.34,1.0
h[0],0.26,0.06,0.16,0.38,0.0,0.0,3420.78,2556.0,1.0
h[1],0.26,0.06,0.16,0.38,0.0,0.0,3420.78,2556.0,1.0
h[2],0.26,0.06,0.16,0.38,0.0,0.0,3420.78,2556.0,1.0
h[3],0.26,0.06,0.16,0.38,0.0,0.0,3420.78,2556.0,1.0
h[4],0.21,0.05,0.12,0.3,0.0,0.0,3420.78,2556.0,1.0
h[5],0.21,0.05,0.12,0.3,0.0,0.0,3420.78,2556.0,1.0
h[6],0.21,0.05,0.12,0.3,0.0,0.0,3420.78,2556.0,1.0
h[7],0.21,0.05,0.12,0.3,0.0,0.0,3420.78,2556.0,1.0
