,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.84,0.79,2.4,5.27,0.02,0.01,2719.81,2890.82,1.0
delta_h,2.87,0.68,1.75,4.22,0.01,0.01,3096.09,2660.11,1.0
z_H,0.33,0.03,0.27,0.38,0.0,0.0,2165.45,2311.62,1.0
mu_H,1.84,0.56,0.83,2.88,0.01,0.01,3675.04,2419.05,1.0
sigma_H,1.75,0.68,0.64,2.98,0.01,0.01,3212.47,2512.43,1.0
z_S,0.16,0.05,0.08,0.26,0.0,0.0,3368.64,2551.63,1.0
f0,0.0,0.01,0.0,0.01,0.0,0.0,2027.55,1384.49,1.0
r,0.01,0.0,0.0,0.01,0.0,0.0,3430.7,2886.89,1.0
sigma_model,0.39,0.07,0.28,0.52,0.0,0.0,2130.6,2711.0,1.0
k[0],0.64,0.13,0.4,0.88,0.0,0.0,2719.81,2890.82,1.0
k[1],0.64,0.13,0.4,0.88,0.0,0.0,2719.81,2890.82,1.0
k[2],0.64,0.13,0.4,0.88,0.0,0.0,2719.81,2890.82,1.0
k[3],0.64,0.13,0.4,0.88,0.0,0.0,2719.81,2890.82,1.0
k[4],0.62,0.13,0.39,0.85,0.0,0.0,2719.81,2890.82,1.0
k[5],0.62,0.13,0.39,0.85,0.0,0.0,2719.81,2890.82,1.0
k[6],0.62,0.13,0.39,0.85,0.0,0.0,2719.81,2890.82,1.0
k[7],0.62,0.13,0.39,0.85,0.0,0.0,2719.81,2890.82,1.0
k[8],0.62,0.13,0.39,0.85,0.0,0.0,2719.81,2890.82,1.0
k[9],0.49,0.1,0.31,0.67,0.0,0.0,2719.81,2890.82,1.0
k[10],0.49,0.1,0.31,0.67,0.0,0.0,2719.81,2890.82,1.0
k[11],0.49,0.1,0.31,0.67,0.0,0.0,2719.81,2890.82,1.0
k[12],0.49,0.1,0.31,0.67,0.0,0.0,2719.81,2890.82,1.0
k[13],0.37,0.08,0.23,0.51,0.0,0.0,2719.81,2890.82,1.0
k[14],0.37,0.08,0.23,0.51,0.0,0.0,2719.81,2890.82,1.0
k[15],0.37,0.08,0.23,0.51,0.0,0.0,2719.81,2890.82,1.0
k[16],0.37,0.08,0.23,0.51,0.0,0.0,2719.81,2890.82,1.0
k[17],0.28,0.06,0.18,0.39,0.0,0.0,2719.81,2890.82,1.0
k[18],0.28,0.06,0.18,0.39,0.0,0.0,2719.81,2890.82,1.0
k[19],0.28,0.06,0.18,0.39,0.0,0.0,2719.81,2890.82,1.0
k[20],0.28,0.06,0.18,0.39,0.0,0.0,2719.81,2890.82,1.0
k[21],0.28,0.06,0.18,0.39,0.0,0.0,2719.81,2890.82,1.0
k[22],0.24,0.05,0.15,0.33,0.0,0.0,2719.81,2890.82,1.0
k[23],0.24,0.05,0.15,0.33,0.0,0.0,2719.81,2890.82,1.0
k[24],0.24,0.05,0.15,0.33,0.0,0.0,2719.81,2890.82,1.0
k[25],0.24,0.05,0.15,0.33,0.0,0.0,2719.81,2890.82,1.0
k[26],0.21,0.04,0.13,0.3,0.0,0.0,2719.81,2890.82,1.0
k[27],0.21,0.04,0.13,0.3,0.0,0.0,2719.81,2890.82,1.0
k[28],0.21,0.04,0.13,0.3,0.0,0.0,2719.81,2890.82,1.0
k[29],0.21,0.04,0.13,0.3,0.0,0.0,2719.81,2890.82,1.0
k[30],0.25,0.05,0.16,0.35,0.0,0.0,2719.81,2890.82,1.0
k[31],0.25,0.05,0.16,0.35,0.0,0.0,2719.81,2890.82,1.0
k[32],0.25,0.05,0.16,0.35,0.0,0.0,2719.81,2890.82,1.0
k[33],0.25,0.05,0.16,0.35,0.0,0.0,2719.81,2890.82,1.0
k[34],0.25,0.05,0.16,0.35,0.0,0.0,2719.81,2890.82,1.0
k[35],0.29,0.06,0.18,0.4,0.0,0.0,2719.81,2890.82,1.0
k[36],0.29,0.06,0.18,0.4,0.0,0.0,2719.81,2890.82,1.0
h[0],0.26,0.06,0.16,0.38,0.0,0.0,3096.09,2660.11,1.0
h[1],0.26,0.06,0.16,0.38,0.0,0.0,3096.09,2660.11,1.0
h[2],0.26,0.06,0.16,0.38,0.0,0.0,3096.09,2660.11,1.0
h[3],0.26,0.06,0.16,0.38,0.0,0.0,3096.09,2660.11,1.0
h[4],0.21,0.05,0.13,0.3,0.0,0.0,3096.09,2660.11,1.0
h[5],0.21,0.05,0.13,0.3,0.0,0.0,3096.09,2660.11,1.0
h[6],0.21,0.05,0.13,0.3,0.0,0.0,3096.09,2660.11,1.0
h[7],0.21,0.05,0.13,0.3,0.0,0.0,3096.09,2660.11,1.0
h[8],0.21,0.05,0.13,0.3,0.0,0.0,3096.09,2660.11,1.0
h[9],0.01,0.0,0.01,0.01,0.0,0.0,3096.09,2660.11,1.0
h[10],0.01,0.0,0.01,0.01,0.0,0.0,3096.09,2660.11,1.0
h[11],0.01,0.0,0.01,0.01,0.0,0.0,3096.09,2660.11,1.0
h[12],0.01,0.0,0.01,0.01,0.0,0.0,3096.09,2660.11,1.0
h[13],-0.13,0.03,-0.19,-0.08,0.0,0.0,3096.09,2660.11,1.0
h[14],-0.13,0.03,-0.19,-0.08,0.0,0.0,3096.09,2660.11,1.0
h[15],-0.13,0.03,-0.19,-0.08,0.0,0.0,3096.09,2660.11,1.0
h[16],-0.13,0.03,-0.19,-0.08,0.0,0.0,3096.09,2660.11,1.0
h[17],-0.04,0.01,-0.06,-0.03,0.0,0.0,3096.09,2660.11,1.0
h[18],-0.04,0.01,-0.06,-0.03,0.0,0.0,3096.09,2660.11,1.0
h[19],-0.04,0.01,-0.06,-0.03,0.0,0.0,3096.09,2660.11,1.0
h[20],-0.04,0.01,-0.06,-0.03,0.0,0.0,3096.09,2660.11,1.0
h[21],-0.04,0.01,-0.06,-0.03,0.0,0.0,3096.09,2660.11,1.0
h[22],-0.16,0.04,-0.24,-0.1,0.0,0.0,3096.09,2660.11,1.0
h[23],-0.16,0.04,-0.24,-0.1,0.0,0.0,3096.09,2660.11,1.0
h[24],-0.16,0.04,-0.24,-0.1,0.0,0.0,3096.09,2660.11,1.0
h[25],-0.16,0.04,-0.24,-0.1,0.0,0.0,3096.09,2660.11,1.0
h[26],-0.2,0.05,-0.29,-0.12,0.0,0.0,3096.09,2660.11,1.0
h[27],-0.2,0.05,-0.29,-0.12,0.0,0.0,3096.09,2660.11,1.0
h[28],-0.2,0.05,-0.29,-0.12,0.0,0.0,3096.09,2660.11,1.0
h[29],-0.2,0.05,-0.29,-0.12,0.0,0.0,3096.09,2660.11,1.0
h[30],-0.09,0.02,-0.13,-0.05,0.0,0.0,3096.09,2660.11,1.0
h[31],-0.09,0.02,-0.13,-0.05,0.0,0.0,3096.09,2660.11,1.0
h[32],-0.09,0.02,-0.13,-0.05,0.0,0.0,3096.09,2660.11,1.0
h[33],-0.09,0.02,-0.13,-0.05,0.0,0.0,3096.09,2660.11,1.0
h[34],-0.09,0.02,-0.13,-0.05,0.0,0.0,3096.09,2660.11,1.0
h[35],-0.03,0.01,-0.04,-0.02,0.0,0.0,3096.09,2660.11,1.0
h[36],-0.03,0.01,-0.04,-0.02,0.0,0.0,3096.09,2660.11,1.0
o_*[0],6.57,0.14,6.31,6.84,0.0,0.0,2637.88,2800.87,1.0
o_*[1],6.14,0.14,5.88,6.41,0.0,0.0,2637.88,2800.87,1.0
o_*[2],6.18,0.14,5.92,6.45,0.0,0.0,2637.88,2800.87,1.0
o_*[3],6.81,0.14,6.55,7.08,0.0,0.0,2637.88,2800.87,1.0
o_*[4],6.9,0.14,6.65,7.14,0.0,0.0,2643.63,2697.06,1.0
o_*[5],7.2,0.14,6.95,7.44,0.0,0.0,2643.63,2697.06,1.0
o_*[6],7.12,0.14,6.87,7.36,0.0,0.0,2643.63,2697.06,1.0
o_*[7],6.71,0.14,6.46,6.95,0.0,0.0,2643.63,2697.06,1.0
o_*[8],7.22,0.14,6.97,7.46,0.0,0.0,2643.63,2697.06,1.0
o_*[9],7.17,0.1,6.99,7.35,0.0,0.0,2715.4,2823.43,1.0
o_*[10],7.33,0.1,7.15,7.51,0.0,0.0,2715.4,2823.43,1.0
o_*[11],7.6,0.1,7.42,7.78,0.0,0.0,2715.4,2823.43,1.0
o_*[12],7.53,0.1,7.35,7.71,0.0,0.0,2715.4,2823.43,1.0
o_*[13],7.72,0.08,7.56,7.86,0.0,0.0,2821.09,2854.16,1.0
o_*[14],7.7,0.08,7.54,7.84,0.0,0.0,2821.09,2854.16,1.0
o_*[15],7.65,0.08,7.49,7.79,0.0,0.0,2821.09,2854.16,1.0
o_*[16],7.55,0.08,7.39,7.69,0.0,0.0,2821.09,2854.16,1.0
o_*[17],7.63,0.06,7.51,7.73,0.0,0.0,2770.53,2533.58,1.0
o_*[18],7.69,0.06,7.57,7.79,0.0,0.0,2770.53,2533.58,1.0
o_*[19],7.41,0.06,7.29,7.51,0.0,0.0,2770.53,2533.58,1.0
o_*[20],7.8,0.06,7.68,7.9,0.0,0.0,2770.53,2533.58,1.0
o_*[21],7.97,0.06,7.85,8.07,0.0,0.0,2770.53,2533.58,1.0
o_*[22],7.85,0.06,7.73,7.97,0.0,0.0,2905.44,2874.05,1.0
o_*[23],7.96,0.06,7.84,8.08,0.0,0.0,2905.44,2874.05,1.0
o_*[24],7.98,0.06,7.86,8.1,0.0,0.0,2905.44,2874.05,1.0
o_*[25],8.09,0.06,7.97,8.21,0.0,0.0,2905.44,2874.05,1.0
o_*[26],7.88,0.06,7.76,8.0,0.0,0.0,2958.21,2979.66,1.0
o_*[27],7.82,0.06,7.7,7.94,0.0,0.0,2958.21,2979.66,1.0
o_*[28],7.59,0.06,7.47,7.71,0.0,0.0,2958.21,2979.66,1.0
o_*[29],7.74,0.06,7.62,7.86,0.0,0.0,2958.21,2979.66,1.0
o_*[30],7.24,0.06,7.13,7.34,0.0,0.0,2815.73,2875.87,1.0
o_*[31],7.37,0.06,7.26,7.47,0.0,0.0,2815.73,2875.87,1.0
o_*[32],7.46,0.06,7.35,7.56,0.0,0.0,2815.73,2875.87,1.0
o_*[33],7.36,0.06,7.25,7.46,0.0,0.0,2815.73,2875.87,1.0
o_*[34],7.31,0.06,7.2,7.41,0.0,0.0,2815.73,2875.87,1.0
o_*[35],7.19,0.06,7.07,7.29,0.0,0.0,2751.19,2753.68,1.0
o_*[36],7.12,0.06,7.0,7.22,0.0,0.0,2751.19,2753.68,1.0
risk_H[0],0.47,0.03,0.41,0.52,0.0,0.0,3227.46,2519.8,1.0
risk_H[1],0.61,0.04,0.52,0.69,0.0,0.0,3117.2,2615.47,1.0
risk_H[2],0.68,0.03,0.62,0.75,0.0,0.0,2939.15,2813.14,1.0
risk_H[3],0.66,0.02,0.63,0.7,0.0,0.0,2703.37,2236.57,1.0
risk_H[4],0.62,0.02,0.59,0.65,0.0,0.0,2786.1,2494.42,1.0
risk_H[5],0.55,0.02,0.5,0.59,0.0,0.0,3165.96,2527.5,1.0
risk_H[6],0.48,0.02,0.43,0.53,0.0,0.0,3051.64,2578.22,1.0
risk_H[7],0.44,0.02,0.39,0.47,0.0,0.0,2889.8,2583.34,1.0
risk_H[8],0.4,0.02,0.37,0.44,0.0,0.0,2844.15,2402.61,1.0
risk_H[9],0.38,0.02,0.35,0.41,0.0,0.0,2867.66,2407.34,1.0
risk_H[10],0.36,0.01,0.34,0.39,0.0,0.0,2883.4,2334.32,1.0
risk_H[11],0.35,0.01,0.33,0.37,0.0,0.0,2901.06,2528.25,1.0
