,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,4.23,0.92,2.69,6.03,0.02,0.01,2346.04,1949.28,1.0
delta_h,3.22,0.76,1.82,4.56,0.02,0.01,1520.9,2449.55,1.01
z_ICU,0.31,0.04,0.25,0.39,0.0,0.0,252.32,59.5,1.02
mu_ICU,1.82,0.55,0.89,2.86,0.02,0.01,804.13,2554.07,1.01
sigma_ICU,1.64,0.67,0.64,2.85,0.03,0.02,502.23,1548.92,1.01
z_S,0.21,0.08,0.09,0.36,0.01,0.01,224.56,34.69,1.02
f0,0.01,0.01,0.0,0.02,0.0,0.0,147.79,40.21,1.03
r,0.01,0.0,0.0,0.01,0.0,0.0,1411.38,365.65,1.0
sigma_model,0.52,0.09,0.36,0.69,0.01,0.0,293.11,95.69,1.02
k[0],0.7,0.15,0.45,1.0,0.0,0.0,2346.04,1949.28,1.0
k[1],0.7,0.15,0.45,1.0,0.0,0.0,2346.04,1949.28,1.0
k[2],0.7,0.15,0.45,1.0,0.0,0.0,2346.04,1949.28,1.0
k[3],0.7,0.15,0.45,1.0,0.0,0.0,2346.04,1949.28,1.0
k[4],0.68,0.15,0.44,0.98,0.0,0.0,2346.04,1949.28,1.0
k[5],0.68,0.15,0.44,0.98,0.0,0.0,2346.04,1949.28,1.0
k[6],0.68,0.15,0.44,0.98,0.0,0.0,2346.04,1949.28,1.0
k[7],0.68,0.15,0.44,0.98,0.0,0.0,2346.04,1949.28,1.0
k[8],0.68,0.15,0.44,0.98,0.0,0.0,2346.04,1949.28,1.0
k[9],0.54,0.12,0.34,0.77,0.0,0.0,2346.04,1949.28,1.0
k[10],0.54,0.12,0.34,0.77,0.0,0.0,2346.04,1949.28,1.0
k[11],0.54,0.12,0.34,0.77,0.0,0.0,2346.04,1949.28,1.0
k[12],0.54,0.12,0.34,0.77,0.0,0.0,2346.04,1949.28,1.0
k[13],0.41,0.09,0.26,0.58,0.0,0.0,2346.04,1949.28,1.0
k[14],0.41,0.09,0.26,0.58,0.0,0.0,2346.04,1949.28,1.0
k[15],0.41,0.09,0.26,0.58,0.0,0.0,2346.04,1949.28,1.0
k[16],0.41,0.09,0.26,0.58,0.0,0.0,2346.04,1949.28,1.0
k[17],0.31,0.07,0.2,0.45,0.0,0.0,2346.04,1949.28,1.0
k[18],0.31,0.07,0.2,0.45,0.0,0.0,2346.04,1949.28,1.0
k[19],0.31,0.07,0.2,0.45,0.0,0.0,2346.04,1949.28,1.0
k[20],0.31,0.07,0.2,0.45,0.0,0.0,2346.04,1949.28,1.0
k[21],0.31,0.07,0.2,0.45,0.0,0.0,2346.04,1949.28,1.0
k[22],0.27,0.06,0.17,0.38,0.0,0.0,2346.04,1949.28,1.0
k[23],0.27,0.06,0.17,0.38,0.0,0.0,2346.04,1949.28,1.0
k[24],0.27,0.06,0.17,0.38,0.0,0.0,2346.04,1949.28,1.0
k[25],0.27,0.06,0.17,0.38,0.0,0.0,2346.04,1949.28,1.0
k[26],0.24,0.05,0.15,0.34,0.0,0.0,2346.04,1949.28,1.0
k[27],0.24,0.05,0.15,0.34,0.0,0.0,2346.04,1949.28,1.0
k[28],0.24,0.05,0.15,0.34,0.0,0.0,2346.04,1949.28,1.0
k[29],0.24,0.05,0.15,0.34,0.0,0.0,2346.04,1949.28,1.0
k[30],0.28,0.06,0.18,0.4,0.0,0.0,2346.04,1949.28,1.0
k[31],0.28,0.06,0.18,0.4,0.0,0.0,2346.04,1949.28,1.0
k[32],0.28,0.06,0.18,0.4,0.0,0.0,2346.04,1949.28,1.0
k[33],0.28,0.06,0.18,0.4,0.0,0.0,2346.04,1949.28,1.0
k[34],0.28,0.06,0.18,0.4,0.0,0.0,2346.04,1949.28,1.0
k[35],0.32,0.07,0.2,0.45,0.0,0.0,2346.04,1949.28,1.0
k[36],0.32,0.07,0.2,0.45,0.0,0.0,2346.04,1949.28,1.0
h[0],0.29,0.07,0.17,0.41,0.0,0.0,1520.9,2449.55,1.01
h[1],0.29,0.07,0.17,0.41,0.0,0.0,1520.9,2449.55,1.01
h[2],0.29,0.07,0.17,0.41,0.0,0.0,1520.9,2449.55,1.01
h[3],0.29,0.07,0.17,0.41,0.0,0.0,1520.9,2449.55,1.01
h[4],0.23,0.05,0.13,0.33,0.0,0.0,1520.9,2449.55,1.01
h[5],0.23,0.05,0.13,0.33,0.0,0.0,1520.9,2449.55,1.01
h[6],0.23,0.05,0.13,0.33,0.0,0.0,1520.9,2449.55,1.01
h[7],0.23,0.05,0.13,0.33,0.0,0.0,1520.9,2449.55,1.01
h[8],0.23,0.05,0.13,0.33,0.0,0.0,1520.9,2449.55,1.01
h[9],0.01,0.0,0.01,0.01,0.0,0.0,1520.9,2449.55,1.01
h[10],0.01,0.0,0.01,0.01,0.0,0.0,1520.9,2449.55,1.01
h[11],0.01,0.0,0.01,0.01,0.0,0.0,1520.9,2449.55,1.01
h[12],0.01,0.0,0.01,0.01,0.0,0.0,1520.9,2449.55,1.01
h[13],-0.15,0.03,-0.21,-0.08,0.0,0.0,1520.9,2354.78,1.01
h[14],-0.15,0.03,-0.21,-0.08,0.0,0.0,1520.9,2354.78,1.01
h[15],-0.15,0.03,-0.21,-0.08,0.0,0.0,1520.9,2354.78,1.01
h[16],-0.15,0.03,-0.21,-0.08,0.0,0.0,1520.9,2354.78,1.01
h[17],-0.05,0.01,-0.07,-0.03,0.0,0.0,1520.9,2354.78,1.01
h[18],-0.05,0.01,-0.07,-0.03,0.0,0.0,1520.9,2354.78,1.01
h[19],-0.05,0.01,-0.07,-0.03,0.0,0.0,1520.9,2354.78,1.01
h[20],-0.05,0.01,-0.07,-0.03,0.0,0.0,1520.9,2354.78,1.01
h[21],-0.05,0.01,-0.07,-0.03,0.0,0.0,1520.9,2354.78,1.01
