,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.7,0.77,2.27,5.1,0.05,0.04,348.88,97.42,1.04
delta_h,3.82,0.86,2.32,5.44,0.04,0.03,400.46,607.53,1.02
z_R,0.38,0.05,0.31,0.48,0.01,0.01,25.08,194.89,1.11
mu_R,2.05,0.59,1.05,3.24,0.03,0.02,422.2,184.8,1.02
sigma_R,1.97,0.75,0.7,3.35,0.05,0.04,297.03,138.63,1.02
z_S,0.2,0.06,0.1,0.31,0.0,0.0,730.2,839.32,1.02
f0,0.03,0.03,0.0,0.08,0.01,0.01,23.74,14.02,1.11
r,0.01,0.0,0.0,0.01,0.0,0.0,861.14,1324.8,1.0
sigma_model,0.37,0.05,0.28,0.48,0.0,0.0,463.25,328.05,1.01
k[0],0.61,0.13,0.38,0.85,0.01,0.01,348.88,97.42,1.04
k[1],0.61,0.13,0.38,0.85,0.01,0.01,348.88,97.42,1.04
k[2],0.61,0.13,0.38,0.85,0.01,0.01,348.88,97.42,1.04
k[3],0.61,0.13,0.38,0.85,0.01,0.01,348.88,97.42,1.04
k[4],0.6,0.12,0.37,0.83,0.01,0.01,348.88,97.42,1.04
k[5],0.6,0.12,0.37,0.83,0.01,0.01,348.88,97.42,1.04
k[6],0.6,0.12,0.37,0.83,0.01,0.01,348.88,97.42,1.04
k[7],0.6,0.12,0.37,0.83,0.01,0.01,348.88,97.42,1.04
k[8],0.6,0.12,0.37,0.83,0.01,0.01,348.88,97.42,1.04
k[9],0.47,0.1,0.29,0.65,0.01,0.0,348.88,97.42,1.04
k[10],0.47,0.1,0.29,0.65,0.01,0.0,348.88,97.42,1.04
k[11],0.47,0.1,0.29,0.65,0.01,0.0,348.88,97.42,1.04
k[12],0.47,0.1,0.29,0.65,0.01,0.0,348.88,97.42,1.04
k[13],0.35,0.07,0.22,0.49,0.0,0.0,348.88,97.42,1.04
k[14],0.35,0.07,0.22,0.49,0.0,0.0,348.88,97.42,1.04
k[15],0.35,0.07,0.22,0.49,0.0,0.0,348.88,97.42,1.04
k[16],0.35,0.07,0.22,0.49,0.0,0.0,348.88,97.42,1.04
k[17],0.27,0.06,0.17,0.38,0.0,0.0,348.88,97.42,1.04
k[18],0.27,0.06,0.17,0.38,0.0,0.0,348.88,97.42,1.04
k[19],0.27,0.06,0.17,0.38,0.0,0.0,348.88,97.42,1.04
k[20],0.27,0.06,0.17,0.38,0.0,0.0,348.88,97.42,1.04
k[21],0.27,0.06,0.17,0.38,0.0,0.0,348.88,97.42,1.04
k[22],0.23,0.05,0.14,0.32,0.0,0.0,348.88,97.42,1.04
k[23],0.23,0.05,0.14,0.32,0.0,0.0,348.88,97.42,1.04
k[24],0.23,0.05,0.14,0.32,0.0,0.0,348.88,97.42,1.04
k[25],0.23,0.05,0.14,0.32,0.0,0.0,348.88,97.42,1.04
k[26],0.21,0.04,0.13,0.29,0.0,0.0,348.88,97.42,1.04
k[27],0.21,0.04,0.13,0.29,0.0,0.0,348.88,97.42,1.04
k[28],0.21,0.04,0.13,0.29,0.0,0.0,348.88,97.42,1.04
k[29],0.21,0.04,0.13,0.29,0.0,0.0,348.88,97.42,1.04
k[30],0.24,0.05,0.15,0.34,0.0,0.0,348.88,97.42,1.04
k[31],0.24,0.05,0.15,0.34,0.0,0.0,348.88,97.42,1.04
k[32],0.24,0.05,0.15,0.34,0.0,0.0,348.88,97.42,1.04
k[33],0.24,0.05,0.15,0.34,0.0,0.0,348.88,97.42,1.04
k[34],0.24,0.05,0.15,0.34,0.0,0.0,348.88,97.42,1.04
k[35],0.28,0.06,0.17,0.38,0.0,0.0,348.88,97.42,1.04
k[36],0.28,0.06,0.17,0.38,0.0,0.0,348.88,97.42,1.04
h[0],0.35,0.08,0.21,0.5,0.0,0.0,400.46,607.53,1.02
h[1],0.35,0.08,0.21,0.5,0.0,0.0,400.46,607.53,1.02
h[2],0.35,0.08,0.21,0.5,0.0,0.0,400.46,607.53,1.02
h[3],0.35,0.08,0.21,0.5,0.0,0.0,400.46,607.53,1.02
h[4],0.28,0.06,0.17,0.39,0.0,0.0,400.46,607.53,1.02
h[5],0.28,0.06,0.17,0.39,0.0,0.0,400.46,607.53,1.02
h[6],0.28,0.06,0.17,0.39,0.0,0.0,400.46,607.53,1.02
h[7],0.28,0.06,0.17,0.39,0.0,0.0,400.46,607.53,1.02
h[8],0.28,0.06,0.17,0.39,0.0,0.0,400.46,607.53,1.02
h[9],0.01,0.0,0.01,0.02,0.0,0.0,400.46,607.53,1.02
h[10],0.01,0.0,0.01,0.02,0.0,0.0,400.46,607.53,1.02
h[11],0.01,0.0,0.01,0.02,0.0,0.0,400.46,607.53,1.02
h[12],0.01,0.0,0.01,0.02,0.0,0.0,400.46,607.53,1.02
h[13],-0.18,0.04,-0.25,-0.11,0.0,0.0,400.46,607.53,1.02
h[14],-0.18,0.04,-0.25,-0.11,0.0,0.0,400.46,607.53,1.02
h[15],-0.18,0.04,-0.25,-0.11,0.0,0.0,400.46,607.53,1.02
h[16],-0.18,0.04,-0.25,-0.11,0.0,0.0,400.46,607.53,1.02
h[17],-0.06,0.01,-0.08,-0.03,0.0,0.0,400.46,607.53,1.02
h[18],-0.06,0.01,-0.08,-0.03,0.0,0.0,400.46,607.53,1.02
h[19],-0.06,0.01,-0.08,-0.03,0.0,0.0,400.46,607.53,1.02
h[20],-0.06,0.01,-0.08,-0.03,0.0,0.0,400.46,607.53,1.02
h[21],-0.06,0.01,-0.08,-0.03,0.0,0.0,400.46,607.53,1.02
h[22],-0.22,0.05,-0.31,-0.13,0.0,0.0,400.46,607.53,1.02
h[23],-0.22,0.05,-0.31,-0.13,0.0,0.0,400.46,607.53,1.02
h[24],-0.22,0.05,-0.31,-0.13,0.0,0.0,400.46,607.53,1.02
h[25],-0.22,0.05,-0.31,-0.13,0.0,0.0,400.46,607.53,1.02
h[26],-0.26,0.06,-0.37,-0.16,0.0,0.0,400.46,607.53,1.02
h[27],-0.26,0.06,-0.37,-0.16,0.0,0.0,400.46,607.53,1.02
h[28],-0.26,0.06,-0.37,-0.16,0.0,0.0,400.46,607.53,1.02
h[29],-0.26,0.06,-0.37,-0.16,0.0,0.0,400.46,607.53,1.02
h[30],-0.11,0.03,-0.16,-0.07,0.0,0.0,400.46,607.53,1.02
h[31],-0.11,0.03,-0.16,-0.07,0.0,0.0,400.46,607.53,1.02
h[32],-0.11,0.03,-0.16,-0.07,0.0,0.0,400.46,607.53,1.02
h[33],-0.11,0.03,-0.16,-0.07,0.0,0.0,400.46,607.53,1.02
h[34],-0.11,0.03,-0.16,-0.07,0.0,0.0,400.46,607.53,1.02
h[35],-0.04,0.01,-0.05,-0.02,0.0,0.0,400.46,607.53,1.02
h[36],-0.04,0.01,-0.05,-0.02,0.0,0.0,400.46,607.53,1.02
o_*[0],6.51,0.14,6.24,6.76,0.01,0.01,303.28,109.74,1.02
o_*[1],6.08,0.14,5.81,6.33,0.01,0.01,303.28,109.74,1.02
o_*[2],6.12,0.14,5.85,6.37,0.01,0.01,303.28,109.74,1.02
o_*[3],6.75,0.14,6.48,7.0,0.01,0.01,303.28,101.93,1.02
o_*[4],6.86,0.13,6.61,7.1,0.01,0.01,305.01,97.29,1.02
o_*[5],7.16,0.13,6.91,7.4,0.01,0.01,305.01,97.29,1.02
o_*[6],7.08,0.13,6.83,7.32,0.01,0.01,305.01,97.29,1.02
o_*[7],6.67,0.13,6.42,6.91,0.01,0.01,305.01,97.29,1.02
o_*[8],7.18,0.13,6.93,7.42,0.01,0.01,305.01,97.29,1.02
o_*[9],7.19,0.1,7.01,7.37,0.01,0.0,345.67,96.95,1.04
o_*[10],7.35,0.1,7.17,7.53,0.01,0.0,345.67,96.95,1.04
o_*[11],7.62,0.1,7.44,7.8,0.01,0.0,345.67,96.95,1.04
o_*[12],7.55,0.1,7.37,7.73,0.01,0.0,345.67,96.95,1.04
o_*[13],7.78,0.09,7.63,7.97,0.01,0.0,375.11,115.88,1.02
o_*[14],7.76,0.09,7.61,7.95,0.01,0.0,375.11,115.88,1.02
o_*[15],7.71,0.09,7.56,7.9,0.01,0.0,375.11,115.88,1.02
o_*[16],7.61,0.09,7.46,7.8,0.01,0.0,375.11,115.88,1.02
o_*[17],7.65,0.06,7.55,7.77,0.0,0.0,369.25,105.24,1.05
o_*[18],7.71,0.06,7.61,7.83,0.0,0.0,369.25,105.24,1.05
o_*[19],7.43,0.06,7.33,7.55,0.0,0.0,369.25,105.24,1.05
o_*[20],7.82,0.06,7.72,7.94,0.0,0.0,369.25,105.24,1.05
o_*[21],7.99,0.06,7.89,8.11,0.0,0.0,369.25,105.24,1.05
o_*[22],7.91,0.07,7.77,8.06,0.0,0.0,357.47,119.17,1.01
o_*[23],8.02,0.07,7.88,8.17,0.0,0.0,357.47,119.17,1.01
o_*[24],8.04,0.07,7.9,8.19,0.0,0.0,357.47,119.17,1.01
o_*[25],8.15,0.07,8.01,8.3,0.0,0.0,357.47,119.17,1.01
o_*[26],7.95,0.08,7.81,8.11,0.0,0.0,346.48,125.73,1.01
o_*[27],7.89,0.08,7.75,8.05,0.0,0.0,346.48,125.73,1.01
o_*[28],7.66,0.08,7.52,7.82,0.0,0.0,346.48,125.73,1.01
o_*[29],7.81,0.08,7.67,7.97,0.0,0.0,346.48,125.73,1.01
o_*[30],7.28,0.06,7.18,7.41,0.0,0.0,375.18,115.72,1.02
o_*[31],7.41,0.06,7.31,7.54,0.0,0.0,375.18,115.72,1.02
o_*[32],7.5,0.06,7.4,7.63,0.0,0.0,375.18,115.72,1.02
o_*[33],7.4,0.06,7.3,7.53,0.0,0.0,375.18,115.72,1.02
o_*[34],7.35,0.06,7.25,7.48,0.0,0.0,375.18,115.72,1.02
o_*[35],7.21,0.06,7.1,7.32,0.0,0.0,364.4,104.92,1.06
o_*[36],7.14,0.06,7.03,7.25,0.0,0.0,364.4,104.92,1.06
risk_R[0],0.61,0.06,0.53,0.74,0.0,0.0,674.47,719.97,1.01
risk_R[1],0.5,0.04,0.42,0.58,0.0,0.0,363.54,662.09,1.02
risk_R[2],0.43,0.03,0.36,0.48,0.0,0.0,311.27,652.78,1.02
risk_R[3],0.37,0.03,0.32,0.42,0.0,0.0,272.7,135.27,1.02
risk_R[4],0.35,0.02,0.31,0.39,0.0,0.0,267.51,109.23,1.02
risk_R[5],0.34,0.02,0.31,0.37,0.0,0.0,272.62,114.42,1.02
risk_R[6],0.34,0.01,0.32,0.37,0.0,0.0,327.08,142.03,1.02
risk_R[7],0.35,0.01,0.33,0.37,0.0,0.0,337.95,146.86,1.01
risk_R[8],0.35,0.01,0.34,0.36,0.0,0.0,154.82,147.17,1.03
risk_R[9],0.35,0.0,0.34,0.36,0.0,0.0,471.44,179.01,1.04
risk_R[10],0.36,0.0,0.35,0.37,0.0,0.0,682.53,366.93,1.04
risk_R[11],0.4,0.01,0.38,0.42,0.0,0.0,430.4,763.02,1.01
risk_R[12],0.49,0.03,0.43,0.53,0.0,0.0,317.32,800.89,1.02
risk_R[13],0.42,0.02,0.4,0.47,0.0,0.0,1062.53,1392.76,1.03
risk_R[14],0.4,0.01,0.39,0.43,0.0,0.0,1061.06,660.19,1.01
risk_R[15],0.41,0.01,0.4,0.42,0.0,0.0,943.05,1817.44,1.01
risk_R[16],0.46,0.01,0.43,0.48,0.0,0.0,342.31,729.88,1.02
risk_R[17],0.49,0.01,0.47,0.51,0.0,0.0,288.08,399.23,1.02
risk_R[18],0.49,0.01,0.47,0.5,0.0,0.0,285.33,114.28,1.02
risk_R[19],0.5,0.01,0.49,0.51,0.0,0.0,162.26,114.43,1.03
risk_R[20],0.51,0.01,0.49,0.51,0.0,0.0,250.69,121.0,1.02
risk_R[21],0.47,0.01,0.46,0.5,0.0,0.0,1085.29,911.32,1.04
risk_R[22],0.44,0.01,0.43,0.47,0.0,0.0,400.78,682.2,1.01
