,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.04,0.59,1.95,4.14,0.02,0.02,967.01,726.17,1.0
delta_h,3.02,0.61,1.86,4.1,0.02,0.01,1219.48,1315.81,1.0
z_R,0.2,0.04,0.13,0.27,0.0,0.0,522.14,441.43,1.01
mu_R,1.94,0.49,1.08,2.86,0.01,0.01,1575.86,1861.28,1.0
sigma_R,1.55,0.66,0.54,2.74,0.02,0.01,1169.56,1168.73,1.0
z_C,0.21,0.03,0.15,0.26,0.0,0.0,894.87,771.33,1.01
mu_C,1.83,0.52,0.9,2.79,0.01,0.01,1191.52,1666.54,1.01
sigma_C,1.48,0.54,0.64,2.49,0.02,0.01,1138.13,1262.21,1.0
z_S,0.14,0.04,0.07,0.2,0.0,0.0,1857.48,1638.39,1.0
f0,0.03,0.02,0.0,0.07,0.0,0.0,293.76,304.59,1.02
r,0.01,0.0,0.0,0.01,0.0,0.0,3059.1,2770.62,1.0
sigma_model,0.23,0.04,0.17,0.3,0.0,0.0,1097.94,809.95,1.0
k[0],0.5,0.1,0.32,0.69,0.0,0.0,967.01,726.17,1.0
k[1],0.5,0.1,0.32,0.69,0.0,0.0,967.01,726.17,1.0
k[2],0.5,0.1,0.32,0.69,0.0,0.0,967.01,726.17,1.0
k[3],0.5,0.1,0.32,0.69,0.0,0.0,967.01,726.17,1.0
k[4],0.49,0.1,0.32,0.67,0.0,0.0,967.01,726.17,1.0
k[5],0.49,0.1,0.32,0.67,0.0,0.0,967.01,726.17,1.0
k[6],0.49,0.1,0.32,0.67,0.0,0.0,967.01,726.17,1.0
k[7],0.49,0.1,0.32,0.67,0.0,0.0,967.01,726.17,1.0
k[8],0.49,0.1,0.32,0.67,0.0,0.0,967.01,726.17,1.0
k[9],0.39,0.08,0.25,0.53,0.0,0.0,967.01,726.17,1.0
k[10],0.39,0.08,0.25,0.53,0.0,0.0,967.01,726.17,1.0
k[11],0.39,0.08,0.25,0.53,0.0,0.0,967.01,726.17,1.0
k[12],0.39,0.08,0.25,0.53,0.0,0.0,967.01,726.17,1.0
k[13],0.29,0.06,0.19,0.4,0.0,0.0,967.01,726.17,1.0
k[14],0.29,0.06,0.19,0.4,0.0,0.0,967.01,726.17,1.0
k[15],0.29,0.06,0.19,0.4,0.0,0.0,967.01,726.17,1.0
k[16],0.29,0.06,0.19,0.4,0.0,0.0,967.01,726.17,1.0
k[17],0.22,0.04,0.14,0.31,0.0,0.0,967.01,726.17,1.0
k[18],0.22,0.04,0.14,0.31,0.0,0.0,967.01,726.17,1.0
k[19],0.22,0.04,0.14,0.31,0.0,0.0,967.01,726.17,1.0
k[20],0.22,0.04,0.14,0.31,0.0,0.0,967.01,726.17,1.0
k[21],0.22,0.04,0.14,0.31,0.0,0.0,967.01,726.17,1.0
k[22],0.19,0.04,0.12,0.26,0.0,0.0,967.01,726.17,1.0
k[23],0.19,0.04,0.12,0.26,0.0,0.0,967.01,726.17,1.0
k[24],0.19,0.04,0.12,0.26,0.0,0.0,967.01,726.17,1.0
k[25],0.19,0.04,0.12,0.26,0.0,0.0,967.01,726.17,1.0
k[26],0.17,0.03,0.11,0.23,0.0,0.0,967.01,726.17,1.0
k[27],0.17,0.03,0.11,0.23,0.0,0.0,967.01,726.17,1.0
k[28],0.17,0.03,0.11,0.23,0.0,0.0,967.01,726.17,1.0
k[29],0.17,0.03,0.11,0.23,0.0,0.0,967.01,726.17,1.0
k[30],0.2,0.04,0.13,0.27,0.0,0.0,967.01,726.17,1.0
k[31],0.2,0.04,0.13,0.27,0.0,0.0,967.01,726.17,1.0
k[32],0.2,0.04,0.13,0.27,0.0,0.0,967.01,726.17,1.0
k[33],0.2,0.04,0.13,0.27,0.0,0.0,967.01,726.17,1.0
k[34],0.2,0.04,0.13,0.27,0.0,0.0,967.01,726.17,1.0
k[35],0.23,0.04,0.15,0.31,0.0,0.0,967.01,726.17,1.0
k[36],0.23,0.04,0.15,0.31,0.0,0.0,967.01,726.17,1.0
h[0],0.28,0.06,0.17,0.37,0.0,0.0,1219.48,1315.81,1.0
h[1],0.28,0.06,0.17,0.37,0.0,0.0,1219.48,1315.81,1.0
h[2],0.28,0.06,0.17,0.37,0.0,0.0,1219.48,1315.81,1.0
h[3],0.28,0.06,0.17,0.37,0.0,0.0,1219.48,1315.81,1.0
h[4],0.22,0.04,0.13,0.3,0.0,0.0,1219.48,1315.81,1.0
h[5],0.22,0.04,0.13,0.3,0.0,0.0,1219.48,1315.81,1.0
h[6],0.22,0.04,0.13,0.3,0.0,0.0,1219.48,1315.81,1.0
h[7],0.22,0.04,0.13,0.3,0.0,0.0,1219.48,1315.81,1.0
h[8],0.22,0.04,0.13,0.3,0.0,0.0,1219.48,1315.81,1.0
h[9],0.01,0.0,0.01,0.01,0.0,0.0,1219.48,1315.81,1.0
h[10],0.01,0.0,0.01,0.01,0.0,0.0,1219.48,1315.81,1.0
h[11],0.01,0.0,0.01,0.01,0.0,0.0,1219.48,1315.81,1.0
h[12],0.01,0.0,0.01,0.01,0.0,0.0,1219.48,1315.81,1.0
h[13],-0.14,0.03,-0.19,-0.09,0.0,0.0,1219.48,1315.81,1.0
h[14],-0.14,0.03,-0.19,-0.09,0.0,0.0,1219.48,1315.81,1.0
h[15],-0.14,0.03,-0.19,-0.09,0.0,0.0,1219.48,1315.81,1.0
h[16],-0.14,0.03,-0.19,-0.09,0.0,0.0,1219.48,1315.81,1.0
h[17],-0.05,0.01,-0.06,-0.03,0.0,0.0,1219.48,1315.81,1.0
h[18],-0.05,0.01,-0.06,-0.03,0.0,0.0,1219.48,1315.81,1.0
h[19],-0.05,0.01,-0.06,-0.03,0.0,0.0,1219.48,1315.81,1.0
h[20],-0.05,0.01,-0.06,-0.03,0.0,0.0,1219.48,1315.81,1.0
h[21],-0.05,0.01,-0.06,-0.03,0.0,0.0,1219.48,1315.81,1.0
h[22],-0.17,0.03,-0.23,-0.11,0.0,0.0,1219.48,1315.81,1.0
h[23],-0.17,0.03,-0.23,-0.11,0.0,0.0,1219.48,1315.81,1.0
h[24],-0.17,0.03,-0.23,-0.11,0.0,0.0,1219.48,1315.81,1.0
h[25],-0.17,0.03,-0.23,-0.11,0.0,0.0,1219.48,1315.81,1.0
h[26],-0.21,0.04,-0.28,-0.13,0.0,0.0,1219.48,1315.81,1.0
h[27],-0.21,0.04,-0.28,-0.13,0.0,0.0,1219.48,1315.81,1.0
h[28],-0.21,0.04,-0.28,-0.13,0.0,0.0,1219.48,1315.81,1.0
h[29],-0.21,0.04,-0.28,-0.13,0.0,0.0,1219.48,1315.81,1.0
h[30],-0.09,0.02,-0.12,-0.06,0.0,0.0,1219.48,1315.81,1.0
h[31],-0.09,0.02,-0.12,-0.06,0.0,0.0,1219.48,1315.81,1.0
h[32],-0.09,0.02,-0.12,-0.06,0.0,0.0,1219.48,1315.81,1.0
h[33],-0.09,0.02,-0.12,-0.06,0.0,0.0,1219.48,1315.81,1.0
h[34],-0.09,0.02,-0.12,-0.06,0.0,0.0,1219.48,1315.81,1.0
h[35],-0.03,0.01,-0.04,-0.02,0.0,0.0,1219.48,1315.81,1.0
h[36],-0.03,0.01,-0.04,-0.02,0.0,0.0,1219.48,1315.81,1.0
o_*[0],6.69,0.11,6.49,6.88,0.0,0.0,869.18,774.18,1.0
o_*[1],6.26,0.11,6.06,6.45,0.0,0.0,869.18,774.18,1.0
o_*[2],6.3,0.11,6.1,6.49,0.0,0.0,869.18,774.18,1.0
o_*[3],6.93,0.11,6.73,7.12,0.0,0.0,869.18,774.18,1.0
o_*[4],7.02,0.1,6.84,7.21,0.0,0.0,874.47,766.01,1.0
o_*[5],7.32,0.1,7.14,7.51,0.0,0.0,874.47,766.01,1.0
o_*[6],7.24,0.1,7.06,7.43,0.0,0.0,874.47,766.01,1.0
o_*[7],6.83,0.1,6.65,7.02,0.0,0.0,874.47,766.01,1.0
o_*[8],7.34,0.1,7.16,7.53,0.0,0.0,874.47,766.01,1.0
o_*[9],7.28,0.08,7.14,7.42,0.0,0.0,958.68,744.7,1.0
o_*[10],7.44,0.08,7.3,7.58,0.0,0.0,958.68,744.7,1.0
o_*[11],7.71,0.08,7.57,7.85,0.0,0.0,958.68,744.7,1.0
o_*[12],7.64,0.08,7.5,7.78,0.0,0.0,958.68,744.7,1.0
o_*[13],7.81,0.07,7.67,7.93,0.0,0.0,1067.96,718.92,1.01
o_*[14],7.79,0.07,7.65,7.91,0.0,0.0,1067.96,718.92,1.01
o_*[15],7.74,0.07,7.6,7.86,0.0,0.0,1067.96,718.92,1.01
o_*[16],7.64,0.07,7.5,7.76,0.0,0.0,1067.96,718.92,1.01
o_*[17],7.69,0.05,7.61,7.78,0.0,0.0,1020.79,721.13,1.01
o_*[18],7.75,0.05,7.67,7.84,0.0,0.0,1020.79,721.13,1.01
o_*[19],7.47,0.05,7.39,7.56,0.0,0.0,1020.79,721.13,1.01
o_*[20],7.86,0.05,7.78,7.95,0.0,0.0,1020.79,721.13,1.01
o_*[21],8.03,0.05,7.95,8.12,0.0,0.0,1020.79,721.13,1.01
o_*[22],7.91,0.05,7.8,8.01,0.0,0.0,1121.78,1087.17,1.0
o_*[23],8.02,0.05,7.91,8.12,0.0,0.0,1121.78,1087.17,1.0
o_*[24],8.04,0.05,7.93,8.14,0.0,0.0,1121.78,1087.17,1.0
o_*[25],8.15,0.05,8.04,8.25,0.0,0.0,1121.78,1087.17,1.0
o_*[26],7.94,0.06,7.83,8.04,0.0,0.0,1152.49,1423.34,1.0
o_*[27],7.88,0.06,7.77,7.98,0.0,0.0,1152.49,1423.34,1.0
