,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,2.95,0.62,1.78,4.07,0.02,0.02,843.01,470.33,1.0
delta_h,2.71,0.56,1.73,3.79,0.01,0.01,2116.7,2284.82,1.0
z_R,0.15,0.03,0.1,0.21,0.0,0.0,747.5,597.7,1.0
mu_R,1.92,0.5,1.01,2.82,0.01,0.01,2045.82,2026.84,1.0
sigma_R,1.43,0.53,0.55,2.38,0.01,0.01,2037.02,1891.62,1.0
z_C,0.13,0.03,0.08,0.18,0.0,0.0,1090.67,518.43,1.01
mu_C,1.86,0.59,0.8,2.95,0.02,0.01,1335.66,1005.98,1.01
sigma_C,1.52,0.55,0.63,2.56,0.01,0.01,1949.93,1311.37,1.0
z_H,0.1,0.02,0.05,0.14,0.0,0.0,1401.89,1274.93,1.0
mu_H,2.12,0.73,0.92,3.54,0.02,0.01,1683.4,1258.2,1.0
sigma_H,1.56,0.57,0.59,2.58,0.02,0.01,816.11,272.46,1.0
z_S,0.13,0.04,0.07,0.2,0.0,0.0,1613.22,2505.86,1.0
f0,0.01,0.02,0.0,0.05,0.0,0.0,390.94,184.66,1.01
r,0.01,0.0,0.0,0.01,0.0,0.0,3105.87,2575.12,1.0
sigma_model,0.24,0.04,0.17,0.31,0.0,0.0,1837.45,2078.06,1.0
k[0],0.49,0.1,0.3,0.68,0.0,0.0,843.01,470.33,1.0
k[1],0.49,0.1,0.3,0.68,0.0,0.0,843.01,470.33,1.0
k[2],0.49,0.1,0.3,0.68,0.0,0.0,843.01,470.33,1.0
k[3],0.49,0.1,0.3,0.68,0.0,0.0,843.01,470.33,1.0
k[4],0.48,0.1,0.29,0.66,0.0,0.0,843.01,470.33,1.0
k[5],0.48,0.1,0.29,0.66,0.0,0.0,843.01,470.33,1.0
k[6],0.48,0.1,0.29,0.66,0.0,0.0,843.01,470.33,1.0
k[7],0.48,0.1,0.29,0.66,0.0,0.0,843.01,470.33,1.0
k[8],0.48,0.1,0.29,0.66,0.0,0.0,843.01,470.33,1.0
k[9],0.37,0.08,0.23,0.52,0.0,0.0,843.01,470.33,1.0
k[10],0.37,0.08,0.23,0.52,0.0,0.0,843.01,470.33,1.0
k[11],0.37,0.08,0.23,0.52,0.0,0.0,843.01,470.33,1.0
k[12],0.37,0.08,0.23,0.52,0.0,0.0,843.01,470.33,1.0
k[13],0.28,0.06,0.17,0.39,0.0,0.0,843.01,470.33,1.0
k[14],0.28,0.06,0.17,0.39,0.0,0.0,843.01,470.33,1.0
k[15],0.28,0.06,0.17,0.39,0.0,0.0,843.01,470.33,1.0
k[16],0.28,0.06,0.17,0.39,0.0,0.0,843.01,470.33,1.0
k[17],0.22,0.05,0.13,0.3,0.0,0.0,843.01,470.33,1.0
k[18],0.22,0.05,0.13,0.3,0.0,0.0,843.01,470.33,1.0
k[19],0.22,0.05,0.13,0.3,0.0,0.0,843.01,470.33,1.0
k[20],0.22,0.05,0.13,0.3,0.0,0.0,843.01,470.33,1.0
k[21],0.22,0.05,0.13,0.3,0.0,0.0,843.01,470.33,1.0
k[22],0.19,0.04,0.11,0.26,0.0,0.0,843.01,470.33,1.0
k[23],0.19,0.04,0.11,0.26,0.0,0.0,843.01,470.33,1.0
k[24],0.19,0.04,0.11,0.26,0.0,0.0,843.01,470.33,1.0
k[25],0.19,0.04,0.11,0.26,0.0,0.0,843.01,470.33,1.0
k[26],0.17,0.03,0.1,0.23,0.0,0.0,843.01,470.33,1.0
k[27],0.17,0.03,0.1,0.23,0.0,0.0,843.01,470.33,1.0
k[28],0.17,0.03,0.1,0.23,0.0,0.0,843.01,470.33,1.0
k[29],0.17,0.03,0.1,0.23,0.0,0.0,843.01,470.33,1.0
k[30],0.19,0.04,0.12,0.27,0.0,0.0,843.01,470.33,1.0
k[31],0.19,0.04,0.12,0.27,0.0,0.0,843.01,470.33,1.0
k[32],0.19,0.04,0.12,0.27,0.0,0.0,843.01,470.33,1.0
k[33],0.19,0.04,0.12,0.27,0.0,0.0,843.01,470.33,1.0
k[34],0.19,0.04,0.12,0.27,0.0,0.0,843.01,470.33,1.0
k[35],0.22,0.05,0.13,0.31,0.0,0.0,843.01,470.33,1.0
k[36],0.22,0.05,0.13,0.31,0.0,0.0,843.01,470.33,1.0
h[0],0.25,0.05,0.16,0.35,0.0,0.0,2116.7,2284.82,1.0
h[1],0.25,0.05,0.16,0.35,0.0,0.0,2116.7,2284.82,1.0
h[2],0.25,0.05,0.16,0.35,0.0,0.0,2116.7,2284.82,1.0
h[3],0.25,0.05,0.16,0.35,0.0,0.0,2116.7,2284.82,1.0
h[4],0.2,0.04,0.12,0.27,0.0,0.0,2116.7,2284.82,1.0
h[5],0.2,0.04,0.12,0.27,0.0,0.0,2116.7,2284.82,1.0
h[6],0.2,0.04,0.12,0.27,0.0,0.0,2116.7,2284.82,1.0
h[7],0.2,0.04,0.12,0.27,0.0,0.0,2116.7,2284.82,1.0
h[8],0.2,0.04,0.12,0.27,0.0,0.0,2116.7,2284.82,1.0
h[9],0.01,0.0,0.01,0.01,0.0,0.0,2116.7,2284.82,1.0
h[10],0.01,0.0,0.01,0.01,0.0,0.0,2116.7,2284.82,1.0
