,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.16,0.65,1.97,4.42,0.01,0.01,3671.51,2048.12,1.0
delta_h,2.6,0.55,1.63,3.6,0.01,0.01,4127.29,2810.82,1.0
z_R,0.13,0.03,0.07,0.19,0.0,0.0,2973.07,2281.57,1.0
mu_R,2.0,0.54,1.06,3.06,0.01,0.01,5323.42,2925.56,1.0
sigma_R,1.43,0.53,0.53,2.37,0.01,0.01,5708.74,2573.04,1.0
z_C,0.09,0.03,0.04,0.14,0.0,0.0,3863.61,3018.63,1.0
mu_C,1.84,0.57,0.89,2.92,0.01,0.01,4911.43,3009.18,1.0
sigma_C,1.49,0.56,0.57,2.51,0.01,0.01,6185.65,2448.85,1.0
z_H,0.07,0.02,0.03,0.1,0.0,0.0,4304.62,2595.56,1.0
mu_H,1.98,0.66,0.92,3.25,0.01,0.01,6057.79,2754.56,1.0
sigma_H,1.54,0.58,0.6,2.64,0.01,0.01,4756.59,2622.06,1.0
z_ICU,0.06,0.02,0.03,0.09,0.0,0.0,5530.93,2692.48,1.0
mu_ICU,2.03,0.69,0.89,3.31,0.01,0.01,5033.39,2652.74,1.0
sigma_ICU,1.54,0.64,0.53,2.68,0.01,0.01,4702.18,2213.84,1.0
z_S,0.14,0.04,0.07,0.22,0.0,0.0,4058.85,2638.25,1.0
f0,0.01,0.01,0.0,0.02,0.0,0.0,2196.6,1658.72,1.0
r,0.01,0.0,0.0,0.01,0.0,0.0,5377.89,3542.25,1.0
sigma_model,0.26,0.05,0.18,0.35,0.0,0.0,2469.14,2629.55,1.0
k[0],0.52,0.11,0.33,0.73,0.0,0.0,3671.51,2048.12,1.0
k[1],0.52,0.11,0.33,0.73,0.0,0.0,3671.51,2048.12,1.0
k[2],0.52,0.11,0.33,0.73,0.0,0.0,3671.51,2048.12,1.0
k[3],0.52,0.11,0.33,0.73,0.0,0.0,3671.51,2048.12,1.0
k[4],0.51,0.11,0.32,0.72,0.0,0.0,3671.51,2048.12,1.0
k[5],0.51,0.11,0.32,0.72,0.0,0.0,3671.51,2048.12,1.0
k[6],0.51,0.11,0.32,0.72,0.0,0.0,3671.51,2048.12,1.0
k[7],0.51,0.11,0.32,0.72,0.0,0.0,3671.51,2048.12,1.0
k[8],0.51,0.11,0.32,0.72,0.0,0.0,3671.51,2048.12,1.0
k[9],0.4,0.08,0.25,0.56,0.0,0.0,3671.51,2048.12,1.0
k[10],0.4,0.08,0.25,0.56,0.0,0.0,3671.51,2048.12,1.0
k[11],0.4,0.08,0.25,0.56,0.0,0.0,3671.51,2048.12,1.0
k[12],0.4,0.08,0.25,0.56,0.0,0.0,3671.51,2048.12,1.0
k[13],0.3,0.06,0.19,0.42,0.0,0.0,3671.51,2048.12,1.0
k[14],0.3,0.06,0.19,0.42,0.0,0.0,3671.51,2048.12,1.0
k[15],0.3,0.06,0.19,0.42,0.0,0.0,3671.51,2048.12,1.0
k[16],0.3,0.06,0.19,0.42,0.0,0.0,3671.51,2048.12,1.0
k[17],0.23,0.05,0.15,0.33,0.0,0.0,3671.51,2048.12,1.0
k[18],0.23,0.05,0.15,0.33,0.0,0.0,3671.51,2048.12,1.0
k[19],0.23,0.05,0.15,0.33,0.0,0.0,3671.51,2048.12,1.0
k[20],0.23,0.05,0.15,0.33,0.0,0.0,3671.51,2048.12,1.0
k[21],0.23,0.05,0.15,0.33,0.0,0.0,3671.51,2048.12,1.0
k[22],0.2,0.04,0.12,0.28,0.0,0.0,3671.51,2048.12,1.0
k[23],0.2,0.04,0.12,0.28,0.0,0.0,3671.51,2048.12,1.0
k[24],0.2,0.04,0.12,0.28,0.0,0.0,3671.51,2048.12,1.0
k[25],0.2,0.04,0.12,0.28,0.0,0.0,3671.51,2048.12,1.0
k[26],0.18,0.04,0.11,0.25,0.0,0.0,3671.51,2048.12,1.0
k[27],0.18,0.04,0.11,0.25,0.0,0.0,3671.51,2048.12,1.0
k[28],0.18,0.04,0.11,0.25,0.0,0.0,3671.51,2048.12,1.0
k[29],0.18,0.04,0.11,0.25,0.0,0.0,3671.51,2048.12,1.0
k[30],0.21,0.04,0.13,0.29,0.0,0.0,3671.51,2048.12,1.0
k[31],0.21,0.04,0.13,0.29,0.0,0.0,3671.51,2048.12,1.0
k[32],0.21,0.04,0.13,0.29,0.0,0.0,3671.51,2048.12,1.0
k[33],0.21,0.04,0.13,0.29,0.0,0.0,3671.51,2048.12,1.0
k[34],0.21,0.04,0.13,0.29,0.0,0.0,3671.51,2048.12,1.0
k[35],0.24,0.05,0.15,0.33,0.0,0.0,3671.51,2048.12,1.0
k[36],0.24,0.05,0.15,0.33,0.0,0.0,3671.51,2048.12,1.0
h[0],0.24,0.05,0.15,0.33,0.0,0.0,4127.29,2810.82,1.0
h[1],0.24,0.05,0.15,0.33,0.0,0.0,4127.29,2810.82,1.0
h[2],0.24,0.05,0.15,0.33,0.0,0.0,4127.29,2810.82,1.0
h[3],0.24,0.05,0.15,0.33,0.0,0.0,4127.29,2810.82,1.0
h[4],0.19,0.04,0.12,0.26,0.0,0.0,4127.29,2810.82,1.0
h[5],0.19,0.04,0.12,0.26,0.0,0.0,4127.29,2810.82,1.0
h[6],0.19,0.04,0.12,0.26,0.0,0.0,4127.29,2810.82,1.0
h[7],0.19,0.04,0.12,0.26,0.0,0.0,4127.29,2810.82,1.0
h[8],0.19,0.04,0.12,0.26,0.0,0.0,4127.29,2810.82,1.0
h[9],0.01,0.0,0.0,0.01,0.0,0.0,4127.29,2810.82,1.0
h[10],0.01,0.0,0.0,0.01,0.0,0.0,4127.29,2810.82,1.0
h[11],0.01,0.0,0.0,0.01,0.0,0.0,4127.29,2810.82,1.0
h[12],0.01,0.0,0.0,0.01,0.0,0.0,4127.29,2810.82,1.0
h[13],-0.12,0.03,-0.17,-0.07,0.0,0.0,4127.29,2810.82,1.0
h[14],-0.12,0.03,-0.17,-0.07,0.0,0.0,4127.29,2810.82,1.0
h[15],-0.12,0.03,-0.17,-0.07,0.0,0.0,4127.29,2810.82,1.0
h[16],-0.12,0.03,-0.17,-0.07,0.0,0.0,4127.29,2810.82,1.0
h[17],-0.04,0.01,-0.05,-0.02,0.0,0.0,4127.29,2810.82,1.0
h[18],-0.04,0.01,-0.05,-0.02,0.0,0.0,4127.29,2810.82,1.0
h[19],-0.04,0.01,-0.05,-0.02,0.0,0.0,4127.29,2810.82,1.0
h[20],-0.04,0.01,-0.05,-0.02,0.0,0.0,4127.29,2810.82,1.0
h[21],-0.04,0.01,-0.05,-0.02,0.0,0.0,4127.29,2810.82,1.0
h[22],-0.15,0.03,-0.2,-0.09,0.0,0.0,4127.29,2810.82,1.0
h[23],-0.15,0.03,-0.2,-0.09,0.0,0.0,4127.29,2810.82,1.0
h[24],-0.15,0.03,-0.2,-0.09,0.0,0.0,4127.29,2810.82,1.0
h[25],-0.15,0.03,-0.2,-0.09,0.0,0.0,4127.29,2810.82,1.0
h[26],-0.18,0.04,-0.25,-0.11,0.0,0.0,4127.29,2810.82,1.0
h[27],-0.18,0.04,-0.25,-0.11,0.0,0.0,4127.29,2810.82,1.0
h[28],-0.18,0.04,-0.25,-0.11,0.0,0.0,4127.29,2810.82,1.0
h[29],-0.18,0.04,-0.25,-0.11,0.0,0.0,4127.29,2810.82,1.0
h[30],-0.08,0.02,-0.11,-0.05,0.0,0.0,4127.29,2810.82,1.0
h[31],-0.08,0.02,-0.11,-0.05,0.0,0.0,4127.29,2810.82,1.0
h[32],-0.08,0.02,-0.11,-0.05,0.0,0.0,4127.29,2810.82,1.0
h[33],-0.08,0.02,-0.11,-0.05,0.0,0.0,4127.29,2810.82,1.0
h[34],-0.08,0.02,-0.11,-0.05,0.0,0.0,4127.29,2810.82,1.0
h[35],-0.03,0.01,-0.04,-0.02,0.0,0.0,4127.29,2810.82,1.0
h[36],-0.03,0.01,-0.04,-0.02,0.0,0.0,4127.29,2810.82,1.0
o_*[0],6.71,0.12,6.48,6.92,0.0,0.0,3101.67,2161.46,1.0
o_*[1],6.28,0.12,6.05,6.49,0.0,0.0,3101.67,2161.46,1.0
o_*[2],6.32,0.12,6.09,6.53,0.0,0.0,3101.67,2161.46,1.0
o_*[3],6.95,0.12,6.72,7.16,0.0,0.0,3101.67,2161.46,1.0
o_*[4],7.03,0.11,6.82,7.24,0.0,0.0,3158.85,2193.66,1.0
o_*[5],7.33,0.11,7.12,7.54,0.0,0.0,3158.85,2193.66,1.0
o_*[6],7.25,0.11,7.04,7.46,0.0,0.0,3158.85,2193.66,1.0
o_*[7],6.84,0.11,6.63,7.05,0.0,0.0,3158.85,2193.66,1.0
o_*[8],7.35,0.11,7.14,7.56,0.0,0.0,3158.85,2193.66,1.0
o_*[9],7.26,0.08,7.1,7.41,0.0,0.0,3633.15,2104.2,1.0
o_*[10],7.42,0.08,7.26,7.57,0.0,0.0,3633.15,2104.2,1.0
o_*[11],7.69,0.08,7.53,7.84,0.0,0.0,3633.15,2104.2,1.0
o_*[12],7.62,0.08,7.46,7.77,0.0,0.0,3633.15,2104.2,1.0
