,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,2.91,0.57,1.85,3.89,0.06,0.04,94.61,812.99,1.03
delta_h,2.59,0.57,1.63,3.71,0.09,0.06,37.94,41.28,1.08
z_R,0.18,0.05,0.11,0.27,0.01,0.01,26.79,37.49,1.09
mu_R,1.93,0.54,0.77,2.77,0.09,0.07,31.3,30.49,1.08
sigma_R,1.47,0.52,0.62,2.4,0.06,0.04,82.27,516.18,1.04
z_C,0.13,0.03,0.08,0.19,0.0,0.0,241.46,501.66,1.04
mu_C,1.82,0.5,0.94,2.73,0.03,0.02,264.79,947.79,1.02
sigma_C,1.59,0.58,0.63,2.59,0.09,0.06,47.32,234.63,1.06
z_ICU,0.09,0.02,0.05,0.13,0.0,0.0,246.15,474.1,1.02
mu_ICU,1.99,0.64,0.95,3.17,0.05,0.03,174.92,575.63,1.03
sigma_ICU,1.52,0.59,0.66,2.65,0.05,0.04,140.08,450.57,1.02
z_S,0.14,0.04,0.07,0.2,0.0,0.0,56.7,552.14,1.05
f0,0.03,0.03,0.0,0.08,0.01,0.01,24.02,24.18,1.12
r,0.01,0.0,0.0,0.01,0.0,0.0,903.67,1506.66,1.01
sigma_model,0.24,0.04,0.15,0.31,0.0,0.0,109.9,27.52,1.03
k[0],0.48,0.1,0.31,0.65,0.01,0.01,94.61,812.99,1.03
k[1],0.48,0.1,0.31,0.65,0.01,0.01,94.61,812.99,1.03
k[2],0.48,0.1,0.31,0.65,0.01,0.01,94.61,812.99,1.03
k[3],0.48,0.1,0.31,0.65,0.01,0.01,94.61,812.99,1.03
k[4],0.47,0.09,0.3,0.63,0.01,0.01,94.61,812.99,1.03
k[5],0.47,0.09,0.3,0.63,0.01,0.01,94.61,812.99,1.03
k[6],0.47,0.09,0.3,0.63,0.01,0.01,94.61,812.99,1.03
k[7],0.47,0.09,0.3,0.63,0.01,0.01,94.61,812.99,1.03
k[8],0.47,0.09,0.3,0.63,0.01,0.01,94.61,812.99,1.03
k[9],0.37,0.07,0.23,0.49,0.01,0.01,94.61,812.99,1.03
k[10],0.37,0.07,0.23,0.49,0.01,0.01,94.61,812.99,1.03
k[11],0.37,0.07,0.23,0.49,0.01,0.01,94.61,812.99,1.03
k[12],0.37,0.07,0.23,0.49,0.01,0.01,94.61,812.99,1.03
k[13],0.28,0.06,0.18,0.37,0.01,0.0,94.61,812.99,1.03
k[14],0.28,0.06,0.18,0.37,0.01,0.0,94.61,812.99,1.03
k[15],0.28,0.06,0.18,0.37,0.01,0.0,94.61,812.99,1.03
k[16],0.28,0.06,0.18,0.37,0.01,0.0,94.61,812.99,1.03
k[17],0.22,0.04,0.14,0.29,0.0,0.0,94.61,812.99,1.03
k[18],0.22,0.04,0.14,0.29,0.0,0.0,94.61,812.99,1.03
k[19],0.22,0.04,0.14,0.29,0.0,0.0,94.61,812.99,1.03
k[20],0.22,0.04,0.14,0.29,0.0,0.0,94.61,812.99,1.03
k[21],0.22,0.04,0.14,0.29,0.0,0.0,94.61,812.99,1.03
k[22],0.18,0.04,0.12,0.25,0.0,0.0,94.61,812.99,1.03
k[23],0.18,0.04,0.12,0.25,0.0,0.0,94.61,812.99,1.03
k[24],0.18,0.04,0.12,0.25,0.0,0.0,94.61,812.99,1.03
k[25],0.18,0.04,0.12,0.25,0.0,0.0,94.61,812.99,1.03
k[26],0.16,0.03,0.1,0.22,0.0,0.0,94.61,812.99,1.03
k[27],0.16,0.03,0.1,0.22,0.0,0.0,94.61,812.99,1.03
k[28],0.16,0.03,0.1,0.22,0.0,0.0,94.61,812.99,1.03
k[29],0.16,0.03,0.1,0.22,0.0,0.0,94.61,812.99,1.03
k[30],0.19,0.04,0.12,0.26,0.0,0.0,94.61,812.99,1.03
k[31],0.19,0.04,0.12,0.26,0.0,0.0,94.61,812.99,1.03
k[32],0.19,0.04,0.12,0.26,0.0,0.0,94.61,812.99,1.03
k[33],0.19,0.04,0.12,0.26,0.0,0.0,94.61,812.99,1.03
k[34],0.19,0.04,0.12,0.26,0.0,0.0,94.61,812.99,1.03
k[35],0.22,0.04,0.14,0.29,0.0,0.0,94.61,812.99,1.03
k[36],0.22,0.04,0.14,0.29,0.0,0.0,94.61,812.99,1.03
h[0],0.24,0.05,0.15,0.34,0.01,0.01,37.94,41.28,1.08
h[1],0.24,0.05,0.15,0.34,0.01,0.01,37.94,41.28,1.08
h[2],0.24,0.05,0.15,0.34,0.01,0.01,37.94,41.28,1.08
h[3],0.24,0.05,0.15,0.34,0.01,0.01,37.94,41.28,1.08
h[4],0.19,0.04,0.12,0.27,0.01,0.0,37.94,41.28,1.08
h[5],0.19,0.04,0.12,0.27,0.01,0.0,37.94,41.28,1.08
h[6],0.19,0.04,0.12,0.27,0.01,0.0,37.94,41.28,1.08
h[7],0.19,0.04,0.12,0.27,0.01,0.0,37.94,41.28,1.08
h[8],0.19,0.04,0.12,0.27,0.01,0.0,37.94,41.28,1.08
h[9],0.01,0.0,0.0,0.01,0.0,0.0,37.94,41.28,1.08
h[10],0.01,0.0,0.0,0.01,0.0,0.0,37.94,41.28,1.08
h[11],0.01,0.0,0.0,0.01,0.0,0.0,37.94,41.28,1.08
h[12],0.01,0.0,0.0,0.01,0.0,0.0,37.94,41.28,1.08
h[13],-0.12,0.03,-0.17,-0.08,0.0,0.0,37.94,43.62,1.08
h[14],-0.12,0.03,-0.17,-0.08,0.0,0.0,37.94,43.62,1.08
h[15],-0.12,0.03,-0.17,-0.08,0.0,0.0,37.94,43.62,1.08
h[16],-0.12,0.03,-0.17,-0.08,0.0,0.0,37.94,43.62,1.08
h[17],-0.04,0.01,-0.06,-0.02,0.0,0.0,37.94,43.62,1.08
h[18],-0.04,0.01,-0.06,-0.02,0.0,0.0,37.94,43.62,1.08
h[19],-0.04,0.01,-0.06,-0.02,0.0,0.0,37.94,43.62,1.08
h[20],-0.04,0.01,-0.06,-0.02,0.0,0.0,37.94,43.62,1.08
h[21],-0.04,0.01,-0.06,-0.02,0.0,0.0,37.94,43.62,1.08
h[22],-0.15,0.03,-0.21,-0.09,0.0,0.0,37.94,43.62,1.08
h[23],-0.15,0.03,-0.21,-0.09,0.0,0.0,37.94,43.62,1.08
h[24],-0.15,0.03,-0.21,-0.09,0.0,0.0,37.94,43.62,1.08
h[25],-0.15,0.03,-0.21,-0.09,0.0,0.0,37.94,43.62,1.08
h[26],-0.18,0.04,-0.25,-0.11,0.01,0.0,37.94,43.62,1.08
h[27],-0.18,0.04,-0.25,-0.11,0.01,0.0,37.94,43.62,1.08
h[28],-0.18,0.04,-0.25,-0.11,0.01,0.0,37.94,43.62,1.08
h[29],-0.18,0.04,-0.25,-0.11,0.01,0.0,37.94,43.62,1.08
h[30],-0.08,0.02,-0.11,-0.05,0.0,0.0,37.94,43.62,1.08
h[31],-0.08,0.02,-0.11,-0.05,0.0,0.0,37.94,43.62,1.08
h[32],-0.08,0.02,-0.11,-0.05,0.0,0.0,37.94,43.62,1.08
h[33],-0.08,0.02,-0.11,-0.05,0.0,0.0,37.94,43.62,1.08
h[34],-0.08,0.02,-0.11,-0.05,0.0,0.0,37.94,43.62,1.08
h[35],-0.03,0.01,-0.04,-0.02,0.0,0.0,37.94,43.62,1.08
h[36],-0.03,0.01,-0.04,-0.02,0.0,0.0,37.94,43.62,1.08
o_*[0],6.75,0.1,6.56,6.94,0.01,0.0,284.08,341.82,1.02
o_*[1],6.32,0.1,6.13,6.51,0.01,0.0,284.08,341.82,1.02
o_*[2],6.36,0.1,6.17,6.55,0.01,0.0,284.08,341.82,1.02
o_*[3],6.99,0.1,6.8,7.18,0.01,0.0,284.08,341.82,1.02
o_*[4],7.07,0.1,6.89,7.25,0.01,0.0,252.74,335.87,1.02
o_*[5],7.37,0.1,7.19,7.55,0.01,0.0,252.74,335.87,1.02
o_*[6],7.29,0.1,7.11,7.47,0.01,0.0,252.74,335.87,1.02
o_*[7],6.88,0.1,6.7,7.06,0.01,0.0,252.74,335.87,1.02
o_*[8],7.39,0.1,7.21,7.57,0.01,0.0,252.74,335.87,1.02
o_*[9],7.29,0.07,7.17,7.43,0.01,0.01,98.37,822.69,1.03
o_*[10],7.45,0.07,7.33,7.59,0.01,0.01,98.37,822.69,1.03
o_*[11],7.72,0.07,7.6,7.86,0.01,0.01,98.37,822.69,1.03
o_*[12],7.65,0.07,7.53,7.79,0.01,0.01,98.37,822.69,1.03
o_*[13],7.8,0.06,7.68,7.91,0.01,0.01,49.9,454.44,1.06
o_*[14],7.78,0.06,7.66,7.89,0.01,0.01,49.9,454.44,1.06
o_*[15],7.73,0.06,7.61,7.84,0.01,0.01,49.9,454.44,1.06
o_*[16],7.63,0.06,7.51,7.74,0.01,0.01,49.9,454.44,1.06
o_*[17],7.69,0.04,7.61,7.77,0.01,0.0,67.62,1016.95,1.04
o_*[18],7.75,0.04,7.67,7.83,0.01,0.0,67.62,1016.95,1.04
o_*[19],7.47,0.04,7.39,7.55,0.01,0.0,67.62,1016.95,1.04
o_*[20],7.86,0.04,7.78,7.94,0.01,0.0,67.62,1016.95,1.04
o_*[21],8.03,0.04,7.95,8.11,0.01,0.0,67.62,1016.95,1.04
o_*[22],7.89,0.05,7.8,7.99,0.01,0.01,39.28,186.57,1.07
o_*[23],8.0,0.05,7.91,8.1,0.01,0.01,39.28,186.57,1.07
o_*[24],8.02,0.05,7.93,8.12,0.01,0.01,39.28,186.57,1.07
o_*[25],8.13,0.05,8.04,8.23,0.01,0.01,39.28,186.57,1.07
o_*[26],7.91,0.05,7.82,8.01,0.01,0.01,34.63,129.56,1.08
o_*[27],7.85,0.05,7.76,7.95,0.01,0.01,34.63,129.56,1.08
o_*[28],7.62,0.05,7.53,7.72,0.01,0.01,34.63,129.56,1.08
o_*[29],7.77,0.05,7.68,7.87,0.01,0.01,34.63,129.56,1.08
o_*[30],7.3,0.04,7.21,7.37,0.01,0.0,50.91,453.73,1.05
o_*[31],7.43,0.04,7.34,7.5,0.01,0.0,50.91,453.73,1.05
o_*[32],7.52,0.04,7.43,7.59,0.01,0.0,50.91,453.73,1.05
o_*[33],7.42,0.04,7.33,7.49,0.01,0.0,50.91,453.73,1.05
o_*[34],7.37,0.04,7.28,7.44,0.01,0.0,50.91,453.73,1.05
o_*[35],7.26,0.04,7.18,7.34,0.01,0.0,76.09,984.86,1.04
o_*[36],7.19,0.04,7.11,7.27,0.01,0.0,76.09,984.86,1.04
risk_R[0],0.61,0.07,0.51,0.78,0.0,0.0,228.44,1614.75,1.02
risk_R[1],0.49,0.05,0.4,0.56,0.0,0.0,610.08,1010.14,1.04
risk_R[2],0.41,0.03,0.34,0.45,0.0,0.0,361.54,1127.15,1.02
risk_R[3],0.35,0.02,0.31,0.4,0.0,0.0,143.66,1096.25,1.03
risk_R[4],0.33,0.02,0.31,0.37,0.0,0.0,73.42,545.13,1.04
risk_R[5],0.32,0.01,0.31,0.35,0.0,0.0,62.21,416.36,1.05
risk_R[6],0.33,0.01,0.31,0.35,0.0,0.0,48.76,309.07,1.06
risk_R[7],0.34,0.01,0.33,0.36,0.0,0.0,43.37,262.27,1.06
risk_R[8],0.34,0.0,0.34,0.35,0.0,0.0,86.48,356.51,1.04
risk_R[9],0.35,0.0,0.34,0.36,0.0,0.0,49.54,229.75,1.06
risk_R[10],0.36,0.0,0.35,0.37,0.0,0.0,147.35,1008.8,1.02
risk_R[11],0.4,0.01,0.37,0.43,0.0,0.0,484.37,1592.15,1.01
risk_R[12],0.49,0.03,0.43,0.54,0.0,0.0,688.72,1307.33,1.03
risk_R[13],0.44,0.04,0.4,0.51,0.0,0.0,41.65,56.38,1.07
risk_R[14],0.4,0.02,0.37,0.44,0.0,0.0,415.37,1207.59,1.02
risk_R[15],0.41,0.01,0.38,0.42,0.0,0.0,48.17,171.11,1.06
risk_R[16],0.46,0.02,0.41,0.49,0.0,0.0,485.29,1805.53,1.01
risk_R[17],0.5,0.01,0.47,0.53,0.0,0.0,505.22,1003.74,1.02
risk_R[18],0.5,0.01,0.48,0.52,0.0,0.0,58.1,325.83,1.05
risk_R[19],0.5,0.01,0.49,0.51,0.0,0.0,127.76,496.11,1.03
risk_R[20],0.51,0.0,0.5,0.52,0.0,0.0,55.93,328.08,1.05
risk_R[21],0.47,0.01,0.45,0.51,0.0,0.0,99.84,1776.1,1.03
risk_R[22],0.44,0.01,0.42,0.46,0.0,0.0,616.32,1188.57,1.04
risk_R[23],0.44,0.01,0.42,0.45,0.0,0.0,80.9,755.82,1.04
risk_R[24],0.46,0.01,0.44,0.48,0.0,0.0,75.22,1169.57,1.04
risk_R[25],0.47,0.0,0.46,0.48,0.0,0.0,493.14,808.87,1.04
risk_R[26],0.47,0.0,0.47,0.48,0.0,0.0,123.62,809.67,1.03
risk_R[27],0.51,0.01,0.48,0.53,0.0,0.0,593.69,1889.11,1.01
risk_R[28],0.56,0.02,0.52,0.6,0.0,0.0,737.53,1233.49,1.03
risk_R[29],0.61,0.02,0.58,0.64,0.0,0.0,341.46,1066.88,1.02
risk_R[30],0.63,0.01,0.61,0.65,0.0,0.0,89.53,538.47,1.03
risk_R[31],0.58,0.02,0.55,0.64,0.0,0.0,55.74,522.35,1.05
risk_R[32],0.51,0.03,0.47,0.57,0.0,0.0,409.03,1639.11,1.01
risk_R[33],0.47,0.02,0.43,0.49,0.0,0.0,466.9,1013.33,1.02
risk_R[34],0.44,0.01,0.42,0.46,0.0,0.0,133.72,1035.51,1.03
risk_R[35],0.43,0.01,0.41,0.44,0.0,0.0,90.24,721.23,1.03
risk_R[36],0.45,0.02,0.42,0.47,0.0,0.0,46.47,235.66,1.06
d_R[0],0.9,0.03,0.85,0.94,0.0,0.0,51.52,178.33,1.06
d_R[1],0.92,0.02,0.87,0.95,0.0,0.0,32.59,81.93,1.08
d_R[2],0.93,0.02,0.89,0.96,0.0,0.0,28.34,47.42,1.09
d_R[3],0.94,0.02,0.9,0.96,0.0,0.0,26.69,32.09,1.1
d_R[4],0.94,0.02,0.91,0.97,0.0,0.0,25.8,29.74,1.1
d_R[5],0.94,0.01,0.91,0.97,0.0,0.0,25.79,29.24,1.1
d_R[6],0.94,0.02,0.91,0.96,0.0,0.0,25.66,27.5,1.1
d_R[7],0.94,0.02,0.91,0.96,0.0,0.0,25.98,33.2,1.1
d_R[8],0.94,0.01,0.91,0.96,0.0,0.0,26.43,34.49,1.1
d_R[9],0.94,0.02,0.91,0.96,0.0,0.0,26.3,35.54,1.1
d_R[10],0.94,0.02,0.91,0.96,0.0,0.0,26.46,35.54,1.1
d_R[11],0.93,0.02,0.89,0.96,0.0,0.0,26.35,37.06,1.1
d_R[12],0.92,0.02,0.87,0.95,0.0,0.0,26.89,47.45,1.1
d_R[13],0.92,0.02,0.89,0.95,0.0,0.0,39.89,126.07,1.07
d_R[14],0.93,0.02,0.9,0.96,0.0,0.0,28.75,38.92,1.09
d_R[15],0.93,0.02,0.89,0.96,0.0,0.0,26.28,33.42,1.1
d_R[16],0.92,0.02,0.88,0.95,0.0,0.0,26.22,32.57,1.1
d_R[17],0.91,0.02,0.87,0.95,0.0,0.0,27.62,38.75,1.09
d_R[18],0.91,0.02,0.88,0.95,0.0,0.0,28.58,46.83,1.09
d_R[19],0.91,0.02,0.87,0.95,0.0,0.0,27.14,37.83,1.09
d_R[20],0.91,0.02,0.87,0.95,0.0,0.0,27.39,38.64,1.09
d_R[21],0.92,0.02,0.88,0.95,0.0,0.0,29.14,48.5,1.09
d_R[22],0.92,0.02,0.89,0.95,0.0,0.0,27.54,36.31,1.09
d_R[23],0.92,0.02,0.89,0.95,0.0,0.0,26.24,31.1,1.1
d_R[24],0.92,0.02,0.88,0.95,0.0,0.0,26.11,33.7,1.1
d_R[25],0.92,0.02,0.88,0.95,0.0,0.0,26.93,37.61,1.09
d_R[26],0.92,0.02,0.88,0.95,0.0,0.0,26.83,37.81,1.09
d_R[27],0.91,0.02,0.87,0.94,0.0,0.0,26.31,36.31,1.1
d_R[28],0.9,0.02,0.86,0.94,0.01,0.0,27.01,38.03,1.1
d_R[29],0.9,0.02,0.85,0.94,0.01,0.0,27.9,42.98,1.09
d_R[30],0.89,0.03,0.84,0.93,0.01,0.0,28.1,44.46,1.09
d_R[31],0.9,0.02,0.86,0.94,0.0,0.0,31.53,58.27,1.08
d_R[32],0.91,0.02,0.87,0.95,0.0,0.0,30.42,54.04,1.09
d_R[33],0.92,0.02,0.88,0.95,0.0,0.0,27.27,32.69,1.09
d_R[34],0.92,0.02,0.88,0.95,0.0,0.0,26.5,31.16,1.1
d_R[35],0.93,0.02,0.89,0.95,0.0,0.0,26.34,29.88,1.1
d_R[36],0.92,0.02,0.88,0.95,0.0,0.0,25.69,31.65,1.1
risk_C[0],0.41,0.01,0.38,0.43,0.0,0.0,569.32,2093.9,1.04
risk_C[1],0.46,0.02,0.43,0.5,0.0,0.0,398.21,1590.83,1.03
risk_C[2],0.5,0.01,0.48,0.52,0.0,0.0,215.04,952.83,1.02
risk_C[3],0.49,0.01,0.48,0.51,0.0,0.0,54.24,326.95,1.05
risk_C[4],0.46,0.01,0.45,0.48,0.0,0.0,405.57,2099.95,1.01
risk_C[5],0.43,0.01,0.41,0.45,0.0,0.0,422.49,1702.69,1.04
risk_C[6],0.4,0.01,0.38,0.42,0.0,0.0,252.84,1024.46,1.02
risk_C[7],0.39,0.01,0.37,0.4,0.0,0.0,164.74,731.04,1.03
risk_C[8],0.37,0.01,0.36,0.38,0.0,0.0,118.2,508.33,1.04
