,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,2.95,0.6,1.91,4.11,0.02,0.01,990.72,1337.68,1.01
delta_h,2.84,0.61,1.8,4.04,0.02,0.01,961.97,1037.64,1.0
z_R,0.24,0.05,0.15,0.34,0.0,0.0,270.22,122.77,1.02
mu_R,1.91,0.48,0.97,2.73,0.01,0.01,1222.73,1173.6,1.01
sigma_R,1.46,0.57,0.59,2.55,0.02,0.01,941.62,823.73,1.01
z_H,0.19,0.03,0.13,0.25,0.0,0.0,391.83,325.17,1.01
mu_H,2.1,0.67,0.96,3.36,0.04,0.03,358.82,269.04,1.01
sigma_H,1.49,0.5,0.68,2.44,0.02,0.01,1022.84,994.25,1.0
z_S,0.14,0.04,0.07,0.21,0.0,0.0,1382.12,1937.66,1.0
f0,0.04,0.03,0.0,0.1,0.0,0.0,219.15,122.0,1.02
r,0.01,0.0,0.0,0.01,0.0,0.0,2248.93,2679.94,1.0
sigma_model,0.26,0.04,0.18,0.33,0.0,0.0,661.84,566.55,1.01
k[0],0.49,0.1,0.32,0.68,0.0,0.0,990.72,1337.68,1.01
k[1],0.49,0.1,0.32,0.68,0.0,0.0,990.72,1337.68,1.01
k[2],0.49,0.1,0.32,0.68,0.0,0.0,990.72,1337.68,1.01
k[3],0.49,0.1,0.32,0.68,0.0,0.0,990.72,1337.68,1.01
k[4],0.48,0.1,0.31,0.67,0.0,0.0,990.72,1337.68,1.01
k[5],0.48,0.1,0.31,0.67,0.0,0.0,990.72,1337.68,1.01
k[6],0.48,0.1,0.31,0.67,0.0,0.0,990.72,1337.68,1.01
k[7],0.48,0.1,0.31,0.67,0.0,0.0,990.72,1337.68,1.01
k[8],0.48,0.1,0.31,0.67,0.0,0.0,990.72,1337.68,1.01
k[9],0.37,0.08,0.24,0.52,0.0,0.0,990.72,1337.68,1.01
k[10],0.37,0.08,0.24,0.52,0.0,0.0,990.72,1337.68,1.01
k[11],0.37,0.08,0.24,0.52,0.0,0.0,990.72,1337.68,1.01
k[12],0.37,0.08,0.24,0.52,0.0,0.0,990.72,1337.68,1.01
