,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,4.21,0.92,2.58,5.93,0.06,0.05,227.84,116.54,1.01
delta_h,4.23,0.93,2.55,6.01,0.06,0.04,230.26,297.56,1.02
z_R,0.53,0.11,0.33,0.73,0.01,0.01,90.63,144.92,1.04
mu_R,0.9,0.63,0.09,2.13,0.06,0.04,71.39,137.5,1.05
sigma_R,1.41,0.42,0.71,2.13,0.02,0.02,373.18,460.95,1.02
z_S,0.22,0.07,0.11,0.35,0.0,0.0,301.49,369.48,1.01
f0,0.11,0.07,0.0,0.23,0.01,0.01,86.11,120.7,1.04
r,0.01,0.0,0.0,0.01,0.0,0.0,541.92,458.9,1.0
sigma_model,0.4,0.06,0.31,0.54,0.0,0.0,235.29,281.36,1.01
o_*[0],6.39,0.16,6.11,6.7,0.01,0.01,203.39,449.13,1.01
o_*[1],5.96,0.16,5.68,6.27,0.01,0.01,203.39,449.13,1.01
o_*[2],6.0,0.16,5.72,6.31,0.01,0.01,203.39,449.13,1.01
o_*[3],6.63,0.16,6.35,6.94,0.01,0.01,203.39,449.13,1.01
o_*[4],6.74,0.15,6.51,7.07,0.01,0.01,198.22,352.47,1.01
o_*[5],7.04,0.15,6.81,7.37,0.01,0.01,198.22,352.47,1.01
o_*[6],6.96,0.15,6.73,7.29,0.01,0.01,198.22,352.47,1.01
o_*[7],6.55,0.15,6.32,6.88,0.01,0.01,198.22,352.47,1.01
o_*[8],7.06,0.15,6.83,7.39,0.01,0.01,198.22,352.47,1.01
o_*[9],7.12,0.12,6.9,7.32,0.01,0.01,226.26,116.54,1.01
o_*[10],7.28,0.12,7.06,7.48,0.01,0.01,226.26,116.54,1.01
o_*[11],7.55,0.12,7.33,7.75,0.01,0.01,226.26,116.54,1.01
o_*[12],7.48,0.12,7.26,7.68,0.01,0.01,226.26,116.54,1.01
o_*[13],7.75,0.1,7.56,7.94,0.01,0.01,238.25,282.13,1.02
o_*[14],7.73,0.1,7.54,7.92,0.01,0.01,238.25,282.13,1.02
o_*[15],7.68,0.1,7.49,7.87,0.01,0.01,238.25,282.13,1.02
o_*[16],7.58,0.1,7.39,7.77,0.01,0.01,238.25,282.13,1.02
o_*[17],7.62,0.07,7.5,7.76,0.0,0.0,246.56,164.14,1.02
o_*[18],7.68,0.07,7.56,7.82,0.0,0.0,246.56,164.14,1.02
o_*[19],7.4,0.07,7.28,7.54,0.0,0.0,246.56,164.14,1.02
o_*[20],7.79,0.07,7.67,7.93,0.0,0.0,246.56,164.14,1.02
o_*[21],7.96,0.07,7.84,8.1,0.0,0.0,246.56,164.14,1.02
o_*[22],7.9,0.09,7.76,8.08,0.01,0.0,236.86,253.24,1.02
o_*[23],8.01,0.09,7.87,8.19,0.01,0.0,236.86,253.24,1.02
o_*[24],8.03,0.09,7.89,8.21,0.01,0.0,236.86,253.24,1.02
o_*[25],8.14,0.09,8.0,8.32,0.01,0.0,236.86,253.24,1.02
o_*[26],7.95,0.09,7.78,8.11,0.01,0.0,229.56,291.42,1.03
o_*[27],7.89,0.09,7.72,8.05,0.01,0.0,229.56,291.42,1.03
o_*[28],7.66,0.09,7.49,7.82,0.01,0.0,229.56,291.42,1.03
o_*[29],7.81,0.09,7.64,7.97,0.01,0.0,229.56,291.42,1.03
o_*[30],7.26,0.07,7.13,7.39,0.0,0.0,239.78,310.82,1.02
o_*[31],7.39,0.07,7.26,7.52,0.0,0.0,239.78,310.82,1.02
o_*[32],7.48,0.07,7.35,7.61,0.0,0.0,239.78,310.82,1.02
o_*[33],7.38,0.07,7.25,7.51,0.0,0.0,239.78,310.82,1.02
o_*[34],7.33,0.07,7.2,7.46,0.0,0.0,239.78,310.82,1.02
o_*[35],7.18,0.07,7.06,7.31,0.0,0.0,241.45,178.38,1.02
o_*[36],7.11,0.07,6.99,7.24,0.0,0.0,241.45,178.38,1.02
risk_R[0],0.55,0.05,0.46,0.64,0.0,0.0,576.9,566.49,1.01
risk_R[1],0.47,0.03,0.4,0.51,0.0,0.0,318.99,482.92,1.01
risk_R[2],0.4,0.03,0.35,0.44,0.0,0.0,180.3,443.01,1.02
risk_R[3],0.36,0.02,0.31,0.4,0.0,0.0,149.26,333.5,1.02
risk_R[4],0.34,0.02,0.31,0.38,0.0,0.0,127.9,234.23,1.03
risk_R[5],0.33,0.02,0.31,0.36,0.0,0.0,131.11,223.96,1.04
risk_R[6],0.35,0.01,0.32,0.37,0.0,0.0,133.81,223.96,1.04
risk_R[7],0.35,0.01,0.34,0.37,0.0,0.0,133.5,220.7,1.04
risk_R[8],0.35,0.01,0.34,0.36,0.0,0.0,165.54,220.7,1.02
risk_R[9],0.35,0.01,0.35,0.36,0.0,0.0,130.55,220.7,1.03
risk_R[10],0.37,0.0,0.36,0.38,0.0,0.0,217.22,301.04,1.02
risk_R[11],0.42,0.01,0.4,0.44,0.0,0.0,605.83,611.32,1.02
risk_R[12],0.51,0.02,0.48,0.57,0.0,0.0,444.43,637.11,1.0
risk_R[13],0.41,0.02,0.38,0.47,0.0,0.0,490.28,462.99,1.03
risk_R[14],0.39,0.01,0.37,0.41,0.0,0.0,487.76,439.73,1.01
risk_R[15],0.41,0.01,0.4,0.42,0.0,0.0,500.16,448.98,1.03
risk_R[16],0.47,0.02,0.45,0.51,0.0,0.0,540.69,604.36,1.0
risk_R[17],0.5,0.01,0.48,0.52,0.0,0.0,185.7,448.37,1.01
risk_R[18],0.49,0.01,0.47,0.5,0.0,0.0,124.6,223.96,1.04
risk_R[19],0.5,0.01,0.49,0.52,0.0,0.0,152.08,223.96,1.03
risk_R[20],0.51,0.01,0.49,0.51,0.0,0.0,123.27,223.96,1.03
risk_R[21],0.46,0.01,0.44,0.48,0.0,0.0,589.39,611.69,1.03
risk_R[22],0.44,0.01,0.42,0.44,0.0,0.0,410.09,509.25,1.01
risk_R[23],0.44,0.01,0.43,0.45,0.0,0.0,143.21,512.58,1.03
risk_R[24],0.47,0.01,0.46,0.48,0.0,0.0,540.37,611.69,1.01
risk_R[25],0.47,0.0,0.46,0.47,0.0,0.0,157.17,429.66,1.02
risk_R[26],0.47,0.0,0.47,0.47,0.0,0.0,133.35,220.7,1.03
risk_R[27],0.52,0.01,0.5,0.54,0.0,0.0,476.56,611.14,1.0
risk_R[28],0.57,0.02,0.54,0.61,0.0,0.0,286.45,553.43,1.01
risk_R[29],0.61,0.02,0.57,0.64,0.0,0.0,159.26,230.39,1.02
