,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.89,0.52,2.86,4.79,0.02,0.02,562.16,486.95,1.01
delta_h,4.83,0.69,3.58,6.2,0.03,0.02,525.88,361.81,1.0
z_C,0.12,0.02,0.09,0.16,0.0,0.0,534.0,536.97,1.0
mu_C,2.13,0.87,0.79,3.5,0.03,0.03,721.54,429.68,1.0
sigma_C,1.93,0.75,0.76,3.34,0.03,0.02,762.0,669.22,1.0
z_S,0.16,0.04,0.09,0.23,0.0,0.0,726.57,666.33,1.0
sigma_model,0.21,0.03,0.16,0.27,0.0,0.0,796.71,698.39,1.0
k[0],0.65,0.09,0.48,0.8,0.0,0.0,562.16,486.95,1.01
k[1],0.65,0.09,0.48,0.8,0.0,0.0,562.16,486.95,1.01
k[2],0.65,0.09,0.48,0.8,0.0,0.0,562.16,486.95,1.01
k[3],0.65,0.09,0.48,0.8,0.0,0.0,562.16,486.95,1.01
k[4],0.63,0.08,0.46,0.78,0.0,0.0,562.16,486.95,1.01
k[5],0.63,0.08,0.46,0.78,0.0,0.0,562.16,486.95,1.01
k[6],0.63,0.08,0.46,0.78,0.0,0.0,562.16,486.95,1.01
k[7],0.63,0.08,0.46,0.78,0.0,0.0,562.16,486.95,1.01
k[8],0.63,0.08,0.46,0.78,0.0,0.0,562.16,486.95,1.01
k[9],0.49,0.07,0.36,0.61,0.0,0.0,562.16,486.95,1.01
k[10],0.49,0.07,0.36,0.61,0.0,0.0,562.16,486.95,1.01
k[11],0.49,0.07,0.36,0.61,0.0,0.0,562.16,486.95,1.01
k[12],0.49,0.07,0.36,0.61,0.0,0.0,562.16,486.95,1.01
k[13],0.37,0.05,0.27,0.46,0.0,0.0,562.16,486.95,1.01
k[14],0.37,0.05,0.27,0.46,0.0,0.0,562.16,486.95,1.01
k[15],0.37,0.05,0.27,0.46,0.0,0.0,562.16,486.95,1.01
k[16],0.37,0.05,0.27,0.46,0.0,0.0,562.16,486.95,1.01
k[17],0.29,0.04,0.21,0.35,0.0,0.0,562.16,486.95,1.01
k[18],0.29,0.04,0.21,0.35,0.0,0.0,562.16,486.95,1.01
k[19],0.29,0.04,0.21,0.35,0.0,0.0,562.16,486.95,1.01
k[20],0.29,0.04,0.21,0.35,0.0,0.0,562.16,486.95,1.01
k[21],0.29,0.04,0.21,0.35,0.0,0.0,562.16,486.95,1.01
k[22],0.24,0.03,0.18,0.3,0.0,0.0,562.16,486.95,1.01
k[23],0.24,0.03,0.18,0.3,0.0,0.0,562.16,486.95,1.01
k[24],0.24,0.03,0.18,0.3,0.0,0.0,562.16,486.95,1.01
k[25],0.24,0.03,0.18,0.3,0.0,0.0,562.16,486.95,1.01
k[26],0.22,0.03,0.16,0.27,0.0,0.0,562.16,486.95,1.01
k[27],0.22,0.03,0.16,0.27,0.0,0.0,562.16,486.95,1.01
k[28],0.22,0.03,0.16,0.27,0.0,0.0,562.16,486.95,1.01
k[29],0.22,0.03,0.16,0.27,0.0,0.0,562.16,486.95,1.01
k[30],0.26,0.03,0.19,0.32,0.0,0.0,562.16,486.95,1.01
k[31],0.26,0.03,0.19,0.32,0.0,0.0,562.16,486.95,1.01
k[32],0.26,0.03,0.19,0.32,0.0,0.0,562.16,486.95,1.01
k[33],0.26,0.03,0.19,0.32,0.0,0.0,562.16,486.95,1.01
k[34],0.26,0.03,0.19,0.32,0.0,0.0,562.16,486.95,1.01
k[35],0.29,0.04,0.21,0.36,0.0,0.0,562.16,486.95,1.01
k[36],0.29,0.04,0.21,0.36,0.0,0.0,562.16,486.95,1.01
h[0],0.44,0.06,0.33,0.56,0.0,0.0,525.88,361.81,1.0
h[1],0.44,0.06,0.33,0.56,0.0,0.0,525.88,361.81,1.0
h[2],0.44,0.06,0.33,0.56,0.0,0.0,525.88,361.81,1.0
h[3],0.44,0.06,0.33,0.56,0.0,0.0,525.88,361.81,1.0
h[4],0.35,0.05,0.26,0.45,0.0,0.0,525.88,361.81,1.0
h[5],0.35,0.05,0.26,0.45,0.0,0.0,525.88,361.81,1.0
h[6],0.35,0.05,0.26,0.45,0.0,0.0,525.88,361.81,1.0
h[7],0.35,0.05,0.26,0.45,0.0,0.0,525.88,361.81,1.0
h[8],0.35,0.05,0.26,0.45,0.0,0.0,525.88,361.81,1.0
h[9],0.01,0.0,0.01,0.02,0.0,0.0,525.88,361.81,1.0
