,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.72,0.53,2.75,4.7,0.01,0.01,2541.97,2437.17,1.0
delta_h,4.26,0.65,3.07,5.48,0.01,0.01,3905.9,3211.62,1.0
z_H,0.13,0.02,0.1,0.16,0.0,0.0,2499.19,2705.69,1.0
mu_H,2.24,0.82,0.87,3.8,0.01,0.01,4604.27,3136.56,1.0
sigma_H,1.94,0.81,0.7,3.49,0.01,0.01,5436.67,3280.93,1.0
z_S,0.15,0.04,0.08,0.22,0.0,0.0,4075.78,2696.13,1.0
sigma_model,0.21,0.03,0.16,0.26,0.0,0.0,3833.66,2923.87,1.0
k[0],0.62,0.09,0.46,0.78,0.0,0.0,2541.97,2437.17,1.0
k[1],0.62,0.09,0.46,0.78,0.0,0.0,2541.97,2437.17,1.0
k[2],0.62,0.09,0.46,0.78,0.0,0.0,2541.97,2437.17,1.0
k[3],0.62,0.09,0.46,0.78,0.0,0.0,2541.97,2437.17,1.0
k[4],0.6,0.09,0.45,0.76,0.0,0.0,2541.97,2437.17,1.0
k[5],0.6,0.09,0.45,0.76,0.0,0.0,2541.97,2437.17,1.0
k[6],0.6,0.09,0.45,0.76,0.0,0.0,2541.97,2437.17,1.0
k[7],0.6,0.09,0.45,0.76,0.0,0.0,2541.97,2437.17,1.0
k[8],0.6,0.09,0.45,0.76,0.0,0.0,2541.97,2437.17,1.0
k[9],0.47,0.07,0.35,0.6,0.0,0.0,2541.97,2437.17,1.0
k[10],0.47,0.07,0.35,0.6,0.0,0.0,2541.97,2437.17,1.0
k[11],0.47,0.07,0.35,0.6,0.0,0.0,2541.97,2437.17,1.0
k[12],0.47,0.07,0.35,0.6,0.0,0.0,2541.97,2437.17,1.0
k[13],0.36,0.05,0.26,0.45,0.0,0.0,2541.97,2437.17,1.0
k[14],0.36,0.05,0.26,0.45,0.0,0.0,2541.97,2437.17,1.0
k[15],0.36,0.05,0.26,0.45,0.0,0.0,2541.97,2437.17,1.0
k[16],0.36,0.05,0.26,0.45,0.0,0.0,2541.97,2437.17,1.0
k[17],0.28,0.04,0.2,0.35,0.0,0.0,2541.97,2437.17,1.0
k[18],0.28,0.04,0.2,0.35,0.0,0.0,2541.97,2437.17,1.0
k[19],0.28,0.04,0.2,0.35,0.0,0.0,2541.97,2437.17,1.0
k[20],0.28,0.04,0.2,0.35,0.0,0.0,2541.97,2437.17,1.0
k[21],0.28,0.04,0.2,0.35,0.0,0.0,2541.97,2437.17,1.0
k[22],0.23,0.03,0.17,0.3,0.0,0.0,2541.97,2437.17,1.0
k[23],0.23,0.03,0.17,0.3,0.0,0.0,2541.97,2437.17,1.0
k[24],0.23,0.03,0.17,0.3,0.0,0.0,2541.97,2437.17,1.0
k[25],0.23,0.03,0.17,0.3,0.0,0.0,2541.97,2437.17,1.0
k[26],0.21,0.03,0.15,0.26,0.0,0.0,2541.97,2437.17,1.0
k[27],0.21,0.03,0.15,0.26,0.0,0.0,2541.97,2437.17,1.0
k[28],0.21,0.03,0.15,0.26,0.0,0.0,2541.97,2437.17,1.0
k[29],0.21,0.03,0.15,0.26,0.0,0.0,2541.97,2437.17,1.0
k[30],0.25,0.04,0.18,0.31,0.0,0.0,2541.97,2437.17,1.0
k[31],0.25,0.04,0.18,0.31,0.0,0.0,2541.97,2437.17,1.0
k[32],0.25,0.04,0.18,0.31,0.0,0.0,2541.97,2437.17,1.0
k[33],0.25,0.04,0.18,0.31,0.0,0.0,2541.97,2437.17,1.0
k[34],0.25,0.04,0.18,0.31,0.0,0.0,2541.97,2437.17,1.0
k[35],0.28,0.04,0.21,0.35,0.0,0.0,2541.97,2437.17,1.0
k[36],0.28,0.04,0.21,0.35,0.0,0.0,2541.97,2437.17,1.0
h[0],0.39,0.06,0.28,0.5,0.0,0.0,3905.9,3211.62,1.0
h[1],0.39,0.06,0.28,0.5,0.0,0.0,3905.9,3211.62,1.0
h[2],0.39,0.06,0.28,0.5,0.0,0.0,3905.9,3211.62,1.0
h[3],0.39,0.06,0.28,0.5,0.0,0.0,3905.9,3211.62,1.0
h[4],0.31,0.05,0.22,0.39,0.0,0.0,3905.9,3211.62,1.0
h[5],0.31,0.05,0.22,0.39,0.0,0.0,3905.9,3211.62,1.0
h[6],0.31,0.05,0.22,0.39,0.0,0.0,3905.9,3211.62,1.0
h[7],0.31,0.05,0.22,0.39,0.0,0.0,3905.9,3211.62,1.0
h[8],0.31,0.05,0.22,0.39,0.0,0.0,3905.9,3211.62,1.0
h[9],0.01,0.0,0.01,0.02,0.0,0.0,3905.9,3211.62,1.0
h[10],0.01,0.0,0.01,0.02,0.0,0.0,3905.9,3211.62,1.0
h[11],0.01,0.0,0.01,0.02,0.0,0.0,3905.9,3211.62,1.0
h[12],0.01,0.0,0.01,0.02,0.0,0.0,3905.9,3211.62,1.0
h[13],-0.2,0.03,-0.25,-0.14,0.0,0.0,3905.9,3211.62,1.0
h[14],-0.2,0.03,-0.25,-0.14,0.0,0.0,3905.9,3211.62,1.0
h[15],-0.2,0.03,-0.25,-0.14,0.0,0.0,3905.9,3211.62,1.0
h[16],-0.2,0.03,-0.25,-0.14,0.0,0.0,3905.9,3211.62,1.0
h[17],-0.06,0.01,-0.08,-0.05,0.0,0.0,3905.9,3211.62,1.0
h[18],-0.06,0.01,-0.08,-0.05,0.0,0.0,3905.9,3211.62,1.0
h[19],-0.06,0.01,-0.08,-0.05,0.0,0.0,3905.9,3211.62,1.0
h[20],-0.06,0.01,-0.08,-0.05,0.0,0.0,3905.9,3211.62,1.0
h[21],-0.06,0.01,-0.08,-0.05,0.0,0.0,3905.9,3211.62,1.0
h[22],-0.24,0.04,-0.31,-0.17,0.0,0.0,3905.9,3211.62,1.0
h[23],-0.24,0.04,-0.31,-0.17,0.0,0.0,3905.9,3211.62,1.0
h[24],-0.24,0.04,-0.31,-0.17,0.0,0.0,3905.9,3211.62,1.0
h[25],-0.24,0.04,-0.31,-0.17,0.0,0.0,3905.9,3211.62,1.0
h[26],-0.29,0.04,-0.37,-0.21,0.0,0.0,3905.9,3211.62,1.0
h[27],-0.29,0.04,-0.37,-0.21,0.0,0.0,3905.9,3211.62,1.0
h[28],-0.29,0.04,-0.37,-0.21,0.0,0.0,3905.9,3211.62,1.0
h[29],-0.29,0.04,-0.37,-0.21,0.0,0.0,3905.9,3211.62,1.0
h[30],-0.13,0.02,-0.16,-0.09,0.0,0.0,3905.9,3211.62,1.0
h[31],-0.13,0.02,-0.16,-0.09,0.0,0.0,3905.9,3211.62,1.0
h[32],-0.13,0.02,-0.16,-0.09,0.0,0.0,3905.9,3211.62,1.0
h[33],-0.13,0.02,-0.16,-0.09,0.0,0.0,3905.9,3211.62,1.0
h[34],-0.13,0.02,-0.16,-0.09,0.0,0.0,3905.9,3211.62,1.0
h[35],-0.04,0.01,-0.05,-0.03,0.0,0.0,3905.9,3211.62,1.0
h[36],-0.04,0.01,-0.05,-0.03,0.0,0.0,3905.9,3211.62,1.0
o_*[0],6.47,0.09,6.31,6.65,0.0,0.0,4228.03,2665.06,1.0
o_*[1],6.04,0.09,5.88,6.22,0.0,0.0,4228.03,2665.06,1.0
o_*[2],6.08,0.09,5.92,6.26,0.0,0.0,4228.03,2665.06,1.0
o_*[3],6.71,0.09,6.55,6.89,0.0,0.0,4228.03,2665.06,1.0
o_*[4],6.82,0.08,6.66,6.98,0.0,0.0,3763.3,2521.24,1.0
o_*[5],7.12,0.08,6.96,7.28,0.0,0.0,3763.3,2521.24,1.0
o_*[6],7.04,0.08,6.88,7.2,0.0,0.0,3763.3,2521.24,1.0
o_*[7],6.63,0.08,6.47,6.79,0.0,0.0,3763.3,2521.24,1.0
o_*[8],7.14,0.08,6.98,7.3,0.0,0.0,3763.3,2521.24,1.0
o_*[9],7.18,0.07,7.06,7.31,0.0,0.0,2572.49,2428.78,1.0
