,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.5,0.52,2.49,4.4,0.02,0.02,473.17,484.44,1.01
delta_h,5.55,0.8,4.11,7.14,0.03,0.02,550.0,341.31,1.01
z_R,0.14,0.02,0.11,0.17,0.0,0.0,507.16,305.45,1.01
mu_R,2.42,0.76,1.1,3.9,0.03,0.02,675.4,616.82,1.0
sigma_R,1.78,0.71,0.7,3.11,0.03,0.02,594.76,536.85,1.01
z_S,0.17,0.04,0.09,0.25,0.0,0.0,774.66,551.74,1.0
sigma_model,0.22,0.03,0.16,0.26,0.0,0.0,708.13,548.33,1.0
k[0],0.58,0.09,0.41,0.73,0.0,0.0,473.17,484.44,1.01
k[1],0.58,0.09,0.41,0.73,0.0,0.0,473.17,484.44,1.01
k[2],0.58,0.09,0.41,0.73,0.0,0.0,473.17,484.44,1.01
k[3],0.58,0.09,0.41,0.73,0.0,0.0,473.17,484.44,1.01
k[4],0.57,0.08,0.4,0.71,0.0,0.0,473.17,484.44,1.01
k[5],0.57,0.08,0.4,0.71,0.0,0.0,473.17,484.44,1.01
k[6],0.57,0.08,0.4,0.71,0.0,0.0,473.17,484.44,1.01
k[7],0.57,0.08,0.4,0.71,0.0,0.0,473.17,484.44,1.01
k[8],0.57,0.08,0.4,0.71,0.0,0.0,473.17,484.44,1.01
k[9],0.44,0.07,0.32,0.56,0.0,0.0,473.17,484.44,1.01
k[10],0.44,0.07,0.32,0.56,0.0,0.0,473.17,484.44,1.01
k[11],0.44,0.07,0.32,0.56,0.0,0.0,473.17,484.44,1.01
k[12],0.44,0.07,0.32,0.56,0.0,0.0,473.17,484.44,1.01
k[13],0.34,0.05,0.24,0.42,0.0,0.0,473.17,484.44,1.01
k[14],0.34,0.05,0.24,0.42,0.0,0.0,473.17,484.44,1.01
k[15],0.34,0.05,0.24,0.42,0.0,0.0,473.17,484.44,1.01
k[16],0.34,0.05,0.24,0.42,0.0,0.0,473.17,484.44,1.01
k[17],0.26,0.04,0.18,0.33,0.0,0.0,473.17,484.44,1.01
k[18],0.26,0.04,0.18,0.33,0.0,0.0,473.17,484.44,1.01
k[19],0.26,0.04,0.18,0.33,0.0,0.0,473.17,484.44,1.01
k[20],0.26,0.04,0.18,0.33,0.0,0.0,473.17,484.44,1.01
k[21],0.26,0.04,0.18,0.33,0.0,0.0,473.17,484.44,1.01
k[22],0.22,0.03,0.16,0.28,0.0,0.0,473.17,484.44,1.01
k[23],0.22,0.03,0.16,0.28,0.0,0.0,473.17,484.44,1.01
k[24],0.22,0.03,0.16,0.28,0.0,0.0,473.17,484.44,1.01
k[25],0.22,0.03,0.16,0.28,0.0,0.0,473.17,484.44,1.01
k[26],0.2,0.03,0.14,0.25,0.0,0.0,473.17,484.44,1.01
k[27],0.2,0.03,0.14,0.25,0.0,0.0,473.17,484.44,1.01
k[28],0.2,0.03,0.14,0.25,0.0,0.0,473.17,484.44,1.01
k[29],0.2,0.03,0.14,0.25,0.0,0.0,473.17,484.44,1.01
k[30],0.23,0.03,0.16,0.29,0.0,0.0,473.17,484.44,1.01
k[31],0.23,0.03,0.16,0.29,0.0,0.0,473.17,484.44,1.01
k[32],0.23,0.03,0.16,0.29,0.0,0.0,473.17,484.44,1.01
k[33],0.23,0.03,0.16,0.29,0.0,0.0,473.17,484.44,1.01
k[34],0.23,0.03,0.16,0.29,0.0,0.0,473.17,484.44,1.01
k[35],0.26,0.04,0.19,0.33,0.0,0.0,473.17,484.44,1.01
k[36],0.26,0.04,0.19,0.33,0.0,0.0,473.17,484.44,1.01
h[0],0.5,0.07,0.37,0.65,0.0,0.0,550.0,341.31,1.01
h[1],0.5,0.07,0.37,0.65,0.0,0.0,550.0,341.31,1.01
h[2],0.5,0.07,0.37,0.65,0.0,0.0,550.0,341.31,1.01
h[3],0.5,0.07,0.37,0.65,0.0,0.0,550.0,341.31,1.01
h[4],0.4,0.06,0.3,0.51,0.0,0.0,550.0,341.31,1.01
h[5],0.4,0.06,0.3,0.51,0.0,0.0,550.0,341.31,1.01
h[6],0.4,0.06,0.3,0.51,0.0,0.0,550.0,341.31,1.01
h[7],0.4,0.06,0.3,0.51,0.0,0.0,550.0,341.31,1.01
h[8],0.4,0.06,0.3,0.51,0.0,0.0,550.0,341.31,1.01
