,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.46,0.54,2.48,4.52,0.01,0.01,2400.96,2850.41,1.0
delta_h,5.56,0.8,4.06,7.01,0.02,0.01,2534.71,2806.82,1.0
z_R,0.14,0.02,0.11,0.17,0.0,0.0,2686.99,2896.04,1.0
mu_R,2.43,0.8,1.05,3.9,0.01,0.01,3306.07,2647.36,1.0
sigma_R,1.78,0.73,0.62,3.09,0.01,0.01,4295.21,3154.58,1.0
z_S,0.17,0.04,0.1,0.25,0.0,0.0,5026.26,2553.33,1.0
sigma_model,0.22,0.03,0.16,0.27,0.0,0.0,4232.63,3090.99,1.0
k[0],0.57,0.09,0.41,0.75,0.0,0.0,2400.96,2850.41,1.0
k[1],0.57,0.09,0.41,0.75,0.0,0.0,2400.96,2850.41,1.0
k[2],0.57,0.09,0.41,0.75,0.0,0.0,2400.96,2850.41,1.0
k[3],0.57,0.09,0.41,0.75,0.0,0.0,2400.96,2850.41,1.0
k[4],0.56,0.09,0.4,0.73,0.0,0.0,2400.96,2850.41,1.0
k[5],0.56,0.09,0.4,0.73,0.0,0.0,2400.96,2850.41,1.0
k[6],0.56,0.09,0.4,0.73,0.0,0.0,2400.96,2850.41,1.0
k[7],0.56,0.09,0.4,0.73,0.0,0.0,2400.96,2850.41,1.0
k[8],0.56,0.09,0.4,0.73,0.0,0.0,2400.96,2850.41,1.0
k[9],0.44,0.07,0.31,0.57,0.0,0.0,2400.96,2850.41,1.0
k[10],0.44,0.07,0.31,0.57,0.0,0.0,2400.96,2850.41,1.0
k[11],0.44,0.07,0.31,0.57,0.0,0.0,2400.96,2850.41,1.0
k[12],0.44,0.07,0.31,0.57,0.0,0.0,2400.96,2850.41,1.0
k[13],0.33,0.05,0.24,0.43,0.0,0.0,2400.96,2850.41,1.0
k[14],0.33,0.05,0.24,0.43,0.0,0.0,2400.96,2850.41,1.0
k[15],0.33,0.05,0.24,0.43,0.0,0.0,2400.96,2850.41,1.0
k[16],0.33,0.05,0.24,0.43,0.0,0.0,2400.96,2850.41,1.0
k[17],0.26,0.04,0.18,0.33,0.0,0.0,2400.96,2850.41,1.0
k[18],0.26,0.04,0.18,0.33,0.0,0.0,2400.96,2850.41,1.0
k[19],0.26,0.04,0.18,0.33,0.0,0.0,2400.96,2850.41,1.0
k[20],0.26,0.04,0.18,0.33,0.0,0.0,2400.96,2850.41,1.0
k[21],0.26,0.04,0.18,0.33,0.0,0.0,2400.96,2850.41,1.0
k[22],0.22,0.03,0.16,0.28,0.0,0.0,2400.96,2850.41,1.0
k[23],0.22,0.03,0.16,0.28,0.0,0.0,2400.96,2850.41,1.0
k[24],0.22,0.03,0.16,0.28,0.0,0.0,2400.96,2850.41,1.0
k[25],0.22,0.03,0.16,0.28,0.0,0.0,2400.96,2850.41,1.0
k[26],0.19,0.03,0.14,0.25,0.0,0.0,2400.96,2850.41,1.0
k[27],0.19,0.03,0.14,0.25,0.0,0.0,2400.96,2850.41,1.0
k[28],0.19,0.03,0.14,0.25,0.0,0.0,2400.96,2850.41,1.0
k[29],0.19,0.03,0.14,0.25,0.0,0.0,2400.96,2850.41,1.0
k[30],0.23,0.04,0.16,0.3,0.0,0.0,2400.96,2850.41,1.0
k[31],0.23,0.04,0.16,0.3,0.0,0.0,2400.96,2850.41,1.0
k[32],0.23,0.04,0.16,0.3,0.0,0.0,2400.96,2850.41,1.0
k[33],0.23,0.04,0.16,0.3,0.0,0.0,2400.96,2850.41,1.0
k[34],0.23,0.04,0.16,0.3,0.0,0.0,2400.96,2850.41,1.0
k[35],0.26,0.04,0.19,0.34,0.0,0.0,2400.96,2850.41,1.0
k[36],0.26,0.04,0.19,0.34,0.0,0.0,2400.96,2850.41,1.0
h[0],0.51,0.07,0.37,0.64,0.0,0.0,2534.71,2806.82,1.0
h[1],0.51,0.07,0.37,0.64,0.0,0.0,2534.71,2806.82,1.0
h[2],0.51,0.07,0.37,0.64,0.0,0.0,2534.71,2806.82,1.0
h[3],0.51,0.07,0.37,0.64,0.0,0.0,2534.71,2806.82,1.0
