,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,2.95,0.48,2.04,3.82,0.01,0.01,3164.5,3178.68,1.0
delta_h,5.88,0.78,4.47,7.38,0.01,0.01,3106.72,2943.19,1.0
z_R,0.08,0.01,0.06,0.11,0.0,0.0,3598.13,3162.6,1.0
mu_R,2.26,0.73,0.98,3.6,0.01,0.01,4812.45,2978.04,1.0
sigma_R,1.6,0.63,0.59,2.75,0.01,0.01,6384.97,3649.4,1.0
z_C,0.08,0.01,0.05,0.1,0.0,0.0,3776.85,2793.93,1.0
mu_C,2.21,0.83,0.89,3.72,0.01,0.01,5862.01,2918.16,1.0
sigma_C,1.71,0.69,0.59,2.95,0.01,0.01,6537.54,2982.88,1.0
z_S,0.16,0.04,0.08,0.23,0.0,0.0,4817.44,2994.4,1.0
sigma_model,0.21,0.03,0.16,0.27,0.0,0.0,4739.05,3331.27,1.0
k[0],0.49,0.08,0.34,0.63,0.0,0.0,3164.5,3178.68,1.0
k[1],0.49,0.08,0.34,0.63,0.0,0.0,3164.5,3178.68,1.0
k[2],0.49,0.08,0.34,0.63,0.0,0.0,3164.5,3178.68,1.0
k[3],0.49,0.08,0.34,0.63,0.0,0.0,3164.5,3178.68,1.0
k[4],0.48,0.08,0.33,0.62,0.0,0.0,3164.5,3178.68,1.0
k[5],0.48,0.08,0.33,0.62,0.0,0.0,3164.5,3178.68,1.0
k[6],0.48,0.08,0.33,0.62,0.0,0.0,3164.5,3178.68,1.0
k[7],0.48,0.08,0.33,0.62,0.0,0.0,3164.5,3178.68,1.0
k[8],0.48,0.08,0.33,0.62,0.0,0.0,3164.5,3178.68,1.0
k[9],0.38,0.06,0.26,0.49,0.0,0.0,3164.5,3178.68,1.0
k[10],0.38,0.06,0.26,0.49,0.0,0.0,3164.5,3178.68,1.0
k[11],0.38,0.06,0.26,0.49,0.0,0.0,3164.5,3178.68,1.0
k[12],0.38,0.06,0.26,0.49,0.0,0.0,3164.5,3178.68,1.0
k[13],0.28,0.05,0.2,0.37,0.0,0.0,3164.5,3178.68,1.0
k[14],0.28,0.05,0.2,0.37,0.0,0.0,3164.5,3178.68,1.0
k[15],0.28,0.05,0.2,0.37,0.0,0.0,3164.5,3178.68,1.0
k[16],0.28,0.05,0.2,0.37,0.0,0.0,3164.5,3178.68,1.0
k[17],0.22,0.04,0.15,0.28,0.0,0.0,3164.5,3178.68,1.0
k[18],0.22,0.04,0.15,0.28,0.0,0.0,3164.5,3178.68,1.0
k[19],0.22,0.04,0.15,0.28,0.0,0.0,3164.5,3178.68,1.0
k[20],0.22,0.04,0.15,0.28,0.0,0.0,3164.5,3178.68,1.0
k[21],0.22,0.04,0.15,0.28,0.0,0.0,3164.5,3178.68,1.0
k[22],0.19,0.03,0.13,0.24,0.0,0.0,3164.5,3178.68,1.0
k[23],0.19,0.03,0.13,0.24,0.0,0.0,3164.5,3178.68,1.0
k[24],0.19,0.03,0.13,0.24,0.0,0.0,3164.5,3178.68,1.0
k[25],0.19,0.03,0.13,0.24,0.0,0.0,3164.5,3178.68,1.0
k[26],0.17,0.03,0.11,0.21,0.0,0.0,3164.5,3178.68,1.0
k[27],0.17,0.03,0.11,0.21,0.0,0.0,3164.5,3178.68,1.0
k[28],0.17,0.03,0.11,0.21,0.0,0.0,3164.5,3178.68,1.0
k[29],0.17,0.03,0.11,0.21,0.0,0.0,3164.5,3178.68,1.0
k[30],0.19,0.03,0.13,0.25,0.0,0.0,3164.5,3178.68,1.0
k[31],0.19,0.03,0.13,0.25,0.0,0.0,3164.5,3178.68,1.0
k[32],0.19,0.03,0.13,0.25,0.0,0.0,3164.5,3178.68,1.0
k[33],0.19,0.03,0.13,0.25,0.0,0.0,3164.5,3178.68,1.0
k[34],0.19,0.03,0.13,0.25,0.0,0.0,3164.5,3178.68,1.0
k[35],0.22,0.04,0.15,0.29,0.0,0.0,3164.5,3178.68,1.0
k[36],0.22,0.04,0.15,0.29,0.0,0.0,3164.5,3178.68,1.0
h[0],0.53,0.07,0.41,0.67,0.0,0.0,3106.72,2943.19,1.0
h[1],0.53,0.07,0.41,0.67,0.0,0.0,3106.72,2943.19,1.0
h[2],0.53,0.07,0.41,0.67,0.0,0.0,3106.72,2943.19,1.0
h[3],0.53,0.07,0.41,0.67,0.0,0.0,3106.72,2943.19,1.0
h[4],0.42,0.06,0.32,0.53,0.0,0.0,3106.72,2943.19,1.0
h[5],0.42,0.06,0.32,0.53,0.0,0.0,3106.72,2943.19,1.0
h[6],0.42,0.06,0.32,0.53,0.0,0.0,3106.72,2943.19,1.0
h[7],0.42,0.06,0.32,0.53,0.0,0.0,3106.72,2943.19,1.0
h[8],0.42,0.06,0.32,0.53,0.0,0.0,3106.72,2943.19,1.0
h[9],0.02,0.0,0.01,0.02,0.0,0.0,3106.72,2943.19,1.0
h[10],0.02,0.0,0.01,0.02,0.0,0.0,3106.72,2943.19,1.0
h[11],0.02,0.0,0.01,0.02,0.0,0.0,3106.72,2943.19,1.0
h[12],0.02,0.0,0.01,0.02,0.0,0.0,3106.72,2943.19,1.0
h[13],-0.27,0.04,-0.34,-0.21,0.0,0.0,3106.72,2943.19,1.0
h[14],-0.27,0.04,-0.34,-0.21,0.0,0.0,3106.72,2943.19,1.0
