,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,2.86,0.44,2.07,3.7,0.01,0.01,3731.87,3200.47,1.0
delta_h,5.57,0.73,4.23,6.93,0.01,0.01,4397.27,2799.84,1.0
z_R,0.06,0.01,0.04,0.08,0.0,0.0,4489.32,3261.36,1.0
mu_R,2.22,0.71,0.94,3.51,0.01,0.01,6102.14,3216.2,1.0
sigma_R,1.57,0.62,0.59,2.72,0.01,0.01,4877.13,3119.03,1.0
z_C,0.05,0.01,0.03,0.07,0.0,0.0,5602.42,2934.56,1.0
mu_C,2.22,0.87,0.78,3.78,0.01,0.01,6092.35,2998.61,1.0
sigma_C,1.71,0.69,0.68,3.03,0.01,0.01,6745.42,2983.87,1.0
z_H,0.05,0.01,0.03,0.07,0.0,0.0,5370.73,2841.74,1.0
mu_H,2.39,0.93,0.86,4.07,0.01,0.01,5802.66,2962.06,1.0
sigma_H,1.7,0.69,0.62,2.94,0.01,0.01,7479.93,2975.05,1.0
z_S,0.15,0.04,0.08,0.22,0.0,0.0,5248.08,2968.19,1.0
sigma_model,0.21,0.03,0.16,0.27,0.0,0.0,5398.67,3087.48,1.0
k[0],0.48,0.07,0.34,0.61,0.0,0.0,3731.87,3200.47,1.0
k[1],0.48,0.07,0.34,0.61,0.0,0.0,3731.87,3200.47,1.0
k[2],0.48,0.07,0.34,0.61,0.0,0.0,3731.87,3200.47,1.0
k[3],0.48,0.07,0.34,0.61,0.0,0.0,3731.87,3200.47,1.0
k[4],0.46,0.07,0.33,0.6,0.0,0.0,3731.87,3200.47,1.0
k[5],0.46,0.07,0.33,0.6,0.0,0.0,3731.87,3200.47,1.0
k[6],0.46,0.07,0.33,0.6,0.0,0.0,3731.87,3200.47,1.0
k[7],0.46,0.07,0.33,0.6,0.0,0.0,3731.87,3200.47,1.0
k[8],0.46,0.07,0.33,0.6,0.0,0.0,3731.87,3200.47,1.0
k[9],0.36,0.06,0.26,0.47,0.0,0.0,3731.87,3200.47,1.0
k[10],0.36,0.06,0.26,0.47,0.0,0.0,3731.87,3200.47,1.0
k[11],0.36,0.06,0.26,0.47,0.0,0.0,3731.87,3200.47,1.0
k[12],0.36,0.06,0.26,0.47,0.0,0.0,3731.87,3200.47,1.0
k[13],0.27,0.04,0.2,0.36,0.0,0.0,3731.87,3200.47,1.0
k[14],0.27,0.04,0.2,0.36,0.0,0.0,3731.87,3200.47,1.0
k[15],0.27,0.04,0.2,0.36,0.0,0.0,3731.87,3200.47,1.0
k[16],0.27,0.04,0.2,0.36,0.0,0.0,3731.87,3200.47,1.0
k[17],0.21,0.03,0.15,0.27,0.0,0.0,3731.87,3200.47,1.0
k[18],0.21,0.03,0.15,0.27,0.0,0.0,3731.87,3200.47,1.0
k[19],0.21,0.03,0.15,0.27,0.0,0.0,3731.87,3200.47,1.0
k[20],0.21,0.03,0.15,0.27,0.0,0.0,3731.87,3200.47,1.0
k[21],0.21,0.03,0.15,0.27,0.0,0.0,3731.87,3200.47,1.0
k[22],0.18,0.03,0.13,0.23,0.0,0.0,3731.87,3200.47,1.0
k[23],0.18,0.03,0.13,0.23,0.0,0.0,3731.87,3200.47,1.0
k[24],0.18,0.03,0.13,0.23,0.0,0.0,3731.87,3200.47,1.0
k[25],0.18,0.03,0.13,0.23,0.0,0.0,3731.87,3200.47,1.0
k[26],0.16,0.02,0.12,0.21,0.0,0.0,3731.87,3200.47,1.0
k[27],0.16,0.02,0.12,0.21,0.0,0.0,3731.87,3200.47,1.0
k[28],0.16,0.02,0.12,0.21,0.0,0.0,3731.87,3200.47,1.0
k[29],0.16,0.02,0.12,0.21,0.0,0.0,3731.87,3200.47,1.0
k[30],0.19,0.03,0.14,0.24,0.0,0.0,3731.87,3200.47,1.0
k[31],0.19,0.03,0.14,0.24,0.0,0.0,3731.87,3200.47,1.0
