,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.05,0.45,2.24,3.92,0.01,0.0,4245.38,3204.42,1.0
delta_h,5.04,0.72,3.72,6.39,0.01,0.01,4384.19,3269.51,1.0
z_R,0.04,0.01,0.03,0.06,0.0,0.0,5127.68,2812.33,1.0
mu_R,2.24,0.75,0.95,3.63,0.01,0.01,5839.92,3165.71,1.0
sigma_R,1.56,0.61,0.65,2.75,0.01,0.01,5005.89,2953.16,1.0
z_C,0.04,0.01,0.02,0.05,0.0,0.0,4771.31,3148.64,1.0
mu_C,2.17,0.86,0.88,3.77,0.01,0.01,5962.24,2502.72,1.0
sigma_C,1.69,0.69,0.61,2.98,0.01,0.01,8281.61,2806.13,1.0
z_H,0.04,0.01,0.02,0.05,0.0,0.0,6686.96,3585.81,1.0
mu_H,2.24,0.87,0.91,3.92,0.01,0.01,7177.35,3002.74,1.0
sigma_H,1.68,0.68,0.69,2.95,0.01,0.01,6564.66,3157.41,1.0
z_ICU,0.04,0.01,0.02,0.05,0.0,0.0,5493.02,3132.0,1.0
mu_ICU,2.2,0.83,0.83,3.67,0.01,0.01,6006.03,3095.23,1.0
sigma_ICU,1.67,0.68,0.63,2.91,0.01,0.01,6381.49,3244.87,1.0
z_S,0.15,0.04,0.08,0.23,0.0,0.0,5617.62,2962.29,1.0
sigma_model,0.21,0.03,0.16,0.26,0.0,0.0,4933.17,2470.84,1.0
k[0],0.51,0.08,0.37,0.65,0.0,0.0,4245.38,3204.42,1.0
k[1],0.51,0.08,0.37,0.65,0.0,0.0,4245.38,3204.42,1.0
k[2],0.51,0.08,0.37,0.65,0.0,0.0,4245.38,3204.42,1.0
k[3],0.51,0.08,0.37,0.65,0.0,0.0,4245.38,3204.42,1.0
k[4],0.49,0.07,0.36,0.64,0.0,0.0,4245.38,3204.42,1.0
k[5],0.49,0.07,0.36,0.64,0.0,0.0,4245.38,3204.42,1.0
k[6],0.49,0.07,0.36,0.64,0.0,0.0,4245.38,3204.42,1.0
k[7],0.49,0.07,0.36,0.64,0.0,0.0,4245.38,3204.42,1.0
k[8],0.49,0.07,0.36,0.64,0.0,0.0,4245.38,3204.42,1.0
k[9],0.39,0.06,0.28,0.5,0.0,0.0,4245.38,3204.42,1.0
k[10],0.39,0.06,0.28,0.5,0.0,0.0,4245.38,3204.42,1.0
k[11],0.39,0.06,0.28,0.5,0.0,0.0,4245.38,3204.42,1.0
k[12],0.39,0.06,0.28,0.5,0.0,0.0,4245.38,3204.42,1.0
k[13],0.29,0.04,0.22,0.38,0.0,0.0,4245.38,3204.42,1.0
k[14],0.29,0.04,0.22,0.38,0.0,0.0,4245.38,3204.42,1.0
k[15],0.29,0.04,0.22,0.38,0.0,0.0,4245.38,3204.42,1.0
