,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,2.81,0.46,1.91,3.67,0.01,0.0,4518.26,3386.29,1.0
delta_h,5.35,0.73,3.93,6.66,0.01,0.01,4533.54,3116.45,1.0
z_R,0.06,0.01,0.04,0.08,0.0,0.0,5371.97,3303.33,1.0
mu_R,2.29,0.73,1.09,3.71,0.01,0.01,6468.0,3014.28,1.0
sigma_R,1.54,0.61,0.56,2.65,0.01,0.01,7514.99,2985.6,1.0
z_C,0.05,0.01,0.03,0.07,0.0,0.0,4434.44,3200.48,1.0
mu_C,2.18,0.82,0.9,3.7,0.01,0.01,6249.31,3225.44,1.0
sigma_C,1.71,0.69,0.6,2.99,0.01,0.01,6988.18,3208.07,1.0
z_ICU,0.05,0.01,0.03,0.07,0.0,0.0,5699.31,2976.82,1.0
mu_ICU,2.19,0.81,0.87,3.63,0.01,0.01,8145.94,3024.32,1.0
sigma_ICU,1.67,0.66,0.64,2.87,0.01,0.01,8044.75,3250.91,1.0
z_S,0.16,0.04,0.08,0.23,0.0,0.0,4934.06,3376.21,1.0
sigma_model,0.21,0.03,0.16,0.27,0.0,0.0,4890.33,3271.33,1.0
k[0],0.47,0.08,0.32,0.61,0.0,0.0,4518.26,3386.29,1.0
k[1],0.47,0.08,0.32,0.61,0.0,0.0,4518.26,3386.29,1.0
k[2],0.47,0.08,0.32,0.61,0.0,0.0,4518.26,3386.29,1.0
k[3],0.47,0.08,0.32,0.61,0.0,0.0,4518.26,3386.29,1.0
k[4],0.45,0.08,0.31,0.59,0.0,0.0,4518.26,3386.29,1.0
k[5],0.45,0.08,0.31,0.59,0.0,0.0,4518.26,3386.29,1.0
k[6],0.45,0.08,0.31,0.59,0.0,0.0,4518.26,3386.29,1.0
k[7],0.45,0.08,0.31,0.59,0.0,0.0,4518.26,3386.29,1.0
k[8],0.45,0.08,0.31,0.59,0.0,0.0,4518.26,3386.29,1.0
k[9],0.36,0.06,0.24,0.47,0.0,0.0,4518.26,3386.29,1.0
k[10],0.36,0.06,0.24,0.47,0.0,0.0,4518.26,3386.29,1.0
k[11],0.36,0.06,0.24,0.47,0.0,0.0,4518.26,3386.29,1.0
k[12],0.36,0.06,0.24,0.47,0.0,0.0,4518.26,3386.29,1.0
k[13],0.27,0.04,0.18,0.35,0.0,0.0,4518.26,3386.29,1.0
k[14],0.27,0.04,0.18,0.35,0.0,0.0,4518.26,3386.29,1.0
k[15],0.27,0.04,0.18,0.35,0.0,0.0,4518.26,3386.29,1.0
k[16],0.27,0.04,0.18,0.35,0.0,0.0,4518.26,3386.29,1.0
k[17],0.21,0.03,0.14,0.27,0.0,0.0,4518.26,3386.29,1.0
k[18],0.21,0.03,0.14,0.27,0.0,0.0,4518.26,3386.29,1.0
k[19],0.21,0.03,0.14,0.27,0.0,0.0,4518.26,3386.29,1.0
k[20],0.21,0.03,0.14,0.27,0.0,0.0,4518.26,3386.29,1.0
k[21],0.21,0.03,0.14,0.27,0.0,0.0,4518.26,3386.29,1.0
k[22],0.18,0.03,0.12,0.23,0.0,0.0,4518.26,3386.29,1.0
k[23],0.18,0.03,0.12,0.23,0.0,0.0,4518.26,3386.29,1.0
k[24],0.18,0.03,0.12,0.23,0.0,0.0,4518.26,3386.29,1.0
k[25],0.18,0.03,0.12,0.23,0.0,0.0,4518.26,3386.29,1.0
k[26],0.16,0.03,0.11,0.21,0.0,0.0,4518.26,3386.29,1.0
k[27],0.16,0.03,0.11,0.21,0.0,0.0,4518.26,3386.29,1.0
k[28],0.16,0.03,0.11,0.21,0.0,0.0,4518.26,3386.29,1.0
k[29],0.16,0.03,0.11,0.21,0.0,0.0,4518.26,3386.29,1.0
k[30],0.19,0.03,0.13,0.24,0.0,0.0,4518.26,3386.29,1.0
k[31],0.19,0.03,0.13,0.24,0.0,0.0,4518.26,3386.29,1.0
k[32],0.19,0.03,0.13,0.24,0.0,0.0,4518.26,3386.29,1.0
k[33],0.19,0.03,0.13,0.24,0.0,0.0,4518.26,3386.29,1.0
k[34],0.19,0.03,0.13,0.24,0.0,0.0,4518.26,3386.29,1.0
k[35],0.21,0.03,0.14,0.28,0.0,0.0,4518.26,3386.29,1.0
k[36],0.21,0.03,0.14,0.28,0.0,0.0,4518.26,3386.29,1.0
h[0],0.49,0.07,0.36,0.61,0.0,0.0,4533.54,3116.45,1.0
h[1],0.49,0.07,0.36,0.61,0.0,0.0,4533.54,3116.45,1.0
h[2],0.49,0.07,0.36,0.61,0.0,0.0,4533.54,3116.45,1.0
h[3],0.49,0.07,0.36,0.61,0.0,0.0,4533.54,3116.45,1.0
h[4],0.39,0.05,0.28,0.48,0.0,0.0,4533.54,3116.45,1.0
h[5],0.39,0.05,0.28,0.48,0.0,0.0,4533.54,3116.45,1.0
