,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,2.86,0.47,2.01,3.76,0.01,0.01,3830.22,3306.41,1.0
delta_h,5.47,0.75,4.09,6.88,0.01,0.01,3695.83,2838.82,1.0
z_R,0.08,0.01,0.06,0.11,0.0,0.0,3749.53,2960.17,1.0
mu_R,2.28,0.74,0.96,3.56,0.01,0.01,4730.84,3269.42,1.0
sigma_R,1.58,0.64,0.58,2.76,0.01,0.01,5637.7,3016.68,1.0
z_H,0.08,0.01,0.06,0.11,0.0,0.0,4493.38,2684.99,1.0
mu_H,2.41,0.86,0.99,3.98,0.01,0.01,5986.91,3041.77,1.0
sigma_H,1.67,0.65,0.6,2.88,0.01,0.01,5220.68,3069.42,1.0
z_S,0.15,0.04,0.08,0.22,0.0,0.0,5133.01,3636.0,1.0
sigma_model,0.21,0.03,0.15,0.26,0.0,0.0,5448.29,3163.94,1.0
k[0],0.47,0.08,0.33,0.62,0.0,0.0,3830.22,3306.41,1.0
k[1],0.47,0.08,0.33,0.62,0.0,0.0,3830.22,3306.41,1.0
k[2],0.47,0.08,0.33,0.62,0.0,0.0,3830.22,3306.41,1.0
k[3],0.47,0.08,0.33,0.62,0.0,0.0,3830.22,3306.41,1.0
k[4],0.46,0.08,0.33,0.61,0.0,0.0,3830.22,3306.41,1.0
k[5],0.46,0.08,0.33,0.61,0.0,0.0,3830.22,3306.41,1.0
k[6],0.46,0.08,0.33,0.61,0.0,0.0,3830.22,3306.41,1.0
k[7],0.46,0.08,0.33,0.61,0.0,0.0,3830.22,3306.41,1.0
k[8],0.46,0.08,0.33,0.61,0.0,0.0,3830.22,3306.41,1.0
k[9],0.36,0.06,0.26,0.48,0.0,0.0,3830.22,3306.41,1.0
k[10],0.36,0.06,0.26,0.48,0.0,0.0,3830.22,3306.41,1.0
k[11],0.36,0.06,0.26,0.48,0.0,0.0,3830.22,3306.41,1.0
k[12],0.36,0.06,0.26,0.48,0.0,0.0,3830.22,3306.41,1.0
k[13],0.27,0.05,0.19,0.36,0.0,0.0,3830.22,3306.41,1.0
k[14],0.27,0.05,0.19,0.36,0.0,0.0,3830.22,3306.41,1.0
k[15],0.27,0.05,0.19,0.36,0.0,0.0,3830.22,3306.41,1.0
k[16],0.27,0.05,0.19,0.36,0.0,0.0,3830.22,3306.41,1.0
k[17],0.21,0.03,0.15,0.28,0.0,0.0,3830.22,3306.41,1.0
