,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,2.75,0.45,1.91,3.57,0.01,0.0,4308.86,3224.19,1.0
delta_h,5.09,0.71,3.69,6.39,0.01,0.01,4374.81,3521.2,1.0
z_R,0.06,0.01,0.04,0.08,0.0,0.0,4401.76,3320.51,1.0
mu_R,2.29,0.74,0.96,3.65,0.01,0.01,5071.91,3039.02,1.0
sigma_R,1.53,0.62,0.57,2.69,0.01,0.01,8005.09,3011.98,1.0
z_H,0.05,0.01,0.03,0.07,0.0,0.0,4682.03,2847.9,1.0
mu_H,2.27,0.89,0.9,3.89,0.01,0.01,6148.72,3084.11,1.0
sigma_H,1.7,0.69,0.66,3.05,0.01,0.01,6054.62,3068.94,1.0
z_ICU,0.05,0.01,0.03,0.07,0.0,0.0,5226.26,3234.36,1.0
mu_ICU,2.2,0.83,0.86,3.67,0.01,0.01,5986.53,2920.27,1.0
sigma_ICU,1.66,0.65,0.6,2.84,0.01,0.01,5629.25,2854.03,1.0
z_S,0.15,0.04,0.08,0.23,0.0,0.0,5629.58,3233.9,1.0
sigma_model,0.21,0.03,0.16,0.26,0.0,0.0,4587.22,2964.35,1.0
k[0],0.46,0.07,0.32,0.59,0.0,0.0,4308.86,3224.19,1.0
k[1],0.46,0.07,0.32,0.59,0.0,0.0,4308.86,3224.19,1.0
k[2],0.46,0.07,0.32,0.59,0.0,0.0,4308.86,3224.19,1.0
k[3],0.46,0.07,0.32,0.59,0.0,0.0,4308.86,3224.19,1.0
k[4],0.45,0.07,0.31,0.58,0.0,0.0,4308.86,3224.19,1.0
k[5],0.45,0.07,0.31,0.58,0.0,0.0,4308.86,3224.19,1.0
k[6],0.45,0.07,0.31,0.58,0.0,0.0,4308.86,3224.19,1.0
k[7],0.45,0.07,0.31,0.58,0.0,0.0,4308.86,3224.19,1.0
k[8],0.45,0.07,0.31,0.58,0.0,0.0,4308.86,3224.19,1.0
k[9],0.35,0.06,0.24,0.45,0.0,0.0,4308.86,3224.19,1.0
k[10],0.35,0.06,0.24,0.45,0.0,0.0,4308.86,3224.19,1.0
k[11],0.35,0.06,0.24,0.45,0.0,0.0,4308.86,3224.19,1.0
k[12],0.35,0.06,0.24,0.45,0.0,0.0,4308.86,3224.19,1.0
k[13],0.26,0.04,0.18,0.34,0.0,0.0,4308.86,3224.19,1.0
k[14],0.26,0.04,0.18,0.34,0.0,0.0,4308.86,3224.19,1.0
k[15],0.26,0.04,0.18,0.34,0.0,0.0,4308.86,3224.19,1.0
k[16],0.26,0.04,0.18,0.34,0.0,0.0,4308.86,3224.19,1.0
k[17],0.2,0.03,0.14,0.26,0.0,0.0,4308.86,3224.19,1.0
k[18],0.2,0.03,0.14,0.26,0.0,0.0,4308.86,3224.19,1.0
k[19],0.2,0.03,0.14,0.26,0.0,0.0,4308.86,3224.19,1.0
k[20],0.2,0.03,0.14,0.26,0.0,0.0,4308.86,3224.19,1.0
k[21],0.2,0.03,0.14,0.26,0.0,0.0,4308.86,3224.19,1.0
k[22],0.17,0.03,0.12,0.23,0.0,0.0,4308.86,3224.19,1.0
k[23],0.17,0.03,0.12,0.23,0.0,0.0,4308.86,3224.19,1.0
k[24],0.17,0.03,0.12,0.23,0.0,0.0,4308.86,3224.19,1.0
k[25],0.17,0.03,0.12,0.23,0.0,0.0,4308.86,3224.19,1.0
k[26],0.15,0.02,0.11,0.2,0.0,0.0,4308.86,3224.19,1.0
