,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.5,0.59,2.41,4.48,0.04,0.03,179.16,38.78,1.03
delta_h,4.92,0.72,3.66,6.34,0.02,0.01,1488.51,2177.6,1.0
z_C,0.14,0.02,0.11,0.2,0.0,0.0,107.1,36.51,1.05
mu_C,4.26,6.01,0.06,10.96,0.35,0.28,561.92,587.94,1.01
sigma_C,6.03,5.85,0.18,15.65,0.19,0.13,303.27,59.28,1.02
z_S,0.17,0.05,0.11,0.28,0.0,0.0,229.64,38.17,1.02
sigma_model,0.21,0.03,0.16,0.26,0.0,0.0,2415.23,2403.7,1.0
k[0],0.58,0.1,0.4,0.74,0.01,0.01,179.16,38.78,1.03
k[1],0.58,0.1,0.4,0.74,0.01,0.01,179.16,38.78,1.03
k[2],0.58,0.1,0.4,0.74,0.01,0.01,179.16,38.78,1.03
k[3],0.58,0.1,0.4,0.74,0.01,0.01,179.16,38.78,1.03
k[4],0.57,0.1,0.39,0.73,0.01,0.01,179.16,38.78,1.03
k[5],0.57,0.1,0.39,0.73,0.01,0.01,179.16,38.78,1.03
k[6],0.57,0.1,0.39,0.73,0.01,0.01,179.16,38.78,1.03
k[7],0.57,0.1,0.39,0.73,0.01,0.01,179.16,38.78,1.03
k[8],0.57,0.1,0.39,0.73,0.01,0.01,179.16,38.78,1.03
k[9],0.44,0.08,0.31,0.57,0.01,0.0,179.16,1231.99,1.03
k[10],0.44,0.08,0.31,0.57,0.01,0.0,179.16,1231.99,1.03
k[11],0.44,0.08,0.31,0.57,0.01,0.0,179.16,1231.99,1.03
k[12],0.44,0.08,0.31,0.57,0.01,0.0,179.16,1231.99,1.03
k[13],0.34,0.06,0.23,0.43,0.0,0.0,179.16,38.78,1.03
k[14],0.34,0.06,0.23,0.43,0.0,0.0,179.16,38.78,1.03
k[15],0.34,0.06,0.23,0.43,0.0,0.0,179.16,38.78,1.03
k[16],0.34,0.06,0.23,0.43,0.0,0.0,179.16,38.78,1.03
k[17],0.26,0.04,0.18,0.33,0.0,0.0,179.16,38.78,1.03
k[18],0.26,0.04,0.18,0.33,0.0,0.0,179.16,38.78,1.03
k[19],0.26,0.04,0.18,0.33,0.0,0.0,179.16,38.78,1.03
k[20],0.26,0.04,0.18,0.33,0.0,0.0,179.16,38.78,1.03
k[21],0.26,0.04,0.18,0.33,0.0,0.0,179.16,38.78,1.03
k[22],0.22,0.04,0.15,0.28,0.0,0.0,179.16,38.78,1.03
k[23],0.22,0.04,0.15,0.28,0.0,0.0,179.16,38.78,1.03
k[24],0.22,0.04,0.15,0.28,0.0,0.0,179.16,38.78,1.03
k[25],0.22,0.04,0.15,0.28,0.0,0.0,179.16,38.78,1.03
k[26],0.2,0.03,0.13,0.25,0.0,0.0,179.16,38.78,1.03
k[27],0.2,0.03,0.13,0.25,0.0,0.0,179.16,38.78,1.03
k[28],0.2,0.03,0.13,0.25,0.0,0.0,179.16,38.78,1.03
k[29],0.2,0.03,0.13,0.25,0.0,0.0,179.16,38.78,1.03
k[30],0.23,0.04,0.16,0.3,0.0,0.0,179.16,38.78,1.03
k[31],0.23,0.04,0.16,0.3,0.0,0.0,179.16,38.78,1.03
k[32],0.23,0.04,0.16,0.3,0.0,0.0,179.16,38.78,1.03
k[33],0.23,0.04,0.16,0.3,0.0,0.0,179.16,38.78,1.03
k[34],0.23,0.04,0.16,0.3,0.0,0.0,179.16,38.78,1.03
k[35],0.26,0.04,0.18,0.34,0.0,0.0,179.16,38.78,1.03
k[36],0.26,0.04,0.18,0.34,0.0,0.0,179.16,38.78,1.03
h[0],0.45,0.07,0.33,0.58,0.0,0.0,1488.51,2177.6,1.0
h[1],0.45,0.07,0.33,0.58,0.0,0.0,1488.51,2177.6,1.0
h[2],0.45,0.07,0.33,0.58,0.0,0.0,1488.51,2177.6,1.0
h[3],0.45,0.07,0.33,0.58,0.0,0.0,1488.51,2177.6,1.0
h[4],0.35,0.05,0.26,0.46,0.0,0.0,1488.51,2177.6,1.0
h[5],0.35,0.05,0.26,0.46,0.0,0.0,1488.51,2177.6,1.0
