,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,2.84,0.47,1.99,3.7,0.02,0.02,432.18,586.61,1.01
delta_h,4.93,0.71,3.72,6.31,0.03,0.02,475.83,699.26,1.01
z_C,0.09,0.02,0.05,0.12,0.0,0.0,210.24,140.94,1.02
mu_C,9.09,9.57,0.07,26.78,0.63,0.45,211.82,582.33,1.02
sigma_C,4.09,4.03,0.2,10.39,0.14,0.1,721.92,970.33,1.01
z_ICU,0.08,0.01,0.05,0.11,0.0,0.0,478.18,472.47,1.01
mu_ICU,2.52,3.4,0.07,7.64,0.19,0.13,334.29,161.03,1.02
sigma_ICU,3.66,4.36,0.15,11.01,0.2,0.14,254.48,746.46,1.01
z_S,0.17,0.04,0.09,0.24,0.0,0.0,612.79,657.64,1.01
sigma_model,0.22,0.03,0.16,0.27,0.0,0.0,326.91,407.87,1.01
k[0],0.47,0.08,0.33,0.61,0.0,0.0,432.18,586.61,1.01
k[1],0.47,0.08,0.33,0.61,0.0,0.0,432.18,586.61,1.01
k[2],0.47,0.08,0.33,0.61,0.0,0.0,432.18,586.61,1.01
k[3],0.47,0.08,0.33,0.61,0.0,0.0,432.18,586.61,1.01
k[4],0.46,0.08,0.32,0.6,0.0,0.0,432.18,586.61,1.01
k[5],0.46,0.08,0.32,0.6,0.0,0.0,432.18,586.61,1.01
k[6],0.46,0.08,0.32,0.6,0.0,0.0,432.18,586.61,1.01
k[7],0.46,0.08,0.32,0.6,0.0,0.0,432.18,586.61,1.01
k[8],0.46,0.08,0.32,0.6,0.0,0.0,432.18,586.61,1.01
k[9],0.36,0.06,0.25,0.47,0.0,0.0,432.18,586.61,1.01
k[10],0.36,0.06,0.25,0.47,0.0,0.0,432.18,586.61,1.01
k[11],0.36,0.06,0.25,0.47,0.0,0.0,432.18,586.61,1.01
k[12],0.36,0.06,0.25,0.47,0.0,0.0,432.18,586.61,1.01
k[13],0.27,0.04,0.19,0.36,0.0,0.0,432.18,586.61,1.01
k[14],0.27,0.04,0.19,0.36,0.0,0.0,432.18,586.61,1.01
k[15],0.27,0.04,0.19,0.36,0.0,0.0,432.18,586.61,1.01
k[16],0.27,0.04,0.19,0.36,0.0,0.0,432.18,586.61,1.01
k[17],0.21,0.03,0.15,0.27,0.0,0.0,432.18,586.61,1.01
k[18],0.21,0.03,0.15,0.27,0.0,0.0,432.18,586.61,1.01
k[19],0.21,0.03,0.15,0.27,0.0,0.0,432.18,586.61,1.01
k[20],0.21,0.03,0.15,0.27,0.0,0.0,432.18,586.61,1.01
k[21],0.21,0.03,0.15,0.27,0.0,0.0,432.18,586.61,1.01
k[22],0.18,0.03,0.13,0.23,0.0,0.0,432.18,586.61,1.01
k[23],0.18,0.03,0.13,0.23,0.0,0.0,432.18,586.61,1.01
k[24],0.18,0.03,0.13,0.23,0.0,0.0,432.18,586.61,1.01
k[25],0.18,0.03,0.13,0.23,0.0,0.0,432.18,586.61,1.01
k[26],0.16,0.03,0.11,0.21,0.0,0.0,432.18,586.61,1.01
k[27],0.16,0.03,0.11,0.21,0.0,0.0,432.18,586.61,1.01
k[28],0.16,0.03,0.11,0.21,0.0,0.0,432.18,586.61,1.01
k[29],0.16,0.03,0.11,0.21,0.0,0.0,432.18,586.61,1.01
k[30],0.19,0.03,0.13,0.24,0.0,0.0,432.18,586.61,1.01
k[31],0.19,0.03,0.13,0.24,0.0,0.0,432.18,586.61,1.01
k[32],0.19,0.03,0.13,0.24,0.0,0.0,432.18,586.61,1.01
k[33],0.19,0.03,0.13,0.24,0.0,0.0,432.18,586.61,1.01
k[34],0.19,0.03,0.13,0.24,0.0,0.0,432.18,586.61,1.01
k[35],0.21,0.03,0.15,0.28,0.0,0.0,432.18,586.61,1.01
k[36],0.21,0.03,0.15,0.28,0.0,0.0,432.18,586.61,1.01
h[0],0.45,0.06,0.34,0.57,0.0,0.0,475.83,699.26,1.01
h[1],0.45,0.06,0.34,0.57,0.0,0.0,475.83,699.26,1.01
h[2],0.45,0.06,0.34,0.57,0.0,0.0,475.83,699.26,1.01
h[3],0.45,0.06,0.34,0.57,0.0,0.0,475.83,699.26,1.01
h[4],0.35,0.05,0.27,0.45,0.0,0.0,475.83,699.26,1.01
h[5],0.35,0.05,0.27,0.45,0.0,0.0,475.83,699.26,1.01
h[6],0.35,0.05,0.27,0.45,0.0,0.0,475.83,699.26,1.01
h[7],0.35,0.05,0.27,0.45,0.0,0.0,475.83,699.26,1.01
h[8],0.35,0.05,0.27,0.45,0.0,0.0,475.83,699.26,1.01
h[9],0.01,0.0,0.01,0.02,0.0,0.0,475.83,699.26,1.01
h[10],0.01,0.0,0.01,0.02,0.0,0.0,475.83,699.26,1.01
h[11],0.01,0.0,0.01,0.02,0.0,0.0,475.83,699.26,1.01
h[12],0.01,0.0,0.01,0.02,0.0,0.0,475.83,699.26,1.01
h[13],-0.23,0.03,-0.29,-0.17,0.0,0.0,475.83,699.26,1.01
h[14],-0.23,0.03,-0.29,-0.17,0.0,0.0,475.83,699.26,1.01
h[15],-0.23,0.03,-0.29,-0.17,0.0,0.0,475.83,699.26,1.01
h[16],-0.23,0.03,-0.29,-0.17,0.0,0.0,475.83,699.26,1.01
h[17],-0.07,0.01,-0.09,-0.06,0.0,0.0,475.83,699.26,1.01
