,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,2.8,0.47,1.96,3.74,0.02,0.01,756.69,906.58,1.01
delta_h,4.61,0.73,3.29,5.97,0.06,0.04,161.42,276.85,1.03
z_H,0.08,0.02,0.06,0.11,0.0,0.0,344.82,383.11,1.02
mu_H,6.32,9.41,0.05,27.45,2.01,1.44,47.92,37.21,1.07
sigma_H,4.14,4.22,0.2,10.79,0.1,0.07,1727.12,1886.72,1.0
z_ICU,0.08,0.01,0.05,0.11,0.0,0.0,839.49,1356.18,1.01
mu_ICU,3.14,3.58,0.06,8.8,0.12,0.08,955.23,1489.76,1.01
sigma_ICU,4.09,4.69,0.08,11.89,0.12,0.09,928.15,1097.79,1.0
z_S,0.17,0.04,0.09,0.24,0.0,0.0,1363.16,1377.58,1.01
sigma_model,0.22,0.03,0.17,0.27,0.0,0.0,717.95,928.55,1.0
k[0],0.47,0.08,0.33,0.62,0.0,0.0,756.69,906.58,1.01
k[1],0.47,0.08,0.33,0.62,0.0,0.0,756.69,906.58,1.01
k[2],0.47,0.08,0.33,0.62,0.0,0.0,756.69,906.58,1.01
k[3],0.47,0.08,0.33,0.62,0.0,0.0,756.69,906.58,1.01
k[4],0.45,0.08,0.32,0.61,0.0,0.0,756.69,906.58,1.01
k[5],0.45,0.08,0.32,0.61,0.0,0.0,756.69,906.58,1.01
k[6],0.45,0.08,0.32,0.61,0.0,0.0,756.69,906.58,1.01
k[7],0.45,0.08,0.32,0.61,0.0,0.0,756.69,906.58,1.01
k[8],0.45,0.08,0.32,0.61,0.0,0.0,756.69,906.58,1.01
k[9],0.36,0.06,0.25,0.47,0.0,0.0,756.69,906.58,1.01
k[10],0.36,0.06,0.25,0.47,0.0,0.0,756.69,906.58,1.01
k[11],0.36,0.06,0.25,0.47,0.0,0.0,756.69,906.58,1.01
k[12],0.36,0.06,0.25,0.47,0.0,0.0,756.69,906.58,1.01
k[13],0.27,0.05,0.19,0.36,0.0,0.0,756.69,906.58,1.01
k[14],0.27,0.05,0.19,0.36,0.0,0.0,756.69,906.58,1.01
k[15],0.27,0.05,0.19,0.36,0.0,0.0,756.69,906.58,1.01
k[16],0.27,0.05,0.19,0.36,0.0,0.0,756.69,906.58,1.01
k[17],0.21,0.04,0.14,0.28,0.0,0.0,756.69,906.58,1.01
k[18],0.21,0.04,0.14,0.28,0.0,0.0,756.69,906.58,1.01
k[19],0.21,0.04,0.14,0.28,0.0,0.0,756.69,906.58,1.01
k[20],0.21,0.04,0.14,0.28,0.0,0.0,756.69,906.58,1.01
k[21],0.21,0.04,0.14,0.28,0.0,0.0,756.69,906.58,1.01
k[22],0.18,0.03,0.12,0.24,0.0,0.0,756.69,906.58,1.01
k[23],0.18,0.03,0.12,0.24,0.0,0.0,756.69,906.58,1.01
k[24],0.18,0.03,0.12,0.24,0.0,0.0,756.69,906.58,1.01
k[25],0.18,0.03,0.12,0.24,0.0,0.0,756.69,906.58,1.01
k[26],0.16,0.03,0.11,0.21,0.0,0.0,756.69,906.58,1.01
k[27],0.16,0.03,0.11,0.21,0.0,0.0,756.69,906.58,1.01
k[28],0.16,0.03,0.11,0.21,0.0,0.0,756.69,906.58,1.01
k[29],0.16,0.03,0.11,0.21,0.0,0.0,756.69,906.58,1.01
