,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.35,0.58,2.25,4.39,0.01,0.01,1800.46,2496.95,1.0
delta_h,3.97,0.63,2.74,5.1,0.01,0.01,3048.47,2429.15,1.0
z_ICU,0.13,0.02,0.1,0.17,0.0,0.0,1777.32,2415.13,1.0
mu_ICU,1.62,1.4,0.04,4.08,0.03,0.02,3067.82,2571.9,1.0
sigma_ICU,5.37,5.67,0.13,13.92,0.1,0.07,2779.98,2514.03,1.0
z_S,0.17,0.04,0.1,0.25,0.0,0.0,3408.87,2483.82,1.0
sigma_model,0.21,0.03,0.16,0.27,0.0,0.0,3635.0,2781.17,1.0
k[0],0.56,0.1,0.37,0.73,0.0,0.0,1800.46,2496.95,1.0
k[1],0.56,0.1,0.37,0.73,0.0,0.0,1800.46,2496.95,1.0
k[2],0.56,0.1,0.37,0.73,0.0,0.0,1800.46,2496.95,1.0
k[3],0.56,0.1,0.37,0.73,0.0,0.0,1800.46,2496.95,1.0
k[4],0.54,0.09,0.36,0.71,0.0,0.0,1800.46,2496.95,1.0
k[5],0.54,0.09,0.36,0.71,0.0,0.0,1800.46,2496.95,1.0
k[6],0.54,0.09,0.36,0.71,0.0,0.0,1800.46,2496.95,1.0
k[7],0.54,0.09,0.36,0.71,0.0,0.0,1800.46,2496.95,1.0
k[8],0.54,0.09,0.36,0.71,0.0,0.0,1800.46,2496.95,1.0
k[9],0.43,0.07,0.29,0.56,0.0,0.0,1800.46,2496.95,1.0
k[10],0.43,0.07,0.29,0.56,0.0,0.0,1800.46,2496.95,1.0
k[11],0.43,0.07,0.29,0.56,0.0,0.0,1800.46,2496.95,1.0
k[12],0.43,0.07,0.29,0.56,0.0,0.0,1800.46,2496.95,1.0
k[13],0.32,0.06,0.22,0.42,0.0,0.0,1800.46,2496.95,1.0
k[14],0.32,0.06,0.22,0.42,0.0,0.0,1800.46,2496.95,1.0
k[15],0.32,0.06,0.22,0.42,0.0,0.0,1800.46,2496.95,1.0
k[16],0.32,0.06,0.22,0.42,0.0,0.0,1800.46,2496.95,1.0
k[17],0.25,0.04,0.17,0.32,0.0,0.0,1800.46,2496.95,1.0
k[18],0.25,0.04,0.17,0.32,0.0,0.0,1800.46,2496.95,1.0
k[19],0.25,0.04,0.17,0.32,0.0,0.0,1800.46,2496.95,1.0
k[20],0.25,0.04,0.17,0.32,0.0,0.0,1800.46,2496.95,1.0
k[21],0.25,0.04,0.17,0.32,0.0,0.0,1800.46,2496.95,1.0
k[22],0.21,0.04,0.14,0.28,0.0,0.0,1800.46,2496.95,1.0
k[23],0.21,0.04,0.14,0.28,0.0,0.0,1800.46,2496.95,1.0
k[24],0.21,0.04,0.14,0.28,0.0,0.0,1800.46,2496.95,1.0
k[25],0.21,0.04,0.14,0.28,0.0,0.0,1800.46,2496.95,1.0
k[26],0.19,0.03,0.13,0.25,0.0,0.0,1800.46,2496.95,1.0
k[27],0.19,0.03,0.13,0.25,0.0,0.0,1800.46,2496.95,1.0
k[28],0.19,0.03,0.13,0.25,0.0,0.0,1800.46,2496.95,1.0
k[29],0.19,0.03,0.13,0.25,0.0,0.0,1800.46,2496.95,1.0
k[30],0.22,0.04,0.15,0.29,0.0,0.0,1800.46,2496.95,1.0
k[31],0.22,0.04,0.15,0.29,0.0,0.0,1800.46,2496.95,1.0
k[32],0.22,0.04,0.15,0.29,0.0,0.0,1800.46,2496.95,1.0
k[33],0.22,0.04,0.15,0.29,0.0,0.0,1800.46,2496.95,1.0
k[34],0.22,0.04,0.15,0.29,0.0,0.0,1800.46,2496.95,1.0
k[35],0.25,0.04,0.17,0.33,0.0,0.0,1800.46,2496.95,1.0
k[36],0.25,0.04,0.17,0.33,0.0,0.0,1800.46,2496.95,1.0
h[0],0.36,0.06,0.25,0.46,0.0,0.0,3048.47,2429.15,1.0
h[1],0.36,0.06,0.25,0.46,0.0,0.0,3048.47,2429.15,1.0
h[2],0.36,0.06,0.25,0.46,0.0,0.0,3048.47,2429.15,1.0
h[3],0.36,0.06,0.25,0.46,0.0,0.0,3048.47,2429.15,1.0
h[4],0.29,0.05,0.2,0.37,0.0,0.0,3048.47,2429.15,1.0
h[5],0.29,0.05,0.2,0.37,0.0,0.0,3048.47,2429.15,1.0
h[6],0.29,0.05,0.2,0.37,0.0,0.0,3048.47,2429.15,1.0
h[7],0.29,0.05,0.2,0.37,0.0,0.0,3048.47,2429.15,1.0
h[8],0.29,0.05,0.2,0.37,0.0,0.0,3048.47,2429.15,1.0
h[9],0.01,0.0,0.01,0.02,0.0,0.0,3048.47,2429.15,1.0
h[10],0.01,0.0,0.01,0.02,0.0,0.0,3048.47,2429.15,1.0
h[11],0.01,0.0,0.01,0.02,0.0,0.0,3048.47,2429.15,1.0
h[12],0.01,0.0,0.01,0.02,0.0,0.0,3048.47,2429.15,1.0
h[13],-0.18,0.03,-0.23,-0.13,0.0,0.0,3048.47,2429.15,1.0
h[14],-0.18,0.03,-0.23,-0.13,0.0,0.0,3048.47,2429.15,1.0
h[15],-0.18,0.03,-0.23,-0.13,0.0,0.0,3048.47,2429.15,1.0
h[16],-0.18,0.03,-0.23,-0.13,0.0,0.0,3048.47,2429.15,1.0
h[17],-0.06,0.01,-0.08,-0.04,0.0,0.0,3048.47,2429.15,1.0
h[18],-0.06,0.01,-0.08,-0.04,0.0,0.0,3048.47,2429.15,1.0
h[19],-0.06,0.01,-0.08,-0.04,0.0,0.0,3048.47,2429.15,1.0
h[20],-0.06,0.01,-0.08,-0.04,0.0,0.0,3048.47,2429.15,1.0
h[21],-0.06,0.01,-0.08,-0.04,0.0,0.0,3048.47,2429.15,1.0
h[22],-0.23,0.04,-0.29,-0.16,0.0,0.0,3048.47,2429.15,1.0
h[23],-0.23,0.04,-0.29,-0.16,0.0,0.0,3048.47,2429.15,1.0
h[24],-0.23,0.04,-0.29,-0.16,0.0,0.0,3048.47,2429.15,1.0
h[25],-0.23,0.04,-0.29,-0.16,0.0,0.0,3048.47,2429.15,1.0
h[26],-0.27,0.04,-0.35,-0.19,0.0,0.0,3048.47,2429.15,1.0
h[27],-0.27,0.04,-0.35,-0.19,0.0,0.0,3048.47,2429.15,1.0
h[28],-0.27,0.04,-0.35,-0.19,0.0,0.0,3048.47,2429.15,1.0
h[29],-0.27,0.04,-0.35,-0.19,0.0,0.0,3048.47,2429.15,1.0
h[30],-0.12,0.02,-0.15,-0.08,0.0,0.0,3048.47,2429.15,1.0
h[31],-0.12,0.02,-0.15,-0.08,0.0,0.0,3048.47,2429.15,1.0
h[32],-0.12,0.02,-0.15,-0.08,0.0,0.0,3048.47,2429.15,1.0
h[33],-0.12,0.02,-0.15,-0.08,0.0,0.0,3048.47,2429.15,1.0
h[34],-0.12,0.02,-0.15,-0.08,0.0,0.0,3048.47,2429.15,1.0
h[35],-0.04,0.01,-0.05,-0.03,0.0,0.0,3048.47,2429.15,1.0
h[36],-0.04,0.01,-0.05,-0.03,0.0,0.0,3048.47,2429.15,1.0
o_*[0],6.55,0.1,6.37,6.73,0.0,0.0,2540.05,3017.02,1.0
o_*[1],6.12,0.1,5.94,6.3,0.0,0.0,2540.05,3017.02,1.0
o_*[2],6.16,0.1,5.98,6.34,0.0,0.0,2540.05,3017.02,1.0
o_*[3],6.79,0.1,6.61,6.97,0.0,0.0,2540.05,3017.02,1.0
o_*[4],6.9,0.09,6.73,7.08,0.0,0.0,2333.8,3061.41,1.0
o_*[5],7.2,0.09,7.03,7.38,0.0,0.0,2333.8,3061.41,1.0
o_*[6],7.12,0.09,6.95,7.3,0.0,0.0,2333.8,3061.41,1.0
o_*[7],6.71,0.09,6.54,6.89,0.0,0.0,2333.8,3061.41,1.0
o_*[8],7.22,0.09,7.05,7.4,0.0,0.0,2333.8,3061.41,1.0
o_*[9],7.23,0.07,7.09,7.36,0.0,0.0,1813.23,2669.71,1.0
o_*[10],7.39,0.07,7.25,7.52,0.0,0.0,1813.23,2669.71,1.0
o_*[11],7.66,0.07,7.52,7.79,0.0,0.0,1813.23,2669.71,1.0
o_*[12],7.59,0.07,7.45,7.72,0.0,0.0,1813.23,2669.71,1.0
o_*[13],7.82,0.07,7.69,7.95,0.0,0.0,1768.86,2316.02,1.0
o_*[14],7.8,0.07,7.67,7.93,0.0,0.0,1768.86,2316.02,1.0
o_*[15],7.75,0.07,7.62,7.88,0.0,0.0,1768.86,2316.02,1.0
o_*[16],7.65,0.07,7.52,7.78,0.0,0.0,1768.86,2316.02,1.0
o_*[17],7.68,0.05,7.6,7.77,0.0,0.0,1741.62,2593.23,1.0
o_*[18],7.74,0.05,7.66,7.83,0.0,0.0,1741.62,2593.23,1.0
o_*[19],7.46,0.05,7.38,7.55,0.0,0.0,1741.62,2593.23,1.0
o_*[20],7.85,0.05,7.77,7.94,0.0,0.0,1741.62,2593.23,1.0
o_*[21],8.02,0.05,7.94,8.11,0.0,0.0,1741.62,2593.23,1.0
o_*[22],7.94,0.06,7.84,8.05,0.0,0.0,1895.87,2269.52,1.0
o_*[23],8.05,0.06,7.95,8.16,0.0,0.0,1895.87,2269.52,1.0
o_*[24],8.07,0.06,7.97,8.18,0.0,0.0,1895.87,2269.52,1.0
o_*[25],8.18,0.06,8.08,8.29,0.0,0.0,1895.87,2269.52,1.0
o_*[26],7.98,0.06,7.87,8.1,0.0,0.0,2002.84,2406.06,1.0
o_*[27],7.92,0.06,7.81,8.04,0.0,0.0,2002.84,2406.06,1.0
o_*[28],7.69,0.06,7.58,7.81,0.0,0.0,2002.84,2406.06,1.0
