,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.38,0.56,2.36,4.43,0.01,0.01,1422.46,1695.48,1.0
delta_h,5.38,0.83,3.89,6.95,0.02,0.01,1749.81,2142.18,1.0
z_R,0.14,0.02,0.1,0.17,0.0,0.0,1391.02,1646.33,1.0
mu_R,3.15,2.43,0.09,7.7,0.07,0.05,1460.81,1424.6,1.0
sigma_R,4.07,3.78,0.16,10.01,0.09,0.07,1212.82,1136.59,1.0
z_S,0.16,0.04,0.09,0.25,0.0,0.0,2113.79,1418.47,1.0
sigma_model,0.21,0.03,0.16,0.26,0.0,0.0,1669.17,1611.89,1.0
k[0],0.56,0.09,0.39,0.73,0.0,0.0,1422.46,1695.48,1.0
k[1],0.56,0.09,0.39,0.73,0.0,0.0,1422.46,1695.48,1.0
k[2],0.56,0.09,0.39,0.73,0.0,0.0,1422.46,1695.48,1.0
k[3],0.56,0.09,0.39,0.73,0.0,0.0,1422.46,1695.48,1.0
k[4],0.55,0.09,0.38,0.72,0.0,0.0,1422.46,1695.48,1.0
k[5],0.55,0.09,0.38,0.72,0.0,0.0,1422.46,1695.48,1.0
k[6],0.55,0.09,0.38,0.72,0.0,0.0,1422.46,1695.48,1.0
k[7],0.55,0.09,0.38,0.72,0.0,0.0,1422.46,1695.48,1.0
k[8],0.55,0.09,0.38,0.72,0.0,0.0,1422.46,1695.48,1.0
k[9],0.43,0.07,0.3,0.56,0.0,0.0,1422.46,1695.48,1.0
k[10],0.43,0.07,0.3,0.56,0.0,0.0,1422.46,1695.48,1.0
k[11],0.43,0.07,0.3,0.56,0.0,0.0,1422.46,1695.48,1.0
k[12],0.43,0.07,0.3,0.56,0.0,0.0,1422.46,1695.48,1.0
k[13],0.32,0.05,0.23,0.42,0.0,0.0,1422.46,1695.48,1.0
k[14],0.32,0.05,0.23,0.42,0.0,0.0,1422.46,1695.48,1.0
k[15],0.32,0.05,0.23,0.42,0.0,0.0,1422.46,1695.48,1.0
k[16],0.32,0.05,0.23,0.42,0.0,0.0,1422.46,1695.48,1.0
k[17],0.25,0.04,0.17,0.33,0.0,0.0,1422.46,1695.48,1.0
k[18],0.25,0.04,0.17,0.33,0.0,0.0,1422.46,1695.48,1.0
k[19],0.25,0.04,0.17,0.33,0.0,0.0,1422.46,1695.48,1.0
k[20],0.25,0.04,0.17,0.33,0.0,0.0,1422.46,1695.48,1.0
k[21],0.25,0.04,0.17,0.33,0.0,0.0,1422.46,1695.48,1.0
k[22],0.21,0.03,0.15,0.28,0.0,0.0,1422.46,1695.48,1.0
k[23],0.21,0.03,0.15,0.28,0.0,0.0,1422.46,1695.48,1.0
k[24],0.21,0.03,0.15,0.28,0.0,0.0,1422.46,1695.48,1.0
k[25],0.21,0.03,0.15,0.28,0.0,0.0,1422.46,1695.48,1.0
k[26],0.19,0.03,0.13,0.25,0.0,0.0,1422.46,1695.48,1.0
k[27],0.19,0.03,0.13,0.25,0.0,0.0,1422.46,1695.48,1.0
k[28],0.19,0.03,0.13,0.25,0.0,0.0,1422.46,1695.48,1.0
k[29],0.19,0.03,0.13,0.25,0.0,0.0,1422.46,1695.48,1.0
k[30],0.22,0.04,0.16,0.29,0.0,0.0,1422.46,1695.48,1.0
k[31],0.22,0.04,0.16,0.29,0.0,0.0,1422.46,1695.48,1.0
k[32],0.22,0.04,0.16,0.29,0.0,0.0,1422.46,1695.48,1.0
k[33],0.22,0.04,0.16,0.29,0.0,0.0,1422.46,1695.48,1.0
k[34],0.22,0.04,0.16,0.29,0.0,0.0,1422.46,1695.48,1.0
k[35],0.25,0.04,0.18,0.33,0.0,0.0,1422.46,1695.48,1.0
k[36],0.25,0.04,0.18,0.33,0.0,0.0,1422.46,1695.48,1.0
h[0],0.49,0.08,0.35,0.63,0.0,0.0,1749.81,2142.18,1.0
h[1],0.49,0.08,0.35,0.63,0.0,0.0,1749.81,2142.18,1.0
h[2],0.49,0.08,0.35,0.63,0.0,0.0,1749.81,2142.18,1.0
h[3],0.49,0.08,0.35,0.63,0.0,0.0,1749.81,2142.18,1.0
h[4],0.39,0.06,0.28,0.5,0.0,0.0,1749.81,2142.18,1.0
h[5],0.39,0.06,0.28,0.5,0.0,0.0,1749.81,2142.18,1.0
h[6],0.39,0.06,0.28,0.5,0.0,0.0,1749.81,2142.18,1.0
h[7],0.39,0.06,0.28,0.5,0.0,0.0,1749.81,2142.18,1.0
h[8],0.39,0.06,0.28,0.5,0.0,0.0,1749.81,2142.18,1.0
h[9],0.02,0.0,0.01,0.02,0.0,0.0,1749.81,2142.18,1.0
h[10],0.02,0.0,0.01,0.02,0.0,0.0,1749.81,2142.18,1.0
h[11],0.02,0.0,0.01,0.02,0.0,0.0,1749.81,2142.18,1.0
h[12],0.02,0.0,0.01,0.02,0.0,0.0,1749.81,2142.18,1.0
h[13],-0.25,0.04,-0.32,-0.18,0.0,0.0,1749.81,2142.18,1.0
h[14],-0.25,0.04,-0.32,-0.18,0.0,0.0,1749.81,2142.18,1.0
