,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,2.7,0.45,1.89,3.57,0.01,0.01,2241.45,2279.73,1.0
delta_h,5.14,0.74,3.74,6.53,0.02,0.01,2334.49,1612.28,1.0
z_R,0.08,0.01,0.06,0.11,0.0,0.0,1923.38,1997.97,1.0
mu_R,2.74,1.78,0.14,5.52,0.04,0.03,1957.73,1803.81,1.0
sigma_R,2.56,3.2,0.18,7.31,0.09,0.06,1188.18,615.73,1.01
z_ICU,0.08,0.01,0.06,0.11,0.0,0.0,2289.83,1828.11,1.0
mu_ICU,1.89,1.4,0.12,4.36,0.03,0.02,2199.61,1897.73,1.0
sigma_ICU,2.95,3.66,0.15,8.5,0.08,0.06,1665.45,1779.3,1.0
z_S,0.16,0.04,0.09,0.23,0.0,0.0,2697.58,2164.8,1.0
sigma_model,0.2,0.03,0.15,0.26,0.0,0.0,2112.11,2397.77,1.0
k[0],0.45,0.08,0.31,0.59,0.0,0.0,2241.45,2279.73,1.0
k[1],0.45,0.08,0.31,0.59,0.0,0.0,2241.45,2279.73,1.0
k[2],0.45,0.08,0.31,0.59,0.0,0.0,2241.45,2279.73,1.0
k[3],0.45,0.08,0.31,0.59,0.0,0.0,2241.45,2279.73,1.0
k[4],0.44,0.07,0.31,0.58,0.0,0.0,2241.45,2279.73,1.0
k[5],0.44,0.07,0.31,0.58,0.0,0.0,2241.45,2279.73,1.0
k[6],0.44,0.07,0.31,0.58,0.0,0.0,2241.45,2279.73,1.0
k[7],0.44,0.07,0.31,0.58,0.0,0.0,2241.45,2279.73,1.0
k[8],0.44,0.07,0.31,0.58,0.0,0.0,2241.45,2279.73,1.0
k[9],0.34,0.06,0.24,0.45,0.0,0.0,2241.45,2279.73,1.0
k[10],0.34,0.06,0.24,0.45,0.0,0.0,2241.45,2279.73,1.0
k[11],0.34,0.06,0.24,0.45,0.0,0.0,2241.45,2279.73,1.0
k[12],0.34,0.06,0.24,0.45,0.0,0.0,2241.45,2279.73,1.0
k[13],0.26,0.04,0.18,0.34,0.0,0.0,2241.45,2279.73,1.0
k[14],0.26,0.04,0.18,0.34,0.0,0.0,2241.45,2279.73,1.0
k[15],0.26,0.04,0.18,0.34,0.0,0.0,2241.45,2279.73,1.0
k[16],0.26,0.04,0.18,0.34,0.0,0.0,2241.45,2279.73,1.0
k[17],0.2,0.03,0.14,0.26,0.0,0.0,2241.45,2279.73,1.0
k[18],0.2,0.03,0.14,0.26,0.0,0.0,2241.45,2279.73,1.0
k[19],0.2,0.03,0.14,0.26,0.0,0.0,2241.45,2279.73,1.0
k[20],0.2,0.03,0.14,0.26,0.0,0.0,2241.45,2279.73,1.0
k[21],0.2,0.03,0.14,0.26,0.0,0.0,2241.45,2279.73,1.0
k[22],0.17,0.03,0.12,0.22,0.0,0.0,2241.45,2279.73,1.0
k[23],0.17,0.03,0.12,0.22,0.0,0.0,2241.45,2279.73,1.0
k[24],0.17,0.03,0.12,0.22,0.0,0.0,2241.45,2279.73,1.0
k[25],0.17,0.03,0.12,0.22,0.0,0.0,2241.45,2279.73,1.0
k[26],0.15,0.03,0.11,0.2,0.0,0.0,2241.45,2279.73,1.0
k[27],0.15,0.03,0.11,0.2,0.0,0.0,2241.45,2279.73,1.0
k[28],0.15,0.03,0.11,0.2,0.0,0.0,2241.45,2279.73,1.0
k[29],0.15,0.03,0.11,0.2,0.0,0.0,2241.45,2279.73,1.0
k[30],0.18,0.03,0.12,0.24,0.0,0.0,2241.45,2279.73,1.0
k[31],0.18,0.03,0.12,0.24,0.0,0.0,2241.45,2279.73,1.0
k[32],0.18,0.03,0.12,0.24,0.0,0.0,2241.45,2279.73,1.0
k[33],0.18,0.03,0.12,0.24,0.0,0.0,2241.45,2279.73,1.0
k[34],0.18,0.03,0.12,0.24,0.0,0.0,2241.45,2279.73,1.0
k[35],0.2,0.03,0.14,0.27,0.0,0.0,2241.45,2279.73,1.0
k[36],0.2,0.03,0.14,0.27,0.0,0.0,2241.45,2279.73,1.0
h[0],0.47,0.07,0.34,0.59,0.0,0.0,2334.49,1612.28,1.0
h[1],0.47,0.07,0.34,0.59,0.0,0.0,2334.49,1612.28,1.0
h[2],0.47,0.07,0.34,0.59,0.0,0.0,2334.49,1612.28,1.0
h[3],0.47,0.07,0.34,0.59,0.0,0.0,2334.49,1612.28,1.0
h[4],0.37,0.05,0.27,0.47,0.0,0.0,2334.49,1612.28,1.0
h[5],0.37,0.05,0.27,0.47,0.0,0.0,2334.49,1612.28,1.0
h[6],0.37,0.05,0.27,0.47,0.0,0.0,2334.49,1612.28,1.0
h[7],0.37,0.05,0.27,0.47,0.0,0.0,2334.49,1612.28,1.0
h[8],0.37,0.05,0.27,0.47,0.0,0.0,2334.49,1612.28,1.0
h[9],0.02,0.0,0.01,0.02,0.0,0.0,2334.49,1612.28,1.0
h[10],0.02,0.0,0.01,0.02,0.0,0.0,2334.49,1612.28,1.0
h[11],0.02,0.0,0.01,0.02,0.0,0.0,2334.49,1612.28,1.0
h[12],0.02,0.0,0.01,0.02,0.0,0.0,2334.49,1612.28,1.0
h[13],-0.24,0.03,-0.3,-0.17,0.0,0.0,2334.49,1612.28,1.0
h[14],-0.24,0.03,-0.3,-0.17,0.0,0.0,2334.49,1612.28,1.0
h[15],-0.24,0.03,-0.3,-0.17,0.0,0.0,2334.49,1612.28,1.0
h[16],-0.24,0.03,-0.3,-0.17,0.0,0.0,2334.49,1612.28,1.0
h[17],-0.08,0.01,-0.1,-0.06,0.0,0.0,2334.49,1612.28,1.0
h[18],-0.08,0.01,-0.1,-0.06,0.0,0.0,2334.49,1612.28,1.0
h[19],-0.08,0.01,-0.1,-0.06,0.0,0.0,2334.49,1612.28,1.0
h[20],-0.08,0.01,-0.1,-0.06,0.0,0.0,2334.49,1612.28,1.0
h[21],-0.08,0.01,-0.1,-0.06,0.0,0.0,2334.49,1612.28,1.0
h[22],-0.29,0.04,-0.37,-0.21,0.0,0.0,2334.49,1612.28,1.0
h[23],-0.29,0.04,-0.37,-0.21,0.0,0.0,2334.49,1612.28,1.0
h[24],-0.29,0.04,-0.37,-0.21,0.0,0.0,2334.49,1612.28,1.0
h[25],-0.29,0.04,-0.37,-0.21,0.0,0.0,2334.49,1612.28,1.0
h[26],-0.35,0.05,-0.45,-0.26,0.0,0.0,2334.49,1612.28,1.0
h[27],-0.35,0.05,-0.45,-0.26,0.0,0.0,2334.49,1612.28,1.0
h[28],-0.35,0.05,-0.45,-0.26,0.0,0.0,2334.49,1612.28,1.0
h[29],-0.35,0.05,-0.45,-0.26,0.0,0.0,2334.49,1612.28,1.0
h[30],-0.15,0.02,-0.2,-0.11,0.0,0.0,2334.49,1612.28,1.0
h[31],-0.15,0.02,-0.2,-0.11,0.0,0.0,2334.49,1612.28,1.0
h[32],-0.15,0.02,-0.2,-0.11,0.0,0.0,2334.49,1612.28,1.0
h[33],-0.15,0.02,-0.2,-0.11,0.0,0.0,2334.49,1612.28,1.0
h[34],-0.15,0.02,-0.2,-0.11,0.0,0.0,2334.49,1612.28,1.0
