,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.43,0.54,2.41,4.41,0.01,0.01,2291.55,2112.65,1.0
delta_h,5.42,0.82,3.9,6.94,0.02,0.01,2769.14,2629.64,1.0
z_R,0.14,0.02,0.1,0.17,0.0,0.0,2133.4,2519.38,1.0
mu_R,3.33,1.09,1.33,5.32,0.02,0.01,3133.18,2549.22,1.0
sigma_R,1.95,0.91,0.55,3.59,0.01,0.01,4405.49,2900.55,1.0
z_S,0.16,0.04,0.09,0.24,0.0,0.0,3954.06,3025.19,1.0
sigma_model,0.21,0.03,0.16,0.26,0.0,0.0,3322.44,2758.18,1.0
k[0],0.57,0.09,0.4,0.73,0.0,0.0,2291.55,2112.65,1.0
k[1],0.57,0.09,0.4,0.73,0.0,0.0,2291.55,2112.65,1.0
k[2],0.57,0.09,0.4,0.73,0.0,0.0,2291.55,2112.65,1.0
k[3],0.57,0.09,0.4,0.73,0.0,0.0,2291.55,2112.65,1.0
k[4],0.56,0.09,0.39,0.71,0.0,0.0,2291.55,2112.65,1.0
k[5],0.56,0.09,0.39,0.71,0.0,0.0,2291.55,2112.65,1.0
k[6],0.56,0.09,0.39,0.71,0.0,0.0,2291.55,2112.65,1.0
k[7],0.56,0.09,0.39,0.71,0.0,0.0,2291.55,2112.65,1.0
k[8],0.56,0.09,0.39,0.71,0.0,0.0,2291.55,2112.65,1.0
k[9],0.44,0.07,0.31,0.56,0.0,0.0,2291.55,2112.65,1.0
k[10],0.44,0.07,0.31,0.56,0.0,0.0,2291.55,2112.65,1.0
k[11],0.44,0.07,0.31,0.56,0.0,0.0,2291.55,2112.65,1.0
k[12],0.44,0.07,0.31,0.56,0.0,0.0,2291.55,2112.65,1.0
k[13],0.33,0.05,0.23,0.42,0.0,0.0,2291.55,2112.65,1.0
k[14],0.33,0.05,0.23,0.42,0.0,0.0,2291.55,2112.65,1.0
k[15],0.33,0.05,0.23,0.42,0.0,0.0,2291.55,2112.65,1.0
k[16],0.33,0.05,0.23,0.42,0.0,0.0,2291.55,2112.65,1.0
k[17],0.25,0.04,0.18,0.33,0.0,0.0,2291.55,2112.65,1.0
k[18],0.25,0.04,0.18,0.33,0.0,0.0,2291.55,2112.65,1.0
k[19],0.25,0.04,0.18,0.33,0.0,0.0,2291.55,2112.65,1.0
k[20],0.25,0.04,0.18,0.33,0.0,0.0,2291.55,2112.65,1.0
k[21],0.25,0.04,0.18,0.33,0.0,0.0,2291.55,2112.65,1.0
k[22],0.22,0.03,0.15,0.28,0.0,0.0,2291.55,2112.65,1.0
k[23],0.22,0.03,0.15,0.28,0.0,0.0,2291.55,2112.65,1.0
k[24],0.22,0.03,0.15,0.28,0.0,0.0,2291.55,2112.65,1.0
k[25],0.22,0.03,0.15,0.28,0.0,0.0,2291.55,2112.65,1.0
k[26],0.19,0.03,0.13,0.25,0.0,0.0,2291.55,2112.65,1.0
k[27],0.19,0.03,0.13,0.25,0.0,0.0,2291.55,2112.65,1.0
k[28],0.19,0.03,0.13,0.25,0.0,0.0,2291.55,2112.65,1.0
k[29],0.19,0.03,0.13,0.25,0.0,0.0,2291.55,2112.65,1.0
k[30],0.23,0.04,0.16,0.29,0.0,0.0,2291.55,2112.65,1.0
k[31],0.23,0.04,0.16,0.29,0.0,0.0,2291.55,2112.65,1.0
k[32],0.23,0.04,0.16,0.29,0.0,0.0,2291.55,2112.65,1.0
k[33],0.23,0.04,0.16,0.29,0.0,0.0,2291.55,2112.65,1.0
k[34],0.23,0.04,0.16,0.29,0.0,0.0,2291.55,2112.65,1.0
k[35],0.26,0.04,0.18,0.33,0.0,0.0,2291.55,2112.65,1.0
k[36],0.26,0.04,0.18,0.33,0.0,0.0,2291.55,2112.65,1.0
h[0],0.49,0.07,0.35,0.63,0.0,0.0,2769.14,2629.64,1.0
h[1],0.49,0.07,0.35,0.63,0.0,0.0,2769.14,2629.64,1.0
h[2],0.49,0.07,0.35,0.63,0.0,0.0,2769.14,2629.64,1.0
h[3],0.49,0.07,0.35,0.63,0.0,0.0,2769.14,2629.64,1.0
h[4],0.39,0.06,0.28,0.5,0.0,0.0,2769.14,2629.64,1.0
h[5],0.39,0.06,0.28,0.5,0.0,0.0,2769.14,2629.64,1.0
h[6],0.39,0.06,0.28,0.5,0.0,0.0,2769.14,2629.64,1.0
h[7],0.39,0.06,0.28,0.5,0.0,0.0,2769.14,2629.64,1.0
h[8],0.39,0.06,0.28,0.5,0.0,0.0,2769.14,2629.64,1.0
h[9],0.02,0.0,0.01,0.02,0.0,0.0,2769.14,2629.64,1.0
h[10],0.02,0.0,0.01,0.02,0.0,0.0,2769.14,2629.64,1.0
h[11],0.02,0.0,0.01,0.02,0.0,0.0,2769.14,2629.64,1.0
h[12],0.02,0.0,0.01,0.02,0.0,0.0,2769.14,2629.64,1.0
h[13],-0.25,0.04,-0.32,-0.18,0.0,0.0,2769.14,2629.64,1.0
h[14],-0.25,0.04,-0.32,-0.18,0.0,0.0,2769.14,2629.64,1.0
h[15],-0.25,0.04,-0.32,-0.18,0.0,0.0,2769.14,2629.64,1.0
h[16],-0.25,0.04,-0.32,-0.18,0.0,0.0,2769.14,2629.64,1.0
h[17],-0.08,0.01,-0.1,-0.06,0.0,0.0,2769.14,2629.64,1.0
h[18],-0.08,0.01,-0.1,-0.06,0.0,0.0,2769.14,2629.64,1.0
h[19],-0.08,0.01,-0.1,-0.06,0.0,0.0,2769.14,2629.64,1.0
h[20],-0.08,0.01,-0.1,-0.06,0.0,0.0,2769.14,2629.64,1.0
h[21],-0.08,0.01,-0.1,-0.06,0.0,0.0,2769.14,2629.64,1.0
h[22],-0.31,0.05,-0.39,-0.22,0.0,0.0,2769.14,2629.64,1.0
h[23],-0.31,0.05,-0.39,-0.22,0.0,0.0,2769.14,2629.64,1.0
h[24],-0.31,0.05,-0.39,-0.22,0.0,0.0,2769.14,2629.64,1.0
h[25],-0.31,0.05,-0.39,-0.22,0.0,0.0,2769.14,2629.64,1.0
h[26],-0.37,0.06,-0.47,-0.27,0.0,0.0,2769.14,2629.64,1.0
h[27],-0.37,0.06,-0.47,-0.27,0.0,0.0,2769.14,2629.64,1.0
h[28],-0.37,0.06,-0.47,-0.27,0.0,0.0,2769.14,2629.64,1.0
h[29],-0.37,0.06,-0.47,-0.27,0.0,0.0,2769.14,2629.64,1.0
h[30],-0.16,0.02,-0.21,-0.12,0.0,0.0,2769.14,2629.64,1.0
h[31],-0.16,0.02,-0.21,-0.12,0.0,0.0,2769.14,2629.64,1.0
h[32],-0.16,0.02,-0.21,-0.12,0.0,0.0,2769.14,2629.64,1.0
h[33],-0.16,0.02,-0.21,-0.12,0.0,0.0,2769.14,2629.64,1.0
h[34],-0.16,0.02,-0.21,-0.12,0.0,0.0,2769.14,2629.64,1.0
h[35],-0.05,0.01,-0.07,-0.04,0.0,0.0,2769.14,2629.64,1.0
h[36],-0.05,0.01,-0.07,-0.04,0.0,0.0,2769.14,2629.64,1.0
o_*[0],6.41,0.09,6.24,6.57,0.0,0.0,4230.49,2808.69,1.0
o_*[1],5.98,0.09,5.81,6.14,0.0,0.0,4230.49,2808.69,1.0
o_*[2],6.02,0.09,5.85,6.18,0.0,0.0,4230.49,2808.69,1.0
o_*[3],6.65,0.09,6.48,6.81,0.0,0.0,4230.49,2808.69,1.0
o_*[4],6.78,0.08,6.63,6.94,0.0,0.0,3783.82,3006.65,1.0
o_*[5],7.08,0.08,6.93,7.24,0.0,0.0,3783.82,3006.65,1.0
o_*[6],7.0,0.08,6.85,7.16,0.0,0.0,3783.82,3006.65,1.0
o_*[7],6.59,0.08,6.44,6.75,0.0,0.0,3783.82,3006.65,1.0
o_*[8],7.1,0.08,6.95,7.26,0.0,0.0,3783.82,3006.65,1.0
o_*[9],7.22,0.07,7.09,7.35,0.0,0.0,2327.58,2212.93,1.0
o_*[10],7.38,0.07,7.25,7.51,0.0,0.0,2327.58,2212.93,1.0
o_*[11],7.65,0.07,7.52,7.78,0.0,0.0,2327.58,2212.93,1.0
o_*[12],7.58,0.07,7.45,7.71,0.0,0.0,2327.58,2212.93,1.0
o_*[13],7.88,0.08,7.74,8.02,0.0,0.0,2105.45,2097.7,1.0
o_*[14],7.86,0.08,7.72,8.0,0.0,0.0,2105.45,2097.7,1.0
o_*[15],7.81,0.08,7.67,7.95,0.0,0.0,2105.45,2097.7,1.0
o_*[16],7.71,0.08,7.57,7.85,0.0,0.0,2105.45,2097.7,1.0
o_*[17],7.7,0.05,7.62,7.79,0.0,0.0,2128.82,1919.25,1.0
o_*[18],7.76,0.05,7.68,7.85,0.0,0.0,2128.82,1919.25,1.0
o_*[19],7.48,0.05,7.4,7.57,0.0,0.0,2128.82,1919.25,1.0
o_*[20],7.87,0.05,7.79,7.96,0.0,0.0,2128.82,1919.25,1.0
o_*[21],8.04,0.05,7.96,8.13,0.0,0.0,2128.82,1919.25,1.0
o_*[22],8.02,0.07,7.9,8.15,0.0,0.0,2181.78,2482.2,1.0
o_*[23],8.13,0.07,8.01,8.26,0.0,0.0,2181.78,2482.2,1.0
o_*[24],8.15,0.07,8.03,8.28,0.0,0.0,2181.78,2482.2,1.0
o_*[25],8.26,0.07,8.14,8.39,0.0,0.0,2181.78,2482.2,1.0
o_*[26],8.08,0.07,7.94,8.22,0.0,0.0,2249.63,2582.4,1.0
o_*[27],8.02,0.07,7.88,8.16,0.0,0.0,2249.63,2582.4,1.0
o_*[28],7.79,0.07,7.65,7.93,0.0,0.0,2249.63,2582.4,1.0
o_*[29],7.94,0.07,7.8,8.08,0.0,0.0,2249.63,2582.4,1.0
o_*[30],7.35,0.05,7.25,7.44,0.0,0.0,2102.76,2052.62,1.0
o_*[31],7.48,0.05,7.38,7.57,0.0,0.0,2102.76,2052.62,1.0
o_*[32],7.57,0.05,7.47,7.66,0.0,0.0,2102.76,2052.62,1.0
o_*[33],7.47,0.05,7.37,7.56,0.0,0.0,2102.76,2052.62,1.0
o_*[34],7.42,0.05,7.32,7.51,0.0,0.0,2102.76,2052.62,1.0
o_*[35],7.25,0.04,7.17,7.33,0.0,0.0,2164.22,2010.42,1.0
o_*[36],7.18,0.04,7.1,7.26,0.0,0.0,2164.22,2010.42,1.0
risk_R[0],0.75,0.11,0.59,0.98,0.0,0.0,3910.23,2547.51,1.0
risk_R[1],0.62,0.11,0.43,0.84,0.0,0.0,3560.38,2929.88,1.0
risk_R[2],0.51,0.1,0.35,0.69,0.0,0.0,3216.25,3010.49,1.0
risk_R[3],0.43,0.08,0.32,0.57,0.0,0.0,3192.93,2888.02,1.0
risk_R[4],0.38,0.06,0.31,0.49,0.0,0.0,3116.3,3029.53,1.0
risk_R[5],0.35,0.04,0.3,0.43,0.0,0.0,3138.44,2993.5,1.0
risk_R[6],0.34,0.03,0.31,0.39,0.0,0.0,3379.21,2873.78,1.0
risk_R[7],0.34,0.02,0.31,0.38,0.0,0.0,3835.18,3063.03,1.0
