,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.52,0.57,2.51,4.62,0.01,0.01,2072.2,2280.88,1.0
delta_h,4.91,0.72,3.62,6.3,0.01,0.01,3444.13,2906.54,1.0
z_C,0.14,0.02,0.1,0.19,0.0,0.0,1809.53,2297.69,1.0
mu_C,5.27,2.47,1.47,9.87,0.05,0.04,2424.08,2803.87,1.0
sigma_C,4.18,1.96,1.24,7.67,0.03,0.02,3869.54,2542.59,1.0
z_S,0.17,0.04,0.1,0.25,0.0,0.0,3815.95,2669.78,1.0
sigma_model,0.21,0.03,0.17,0.27,0.0,0.0,3449.21,2861.06,1.0
k[0],0.58,0.09,0.42,0.77,0.0,0.0,2072.2,2280.88,1.0
k[1],0.58,0.09,0.42,0.77,0.0,0.0,2072.2,2280.88,1.0
k[2],0.58,0.09,0.42,0.77,0.0,0.0,2072.2,2280.88,1.0
k[3],0.58,0.09,0.42,0.77,0.0,0.0,2072.2,2280.88,1.0
k[4],0.57,0.09,0.41,0.75,0.0,0.0,2072.2,2280.88,1.0
k[5],0.57,0.09,0.41,0.75,0.0,0.0,2072.2,2280.88,1.0
k[6],0.57,0.09,0.41,0.75,0.0,0.0,2072.2,2280.88,1.0
k[7],0.57,0.09,0.41,0.75,0.0,0.0,2072.2,2280.88,1.0
k[8],0.57,0.09,0.41,0.75,0.0,0.0,2072.2,2280.88,1.0
k[9],0.45,0.07,0.32,0.59,0.0,0.0,2072.2,2280.88,1.0
k[10],0.45,0.07,0.32,0.59,0.0,0.0,2072.2,2280.88,1.0
k[11],0.45,0.07,0.32,0.59,0.0,0.0,2072.2,2280.88,1.0
k[12],0.45,0.07,0.32,0.59,0.0,0.0,2072.2,2280.88,1.0
k[13],0.34,0.05,0.24,0.44,0.0,0.0,2072.2,2280.88,1.0
k[14],0.34,0.05,0.24,0.44,0.0,0.0,2072.2,2280.88,1.0
k[15],0.34,0.05,0.24,0.44,0.0,0.0,2072.2,2280.88,1.0
k[16],0.34,0.05,0.24,0.44,0.0,0.0,2072.2,2280.88,1.0
k[17],0.26,0.04,0.19,0.34,0.0,0.0,2072.2,2280.88,1.0
k[18],0.26,0.04,0.19,0.34,0.0,0.0,2072.2,2280.88,1.0
k[19],0.26,0.04,0.19,0.34,0.0,0.0,2072.2,2280.88,1.0
k[20],0.26,0.04,0.19,0.34,0.0,0.0,2072.2,2280.88,1.0
k[21],0.26,0.04,0.19,0.34,0.0,0.0,2072.2,2280.88,1.0
k[22],0.22,0.04,0.16,0.29,0.0,0.0,2072.2,2280.88,1.0
k[23],0.22,0.04,0.16,0.29,0.0,0.0,2072.2,2280.88,1.0
k[24],0.22,0.04,0.16,0.29,0.0,0.0,2072.2,2280.88,1.0
k[25],0.22,0.04,0.16,0.29,0.0,0.0,2072.2,2280.88,1.0
k[26],0.2,0.03,0.14,0.26,0.0,0.0,2072.2,2280.88,1.0
k[27],0.2,0.03,0.14,0.26,0.0,0.0,2072.2,2280.88,1.0
k[28],0.2,0.03,0.14,0.26,0.0,0.0,2072.2,2280.88,1.0
k[29],0.2,0.03,0.14,0.26,0.0,0.0,2072.2,2280.88,1.0
k[30],0.23,0.04,0.17,0.31,0.0,0.0,2072.2,2280.88,1.0
k[31],0.23,0.04,0.17,0.31,0.0,0.0,2072.2,2280.88,1.0
k[32],0.23,0.04,0.17,0.31,0.0,0.0,2072.2,2280.88,1.0
k[33],0.23,0.04,0.17,0.31,0.0,0.0,2072.2,2280.88,1.0
k[34],0.23,0.04,0.17,0.31,0.0,0.0,2072.2,2280.88,1.0
k[35],0.26,0.04,0.19,0.35,0.0,0.0,2072.2,2280.88,1.0
k[36],0.26,0.04,0.19,0.35,0.0,0.0,2072.2,2280.88,1.0
h[0],0.45,0.07,0.33,0.57,0.0,0.0,3444.13,2906.54,1.0
h[1],0.45,0.07,0.33,0.57,0.0,0.0,3444.13,2906.54,1.0
h[2],0.45,0.07,0.33,0.57,0.0,0.0,3444.13,2906.54,1.0
h[3],0.45,0.07,0.33,0.57,0.0,0.0,3444.13,2906.54,1.0
h[4],0.35,0.05,0.26,0.45,0.0,0.0,3444.13,2906.54,1.0
h[5],0.35,0.05,0.26,0.45,0.0,0.0,3444.13,2906.54,1.0
h[6],0.35,0.05,0.26,0.45,0.0,0.0,3444.13,2906.54,1.0
h[7],0.35,0.05,0.26,0.45,0.0,0.0,3444.13,2906.54,1.0
h[8],0.35,0.05,0.26,0.45,0.0,0.0,3444.13,2906.54,1.0
h[9],0.01,0.0,0.01,0.02,0.0,0.0,3444.13,2906.54,1.0
h[10],0.01,0.0,0.01,0.02,0.0,0.0,3444.13,2906.54,1.0
h[11],0.01,0.0,0.01,0.02,0.0,0.0,3444.13,2906.54,1.0
h[12],0.01,0.0,0.01,0.02,0.0,0.0,3444.13,2906.54,1.0
h[13],-0.23,0.03,-0.29,-0.17,0.0,0.0,3444.13,2906.54,1.0
h[14],-0.23,0.03,-0.29,-0.17,0.0,0.0,3444.13,2906.54,1.0
h[15],-0.23,0.03,-0.29,-0.17,0.0,0.0,3444.13,2906.54,1.0
h[16],-0.23,0.03,-0.29,-0.17,0.0,0.0,3444.13,2906.54,1.0
h[17],-0.07,0.01,-0.09,-0.05,0.0,0.0,3444.13,2906.54,1.0
h[18],-0.07,0.01,-0.09,-0.05,0.0,0.0,3444.13,2906.54,1.0
h[19],-0.07,0.01,-0.09,-0.05,0.0,0.0,3444.13,2906.54,1.0
h[20],-0.07,0.01,-0.09,-0.05,0.0,0.0,3444.13,2906.54,1.0
h[21],-0.07,0.01,-0.09,-0.05,0.0,0.0,3444.13,2906.54,1.0
h[22],-0.28,0.04,-0.36,-0.21,0.0,0.0,3444.13,2906.54,1.0
h[23],-0.28,0.04,-0.36,-0.21,0.0,0.0,3444.13,2906.54,1.0
h[24],-0.28,0.04,-0.36,-0.21,0.0,0.0,3444.13,2906.54,1.0
h[25],-0.28,0.04,-0.36,-0.21,0.0,0.0,3444.13,2906.54,1.0
h[26],-0.34,0.05,-0.43,-0.25,0.0,0.0,3444.13,2906.54,1.0
h[27],-0.34,0.05,-0.43,-0.25,0.0,0.0,3444.13,2906.54,1.0
h[28],-0.34,0.05,-0.43,-0.25,0.0,0.0,3444.13,2906.54,1.0
h[29],-0.34,0.05,-0.43,-0.25,0.0,0.0,3444.13,2906.54,1.0
h[30],-0.15,0.02,-0.19,-0.11,0.0,0.0,3444.13,2906.54,1.0
h[31],-0.15,0.02,-0.19,-0.11,0.0,0.0,3444.13,2906.54,1.0
h[32],-0.15,0.02,-0.19,-0.11,0.0,0.0,3444.13,2906.54,1.0
h[33],-0.15,0.02,-0.19,-0.11,0.0,0.0,3444.13,2906.54,1.0
h[34],-0.15,0.02,-0.19,-0.11,0.0,0.0,3444.13,2906.54,1.0
h[35],-0.05,0.01,-0.06,-0.04,0.0,0.0,3444.13,2906.54,1.0
h[36],-0.05,0.01,-0.06,-0.04,0.0,0.0,3444.13,2906.54,1.0
o_*[0],6.44,0.09,6.27,6.61,0.0,0.0,3206.76,3148.45,1.0
o_*[1],6.01,0.09,5.84,6.18,0.0,0.0,3206.76,3148.45,1.0
o_*[2],6.05,0.09,5.88,6.22,0.0,0.0,3206.76,3148.45,1.0
o_*[3],6.68,0.09,6.51,6.85,0.0,0.0,3206.76,3148.45,1.0
o_*[4],6.81,0.09,6.65,6.96,0.0,0.0,2842.65,3110.01,1.0
o_*[5],7.11,0.09,6.95,7.26,0.0,0.0,2842.65,3110.01,1.0
o_*[6],7.03,0.09,6.87,7.18,0.0,0.0,2842.65,3110.01,1.0
o_*[7],6.62,0.09,6.46,6.77,0.0,0.0,2842.65,3110.01,1.0
o_*[8],7.13,0.09,6.97,7.28,0.0,0.0,2842.65,3110.01,1.0
o_*[9],7.21,0.07,7.07,7.33,0.0,0.0,2083.36,2312.92,1.0
o_*[10],7.37,0.07,7.23,7.49,0.0,0.0,2083.36,2312.92,1.0
o_*[11],7.64,0.07,7.5,7.76,0.0,0.0,2083.36,2312.92,1.0
o_*[12],7.57,0.07,7.43,7.69,0.0,0.0,2083.36,2312.92,1.0
o_*[13],7.85,0.07,7.7,7.98,0.0,0.0,2126.89,2390.45,1.0
o_*[14],7.83,0.07,7.68,7.96,0.0,0.0,2126.89,2390.45,1.0
o_*[15],7.78,0.07,7.63,7.91,0.0,0.0,2126.89,2390.45,1.0
o_*[16],7.68,0.07,7.53,7.81,0.0,0.0,2126.89,2390.45,1.0
o_*[17],7.68,0.05,7.59,7.77,0.0,0.0,2041.82,2075.34,1.0
o_*[18],7.74,0.05,7.65,7.83,0.0,0.0,2041.82,2075.34,1.0
o_*[19],7.46,0.05,7.37,7.55,0.0,0.0,2041.82,2075.34,1.0
