,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.33,0.54,2.35,4.33,0.01,0.01,2213.78,2532.74,1.0
delta_h,5.26,0.84,3.58,6.77,0.02,0.01,2388.34,1946.48,1.0
z_R,0.14,0.02,0.11,0.17,0.0,0.0,1979.93,2240.0,1.0
mu_R,4.58,1.74,1.59,7.85,0.04,0.03,2181.57,2192.79,1.0
sigma_R,3.72,1.58,1.26,6.53,0.03,0.02,3848.78,2449.88,1.0
z_S,0.16,0.04,0.08,0.23,0.0,0.0,3289.21,2490.41,1.0
sigma_model,0.21,0.03,0.16,0.26,0.0,0.0,3006.08,1749.01,1.0
k[0],0.55,0.09,0.39,0.72,0.0,0.0,2213.78,2532.74,1.0
k[1],0.55,0.09,0.39,0.72,0.0,0.0,2213.78,2532.74,1.0
k[2],0.55,0.09,0.39,0.72,0.0,0.0,2213.78,2532.74,1.0
k[3],0.55,0.09,0.39,0.72,0.0,0.0,2213.78,2532.74,1.0
k[4],0.54,0.09,0.38,0.7,0.0,0.0,2213.78,2532.74,1.0
k[5],0.54,0.09,0.38,0.7,0.0,0.0,2213.78,2532.74,1.0
k[6],0.54,0.09,0.38,0.7,0.0,0.0,2213.78,2532.74,1.0
k[7],0.54,0.09,0.38,0.7,0.0,0.0,2213.78,2532.74,1.0
k[8],0.54,0.09,0.38,0.7,0.0,0.0,2213.78,2532.74,1.0
k[9],0.42,0.07,0.3,0.55,0.0,0.0,2213.78,2532.74,1.0
k[10],0.42,0.07,0.3,0.55,0.0,0.0,2213.78,2532.74,1.0
k[11],0.42,0.07,0.3,0.55,0.0,0.0,2213.78,2532.74,1.0
k[12],0.42,0.07,0.3,0.55,0.0,0.0,2213.78,2532.74,1.0
k[13],0.32,0.05,0.23,0.42,0.0,0.0,2213.78,2532.74,1.0
k[14],0.32,0.05,0.23,0.42,0.0,0.0,2213.78,2532.74,1.0
k[15],0.32,0.05,0.23,0.42,0.0,0.0,2213.78,2532.74,1.0
k[16],0.32,0.05,0.23,0.42,0.0,0.0,2213.78,2532.74,1.0
k[17],0.25,0.04,0.17,0.32,0.0,0.0,2213.78,2532.74,1.0
k[18],0.25,0.04,0.17,0.32,0.0,0.0,2213.78,2532.74,1.0
k[19],0.25,0.04,0.17,0.32,0.0,0.0,2213.78,2532.74,1.0
k[20],0.25,0.04,0.17,0.32,0.0,0.0,2213.78,2532.74,1.0
k[21],0.25,0.04,0.17,0.32,0.0,0.0,2213.78,2532.74,1.0
k[22],0.21,0.03,0.15,0.27,0.0,0.0,2213.78,2532.74,1.0
k[23],0.21,0.03,0.15,0.27,0.0,0.0,2213.78,2532.74,1.0
k[24],0.21,0.03,0.15,0.27,0.0,0.0,2213.78,2532.74,1.0
k[25],0.21,0.03,0.15,0.27,0.0,0.0,2213.78,2532.74,1.0
k[26],0.19,0.03,0.13,0.24,0.0,0.0,2213.78,2532.74,1.0
k[27],0.19,0.03,0.13,0.24,0.0,0.0,2213.78,2532.74,1.0
k[28],0.19,0.03,0.13,0.24,0.0,0.0,2213.78,2532.74,1.0
k[29],0.19,0.03,0.13,0.24,0.0,0.0,2213.78,2532.74,1.0
k[30],0.22,0.04,0.15,0.29,0.0,0.0,2213.78,2532.74,1.0
k[31],0.22,0.04,0.15,0.29,0.0,0.0,2213.78,2532.74,1.0
k[32],0.22,0.04,0.15,0.29,0.0,0.0,2213.78,2532.74,1.0
k[33],0.22,0.04,0.15,0.29,0.0,0.0,2213.78,2532.74,1.0
k[34],0.22,0.04,0.15,0.29,0.0,0.0,2213.78,2532.74,1.0
k[35],0.25,0.04,0.18,0.33,0.0,0.0,2213.78,2532.74,1.0
k[36],0.25,0.04,0.18,0.33,0.0,0.0,2213.78,2532.74,1.0
h[0],0.48,0.08,0.33,0.62,0.0,0.0,2388.34,1946.48,1.0
h[1],0.48,0.08,0.33,0.62,0.0,0.0,2388.34,1946.48,1.0
h[2],0.48,0.08,0.33,0.62,0.0,0.0,2388.34,1946.48,1.0
h[3],0.48,0.08,0.33,0.62,0.0,0.0,2388.34,1946.48,1.0
h[4],0.38,0.06,0.26,0.49,0.0,0.0,2388.34,1946.48,1.0
h[5],0.38,0.06,0.26,0.49,0.0,0.0,2388.34,1946.48,1.0
h[6],0.38,0.06,0.26,0.49,0.0,0.0,2388.34,1946.48,1.0
h[7],0.38,0.06,0.26,0.49,0.0,0.0,2388.34,1946.48,1.0
h[8],0.38,0.06,0.26,0.49,0.0,0.0,2388.34,1946.48,1.0
h[9],0.02,0.0,0.01,0.02,0.0,0.0,2388.34,1946.48,1.0
h[10],0.02,0.0,0.01,0.02,0.0,0.0,2388.34,1946.48,1.0
h[11],0.02,0.0,0.01,0.02,0.0,0.0,2388.34,1946.48,1.0
h[12],0.02,0.0,0.01,0.02,0.0,0.0,2388.34,1946.48,1.0
h[13],-0.24,0.04,-0.31,-0.16,0.0,0.0,2388.34,1946.48,1.0
h[14],-0.24,0.04,-0.31,-0.16,0.0,0.0,2388.34,1946.48,1.0
h[15],-0.24,0.04,-0.31,-0.16,0.0,0.0,2388.34,1946.48,1.0
h[16],-0.24,0.04,-0.31,-0.16,0.0,0.0,2388.34,1946.48,1.0
h[17],-0.08,0.01,-0.1,-0.05,0.0,0.0,2388.34,1946.48,1.0
h[18],-0.08,0.01,-0.1,-0.05,0.0,0.0,2388.34,1946.48,1.0
h[19],-0.08,0.01,-0.1,-0.05,0.0,0.0,2388.34,1946.48,1.0
h[20],-0.08,0.01,-0.1,-0.05,0.0,0.0,2388.34,1946.48,1.0
h[21],-0.08,0.01,-0.1,-0.05,0.0,0.0,2388.34,1946.48,1.0
h[22],-0.3,0.05,-0.38,-0.2,0.0,0.0,2388.34,1946.48,1.0
h[23],-0.3,0.05,-0.38,-0.2,0.0,0.0,2388.34,1946.48,1.0
h[24],-0.3,0.05,-0.38,-0.2,0.0,0.0,2388.34,1946.48,1.0
h[25],-0.3,0.05,-0.38,-0.2,0.0,0.0,2388.34,1946.48,1.0
h[26],-0.36,0.06,-0.46,-0.24,0.0,0.0,2388.34,1946.48,1.0
h[27],-0.36,0.06,-0.46,-0.24,0.0,0.0,2388.34,1946.48,1.0
h[28],-0.36,0.06,-0.46,-0.24,0.0,0.0,2388.34,1946.48,1.0
h[29],-0.36,0.06,-0.46,-0.24,0.0,0.0,2388.34,1946.48,1.0
h[30],-0.16,0.03,-0.2,-0.11,0.0,0.0,2388.34,1946.48,1.0
h[31],-0.16,0.03,-0.2,-0.11,0.0,0.0,2388.34,1946.48,1.0
h[32],-0.16,0.03,-0.2,-0.11,0.0,0.0,2388.34,1946.48,1.0
h[33],-0.16,0.03,-0.2,-0.11,0.0,0.0,2388.34,1946.48,1.0
h[34],-0.16,0.03,-0.2,-0.11,0.0,0.0,2388.34,1946.48,1.0
h[35],-0.05,0.01,-0.07,-0.04,0.0,0.0,2388.34,1946.48,1.0
h[36],-0.05,0.01,-0.07,-0.04,0.0,0.0,2388.34,1946.48,1.0
o_*[0],6.44,0.1,6.26,6.62,0.0,0.0,3692.7,2420.44,1.0
