,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.98,0.52,2.99,4.96,0.01,0.01,3028.86,2580.93,1.0
delta_h,4.84,0.73,3.43,6.17,0.01,0.01,3409.84,2939.91,1.0
z_C,0.12,0.02,0.09,0.15,0.0,0.0,2846.65,2708.81,1.0
mu_C,1.05,0.4,0.41,1.77,0.01,0.0,5018.42,2622.75,1.0
sigma_C,0.95,0.42,0.33,1.71,0.01,0.01,4830.45,2671.06,1.0
z_S,0.16,0.04,0.09,0.23,0.0,0.0,4412.23,2066.12,1.0
sigma_model,0.21,0.03,0.16,0.27,0.0,0.0,4154.42,3024.22,1.0
k[0],0.66,0.09,0.5,0.82,0.0,0.0,3028.86,2580.93,1.0
k[1],0.66,0.09,0.5,0.82,0.0,0.0,3028.86,2580.93,1.0
k[2],0.66,0.09,0.5,0.82,0.0,0.0,3028.86,2580.93,1.0
k[3],0.66,0.09,0.5,0.82,0.0,0.0,3028.86,2580.93,1.0
k[4],0.65,0.08,0.49,0.8,0.0,0.0,3028.86,2580.93,1.0
k[5],0.65,0.08,0.49,0.8,0.0,0.0,3028.86,2580.93,1.0
k[6],0.65,0.08,0.49,0.8,0.0,0.0,3028.86,2580.93,1.0
k[7],0.65,0.08,0.49,0.8,0.0,0.0,3028.86,2580.93,1.0
k[8],0.65,0.08,0.49,0.8,0.0,0.0,3028.86,2580.93,1.0
k[9],0.51,0.07,0.38,0.63,0.0,0.0,3028.86,2580.93,1.0
k[10],0.51,0.07,0.38,0.63,0.0,0.0,3028.86,2580.93,1.0
k[11],0.51,0.07,0.38,0.63,0.0,0.0,3028.86,2580.93,1.0
k[12],0.51,0.07,0.38,0.63,0.0,0.0,3028.86,2580.93,1.0
k[13],0.38,0.05,0.29,0.48,0.0,0.0,3028.86,2580.93,1.0
k[14],0.38,0.05,0.29,0.48,0.0,0.0,3028.86,2580.93,1.0
k[15],0.38,0.05,0.29,0.48,0.0,0.0,3028.86,2580.93,1.0
k[16],0.38,0.05,0.29,0.48,0.0,0.0,3028.86,2580.93,1.0
k[17],0.29,0.04,0.22,0.37,0.0,0.0,3028.86,2580.93,1.0
k[18],0.29,0.04,0.22,0.37,0.0,0.0,3028.86,2580.93,1.0
k[19],0.29,0.04,0.22,0.37,0.0,0.0,3028.86,2580.93,1.0
k[20],0.29,0.04,0.22,0.37,0.0,0.0,3028.86,2580.93,1.0
k[21],0.29,0.04,0.22,0.37,0.0,0.0,3028.86,2580.93,1.0
k[22],0.25,0.03,0.19,0.31,0.0,0.0,3028.86,2580.93,1.0
k[23],0.25,0.03,0.19,0.31,0.0,0.0,3028.86,2580.93,1.0
k[24],0.25,0.03,0.19,0.31,0.0,0.0,3028.86,2580.93,1.0
k[25],0.25,0.03,0.19,0.31,0.0,0.0,3028.86,2580.93,1.0
k[26],0.22,0.03,0.17,0.28,0.0,0.0,3028.86,2580.93,1.0
k[27],0.22,0.03,0.17,0.28,0.0,0.0,3028.86,2580.93,1.0
k[28],0.22,0.03,0.17,0.28,0.0,0.0,3028.86,2580.93,1.0
k[29],0.22,0.03,0.17,0.28,0.0,0.0,3028.86,2580.93,1.0
k[30],0.26,0.03,0.2,0.33,0.0,0.0,3028.86,2580.93,1.0
k[31],0.26,0.03,0.2,0.33,0.0,0.0,3028.86,2580.93,1.0
k[32],0.26,0.03,0.2,0.33,0.0,0.0,3028.86,2580.93,1.0
