,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.34,0.49,2.44,4.29,0.01,0.01,3623.65,2894.79,1.0
delta_h,5.02,0.74,3.69,6.46,0.01,0.01,4551.13,3274.71,1.0
z_C,0.07,0.01,0.05,0.1,0.0,0.0,3904.15,3244.08,1.0
mu_C,1.06,0.42,0.42,1.84,0.01,0.01,5508.81,2700.0,1.0
sigma_C,0.96,0.43,0.31,1.73,0.01,0.0,7441.74,2976.47,1.0
z_H,0.07,0.01,0.05,0.1,0.0,0.0,4359.8,3276.26,1.0
mu_H,1.11,0.47,0.42,1.99,0.01,0.01,6499.85,2450.53,1.0
sigma_H,1.0,0.44,0.3,1.77,0.01,0.0,7325.8,2846.81,1.0
z_S,0.15,0.04,0.08,0.23,0.0,0.0,5553.42,3055.92,1.0
sigma_model,0.23,0.03,0.17,0.29,0.0,0.0,4385.77,3026.23,1.0
k[0],0.55,0.08,0.41,0.71,0.0,0.0,3623.65,2894.79,1.0
k[1],0.55,0.08,0.41,0.71,0.0,0.0,3623.65,2894.79,1.0
k[2],0.55,0.08,0.41,0.71,0.0,0.0,3623.65,2894.79,1.0
k[3],0.55,0.08,0.41,0.71,0.0,0.0,3623.65,2894.79,1.0
k[4],0.54,0.08,0.4,0.7,0.0,0.0,3623.65,2894.79,1.0
k[5],0.54,0.08,0.4,0.7,0.0,0.0,3623.65,2894.79,1.0
k[6],0.54,0.08,0.4,0.7,0.0,0.0,3623.65,2894.79,1.0
k[7],0.54,0.08,0.4,0.7,0.0,0.0,3623.65,2894.79,1.0
k[8],0.54,0.08,0.4,0.7,0.0,0.0,3623.65,2894.79,1.0
k[9],0.42,0.06,0.31,0.55,0.0,0.0,3623.65,2894.79,1.0
k[10],0.42,0.06,0.31,0.55,0.0,0.0,3623.65,2894.79,1.0
k[11],0.42,0.06,0.31,0.55,0.0,0.0,3623.65,2894.79,1.0
k[12],0.42,0.06,0.31,0.55,0.0,0.0,3623.65,2894.79,1.0
k[13],0.32,0.05,0.23,0.41,0.0,0.0,3623.65,2894.79,1.0
k[14],0.32,0.05,0.23,0.41,0.0,0.0,3623.65,2894.79,1.0
k[15],0.32,0.05,0.23,0.41,0.0,0.0,3623.65,2894.79,1.0
k[16],0.32,0.05,0.23,0.41,0.0,0.0,3623.65,2894.79,1.0
k[17],0.25,0.04,0.18,0.32,0.0,0.0,3623.65,2894.79,1.0
