,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.12,0.48,2.22,4.0,0.01,0.01,4375.75,3137.87,1.0
delta_h,4.82,0.74,3.48,6.19,0.01,0.01,5510.09,3265.37,1.0
z_C,0.05,0.01,0.03,0.07,0.0,0.0,5637.56,2999.63,1.0
mu_C,1.06,0.4,0.44,1.77,0.01,0.0,5851.74,2986.79,1.0
sigma_C,0.92,0.4,0.31,1.63,0.01,0.0,7898.47,2977.04,1.0
z_H,0.05,0.01,0.03,0.07,0.0,0.0,4791.94,2709.93,1.0
mu_H,1.07,0.4,0.43,1.79,0.01,0.0,6069.18,2936.15,1.0
sigma_H,0.94,0.4,0.33,1.67,0.01,0.0,7663.72,2774.11,1.0
z_ICU,0.05,0.01,0.03,0.07,0.0,0.0,5789.27,3235.6,1.0
mu_ICU,1.1,0.45,0.4,1.95,0.01,0.01,7351.53,2796.84,1.0
sigma_ICU,0.95,0.4,0.34,1.65,0.01,0.0,7296.82,2861.96,1.0
z_S,0.15,0.04,0.08,0.23,0.0,0.0,6375.24,3424.05,1.0
sigma_model,0.23,0.03,0.18,0.3,0.0,0.0,4376.27,3223.09,1.0
k[0],0.52,0.08,0.37,0.66,0.0,0.0,4375.75,3137.87,1.0
k[1],0.52,0.08,0.37,0.66,0.0,0.0,4375.75,3137.87,1.0
k[2],0.52,0.08,0.37,0.66,0.0,0.0,4375.75,3137.87,1.0
k[3],0.52,0.08,0.37,0.66,0.0,0.0,4375.75,3137.87,1.0
k[4],0.5,0.08,0.36,0.65,0.0,0.0,4375.75,3137.87,1.0
k[5],0.5,0.08,0.36,0.65,0.0,0.0,4375.75,3137.87,1.0
k[6],0.5,0.08,0.36,0.65,0.0,0.0,4375.75,3137.87,1.0
k[7],0.5,0.08,0.36,0.65,0.0,0.0,4375.75,3137.87,1.0
k[8],0.5,0.08,0.36,0.65,0.0,0.0,4375.75,3137.87,1.0
k[9],0.4,0.06,0.28,0.51,0.0,0.0,4375.75,3137.87,1.0
k[10],0.4,0.06,0.28,0.51,0.0,0.0,4375.75,3137.87,1.0
k[11],0.4,0.06,0.28,0.51,0.0,0.0,4375.75,3137.87,1.0
k[12],0.4,0.06,0.28,0.51,0.0,0.0,4375.75,3137.87,1.0
k[13],0.3,0.05,0.21,0.38,0.0,0.0,4375.75,3137.87,1.0
k[14],0.3,0.05,0.21,0.38,0.0,0.0,4375.75,3137.87,1.0
k[15],0.3,0.05,0.21,0.38,0.0,0.0,4375.75,3137.87,1.0
k[16],0.3,0.05,0.21,0.38,0.0,0.0,4375.75,3137.87,1.0
k[17],0.23,0.04,0.16,0.3,0.0,0.0,4375.75,3137.87,1.0
k[18],0.23,0.04,0.16,0.3,0.0,0.0,4375.75,3137.87,1.0
k[19],0.23,0.04,0.16,0.3,0.0,0.0,4375.75,3137.87,1.0
k[20],0.23,0.04,0.16,0.3,0.0,0.0,4375.75,3137.87,1.0
k[21],0.23,0.04,0.16,0.3,0.0,0.0,4375.75,3137.87,1.0
k[22],0.2,0.03,0.14,0.25,0.0,0.0,4375.75,3137.87,1.0
k[23],0.2,0.03,0.14,0.25,0.0,0.0,4375.75,3137.87,1.0
k[24],0.2,0.03,0.14,0.25,0.0,0.0,4375.75,3137.87,1.0
k[25],0.2,0.03,0.14,0.25,0.0,0.0,4375.75,3137.87,1.0
k[26],0.17,0.03,0.12,0.22,0.0,0.0,4375.75,3137.87,1.0
k[27],0.17,0.03,0.12,0.22,0.0,0.0,4375.75,3137.87,1.0
k[28],0.17,0.03,0.12,0.22,0.0,0.0,4375.75,3137.87,1.0
k[29],0.17,0.03,0.12,0.22,0.0,0.0,4375.75,3137.87,1.0
k[30],0.21,0.03,0.15,0.26,0.0,0.0,4375.75,3137.87,1.0
k[31],0.21,0.03,0.15,0.26,0.0,0.0,4375.75,3137.87,1.0
k[32],0.21,0.03,0.15,0.26,0.0,0.0,4375.75,3137.87,1.0
k[33],0.21,0.03,0.15,0.26,0.0,0.0,4375.75,3137.87,1.0
k[34],0.21,0.03,0.15,0.26,0.0,0.0,4375.75,3137.87,1.0
k[35],0.23,0.04,0.17,0.3,0.0,0.0,4375.75,3137.87,1.0
k[36],0.23,0.04,0.17,0.3,0.0,0.0,4375.75,3137.87,1.0
h[0],0.44,0.07,0.32,0.56,0.0,0.0,5510.09,3265.37,1.0
h[1],0.44,0.07,0.32,0.56,0.0,0.0,5510.09,3265.37,1.0
h[2],0.44,0.07,0.32,0.56,0.0,0.0,5510.09,3265.37,1.0
h[3],0.44,0.07,0.32,0.56,0.0,0.0,5510.09,3265.37,1.0
h[4],0.35,0.05,0.25,0.45,0.0,0.0,5510.09,3265.37,1.0
h[5],0.35,0.05,0.25,0.45,0.0,0.0,5510.09,3265.37,1.0
h[6],0.35,0.05,0.25,0.45,0.0,0.0,5510.09,3265.37,1.0
h[7],0.35,0.05,0.25,0.45,0.0,0.0,5510.09,3265.37,1.0
h[8],0.35,0.05,0.25,0.45,0.0,0.0,5510.09,3265.37,1.0
h[9],0.01,0.0,0.01,0.02,0.0,0.0,5510.09,3265.37,1.0
h[10],0.01,0.0,0.01,0.02,0.0,0.0,5510.09,3265.37,1.0
h[11],0.01,0.0,0.01,0.02,0.0,0.0,5510.09,3265.37,1.0
h[12],0.01,0.0,0.01,0.02,0.0,0.0,5510.09,3265.37,1.0
h[13],-0.22,0.03,-0.28,-0.16,0.0,0.0,5510.09,3265.37,1.0
h[14],-0.22,0.03,-0.28,-0.16,0.0,0.0,5510.09,3265.37,1.0
h[15],-0.22,0.03,-0.28,-0.16,0.0,0.0,5510.09,3265.37,1.0
h[16],-0.22,0.03,-0.28,-0.16,0.0,0.0,5510.09,3265.37,1.0
h[17],-0.07,0.01,-0.09,-0.05,0.0,0.0,5510.09,3265.37,1.0
h[18],-0.07,0.01,-0.09,-0.05,0.0,0.0,5510.09,3265.37,1.0
h[19],-0.07,0.01,-0.09,-0.05,0.0,0.0,5510.09,3265.37,1.0
h[20],-0.07,0.01,-0.09,-0.05,0.0,0.0,5510.09,3265.37,1.0
h[21],-0.07,0.01,-0.09,-0.05,0.0,0.0,5510.09,3265.37,1.0
h[22],-0.27,0.04,-0.35,-0.2,0.0,0.0,5510.09,3265.37,1.0
h[23],-0.27,0.04,-0.35,-0.2,0.0,0.0,5510.09,3265.37,1.0
h[24],-0.27,0.04,-0.35,-0.2,0.0,0.0,5510.09,3265.37,1.0
h[25],-0.27,0.04,-0.35,-0.2,0.0,0.0,5510.09,3265.37,1.0
h[26],-0.33,0.05,-0.42,-0.24,0.0,0.0,5510.09,3265.37,1.0
h[27],-0.33,0.05,-0.42,-0.24,0.0,0.0,5510.09,3265.37,1.0
h[28],-0.33,0.05,-0.42,-0.24,0.0,0.0,5510.09,3265.37,1.0
h[29],-0.33,0.05,-0.42,-0.24,0.0,0.0,5510.09,3265.37,1.0
h[30],-0.14,0.02,-0.19,-0.1,0.0,0.0,5510.09,3265.37,1.0
h[31],-0.14,0.02,-0.19,-0.1,0.0,0.0,5510.09,3265.37,1.0
h[32],-0.14,0.02,-0.19,-0.1,0.0,0.0,5510.09,3265.37,1.0
h[33],-0.14,0.02,-0.19,-0.1,0.0,0.0,5510.09,3265.37,1.0
h[34],-0.14,0.02,-0.19,-0.1,0.0,0.0,5510.09,3265.37,1.0
h[35],-0.05,0.01,-0.06,-0.03,0.0,0.0,5510.09,3265.37,1.0
h[36],-0.05,0.01,-0.06,-0.03,0.0,0.0,5510.09,3265.37,1.0
o_*[0],6.51,0.09,6.34,6.67,0.0,0.0,6381.9,2913.89,1.0
o_*[1],6.08,0.09,5.91,6.24,0.0,0.0,6381.9,2913.89,1.0
o_*[2],6.12,0.09,5.95,6.28,0.0,0.0,6381.9,2913.89,1.0
o_*[3],6.75,0.09,6.58,6.91,0.0,0.0,6381.9,2913.89,1.0
o_*[4],6.88,0.08,6.72,7.03,0.0,0.0,5986.68,2868.89,1.0
o_*[5],7.18,0.08,7.02,7.33,0.0,0.0,5986.68,2868.89,1.0
o_*[6],7.1,0.08,6.94,7.25,0.0,0.0,5986.68,2868.89,1.0
o_*[7],6.69,0.08,6.53,6.84,0.0,0.0,5986.68,2868.89,1.0
o_*[8],7.2,0.08,7.04,7.35,0.0,0.0,5986.68,2868.89,1.0
o_*[9],7.26,0.06,7.14,7.37,0.0,0.0,4419.06,3087.84,1.0
o_*[10],7.42,0.06,7.3,7.53,0.0,0.0,4419.06,3087.84,1.0
o_*[11],7.69,0.06,7.57,7.8,0.0,0.0,4419.06,3087.84,1.0
o_*[12],7.62,0.06,7.5,7.73,0.0,0.0,4419.06,3087.84,1.0
o_*[13],7.88,0.06,7.76,8.0,0.0,0.0,4245.16,3326.12,1.0
o_*[14],7.86,0.06,7.74,7.98,0.0,0.0,4245.16,3326.12,1.0
