,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.23,0.49,2.31,4.12,0.01,0.01,4177.14,3402.7,1.0
delta_h,4.74,0.71,3.4,6.05,0.01,0.01,4323.94,3436.06,1.0
z_C,0.07,0.01,0.05,0.1,0.0,0.0,4174.35,3040.87,1.0
mu_C,1.06,0.39,0.41,1.79,0.01,0.0,7628.05,3121.18,1.0
sigma_C,0.93,0.41,0.31,1.66,0.01,0.0,8512.42,2348.78,1.0
z_ICU,0.07,0.01,0.05,0.1,0.0,0.0,4427.16,2901.07,1.0
mu_ICU,1.08,0.42,0.41,1.83,0.01,0.0,6396.4,3164.61,1.0
sigma_ICU,0.97,0.41,0.33,1.73,0.01,0.0,6432.87,3222.71,1.0
z_S,0.16,0.04,0.09,0.23,0.0,0.0,5436.13,3314.13,1.0
sigma_model,0.23,0.03,0.17,0.29,0.0,0.0,5146.06,2836.73,1.0
k[0],0.54,0.08,0.38,0.68,0.0,0.0,4177.14,3402.7,1.0
k[1],0.54,0.08,0.38,0.68,0.0,0.0,4177.14,3402.7,1.0
k[2],0.54,0.08,0.38,0.68,0.0,0.0,4177.14,3402.7,1.0
k[3],0.54,0.08,0.38,0.68,0.0,0.0,4177.14,3402.7,1.0
k[4],0.52,0.08,0.37,0.67,0.0,0.0,4177.14,3402.7,1.0
k[5],0.52,0.08,0.37,0.67,0.0,0.0,4177.14,3402.7,1.0
k[6],0.52,0.08,0.37,0.67,0.0,0.0,4177.14,3402.7,1.0
k[7],0.52,0.08,0.37,0.67,0.0,0.0,4177.14,3402.7,1.0
k[8],0.52,0.08,0.37,0.67,0.0,0.0,4177.14,3402.7,1.0
k[9],0.41,0.06,0.29,0.52,0.0,0.0,4177.14,3402.7,1.0
k[10],0.41,0.06,0.29,0.52,0.0,0.0,4177.14,3402.7,1.0
k[11],0.41,0.06,0.29,0.52,0.0,0.0,4177.14,3402.7,1.0
k[12],0.41,0.06,0.29,0.52,0.0,0.0,4177.14,3402.7,1.0
k[13],0.31,0.05,0.22,0.4,0.0,0.0,4177.14,3402.7,1.0
