,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.2,0.48,2.32,4.09,0.01,0.01,4224.1,3143.62,1.0
delta_h,4.4,0.66,3.19,5.68,0.01,0.01,5439.26,3054.88,1.0
z_H,0.07,0.01,0.05,0.1,0.0,0.0,4390.73,3111.12,1.0
mu_H,1.06,0.42,0.43,1.84,0.01,0.0,8478.03,3323.35,1.0
sigma_H,0.95,0.4,0.35,1.72,0.01,0.0,6736.58,2930.18,1.0
z_ICU,0.07,0.01,0.05,0.1,0.0,0.0,4212.91,3144.49,1.0
mu_ICU,1.09,0.45,0.4,1.92,0.01,0.0,7550.2,2753.26,1.0
sigma_ICU,0.98,0.43,0.33,1.76,0.01,0.0,6150.81,2829.81,1.0
z_S,0.15,0.04,0.08,0.22,0.0,0.0,6475.98,2795.1,1.0
sigma_model,0.22,0.03,0.17,0.28,0.0,0.0,4841.19,3276.59,1.0
k[0],0.53,0.08,0.39,0.68,0.0,0.0,4224.1,3143.62,1.0
k[1],0.53,0.08,0.39,0.68,0.0,0.0,4224.1,3143.62,1.0
k[2],0.53,0.08,0.39,0.68,0.0,0.0,4224.1,3143.62,1.0
k[3],0.53,0.08,0.39,0.68,0.0,0.0,4224.1,3143.62,1.0
k[4],0.52,0.08,0.38,0.66,0.0,0.0,4224.1,3143.62,1.0
k[5],0.52,0.08,0.38,0.66,0.0,0.0,4224.1,3143.62,1.0
k[6],0.52,0.08,0.38,0.66,0.0,0.0,4224.1,3143.62,1.0
k[7],0.52,0.08,0.38,0.66,0.0,0.0,4224.1,3143.62,1.0
k[8],0.52,0.08,0.38,0.66,0.0,0.0,4224.1,3143.62,1.0
k[9],0.41,0.06,0.29,0.52,0.0,0.0,4224.1,3143.62,1.0
k[10],0.41,0.06,0.29,0.52,0.0,0.0,4224.1,3143.62,1.0
k[11],0.41,0.06,0.29,0.52,0.0,0.0,4224.1,3143.62,1.0
k[12],0.41,0.06,0.29,0.52,0.0,0.0,4224.1,3143.62,1.0
k[13],0.31,0.05,0.22,0.39,0.0,0.0,4224.1,3143.62,1.0
k[14],0.31,0.05,0.22,0.39,0.0,0.0,4224.1,3143.62,1.0
k[15],0.31,0.05,0.22,0.39,0.0,0.0,4224.1,3143.62,1.0
k[16],0.31,0.05,0.22,0.39,0.0,0.0,4224.1,3143.62,1.0
k[17],0.24,0.04,0.17,0.3,0.0,0.0,4224.1,3143.62,1.0
k[18],0.24,0.04,0.17,0.3,0.0,0.0,4224.1,3143.62,1.0
k[19],0.24,0.04,0.17,0.3,0.0,0.0,4224.1,3143.62,1.0
k[20],0.24,0.04,0.17,0.3,0.0,0.0,4224.1,3143.62,1.0
k[21],0.24,0.04,0.17,0.3,0.0,0.0,4224.1,3143.62,1.0
k[22],0.2,0.03,0.15,0.26,0.0,0.0,4224.1,3143.62,1.0
k[23],0.2,0.03,0.15,0.26,0.0,0.0,4224.1,3143.62,1.0
k[24],0.2,0.03,0.15,0.26,0.0,0.0,4224.1,3143.62,1.0
k[25],0.2,0.03,0.15,0.26,0.0,0.0,4224.1,3143.62,1.0
k[26],0.18,0.03,0.13,0.23,0.0,0.0,4224.1,3143.62,1.0
k[27],0.18,0.03,0.13,0.23,0.0,0.0,4224.1,3143.62,1.0
k[28],0.18,0.03,0.13,0.23,0.0,0.0,4224.1,3143.62,1.0
k[29],0.18,0.03,0.13,0.23,0.0,0.0,4224.1,3143.62,1.0
k[30],0.21,0.03,0.15,0.27,0.0,0.0,4224.1,3143.62,1.0
k[31],0.21,0.03,0.15,0.27,0.0,0.0,4224.1,3143.62,1.0
k[32],0.21,0.03,0.15,0.27,0.0,0.0,4224.1,3143.62,1.0
k[33],0.21,0.03,0.15,0.27,0.0,0.0,4224.1,3143.62,1.0
k[34],0.21,0.03,0.15,0.27,0.0,0.0,4224.1,3143.62,1.0
k[35],0.24,0.04,0.17,0.31,0.0,0.0,4224.1,3143.62,1.0
k[36],0.24,0.04,0.17,0.31,0.0,0.0,4224.1,3143.62,1.0
h[0],0.4,0.06,0.29,0.52,0.0,0.0,5439.26,3054.88,1.0
h[1],0.4,0.06,0.29,0.52,0.0,0.0,5439.26,3054.88,1.0
h[2],0.4,0.06,0.29,0.52,0.0,0.0,5439.26,3054.88,1.0
h[3],0.4,0.06,0.29,0.52,0.0,0.0,5439.26,3054.88,1.0
h[4],0.32,0.05,0.23,0.41,0.0,0.0,5439.26,3054.88,1.0
