,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.72,0.54,2.78,4.77,0.01,0.01,2771.92,2536.32,1.0
delta_h,3.87,0.62,2.74,5.03,0.01,0.01,3457.18,2443.56,1.0
z_ICU,0.12,0.02,0.09,0.15,0.0,0.0,2813.41,2751.1,1.0
mu_ICU,1.03,0.37,0.41,1.7,0.01,0.0,5654.55,2577.55,1.0
sigma_ICU,0.93,0.4,0.34,1.7,0.01,0.0,5236.32,3219.74,1.0
z_S,0.16,0.04,0.09,0.24,0.0,0.0,4352.87,3114.64,1.0
sigma_model,0.21,0.03,0.16,0.26,0.0,0.0,4324.02,2922.71,1.0
k[0],0.62,0.09,0.46,0.79,0.0,0.0,2771.92,2536.32,1.0
k[1],0.62,0.09,0.46,0.79,0.0,0.0,2771.92,2536.32,1.0
k[2],0.62,0.09,0.46,0.79,0.0,0.0,2771.92,2536.32,1.0
k[3],0.62,0.09,0.46,0.79,0.0,0.0,2771.92,2536.32,1.0
k[4],0.6,0.09,0.45,0.77,0.0,0.0,2771.92,2536.32,1.0
k[5],0.6,0.09,0.45,0.77,0.0,0.0,2771.92,2536.32,1.0
k[6],0.6,0.09,0.45,0.77,0.0,0.0,2771.92,2536.32,1.0
k[7],0.6,0.09,0.45,0.77,0.0,0.0,2771.92,2536.32,1.0
k[8],0.6,0.09,0.45,0.77,0.0,0.0,2771.92,2536.32,1.0
k[9],0.47,0.07,0.35,0.61,0.0,0.0,2771.92,2536.32,1.0
k[10],0.47,0.07,0.35,0.61,0.0,0.0,2771.92,2536.32,1.0
k[11],0.47,0.07,0.35,0.61,0.0,0.0,2771.92,2536.32,1.0
k[12],0.47,0.07,0.35,0.61,0.0,0.0,2771.92,2536.32,1.0
k[13],0.36,0.05,0.27,0.46,0.0,0.0,2771.92,2536.32,1.0
k[14],0.36,0.05,0.27,0.46,0.0,0.0,2771.92,2536.32,1.0
k[15],0.36,0.05,0.27,0.46,0.0,0.0,2771.92,2536.32,1.0
k[16],0.36,0.05,0.27,0.46,0.0,0.0,2771.92,2536.32,1.0
k[17],0.28,0.04,0.21,0.35,0.0,0.0,2771.92,2536.32,1.0
k[18],0.28,0.04,0.21,0.35,0.0,0.0,2771.92,2536.32,1.0
k[19],0.28,0.04,0.21,0.35,0.0,0.0,2771.92,2536.32,1.0
k[20],0.28,0.04,0.21,0.35,0.0,0.0,2771.92,2536.32,1.0
k[21],0.28,0.04,0.21,0.35,0.0,0.0,2771.92,2536.32,1.0
k[22],0.23,0.03,0.18,0.3,0.0,0.0,2771.92,2536.32,1.0
k[23],0.23,0.03,0.18,0.3,0.0,0.0,2771.92,2536.32,1.0
k[24],0.23,0.03,0.18,0.3,0.0,0.0,2771.92,2536.32,1.0
k[25],0.23,0.03,0.18,0.3,0.0,0.0,2771.92,2536.32,1.0
k[26],0.21,0.03,0.16,0.27,0.0,0.0,2771.92,2536.32,1.0
k[27],0.21,0.03,0.16,0.27,0.0,0.0,2771.92,2536.32,1.0
k[28],0.21,0.03,0.16,0.27,0.0,0.0,2771.92,2536.32,1.0
k[29],0.21,0.03,0.16,0.27,0.0,0.0,2771.92,2536.32,1.0
k[30],0.25,0.04,0.18,0.32,0.0,0.0,2771.92,2536.32,1.0
k[31],0.25,0.04,0.18,0.32,0.0,0.0,2771.92,2536.32,1.0
k[32],0.25,0.04,0.18,0.32,0.0,0.0,2771.92,2536.32,1.0
k[33],0.25,0.04,0.18,0.32,0.0,0.0,2771.92,2536.32,1.0
k[34],0.25,0.04,0.18,0.32,0.0,0.0,2771.92,2536.32,1.0
k[35],0.28,0.04,0.21,0.36,0.0,0.0,2771.92,2536.32,1.0
k[36],0.28,0.04,0.21,0.36,0.0,0.0,2771.92,2536.32,1.0
h[0],0.35,0.06,0.25,0.46,0.0,0.0,3457.18,2443.56,1.0
h[1],0.35,0.06,0.25,0.46,0.0,0.0,3457.18,2443.56,1.0
h[2],0.35,0.06,0.25,0.46,0.0,0.0,3457.18,2443.56,1.0
h[3],0.35,0.06,0.25,0.46,0.0,0.0,3457.18,2443.56,1.0
h[4],0.28,0.04,0.2,0.36,0.0,0.0,3457.18,2443.56,1.0
h[5],0.28,0.04,0.2,0.36,0.0,0.0,3457.18,2443.56,1.0
h[6],0.28,0.04,0.2,0.36,0.0,0.0,3457.18,2443.56,1.0
h[7],0.28,0.04,0.2,0.36,0.0,0.0,3457.18,2443.56,1.0
h[8],0.28,0.04,0.2,0.36,0.0,0.0,3457.18,2443.56,1.0
h[9],0.01,0.0,0.01,0.02,0.0,0.0,3457.18,2443.56,1.0
h[10],0.01,0.0,0.01,0.02,0.0,0.0,3457.18,2443.56,1.0
h[11],0.01,0.0,0.01,0.02,0.0,0.0,3457.18,2443.56,1.0
h[12],0.01,0.0,0.01,0.02,0.0,0.0,3457.18,2443.56,1.0
h[13],-0.18,0.03,-0.23,-0.13,0.0,0.0,3457.18,2443.56,1.0
h[14],-0.18,0.03,-0.23,-0.13,0.0,0.0,3457.18,2443.56,1.0
h[15],-0.18,0.03,-0.23,-0.13,0.0,0.0,3457.18,2443.56,1.0
h[16],-0.18,0.03,-0.23,-0.13,0.0,0.0,3457.18,2443.56,1.0
h[17],-0.06,0.01,-0.08,-0.04,0.0,0.0,3457.18,2443.56,1.0
h[18],-0.06,0.01,-0.08,-0.04,0.0,0.0,3457.18,2443.56,1.0
h[19],-0.06,0.01,-0.08,-0.04,0.0,0.0,3457.18,2443.56,1.0
h[20],-0.06,0.01,-0.08,-0.04,0.0,0.0,3457.18,2443.56,1.0
h[21],-0.06,0.01,-0.08,-0.04,0.0,0.0,3457.18,2443.56,1.0
h[22],-0.22,0.03,-0.28,-0.16,0.0,0.0,3457.18,2443.56,1.0
h[23],-0.22,0.03,-0.28,-0.16,0.0,0.0,3457.18,2443.56,1.0
