,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,2.99,0.48,2.09,3.86,0.01,0.01,3345.94,2804.41,1.0
delta_h,6.07,0.82,4.62,7.7,0.01,0.01,4227.98,3646.74,1.0
z_R,0.08,0.01,0.06,0.11,0.0,0.0,3757.96,2978.55,1.0
mu_R,1.17,0.47,0.45,2.06,0.01,0.01,5263.18,3376.81,1.0
sigma_R,0.93,0.37,0.36,1.61,0.01,0.0,5623.39,2644.44,1.0
z_C,0.08,0.01,0.06,0.1,0.0,0.0,3669.52,2924.19,1.0
mu_C,1.07,0.41,0.43,1.83,0.01,0.0,5383.33,2792.7,1.0
sigma_C,0.9,0.37,0.34,1.59,0.01,0.0,6986.87,2865.28,1.0
z_S,0.16,0.04,0.09,0.24,0.0,0.0,5257.08,3092.83,1.0
sigma_model,0.22,0.03,0.17,0.28,0.0,0.0,4213.31,3119.59,1.0
k[0],0.5,0.08,0.35,0.64,0.0,0.0,3345.94,2804.41,1.0
k[1],0.5,0.08,0.35,0.64,0.0,0.0,3345.94,2804.41,1.0
k[2],0.5,0.08,0.35,0.64,0.0,0.0,3345.94,2804.41,1.0
k[3],0.5,0.08,0.35,0.64,0.0,0.0,3345.94,2804.41,1.0
k[4],0.48,0.08,0.34,0.63,0.0,0.0,3345.94,2804.41,1.0
k[5],0.48,0.08,0.34,0.63,0.0,0.0,3345.94,2804.41,1.0
k[6],0.48,0.08,0.34,0.63,0.0,0.0,3345.94,2804.41,1.0
k[7],0.48,0.08,0.34,0.63,0.0,0.0,3345.94,2804.41,1.0
k[8],0.48,0.08,0.34,0.63,0.0,0.0,3345.94,2804.41,1.0
k[9],0.38,0.06,0.26,0.49,0.0,0.0,3345.94,2804.41,1.0
k[10],0.38,0.06,0.26,0.49,0.0,0.0,3345.94,2804.41,1.0
k[11],0.38,0.06,0.26,0.49,0.0,0.0,3345.94,2804.41,1.0
k[12],0.38,0.06,0.26,0.49,0.0,0.0,3345.94,2804.41,1.0
k[13],0.29,0.05,0.2,0.37,0.0,0.0,3345.94,2804.41,1.0
k[14],0.29,0.05,0.2,0.37,0.0,0.0,3345.94,2804.41,1.0
k[15],0.29,0.05,0.2,0.37,0.0,0.0,3345.94,2804.41,1.0
k[16],0.29,0.05,0.2,0.37,0.0,0.0,3345.94,2804.41,1.0
k[17],0.22,0.04,0.15,0.29,0.0,0.0,3345.94,2804.41,1.0
k[18],0.22,0.04,0.15,0.29,0.0,0.0,3345.94,2804.41,1.0
k[19],0.22,0.04,0.15,0.29,0.0,0.0,3345.94,2804.41,1.0
k[20],0.22,0.04,0.15,0.29,0.0,0.0,3345.94,2804.41,1.0
k[21],0.22,0.04,0.15,0.29,0.0,0.0,3345.94,2804.41,1.0
k[22],0.19,0.03,0.13,0.24,0.0,0.0,3345.94,2804.41,1.0
k[23],0.19,0.03,0.13,0.24,0.0,0.0,3345.94,2804.41,1.0
k[24],0.19,0.03,0.13,0.24,0.0,0.0,3345.94,2804.41,1.0
k[25],0.19,0.03,0.13,0.24,0.0,0.0,3345.94,2804.41,1.0
k[26],0.17,0.03,0.12,0.22,0.0,0.0,3345.94,2804.41,1.0
k[27],0.17,0.03,0.12,0.22,0.0,0.0,3345.94,2804.41,1.0
k[28],0.17,0.03,0.12,0.22,0.0,0.0,3345.94,2804.41,1.0
k[29],0.17,0.03,0.12,0.22,0.0,0.0,3345.94,2804.41,1.0
k[30],0.2,0.03,0.14,0.25,0.0,0.0,3345.94,2804.41,1.0
k[31],0.2,0.03,0.14,0.25,0.0,0.0,3345.94,2804.41,1.0
k[32],0.2,0.03,0.14,0.25,0.0,0.0,3345.94,2804.41,1.0
k[33],0.2,0.03,0.14,0.25,0.0,0.0,3345.94,2804.41,1.0
k[34],0.2,0.03,0.14,0.25,0.0,0.0,3345.94,2804.41,1.0
k[35],0.22,0.04,0.16,0.29,0.0,0.0,3345.94,2804.41,1.0
k[36],0.22,0.04,0.16,0.29,0.0,0.0,3345.94,2804.41,1.0
h[0],0.55,0.07,0.42,0.7,0.0,0.0,4227.98,3646.74,1.0
h[1],0.55,0.07,0.42,0.7,0.0,0.0,4227.98,3646.74,1.0
h[2],0.55,0.07,0.42,0.7,0.0,0.0,4227.98,3646.74,1.0
h[3],0.55,0.07,0.42,0.7,0.0,0.0,4227.98,3646.74,1.0
h[4],0.44,0.06,0.33,0.55,0.0,0.0,4227.98,3646.74,1.0
h[5],0.44,0.06,0.33,0.55,0.0,0.0,4227.98,3646.74,1.0
h[6],0.44,0.06,0.33,0.55,0.0,0.0,4227.98,3646.74,1.0
h[7],0.44,0.06,0.33,0.55,0.0,0.0,4227.98,3646.74,1.0
h[8],0.44,0.06,0.33,0.55,0.0,0.0,4227.98,3646.74,1.0
h[9],0.02,0.0,0.01,0.02,0.0,0.0,4227.98,3646.74,1.0
h[10],0.02,0.0,0.01,0.02,0.0,0.0,4227.98,3646.74,1.0
h[11],0.02,0.0,0.01,0.02,0.0,0.0,4227.98,3646.74,1.0
h[12],0.02,0.0,0.01,0.02,0.0,0.0,4227.98,3646.74,1.0
h[13],-0.28,0.04,-0.35,-0.21,0.0,0.0,4227.98,3646.74,1.0
h[14],-0.28,0.04,-0.35,-0.21,0.0,0.0,4227.98,3646.74,1.0
h[15],-0.28,0.04,-0.35,-0.21,0.0,0.0,4227.98,3646.74,1.0
h[16],-0.28,0.04,-0.35,-0.21,0.0,0.0,4227.98,3646.74,1.0
h[17],-0.09,0.01,-0.12,-0.07,0.0,0.0,4227.98,3646.74,1.0
h[18],-0.09,0.01,-0.12,-0.07,0.0,0.0,4227.98,3646.74,1.0
h[19],-0.09,0.01,-0.12,-0.07,0.0,0.0,4227.98,3646.74,1.0
h[20],-0.09,0.01,-0.12,-0.07,0.0,0.0,4227.98,3646.74,1.0
