,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,2.95,0.47,2.05,3.8,0.01,0.0,4332.85,3099.53,1.0
delta_h,5.71,0.77,4.3,7.15,0.01,0.01,4916.85,3272.23,1.0
z_R,0.06,0.01,0.04,0.08,0.0,0.0,4989.27,3433.25,1.0
mu_R,1.14,0.45,0.41,1.97,0.01,0.0,5690.11,2866.16,1.0
sigma_R,0.89,0.35,0.33,1.52,0.0,0.0,6956.7,3148.48,1.0
z_C,0.05,0.01,0.03,0.07,0.0,0.0,4842.72,3061.87,1.0
mu_C,1.07,0.41,0.41,1.83,0.01,0.01,7536.32,2936.0,1.0
sigma_C,0.9,0.39,0.26,1.54,0.01,0.0,7337.8,2871.29,1.0
z_H,0.05,0.01,0.03,0.07,0.0,0.0,5511.79,3043.03,1.0
mu_H,1.1,0.45,0.44,1.94,0.01,0.0,6558.44,3018.8,1.0
sigma_H,0.94,0.38,0.36,1.66,0.0,0.0,6977.81,3026.18,1.0
z_S,0.15,0.04,0.08,0.23,0.0,0.0,6760.06,2737.16,1.0
sigma_model,0.22,0.03,0.16,0.28,0.0,0.0,5293.61,3106.8,1.0
k[0],0.49,0.08,0.34,0.63,0.0,0.0,4332.85,3099.53,1.0
k[1],0.49,0.08,0.34,0.63,0.0,0.0,4332.85,3099.53,1.0
k[2],0.49,0.08,0.34,0.63,0.0,0.0,4332.85,3099.53,1.0
k[3],0.49,0.08,0.34,0.63,0.0,0.0,4332.85,3099.53,1.0
k[4],0.48,0.08,0.33,0.61,0.0,0.0,4332.85,3099.53,1.0
k[5],0.48,0.08,0.33,0.61,0.0,0.0,4332.85,3099.53,1.0
k[6],0.48,0.08,0.33,0.61,0.0,0.0,4332.85,3099.53,1.0
k[7],0.48,0.08,0.33,0.61,0.0,0.0,4332.85,3099.53,1.0
k[8],0.48,0.08,0.33,0.61,0.0,0.0,4332.85,3099.53,1.0
k[9],0.37,0.06,0.26,0.48,0.0,0.0,4332.85,3099.53,1.0
k[10],0.37,0.06,0.26,0.48,0.0,0.0,4332.85,3099.53,1.0
k[11],0.37,0.06,0.26,0.48,0.0,0.0,4332.85,3099.53,1.0
k[12],0.37,0.06,0.26,0.48,0.0,0.0,4332.85,3099.53,1.0
k[13],0.28,0.04,0.2,0.36,0.0,0.0,4332.85,3099.53,1.0
k[14],0.28,0.04,0.2,0.36,0.0,0.0,4332.85,3099.53,1.0
k[15],0.28,0.04,0.2,0.36,0.0,0.0,4332.85,3099.53,1.0
k[16],0.28,0.04,0.2,0.36,0.0,0.0,4332.85,3099.53,1.0
k[17],0.22,0.03,0.15,0.28,0.0,0.0,4332.85,3099.53,1.0
k[18],0.22,0.03,0.15,0.28,0.0,0.0,4332.85,3099.53,1.0
k[19],0.22,0.03,0.15,0.28,0.0,0.0,4332.85,3099.53,1.0
k[20],0.22,0.03,0.15,0.28,0.0,0.0,4332.85,3099.53,1.0
k[21],0.22,0.03,0.15,0.28,0.0,0.0,4332.85,3099.53,1.0
k[22],0.19,0.03,0.13,0.24,0.0,0.0,4332.85,3099.53,1.0
k[23],0.19,0.03,0.13,0.24,0.0,0.0,4332.85,3099.53,1.0
k[24],0.19,0.03,0.13,0.24,0.0,0.0,4332.85,3099.53,1.0
k[25],0.19,0.03,0.13,0.24,0.0,0.0,4332.85,3099.53,1.0
k[26],0.17,0.03,0.12,0.21,0.0,0.0,4332.85,3099.53,1.0
k[27],0.17,0.03,0.12,0.21,0.0,0.0,4332.85,3099.53,1.0
k[28],0.17,0.03,0.12,0.21,0.0,0.0,4332.85,3099.53,1.0
k[29],0.17,0.03,0.12,0.21,0.0,0.0,4332.85,3099.53,1.0
k[30],0.19,0.03,0.14,0.25,0.0,0.0,4332.85,3099.53,1.0
k[31],0.19,0.03,0.14,0.25,0.0,0.0,4332.85,3099.53,1.0
k[32],0.19,0.03,0.14,0.25,0.0,0.0,4332.85,3099.53,1.0
k[33],0.19,0.03,0.14,0.25,0.0,0.0,4332.85,3099.53,1.0
k[34],0.19,0.03,0.14,0.25,0.0,0.0,4332.85,3099.53,1.0
k[35],0.22,0.03,0.15,0.28,0.0,0.0,4332.85,3099.53,1.0
k[36],0.22,0.03,0.15,0.28,0.0,0.0,4332.85,3099.53,1.0
h[0],0.52,0.07,0.39,0.65,0.0,0.0,4916.85,3272.23,1.0
h[1],0.52,0.07,0.39,0.65,0.0,0.0,4916.85,3272.23,1.0
h[2],0.52,0.07,0.39,0.65,0.0,0.0,4916.85,3272.23,1.0
h[3],0.52,0.07,0.39,0.65,0.0,0.0,4916.85,3272.23,1.0
h[4],0.41,0.06,0.31,0.51,0.0,0.0,4916.85,3272.23,1.0
h[5],0.41,0.06,0.31,0.51,0.0,0.0,4916.85,3272.23,1.0
h[6],0.41,0.06,0.31,0.51,0.0,0.0,4916.85,3272.23,1.0
h[7],0.41,0.06,0.31,0.51,0.0,0.0,4916.85,3272.23,1.0
h[8],0.41,0.06,0.31,0.51,0.0,0.0,4916.85,3272.23,1.0
h[9],0.02,0.0,0.01,0.02,0.0,0.0,4916.85,3272.23,1.0
h[10],0.02,0.0,0.01,0.02,0.0,0.0,4916.85,3272.23,1.0
h[11],0.02,0.0,0.01,0.02,0.0,0.0,4916.85,3272.23,1.0
h[12],0.02,0.0,0.01,0.02,0.0,0.0,4916.85,3272.23,1.0
h[13],-0.26,0.04,-0.33,-0.2,0.0,0.0,4916.85,3272.23,1.0
h[14],-0.26,0.04,-0.33,-0.2,0.0,0.0,4916.85,3272.23,1.0
h[15],-0.26,0.04,-0.33,-0.2,0.0,0.0,4916.85,3272.23,1.0
h[16],-0.26,0.04,-0.33,-0.2,0.0,0.0,4916.85,3272.23,1.0
h[17],-0.09,0.01,-0.11,-0.06,0.0,0.0,4916.85,3272.23,1.0
h[18],-0.09,0.01,-0.11,-0.06,0.0,0.0,4916.85,3272.23,1.0
h[19],-0.09,0.01,-0.11,-0.06,0.0,0.0,4916.85,3272.23,1.0
h[20],-0.09,0.01,-0.11,-0.06,0.0,0.0,4916.85,3272.23,1.0
h[21],-0.09,0.01,-0.11,-0.06,0.0,0.0,4916.85,3272.23,1.0
h[22],-0.32,0.04,-0.41,-0.24,0.0,0.0,4916.85,3272.23,1.0
h[23],-0.32,0.04,-0.41,-0.24,0.0,0.0,4916.85,3272.23,1.0
h[24],-0.32,0.04,-0.41,-0.24,0.0,0.0,4916.85,3272.23,1.0
h[25],-0.32,0.04,-0.41,-0.24,0.0,0.0,4916.85,3272.23,1.0
h[26],-0.39,0.05,-0.49,-0.29,0.0,0.0,4916.85,3272.23,1.0
h[27],-0.39,0.05,-0.49,-0.29,0.0,0.0,4916.85,3272.23,1.0
h[28],-0.39,0.05,-0.49,-0.29,0.0,0.0,4916.85,3272.23,1.0
h[29],-0.39,0.05,-0.49,-0.29,0.0,0.0,4916.85,3272.23,1.0
h[30],-0.17,0.02,-0.21,-0.13,0.0,0.0,4916.85,3272.23,1.0
h[31],-0.17,0.02,-0.21,-0.13,0.0,0.0,4916.85,3272.23,1.0
h[32],-0.17,0.02,-0.21,-0.13,0.0,0.0,4916.85,3272.23,1.0
h[33],-0.17,0.02,-0.21,-0.13,0.0,0.0,4916.85,3272.23,1.0
h[34],-0.17,0.02,-0.21,-0.13,0.0,0.0,4916.85,3272.23,1.0
h[35],-0.06,0.01,-0.07,-0.04,0.0,0.0,4916.85,3272.23,1.0
h[36],-0.06,0.01,-0.07,-0.04,0.0,0.0,4916.85,3272.23,1.0
o_*[0],6.46,0.09,6.3,6.62,0.0,0.0,6577.7,3297.82,1.0
o_*[1],6.03,0.09,5.87,6.19,0.0,0.0,6577.7,3297.82,1.0
o_*[2],6.07,0.09,5.91,6.23,0.0,0.0,6577.7,3297.82,1.0
o_*[3],6.7,0.09,6.54,6.86,0.0,0.0,6577.7,3297.82,1.0
o_*[4],6.84,0.08,6.7,6.99,0.0,0.0,6259.14,3364.2,1.0
o_*[5],7.14,0.08,7.0,7.29,0.0,0.0,6259.14,3364.2,1.0
o_*[6],7.06,0.08,6.92,7.21,0.0,0.0,6259.14,3364.2,1.0
o_*[7],6.65,0.08,6.51,6.8,0.0,0.0,6259.14,3364.2,1.0
o_*[8],7.16,0.08,7.02,7.31,0.0,0.0,6259.14,3364.2,1.0
o_*[9],7.28,0.06,7.17,7.38,0.0,0.0,4391.63,3090.94,1.0
o_*[10],7.44,0.06,7.33,7.54,0.0,0.0,4391.63,3090.94,1.0
o_*[11],7.71,0.06,7.6,7.81,0.0,0.0,4391.63,3090.94,1.0
o_*[12],7.64,0.06,7.53,7.74,0.0,0.0,4391.63,3090.94,1.0
o_*[13],7.94,0.07,7.82,8.06,0.0,0.0,3856.87,3181.16,1.0
o_*[14],7.92,0.07,7.8,8.04,0.0,0.0,3856.87,3181.16,1.0
o_*[15],7.87,0.07,7.75,7.99,0.0,0.0,3856.87,3181.16,1.0
o_*[16],7.77,0.07,7.65,7.89,0.0,0.0,3856.87,3181.16,1.0
o_*[17],7.74,0.04,7.66,7.81,0.0,0.0,4014.68,3084.34,1.0
o_*[18],7.8,0.04,7.72,7.87,0.0,0.0,4014.68,3084.34,1.0
o_*[19],7.52,0.04,7.44,7.59,0.0,0.0,4014.68,3084.34,1.0
o_*[20],7.91,0.04,7.83,7.98,0.0,0.0,4014.68,3084.34,1.0
o_*[21],8.08,0.04,8.0,8.15,0.0,0.0,4014.68,3084.34,1.0
o_*[22],8.07,0.06,7.96,8.18,0.0,0.0,3939.55,3167.4,1.0
o_*[23],8.18,0.06,8.07,8.29,0.0,0.0,3939.55,3167.4,1.0
o_*[24],8.2,0.06,8.09,8.31,0.0,0.0,3939.55,3167.4,1.0
o_*[25],8.31,0.06,8.2,8.42,0.0,0.0,3939.55,3167.4,1.0
o_*[26],8.12,0.07,8.0,8.25,0.0,0.0,4050.16,3140.27,1.0
o_*[27],8.06,0.07,7.94,8.19,0.0,0.0,4050.16,3140.27,1.0
o_*[28],7.83,0.07,7.71,7.96,0.0,0.0,4050.16,3140.27,1.0
o_*[29],7.98,0.07,7.86,8.11,0.0,0.0,4050.16,3140.27,1.0
o_*[30],7.39,0.04,7.3,7.46,0.0,0.0,3858.54,3167.19,1.0
o_*[31],7.52,0.04,7.43,7.59,0.0,0.0,3858.54,3167.19,1.0
o_*[32],7.61,0.04,7.52,7.68,0.0,0.0,3858.54,3167.19,1.0
o_*[33],7.51,0.04,7.42,7.58,0.0,0.0,3858.54,3167.19,1.0
o_*[34],7.46,0.04,7.37,7.53,0.0,0.0,3858.54,3167.19,1.0
o_*[35],7.29,0.04,7.22,7.36,0.0,0.0,4115.74,2940.87,1.0
o_*[36],7.22,0.04,7.15,7.29,0.0,0.0,4115.74,2940.87,1.0
risk_R[0],0.5,0.07,0.36,0.61,0.0,0.0,3922.36,3235.37,1.0
risk_R[1],0.41,0.04,0.37,0.48,0.0,0.0,5469.24,3053.66,1.0
