,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,3.14,0.46,2.32,4.07,0.01,0.0,4521.73,3005.51,1.0
delta_h,5.14,0.71,3.82,6.51,0.01,0.01,4762.23,2716.75,1.0
z_R,0.04,0.01,0.02,0.06,0.0,0.0,5115.53,2783.15,1.0
mu_R,1.13,0.44,0.47,1.95,0.01,0.0,6296.41,3148.52,1.0
sigma_R,0.89,0.35,0.35,1.54,0.0,0.0,6212.28,2654.7,1.0
z_C,0.04,0.01,0.02,0.05,0.0,0.0,5592.65,3072.83,1.0
mu_C,1.05,0.39,0.44,1.82,0.01,0.0,6994.49,3118.66,1.0
sigma_C,0.88,0.36,0.32,1.52,0.0,0.0,6884.23,3272.13,1.0
z_H,0.04,0.01,0.02,0.05,0.0,0.0,7009.82,3104.23,1.0
mu_H,1.07,0.41,0.42,1.83,0.01,0.0,6293.21,2676.26,1.0
sigma_H,0.9,0.37,0.31,1.55,0.0,0.0,7653.68,2973.79,1.0
z_ICU,0.04,0.01,0.02,0.05,0.0,0.0,5031.88,2971.35,1.0
mu_ICU,1.08,0.4,0.45,1.83,0.01,0.0,6163.82,2947.74,1.0
sigma_ICU,0.89,0.36,0.31,1.54,0.0,0.0,6257.83,3106.77,1.0
z_S,0.15,0.04,0.08,0.22,0.0,0.0,5076.96,3065.64,1.0
sigma_model,0.21,0.03,0.16,0.27,0.0,0.0,5628.51,3190.16,1.0
k[0],0.52,0.08,0.39,0.68,0.0,0.0,4521.73,3005.51,1.0
k[1],0.52,0.08,0.39,0.68,0.0,0.0,4521.73,3005.51,1.0
k[2],0.52,0.08,0.39,0.68,0.0,0.0,4521.73,3005.51,1.0
k[3],0.52,0.08,0.39,0.68,0.0,0.0,4521.73,3005.51,1.0
k[4],0.51,0.08,0.38,0.66,0.0,0.0,4521.73,3005.51,1.0
k[5],0.51,0.08,0.38,0.66,0.0,0.0,4521.73,3005.51,1.0
k[6],0.51,0.08,0.38,0.66,0.0,0.0,4521.73,3005.51,1.0
k[7],0.51,0.08,0.38,0.66,0.0,0.0,4521.73,3005.51,1.0
k[8],0.51,0.08,0.38,0.66,0.0,0.0,4521.73,3005.51,1.0
k[9],0.4,0.06,0.3,0.52,0.0,0.0,4521.73,3005.51,1.0
k[10],0.4,0.06,0.3,0.52,0.0,0.0,4521.73,3005.51,1.0
k[11],0.4,0.06,0.3,0.52,0.0,0.0,4521.73,3005.51,1.0
k[12],0.4,0.06,0.3,0.52,0.0,0.0,4521.73,3005.51,1.0
k[13],0.3,0.04,0.22,0.39,0.0,0.0,4521.73,3005.51,1.0
k[14],0.3,0.04,0.22,0.39,0.0,0.0,4521.73,3005.51,1.0
k[15],0.3,0.04,0.22,0.39,0.0,0.0,4521.73,3005.51,1.0
k[16],0.3,0.04,0.22,0.39,0.0,0.0,4521.73,3005.51,1.0
k[17],0.23,0.03,0.17,0.3,0.0,0.0,4521.73,3005.51,1.0
k[18],0.23,0.03,0.17,0.3,0.0,0.0,4521.73,3005.51,1.0
k[19],0.23,0.03,0.17,0.3,0.0,0.0,4521.73,3005.51,1.0
k[20],0.23,0.03,0.17,0.3,0.0,0.0,4521.73,3005.51,1.0
k[21],0.23,0.03,0.17,0.3,0.0,0.0,4521.73,3005.51,1.0
k[22],0.2,0.03,0.15,0.26,0.0,0.0,4521.73,3005.51,1.0
k[23],0.2,0.03,0.15,0.26,0.0,0.0,4521.73,3005.51,1.0
k[24],0.2,0.03,0.15,0.26,0.0,0.0,4521.73,3005.51,1.0
k[25],0.2,0.03,0.15,0.26,0.0,0.0,4521.73,3005.51,1.0
k[26],0.18,0.03,0.13,0.23,0.0,0.0,4521.73,3005.51,1.0
k[27],0.18,0.03,0.13,0.23,0.0,0.0,4521.73,3005.51,1.0
k[28],0.18,0.03,0.13,0.23,0.0,0.0,4521.73,3005.51,1.0
k[29],0.18,0.03,0.13,0.23,0.0,0.0,4521.73,3005.51,1.0
k[30],0.21,0.03,0.15,0.27,0.0,0.0,4521.73,3005.51,1.0
k[31],0.21,0.03,0.15,0.27,0.0,0.0,4521.73,3005.51,1.0
k[32],0.21,0.03,0.15,0.27,0.0,0.0,4521.73,3005.51,1.0
k[33],0.21,0.03,0.15,0.27,0.0,0.0,4521.73,3005.51,1.0
k[34],0.21,0.03,0.15,0.27,0.0,0.0,4521.73,3005.51,1.0
k[35],0.24,0.03,0.17,0.31,0.0,0.0,4521.73,3005.51,1.0
k[36],0.24,0.03,0.17,0.31,0.0,0.0,4521.73,3005.51,1.0
h[0],0.47,0.06,0.35,0.59,0.0,0.0,4762.23,2716.75,1.0
h[1],0.47,0.06,0.35,0.59,0.0,0.0,4762.23,2716.75,1.0
h[2],0.47,0.06,0.35,0.59,0.0,0.0,4762.23,2716.75,1.0
h[3],0.47,0.06,0.35,0.59,0.0,0.0,4762.23,2716.75,1.0
h[4],0.37,0.05,0.27,0.47,0.0,0.0,4762.23,2716.75,1.0
h[5],0.37,0.05,0.27,0.47,0.0,0.0,4762.23,2716.75,1.0
h[6],0.37,0.05,0.27,0.47,0.0,0.0,4762.23,2716.75,1.0
h[7],0.37,0.05,0.27,0.47,0.0,0.0,4762.23,2716.75,1.0
h[8],0.37,0.05,0.27,0.47,0.0,0.0,4762.23,2716.75,1.0
h[9],0.02,0.0,0.01,0.02,0.0,0.0,4762.23,2716.75,1.0
h[10],0.02,0.0,0.01,0.02,0.0,0.0,4762.23,2716.75,1.0
h[11],0.02,0.0,0.01,0.02,0.0,0.0,4762.23,2716.75,1.0
h[12],0.02,0.0,0.01,0.02,0.0,0.0,4762.23,2716.75,1.0
h[13],-0.24,0.03,-0.3,-0.18,0.0,0.0,4762.23,2716.75,1.0
h[14],-0.24,0.03,-0.3,-0.18,0.0,0.0,4762.23,2716.75,1.0
h[15],-0.24,0.03,-0.3,-0.18,0.0,0.0,4762.23,2716.75,1.0
h[16],-0.24,0.03,-0.3,-0.18,0.0,0.0,4762.23,2716.75,1.0
h[17],-0.08,0.01,-0.1,-0.06,0.0,0.0,4762.23,2716.75,1.0
h[18],-0.08,0.01,-0.1,-0.06,0.0,0.0,4762.23,2716.75,1.0
h[19],-0.08,0.01,-0.1,-0.06,0.0,0.0,4762.23,2716.75,1.0
h[20],-0.08,0.01,-0.1,-0.06,0.0,0.0,4762.23,2716.75,1.0
h[21],-0.08,0.01,-0.1,-0.06,0.0,0.0,4762.23,2716.75,1.0
h[22],-0.29,0.04,-0.37,-0.22,0.0,0.0,4762.23,2716.75,1.0
h[23],-0.29,0.04,-0.37,-0.22,0.0,0.0,4762.23,2716.75,1.0
h[24],-0.29,0.04,-0.37,-0.22,0.0,0.0,4762.23,2716.75,1.0
h[25],-0.29,0.04,-0.37,-0.22,0.0,0.0,4762.23,2716.75,1.0
h[26],-0.35,0.05,-0.45,-0.26,0.0,0.0,4762.23,2716.75,1.0
h[27],-0.35,0.05,-0.45,-0.26,0.0,0.0,4762.23,2716.75,1.0
h[28],-0.35,0.05,-0.45,-0.26,0.0,0.0,4762.23,2716.75,1.0
h[29],-0.35,0.05,-0.45,-0.26,0.0,0.0,4762.23,2716.75,1.0
h[30],-0.15,0.02,-0.2,-0.11,0.0,0.0,4762.23,2716.75,1.0
h[31],-0.15,0.02,-0.2,-0.11,0.0,0.0,4762.23,2716.75,1.0
h[32],-0.15,0.02,-0.2,-0.11,0.0,0.0,4762.23,2716.75,1.0
h[33],-0.15,0.02,-0.2,-0.11,0.0,0.0,4762.23,2716.75,1.0
h[34],-0.15,0.02,-0.2,-0.11,0.0,0.0,4762.23,2716.75,1.0
h[35],-0.05,0.01,-0.07,-0.04,0.0,0.0,4762.23,2716.75,1.0
h[36],-0.05,0.01,-0.07,-0.04,0.0,0.0,4762.23,2716.75,1.0
o_*[0],6.48,0.08,6.33,6.64,0.0,0.0,6673.26,2988.54,1.0
o_*[1],6.05,0.08,5.9,6.21,0.0,0.0,6673.26,2988.54,1.0
o_*[2],6.09,0.08,5.94,6.25,0.0,0.0,6673.26,2988.54,1.0
o_*[3],6.72,0.08,6.57,6.88,0.0,0.0,6673.26,2988.54,1.0
o_*[4],6.85,0.08,6.72,7.0,0.0,0.0,6391.5,3285.73,1.0
o_*[5],7.15,0.08,7.02,7.3,0.0,0.0,6391.5,3285.73,1.0
o_*[6],7.07,0.08,6.94,7.22,0.0,0.0,6391.5,3285.73,1.0
o_*[7],6.66,0.08,6.53,6.81,0.0,0.0,6391.5,3285.73,1.0
o_*[8],7.17,0.08,7.04,7.32,0.0,0.0,6391.5,3285.73,1.0
o_*[9],7.26,0.06,7.15,7.37,0.0,0.0,4582.99,3037.91,1.0
o_*[10],7.42,0.06,7.31,7.53,0.0,0.0,4582.99,3037.91,1.0
o_*[11],7.69,0.06,7.58,7.8,0.0,0.0,4582.99,3037.91,1.0
o_*[12],7.62,0.06,7.51,7.73,0.0,0.0,4582.99,3037.91,1.0
o_*[13],7.9,0.06,7.77,8.01,0.0,0.0,3899.39,2922.47,1.0
o_*[14],7.88,0.06,7.75,7.99,0.0,0.0,3899.39,2922.47,1.0
o_*[15],7.83,0.06,7.7,7.94,0.0,0.0,3899.39,2922.47,1.0
o_*[16],7.73,0.06,7.6,7.84,0.0,0.0,3899.39,2922.47,1.0
o_*[17],7.71,0.04,7.64,7.78,0.0,0.0,4132.72,2880.04,1.0
o_*[18],7.77,0.04,7.7,7.84,0.0,0.0,4132.72,2880.04,1.0
o_*[19],7.49,0.04,7.42,7.56,0.0,0.0,4132.72,2880.04,1.0
o_*[20],7.88,0.04,7.81,7.95,0.0,0.0,4132.72,2880.04,1.0
o_*[21],8.05,0.04,7.98,8.12,0.0,0.0,4132.72,2880.04,1.0
o_*[22],8.02,0.06,7.92,8.13,0.0,0.0,4052.84,3089.67,1.0
o_*[23],8.13,0.06,8.03,8.24,0.0,0.0,4052.84,3089.67,1.0
o_*[24],8.15,0.06,8.05,8.26,0.0,0.0,4052.84,3089.67,1.0
o_*[25],8.26,0.06,8.16,8.37,0.0,0.0,4052.84,3089.67,1.0
o_*[26],8.08,0.06,7.96,8.19,0.0,0.0,4126.71,3129.47,1.0
o_*[27],8.02,0.06,7.9,8.13,0.0,0.0,4126.71,3129.47,1.0
o_*[28],7.79,0.06,7.67,7.9,0.0,0.0,4126.71,3129.47,1.0
o_*[29],7.94,0.06,7.82,8.05,0.0,0.0,4126.71,3129.47,1.0
o_*[30],7.36,0.04,7.27,7.43,0.0,0.0,3905.18,2922.81,1.0
