,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,2.84,0.45,2.04,3.72,0.01,0.01,4054.48,2956.7,1.0
delta_h,5.23,0.73,3.93,6.64,0.01,0.01,4751.12,3234.82,1.0
z_R,0.06,0.01,0.04,0.08,0.0,0.0,5085.21,3070.77,1.0
mu_R,1.17,0.48,0.43,2.09,0.01,0.01,5518.15,3218.69,1.0
sigma_R,0.89,0.33,0.32,1.49,0.0,0.0,5864.61,2898.94,1.0
z_H,0.05,0.01,0.03,0.07,0.0,0.0,5719.46,3498.31,1.0
mu_H,1.07,0.42,0.43,1.82,0.01,0.0,7095.24,2969.43,1.0
sigma_H,0.91,0.38,0.31,1.58,0.0,0.0,7065.14,3264.38,1.0
z_ICU,0.05,0.01,0.03,0.07,0.0,0.0,4901.47,3376.24,1.0
mu_ICU,1.09,0.41,0.44,1.86,0.01,0.0,5800.98,3209.24,1.0
sigma_ICU,0.91,0.36,0.33,1.57,0.0,0.0,7132.8,2943.54,1.0
z_S,0.15,0.04,0.08,0.22,0.0,0.0,5506.51,2949.19,1.0
sigma_model,0.21,0.03,0.16,0.27,0.0,0.0,4429.01,2791.18,1.0
k[0],0.47,0.08,0.34,0.62,0.0,0.0,4054.48,2956.7,1.0
k[1],0.47,0.08,0.34,0.62,0.0,0.0,4054.48,2956.7,1.0
k[2],0.47,0.08,0.34,0.62,0.0,0.0,4054.48,2956.7,1.0
k[3],0.47,0.08,0.34,0.62,0.0,0.0,4054.48,2956.7,1.0
k[4],0.46,0.07,0.33,0.6,0.0,0.0,4054.48,2956.7,1.0
k[5],0.46,0.07,0.33,0.6,0.0,0.0,4054.48,2956.7,1.0
k[6],0.46,0.07,0.33,0.6,0.0,0.0,4054.48,2956.7,1.0
k[7],0.46,0.07,0.33,0.6,0.0,0.0,4054.48,2956.7,1.0
k[8],0.46,0.07,0.33,0.6,0.0,0.0,4054.48,2956.7,1.0
k[9],0.36,0.06,0.26,0.47,0.0,0.0,4054.48,2956.7,1.0
k[10],0.36,0.06,0.26,0.47,0.0,0.0,4054.48,2956.7,1.0
k[11],0.36,0.06,0.26,0.47,0.0,0.0,4054.48,2956.7,1.0
k[12],0.36,0.06,0.26,0.47,0.0,0.0,4054.48,2956.7,1.0
k[13],0.27,0.04,0.2,0.36,0.0,0.0,4054.48,2956.7,1.0
k[14],0.27,0.04,0.2,0.36,0.0,0.0,4054.48,2956.7,1.0
k[15],0.27,0.04,0.2,0.36,0.0,0.0,4054.48,2956.7,1.0
k[16],0.27,0.04,0.2,0.36,0.0,0.0,4054.48,2956.7,1.0
k[17],0.21,0.03,0.15,0.28,0.0,0.0,4054.48,2956.7,1.0
k[18],0.21,0.03,0.15,0.28,0.0,0.0,4054.48,2956.7,1.0
k[19],0.21,0.03,0.15,0.28,0.0,0.0,4054.48,2956.7,1.0
k[20],0.21,0.03,0.15,0.28,0.0,0.0,4054.48,2956.7,1.0
k[21],0.21,0.03,0.15,0.28,0.0,0.0,4054.48,2956.7,1.0
k[22],0.18,0.03,0.13,0.23,0.0,0.0,4054.48,2956.7,1.0
k[23],0.18,0.03,0.13,0.23,0.0,0.0,4054.48,2956.7,1.0
k[24],0.18,0.03,0.13,0.23,0.0,0.0,4054.48,2956.7,1.0
k[25],0.18,0.03,0.13,0.23,0.0,0.0,4054.48,2956.7,1.0
k[26],0.16,0.03,0.11,0.21,0.0,0.0,4054.48,2956.7,1.0
k[27],0.16,0.03,0.11,0.21,0.0,0.0,4054.48,2956.7,1.0
k[28],0.16,0.03,0.11,0.21,0.0,0.0,4054.48,2956.7,1.0
