,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
delta_k,2.83,0.47,1.95,3.72,0.01,0.01,3022.0,2937.01,1.0
delta_h,5.3,0.77,3.87,6.76,0.01,0.01,3369.01,2736.97,1.0
z_R,0.08,0.01,0.06,0.11,0.0,0.0,2736.28,3004.43,1.0
mu_R,1.28,0.55,0.45,2.33,0.01,0.01,3901.4,3171.11,1.0
sigma_R,0.93,0.37,0.34,1.62,0.01,0.0,4293.85,2674.08,1.0
z_ICU,0.08,0.01,0.06,0.1,0.0,0.0,3563.9,2800.63,1.0
mu_ICU,1.07,0.39,0.42,1.77,0.01,0.0,5618.21,2927.19,1.0
sigma_ICU,0.87,0.34,0.34,1.52,0.01,0.0,5448.42,3300.34,1.0
z_S,0.16,0.04,0.09,0.23,0.0,0.0,4745.45,2936.77,1.0
sigma_model,0.21,0.03,0.16,0.27,0.0,0.0,4965.23,3209.8,1.0
k[0],0.47,0.08,0.32,0.62,0.0,0.0,3022.0,2937.01,1.0
k[1],0.47,0.08,0.32,0.62,0.0,0.0,3022.0,2937.01,1.0
k[2],0.47,0.08,0.32,0.62,0.0,0.0,3022.0,2937.01,1.0
k[3],0.47,0.08,0.32,0.62,0.0,0.0,3022.0,2937.01,1.0
k[4],0.46,0.08,0.32,0.6,0.0,0.0,3022.0,2937.01,1.0
k[5],0.46,0.08,0.32,0.6,0.0,0.0,3022.0,2937.01,1.0
k[6],0.46,0.08,0.32,0.6,0.0,0.0,3022.0,2937.01,1.0
k[7],0.46,0.08,0.32,0.6,0.0,0.0,3022.0,2937.01,1.0
k[8],0.46,0.08,0.32,0.6,0.0,0.0,3022.0,2937.01,1.0
k[9],0.36,0.06,0.25,0.47,0.0,0.0,3022.0,2937.01,1.0
k[10],0.36,0.06,0.25,0.47,0.0,0.0,3022.0,2937.01,1.0
k[11],0.36,0.06,0.25,0.47,0.0,0.0,3022.0,2937.01,1.0
k[12],0.36,0.06,0.25,0.47,0.0,0.0,3022.0,2937.01,1.0
k[13],0.27,0.05,0.19,0.36,0.0,0.0,3022.0,2937.01,1.0
k[14],0.27,0.05,0.19,0.36,0.0,0.0,3022.0,2937.01,1.0
k[15],0.27,0.05,0.19,0.36,0.0,0.0,3022.0,2937.01,1.0
k[16],0.27,0.05,0.19,0.36,0.0,0.0,3022.0,2937.01,1.0
k[17],0.21,0.03,0.14,0.28,0.0,0.0,3022.0,2937.01,1.0
k[18],0.21,0.03,0.14,0.28,0.0,0.0,3022.0,2937.01,1.0
k[19],0.21,0.03,0.14,0.28,0.0,0.0,3022.0,2937.01,1.0
k[20],0.21,0.03,0.14,0.28,0.0,0.0,3022.0,2937.01,1.0
k[21],0.21,0.03,0.14,0.28,0.0,0.0,3022.0,2937.01,1.0
k[22],0.18,0.03,0.12,0.23,0.0,0.0,3022.0,2937.01,1.0
k[23],0.18,0.03,0.12,0.23,0.0,0.0,3022.0,2937.01,1.0
k[24],0.18,0.03,0.12,0.23,0.0,0.0,3022.0,2937.01,1.0
k[25],0.18,0.03,0.12,0.23,0.0,0.0,3022.0,2937.01,1.0
k[26],0.16,0.03,0.11,0.21,0.0,0.0,3022.0,2937.01,1.0
k[27],0.16,0.03,0.11,0.21,0.0,0.0,3022.0,2937.01,1.0
k[28],0.16,0.03,0.11,0.21,0.0,0.0,3022.0,2937.01,1.0
k[29],0.16,0.03,0.11,0.21,0.0,0.0,3022.0,2937.01,1.0
k[30],0.19,0.03,0.13,0.25,0.0,0.0,3022.0,2937.01,1.0
k[31],0.19,0.03,0.13,0.25,0.0,0.0,3022.0,2937.01,1.0
k[32],0.19,0.03,0.13,0.25,0.0,0.0,3022.0,2937.01,1.0
k[33],0.19,0.03,0.13,0.25,0.0,0.0,3022.0,2937.01,1.0
k[34],0.19,0.03,0.13,0.25,0.0,0.0,3022.0,2937.01,1.0
k[35],0.21,0.04,0.15,0.28,0.0,0.0,3022.0,2937.01,1.0
k[36],0.21,0.04,0.15,0.28,0.0,0.0,3022.0,2937.01,1.0
h[0],0.48,0.07,0.35,0.62,0.0,0.0,3369.01,2736.97,1.0
h[1],0.48,0.07,0.35,0.62,0.0,0.0,3369.01,2736.97,1.0
h[2],0.48,0.07,0.35,0.62,0.0,0.0,3369.01,2736.97,1.0
h[3],0.48,0.07,0.35,0.62,0.0,0.0,3369.01,2736.97,1.0
h[4],0.38,0.06,0.28,0.49,0.0,0.0,3369.01,2736.97,1.0
h[5],0.38,0.06,0.28,0.49,0.0,0.0,3369.01,2736.97,1.0
h[6],0.38,0.06,0.28,0.49,0.0,0.0,3369.01,2736.97,1.0
h[7],0.38,0.06,0.28,0.49,0.0,0.0,3369.01,2736.97,1.0
h[8],0.38,0.06,0.28,0.49,0.0,0.0,3369.01,2736.97,1.0
