,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
del_t,18.98,9.04,2.03,35.25,0.14,0.11,3988.73,2746.95,1.0
del_f,0.06,0.02,0.02,0.11,0.0,0.0,1353.17,1358.75,1.0
delta_k,4.83,0.91,3.14,6.49,0.02,0.01,2036.48,2036.82,1.0
delta_h,3.85,0.74,2.52,5.25,0.01,0.01,2996.23,2751.62,1.0
z_C,0.12,0.04,0.06,0.19,0.0,0.0,1079.43,868.25,1.01
mu_C,3.06,2.24,0.78,8.42,0.11,0.07,808.83,882.94,1.01
sigma_C,1.92,0.85,0.69,3.53,0.02,0.01,3530.2,2653.62,1.0
z_H,0.11,0.03,0.07,0.16,0.0,0.0,2645.73,2385.87,1.0
mu_H,2.68,1.4,0.74,5.28,0.03,0.02,2844.09,2335.9,1.0
sigma_H,1.96,0.86,0.67,3.56,0.01,0.01,3621.57,2893.43,1.0
z_S,0.16,0.04,0.08,0.24,0.0,0.0,4318.74,2846.23,1.0
tau,1.6,1.94,0.04,4.52,0.04,0.03,4197.23,2374.61,1.0
sigma_model,0.25,0.04,0.19,0.33,0.0,0.0,3110.24,3069.88,1.0
k[0],0.8,0.15,0.52,1.08,0.0,0.0,2036.48,2036.82,1.0
k[1],0.8,0.15,0.52,1.08,0.0,0.0,2036.48,2036.82,1.0
k[2],0.8,0.15,0.52,1.08,0.0,0.0,2036.48,2036.82,1.0
k[3],0.8,0.15,0.52,1.08,0.0,0.0,2036.48,2036.82,1.0
k[4],0.78,0.15,0.51,1.05,0.0,0.0,2036.48,2036.82,1.0
k[5],0.78,0.15,0.51,1.05,0.0,0.0,2036.48,2036.82,1.0
k[6],0.78,0.15,0.51,1.05,0.0,0.0,2036.48,2036.82,1.0
k[7],0.78,0.15,0.51,1.05,0.0,0.0,2036.48,2036.82,1.0
k[8],0.78,0.15,0.51,1.05,0.0,0.0,2036.48,2036.82,1.0
k[9],0.61,0.12,0.4,0.82,0.0,0.0,2036.48,2036.82,1.0
k[10],0.61,0.12,0.4,0.82,0.0,0.0,2036.48,2036.82,1.0
k[11],0.61,0.12,0.4,0.82,0.0,0.0,2036.48,2036.82,1.0
k[12],0.61,0.12,0.4,0.82,0.0,0.0,2036.48,2036.82,1.0
k[13],0.46,0.09,0.3,0.62,0.0,0.0,2036.48,2036.82,1.0
k[14],0.46,0.09,0.3,0.62,0.0,0.0,2036.48,2036.82,1.0
k[15],0.46,0.09,0.3,0.62,0.0,0.0,2036.48,2036.82,1.0
k[16],0.46,0.09,0.3,0.62,0.0,0.0,2036.48,2036.82,1.0
k[17],0.36,0.07,0.23,0.48,0.0,0.0,2036.48,2036.82,1.0
k[18],0.36,0.07,0.23,0.48,0.0,0.0,2036.48,2036.82,1.0
k[19],0.36,0.07,0.23,0.48,0.0,0.0,2036.48,2036.82,1.0
k[20],0.36,0.07,0.23,0.48,0.0,0.0,2036.48,2036.82,1.0
k[21],0.36,0.07,0.23,0.48,0.0,0.0,2036.48,2036.82,1.0
k[22],0.3,0.06,0.2,0.41,0.0,0.0,2036.48,2036.82,1.0
k[23],0.3,0.06,0.2,0.41,0.0,0.0,2036.48,2036.82,1.0
k[24],0.3,0.06,0.2,0.41,0.0,0.0,2036.48,2036.82,1.0
k[25],0.3,0.06,0.2,0.41,0.0,0.0,2036.48,2036.82,1.0
k[26],0.27,0.05,0.18,0.36,0.0,0.0,2036.48,2036.82,1.0
k[27],0.27,0.05,0.18,0.36,0.0,0.0,2036.48,2036.82,1.0
k[28],0.27,0.05,0.18,0.36,0.0,0.0,2036.48,2036.82,1.0
k[29],0.27,0.05,0.18,0.36,0.0,0.0,2036.48,2036.82,1.0
k[30],0.32,0.06,0.21,0.43,0.0,0.0,2036.48,2036.82,1.0
k[31],0.32,0.06,0.21,0.43,0.0,0.0,2036.48,2036.82,1.0
k[32],0.32,0.06,0.21,0.43,0.0,0.0,2036.48,2036.82,1.0
k[33],0.32,0.06,0.21,0.43,0.0,0.0,2036.48,2036.82,1.0
k[34],0.32,0.06,0.21,0.43,0.0,0.0,2036.48,2036.82,1.0
k[35],0.36,0.07,0.24,0.49,0.0,0.0,2036.48,2036.82,1.0
k[36],0.36,0.07,0.24,0.49,0.0,0.0,2036.48,2036.82,1.0
h[0],0.35,0.07,0.23,0.48,0.0,0.0,2996.23,2751.62,1.0
h[1],0.35,0.07,0.23,0.48,0.0,0.0,2996.23,2751.62,1.0
h[2],0.35,0.07,0.23,0.48,0.0,0.0,2996.23,2751.62,1.0
h[3],0.35,0.07,0.23,0.48,0.0,0.0,2996.23,2751.62,1.0
h[4],0.28,0.05,0.18,0.38,0.0,0.0,2996.23,2751.62,1.0
h[5],0.28,0.05,0.18,0.38,0.0,0.0,2996.23,2751.62,1.0
h[6],0.28,0.05,0.18,0.38,0.0,0.0,2996.23,2751.62,1.0
h[7],0.28,0.05,0.18,0.38,0.0,0.0,2996.23,2751.62,1.0
h[8],0.28,0.05,0.18,0.38,0.0,0.0,2996.23,2751.62,1.0
h[9],0.01,0.0,0.01,0.02,0.0,0.0,2996.23,2751.62,1.0
h[10],0.01,0.0,0.01,0.02,0.0,0.0,2996.23,2751.62,1.0
h[11],0.01,0.0,0.01,0.02,0.0,0.0,2996.23,2751.62,1.0
h[12],0.01,0.0,0.01,0.02,0.0,0.0,2996.23,2751.62,1.0
h[13],-0.18,0.03,-0.24,-0.12,0.0,0.0,2996.23,2751.62,1.0
h[14],-0.18,0.03,-0.24,-0.12,0.0,0.0,2996.23,2751.62,1.0
h[15],-0.18,0.03,-0.24,-0.12,0.0,0.0,2996.23,2751.62,1.0
h[16],-0.18,0.03,-0.24,-0.12,0.0,0.0,2996.23,2751.62,1.0
h[17],-0.06,0.01,-0.08,-0.04,0.0,0.0,2996.23,2751.62,1.0
h[18],-0.06,0.01,-0.08,-0.04,0.0,0.0,2996.23,2751.62,1.0
h[19],-0.06,0.01,-0.08,-0.04,0.0,0.0,2996.23,2751.62,1.0
h[20],-0.06,0.01,-0.08,-0.04,0.0,0.0,2996.23,2751.62,1.0
h[21],-0.06,0.01,-0.08,-0.04,0.0,0.0,2996.23,2751.62,1.0
h[22],-0.22,0.04,-0.3,-0.14,0.0,0.0,2996.23,2751.62,1.0
h[23],-0.22,0.04,-0.3,-0.14,0.0,0.0,2996.23,2751.62,1.0
h[24],-0.22,0.04,-0.3,-0.14,0.0,0.0,2996.23,2751.62,1.0
h[25],-0.22,0.04,-0.3,-0.14,0.0,0.0,2996.23,2751.62,1.0
h[26],-0.26,0.05,-0.36,-0.17,0.0,0.0,2996.23,2751.62,1.0
